,AVA US Equity
,RSI_30D
2020-01-01,52.2895
2020-01-02,48.3574
2020-01-03,49.498
2020-01-04,49.498
2020-01-05,49.498
2020-01-06,49.7531
2020-01-07,47.6371
2020-01-08,44.6879
2020-01-09,45.033
2020-01-10,47.279
2020-01-11,47.279
2020-01-12,47.279
2020-01-13,49.8486
2020-01-14,49.4744
2020-01-15,52.3133
2020-01-16,55.6739
2020-01-17,59.0567
2020-01-18,59.0567
2020-01-19,59.0567
2020-01-20,59.0567
2020-01-21,60.4791
2020-01-22,60.6161
2020-01-23,61.6697
2020-01-24,59.7292
2020-01-25,59.7292
2020-01-26,59.7292
2020-01-27,59.8743
2020-01-28,61.5925
2020-01-29,63.265
2020-01-30,64.6839
2020-01-31,65.355
2020-02-01,65.355
2020-02-02,65.355
2020-02-03,66.4276
2020-02-04,63.6821
2020-02-05,65.3337
2020-02-06,65.9094
2020-02-07,64.9529
2020-02-08,64.9529
2020-02-09,64.9529
2020-02-10,65.8501
2020-02-11,64.2302
2020-02-12,64.2756
2020-02-13,66.3545
2020-02-14,67.7981
2020-02-15,67.7981
2020-02-16,67.7981
2020-02-17,67.7981
2020-02-18,68.2411
2020-02-19,68.6066
2020-02-20,66.4363
2020-02-21,63.3076
2020-02-22,63.3076
2020-02-23,63.3076
2020-02-24,57.6868
2020-02-25,49.147
2020-02-26,51.4822
2020-02-27,46.8306
2020-02-28,40.9264
2020-02-29,40.9264
2020-03-01,40.9264
2020-03-02,51.8499
2020-03-03,50.711
2020-03-04,58.9996
2020-03-05,56.9639
2020-03-06,60.2066
2020-03-07,60.2066
2020-03-08,60.2066
2020-03-09,53.0324
2020-03-10,52.8154
2020-03-11,46.0971
2020-03-12,35.1995
2020-03-13,41.8689
2020-03-14,41.8689
2020-03-15,41.8689
2020-03-16,39.3489
2020-03-17,54.21
2020-03-18,53.4786
2020-03-19,46.5736
2020-03-20,36.1256
2020-03-21,36.1256
2020-03-22,36.1256
2020-03-23,33.7636
2020-03-24,40.2528
2020-03-25,39.6117
2020-03-26,43.1365
2020-03-27,43.8573
2020-03-28,43.8573
2020-03-29,43.8573
2020-03-30,47.5838
2020-03-31,45.8771
2020-04-01,43.3126
2020-04-02,45.679
2020-04-03,44.6968
2020-04-04,44.6968
2020-04-05,44.6968
2020-04-06,46.8258
2020-04-07,45.1829
2020-04-08,46.4679
2020-04-09,49.7439
2020-04-10,49.7439
2020-04-11,49.7439
2020-04-12,49.7439
2020-04-13,47.7036
2020-04-14,49.1114
2020-04-15,48.1244
2020-04-16,48.75
2020-04-17,49.1071
2020-04-18,49.1071
2020-04-19,49.1071
2020-04-20,48.1336
2020-04-21,47.6595
2020-04-22,47.8763
2020-04-23,47.6313
2020-04-24,47.4952
2020-04-25,47.4952
2020-04-26,47.4952
2020-04-27,48.0506
2020-04-28,48.4347
2020-04-29,49.3905
2020-04-30,47.7898
2020-05-01,45.4279
2020-05-02,45.4279
2020-05-03,45.4279
2020-05-04,45.9189
2020-05-05,46.13
2020-05-06,43.7557
2020-05-07,44.8617
2020-05-08,44.671
2020-05-09,44.671
2020-05-10,44.671
2020-05-11,44.1796
2020-05-12,42.4817
2020-05-13,40.7233
2020-05-14,40.6596
2020-05-15,40.3765
2020-05-16,40.3765
2020-05-17,40.3765
2020-05-18,43.8895
2020-05-19,42.3146
2020-05-20,44.0893
2020-05-21,44.1345
2020-05-22,44.073
2020-05-23,44.073
2020-05-24,44.073
2020-05-25,44.073
2020-05-26,45.2554
2020-05-27,45.4146
2020-05-28,45.9973
2020-05-29,46.4967
2020-05-30,46.4967
2020-05-31,46.4967
2020-06-01,46.129
2020-06-02,46.7906
2020-06-03,48.0414
2020-06-04,47.9281
2020-06-05,47.4321
2020-06-06,47.4321
2020-06-07,47.4321
2020-06-08,47.2802
2020-06-09,46.4764
2020-06-10,45.6228
2020-06-11,41.8099
