,RHP US Equity
,RSI_30D
2020-01-01,55.7889
2020-01-02,53.8719
2020-01-03,53.0499
2020-01-04,53.0499
2020-01-05,53.0499
2020-01-06,50.5171
2020-01-07,48.2445
2020-01-08,50.8431
2020-01-09,50.44
2020-01-10,49.2289
2020-01-11,49.2289
2020-01-12,49.2289
2020-01-13,51.1825
2020-01-14,52.3383
2020-01-15,52.5138
2020-01-16,55.2224
2020-01-17,55.5323
2020-01-18,55.5323
2020-01-19,55.5323
2020-01-20,55.5323
2020-01-21,54.3138
2020-01-22,54.5552
2020-01-23,53.0269
2020-01-24,53.9924
2020-01-25,53.9924
2020-01-26,53.9924
2020-01-27,53.2909
2020-01-28,56.2957
2020-01-29,55.4358
2020-01-30,54.5461
2020-01-31,50.197
2020-02-01,50.197
2020-02-02,50.197
2020-02-03,52.3616
2020-02-04,55.9962
2020-02-05,57.7901
2020-02-06,57.2593
2020-02-07,53.4509
2020-02-08,53.4509
2020-02-09,53.4509
2020-02-10,54.9591
2020-02-11,56.4585
2020-02-12,58.3517
2020-02-13,59.9704
2020-02-14,61.8818
2020-02-15,61.8818
2020-02-16,61.8818
2020-02-17,61.8818
2020-02-18,59.1949
2020-02-19,57.2779
2020-02-20,57.2527
2020-02-21,55.9023
2020-02-22,55.9023
2020-02-23,55.9023
2020-02-24,45.2049
2020-02-25,38.1273
2020-02-26,32.5398
2020-02-27,32.3383
2020-02-28,28.6584
2020-02-29,28.6584
2020-03-01,28.6584
2020-03-02,31.2164
2020-03-03,27.6397
2020-03-04,27.3532
2020-03-05,23.654
2020-03-06,22.5162
2020-03-07,22.5162
2020-03-08,22.5162
2020-03-09,18.7317
2020-03-10,19.4662
2020-03-11,17.1484
2020-03-12,14.571
2020-03-13,20.5352
2020-03-14,20.5352
2020-03-15,20.5352
2020-03-16,16.9153
2020-03-17,16.1027
2020-03-18,14.8837
2020-03-19,19.546
2020-03-20,22.2228
2020-03-21,22.2228
2020-03-22,22.2228
2020-03-23,25.0423
2020-03-24,31.8492
2020-03-25,31.6486
2020-03-26,33.9268
2020-03-27,33.8787
2020-03-28,33.8787
2020-03-29,33.8787
2020-03-30,35.4145
2020-03-31,35.401
2020-04-01,34.5338
2020-04-02,33.6412
2020-04-03,33.0491
2020-04-04,33.0491
2020-04-05,33.0491
2020-04-06,36.1878
2020-04-07,35.8183
2020-04-08,36.8833
2020-04-09,36.1666
2020-04-10,36.1666
2020-04-11,36.1666
2020-04-12,36.1666
2020-04-13,35.5328
2020-04-14,34.9051
2020-04-15,33.952
2020-04-16,33.4452
2020-04-17,33.5945
2020-04-18,33.5945
2020-04-19,33.5945
2020-04-20,33.6253
2020-04-21,33.6466
2020-04-22,33.6243
2020-04-23,33.5612
2020-04-24,33.3199
2020-04-25,33.3199
2020-04-26,33.3199
2020-04-27,36.935
2020-04-28,39.0446
2020-04-29,44.2216
2020-04-30,42.4803
2020-05-01,40.7719
2020-05-02,40.7719
2020-05-03,40.7719
2020-05-04,40.2186
2020-05-05,39.0367
2020-05-06,38.3336
2020-05-07,39.0175
2020-05-08,40.7228
2020-05-09,40.7228
2020-05-10,40.7228
2020-05-11,38.6252
2020-05-12,37.5845
2020-05-13,35.4764
2020-05-14,37.2382
2020-05-15,37.2061
2020-05-16,37.2061
2020-05-17,37.2061
2020-05-18,43.1286
2020-05-19,42.8144
2020-05-20,44.2468
2020-05-21,44.3334
2020-05-22,44.3929
2020-05-23,44.3929
2020-05-24,44.3929
2020-05-25,44.3929
2020-05-26,45.9476
2020-05-27,48.2044
2020-05-28,47.4029
2020-05-29,46.6785
2020-05-30,46.6785
2020-05-31,46.6785
2020-06-01,48.073
2020-06-02,49.6478
2020-06-03,52.5777
2020-06-04,52.631
2020-06-05,54.4152
2020-06-06,54.4152
2020-06-07,54.4152
2020-06-08,58.9238
2020-06-09,53.6822
2020-06-10,51.151
2020-06-11,48.4863
2020-06-12,49.2674
2020-06-13,49.2674
2020-06-14,49.2674
2020-06-15,49.5537
2020-06-16,50.7624
2020-06-17,48.6945
2020-06-18,48.428
2020-06-19,47.3226
2020-06-20,47.3226
2020-06-21,47.3226
2020-06-22,47.6224
2020-06-23,47.6898
2020-06-24,46.6088
2020-06-25,46.6294
2020-06-26,44.3718
2020-06-27,44.3718
2020-06-28,44.3718
2020-06-29,46.7372
2020-06-30,47.2686
2020-07-01,45.9552
2020-07-02,46.3727
2020-07-03,46.3727
2020-07-04,46.3727
2020-07-05,46.3727
2020-07-06,46.3837
2020-07-07,44.3804
2020-07-08,44.4038
2020-07-09,43.8333
2020-07-10,44.57
2020-07-11,44.57
2020-07-12,44.57
2020-07-13,44.3095
2020-07-14,43.1358
2020-07-15,47.2956
2020-07-16,46.9896
2020-07-17,46.232
2020-07-18,46.232
2020-07-19,46.232
2020-07-20,44.9953
2020-07-21,46.5625
2020-07-22,47.2025
2020-07-23,47.0995
2020-07-24,45.3373
2020-07-25,45.3373
2020-07-26,45.3373
2020-07-27,45.1008
2020-07-28,45.9207
2020-07-29,47.5017
2020-07-30,47.0807
2020-07-31,46.4544
2020-08-01,46.4544
2020-08-02,46.4544
2020-08-03,44.7427
2020-08-04,47.4381
2020-08-05,48.0271
2020-08-06,49.3687
2020-08-07,51.6549
2020-08-08,51.6549
2020-08-09,51.6549
2020-08-10,53.2974
2020-08-11,53.9673
2020-08-12,54.1853
2020-08-13,52.8746
2020-08-14,53.8021
2020-08-15,53.8021
2020-08-16,53.8021
2020-08-17,52.4554
2020-08-18,50.3284
2020-08-19,50.8367
2020-08-20,52.0124
2020-08-21,50.2328
2020-08-22,50.2328
2020-08-23,50.2328
2020-08-24,53.4034
2020-08-25,54.3479
2020-08-26,53.1849
2020-08-27,54.8682
2020-08-28,56.4614
2020-08-29,56.4614
2020-08-30,56.4614
2020-08-31,53.8916
2020-09-01,53.3196
2020-09-02,54.5937
2020-09-03,55.1308
2020-09-04,56.6932
2020-09-05,56.6932
2020-09-06,56.6932
2020-09-07,56.6932
2020-09-08,55.0381
2020-09-09,55.3472
2020-09-10,52.8695
2020-09-11,52.484
2020-09-12,52.484
2020-09-13,52.484
2020-09-14,54.7403
2020-09-15,56.0747
2020-09-16,57.0502
2020-09-17,54.802
2020-09-18,51.4935
2020-09-19,51.4935
2020-09-20,51.4935
2020-09-21,49.4102
2020-09-22,49.8208
2020-09-23,48.1871
2020-09-24,47.3308
2020-09-25,49.7554
2020-09-26,49.7554
2020-09-27,49.7554
2020-09-28,51.3778
2020-09-29,49.4069
2020-09-30,50.0992
2020-10-01,50.8435
2020-10-02,51.7341
2020-10-03,51.7341
2020-10-04,51.7341
2020-10-05,52.9992
2020-10-06,53.24
2020-10-07,56.2968
2020-10-08,58.3726
2020-10-09,58.8709
2020-10-10,58.8709
2020-10-11,58.8709
2020-10-12,58.4088
2020-10-13,55.4712
2020-10-14,53.1837
2020-10-15,55.4519
2020-10-16,54.7474
2020-10-17,54.7474
2020-10-18,54.7474
2020-10-19,53.8717
2020-10-20,55.3494
2020-10-21,53.265
2020-10-22,57.021
2020-10-23,58.9926
2020-10-24,58.9926
2020-10-25,58.9926
2020-10-26,54.6519
2020-10-27,52.1641
2020-10-28,49.6408
2020-10-29,51.4876
2020-10-30,51.7679
2020-10-31,51.7679
2020-11-01,51.7679
2020-11-02,51.6704
2020-11-03,53.2941
2020-11-04,52.712
2020-11-05,54.656
2020-11-06,52.6428
2020-11-07,52.6428
2020-11-08,52.6428
2020-11-09,68.8166
2020-11-10,70.562
2020-11-11,66.3981
2020-11-12,64.6248
2020-11-13,67.3324
2020-11-14,67.3324
2020-11-15,67.3324
2020-11-16,67.4124
2020-11-17,68.1586
2020-11-18,65.3284
2020-11-19,66.7901
2020-11-20,67.2772
2020-11-21,67.2772
2020-11-22,67.2772
2020-11-23,68.7976
2020-11-24,70.2585
2020-11-25,71.152
2020-11-26,71.152
2020-11-27,68.4535
2020-11-28,68.4535
2020-11-29,68.4535
2020-11-30,67.3215
2020-12-01,67.6291
2020-12-02,67.4248
2020-12-03,66.7839
2020-12-04,68.437
2020-12-05,68.437
2020-12-06,68.437
2020-12-07,65.2815
2020-12-08,66.5576
2020-12-09,67.3092
2020-12-10,68.1563
2020-12-11,64.9659
2020-12-12,64.9659
2020-12-13,64.9659
2020-12-14,61.1748
2020-12-15,61.8921
2020-12-16,61.6214
2020-12-17,60.62
2020-12-18,58.388
2020-12-19,58.388
2020-12-20,58.388
2020-12-21,58.729
2020-12-22,59.2281
2020-12-23,61.5413
2020-12-24,62.0315
2020-12-25,62.0315
2020-12-26,62.0315
2020-12-27,62.0315
2020-12-28,63.4427
2020-12-29,62.4142
2020-12-30,63.2625
2020-12-31,63.6996
2021-01-01,63.6996
2021-01-02,63.6996
2021-01-03,63.6996
2021-01-04,58.5382
2021-01-05,59.5618
2021-01-06,62.4985
2021-01-07,61.5313
2021-01-08,61.6307
2021-01-09,61.6307
2021-01-10,61.6307
2021-01-11,59.0213
2021-01-12,61.6428
2021-01-13,64.2813
2021-01-14,60.3652
2021-01-15,58.4162
2021-01-16,58.4162
2021-01-17,58.4162
2021-01-18,58.4162
2021-01-19,58.6149
2021-01-20,59.319
2021-01-21,59.3654
2021-01-22,56.4715
2021-01-23,56.4715
2021-01-24,56.4715
2021-01-25,55.365
2021-01-26,52.8488
2021-01-27,52.0374
2021-01-28,55.3209
2021-01-29,53.6896
2021-01-30,53.6896
2021-01-31,53.6896
2021-02-01,55.8563
2021-02-02,56.4084
2021-02-03,55.5612
2021-02-04,57.6642
2021-02-05,58.9776
2021-02-06,58.9776
2021-02-07,58.9776
2021-02-08,60.2622
2021-02-09,55.147
2021-02-10,57.6598
2021-02-11,58.3243
2021-02-12,60.3095
2021-02-13,60.3095
2021-02-14,60.3095
2021-02-15,60.3095
2021-02-16,60.4378
2021-02-17,59.97
2021-02-18,60.5298
2021-02-19,62.2981
2021-02-20,62.2981
2021-02-21,62.2981
2021-02-22,64.2595
2021-02-23,65.5825
2021-02-24,66.1692
2021-02-25,59.236
2021-02-26,60.5903
2021-02-27,60.5903
2021-02-28,60.5903
2021-03-01,63.4729
2021-03-02,60.0411
2021-03-03,61.7685
2021-03-04,60.1798
2021-03-05,61.099
2021-03-06,61.099
2021-03-07,61.099
2021-03-08,61.4088
2021-03-09,61.7084
2021-03-10,63.0743
2021-03-11,63.2525
2021-03-12,61.9744
2021-03-13,61.9744
2021-03-14,61.9744
2021-03-15,64.5122
2021-03-16,62.6232
2021-03-17,63.0488
2021-03-18,59.4803
2021-03-19,57.9384
2021-03-20,57.9384
2021-03-21,57.9384
2021-03-22,55.5889
2021-03-23,53.5039
2021-03-24,54.2604
2021-03-25,54.9601
2021-03-26,55.7383
2021-03-27,55.7383
2021-03-28,55.7383
2021-03-29,53.2856
2021-03-30,54.6194
2021-03-31,53.7128
2021-04-01,55.0729
2021-04-02,55.0729
2021-04-03,55.0729
2021-04-04,55.0729
2021-04-05,53.8752
2021-04-06,52.7491
2021-04-07,53.4739
2021-04-08,53.6933
2021-04-09,52.2039
2021-04-10,52.2039
2021-04-11,52.2039
2021-04-12,53.2585
2021-04-13,51.3352
2021-04-14,51.4314
2021-04-15,52.5228
2021-04-16,53.7881
2021-04-17,53.7881
2021-04-18,53.7881
2021-04-19,53.9079
2021-04-20,49.941
2021-04-21,52.3082
2021-04-22,51.2177
2021-04-23,50.7228
2021-04-24,50.7228
2021-04-25,50.7228
2021-04-26,52.1085
2021-04-27,52.4979
2021-04-28,51.6983
2021-04-29,54.4792
2021-04-30,53.9845
2021-05-01,53.9845
2021-05-02,53.9845
2021-05-03,57.2005
2021-05-04,50.1139
2021-05-05,49.3413
2021-05-06,49.6502
2021-05-07,53.5631
2021-05-08,53.5631
2021-05-09,53.5631
2021-05-10,50.684
2021-05-11,50.2577
2021-05-12,44.7618
2021-05-13,47.4865
2021-05-14,50.4183
2021-05-15,50.4183
2021-05-16,50.4183
2021-05-17,48.6593
2021-05-18,46.2869
2021-05-19,45.0652
2021-05-20,44.3425
2021-05-21,44.8062
2021-05-22,44.8062
2021-05-23,44.8062
2021-05-24,46.9631
2021-05-25,48.0139
2021-05-26,50.7773
2021-05-27,50.6007
2021-05-28,49.8493
2021-05-29,49.8493
2021-05-30,49.8493
2021-05-31,49.8493
2021-06-01,53.0665
2021-06-02,52.2661
2021-06-03,49.9613
2021-06-04,49.2563
2021-06-05,49.2563
2021-06-06,49.2563
2021-06-07,51.2039
2021-06-08,54.6792
2021-06-09,53.7996
2021-06-10,53.0232
2021-06-11,55.6705
2021-06-12,55.6705
2021-06-13,55.6705
2021-06-14,55.6582
2021-06-15,57.7796
2021-06-16,58.0251
2021-06-17,57.718
2021-06-18,55.9723
2021-06-19,55.9723
2021-06-20,55.9723
2021-06-21,57.0294
2021-06-22,56.4576
2021-06-23,55.8235
2021-06-24,57.5807
2021-06-25,57.7714
2021-06-26,57.7714
2021-06-27,57.7714
2021-06-28,52.3841
2021-06-29,50.9155
2021-06-30,51.3424
2021-07-01,49.9444
2021-07-02,48.7431
2021-07-03,48.7431
2021-07-04,48.7431
2021-07-05,48.7431
2021-07-06,46.3874
2021-07-07,46.9444
2021-07-08,46.0604
2021-07-09,50.3901
2021-07-10,50.3901
2021-07-11,50.3901
2021-07-12,53.5579
2021-07-13,50.6143
2021-07-14,51.4994
2021-07-15,51.6259
2021-07-16,50.779
2021-07-17,50.779
2021-07-18,50.779
2021-07-19,46.6251
2021-07-20,49.0294
2021-07-21,55.1244
2021-07-22,53.5373
2021-07-23,51.4959
2021-07-24,51.4959
2021-07-25,51.4959
2021-07-26,50.4103
2021-07-27,49.1268
2021-07-28,48.9244
2021-07-29,49.5802
2021-07-30,48.6008
2021-07-31,48.6008
2021-08-01,48.6008
2021-08-02,47.7688
2021-08-03,48.9737
2021-08-04,46.1645
2021-08-05,50.411
2021-08-06,51.0835
2021-08-07,51.0835
2021-08-08,51.0835
2021-08-09,47.7553
2021-08-10,49.1247
2021-08-11,52.31
2021-08-12,52.5635
2021-08-13,52.2646
2021-08-14,52.2646
2021-08-15,52.2646
2021-08-16,50.3837
2021-08-17,47.2195
2021-08-18,45.8261
2021-08-19,44.7356
2021-08-20,47.8033
2021-08-21,47.8033
2021-08-22,47.8033
2021-08-23,48.7364
2021-08-24,51.5925
2021-08-25,52.5317
