,UNM US Equity
,RSI_30D
2020-01-01,51.9704
2020-01-02,54.2599
2020-01-03,51.2086
2020-01-04,51.2086
2020-01-05,51.2086
2020-01-06,49.3762
2020-01-07,49.2284
2020-01-08,50.5052
2020-01-09,50.2959
2020-01-10,49.4999
2020-01-11,49.4999
2020-01-12,49.4999
2020-01-13,51.1526
2020-01-14,50.1664
2020-01-15,48.6569
2020-01-16,51.7165
2020-01-17,52.8884
2020-01-18,52.8884
2020-01-19,52.8884
2020-01-20,52.8884
2020-01-21,49.9442
2020-01-22,49.1063
2020-01-23,49.1063
2020-01-24,46.1543
2020-01-25,46.1543
2020-01-26,46.1543
2020-01-27,41.4105
2020-01-28,43.082
2020-01-29,44.2173
2020-01-30,45.3846
2020-01-31,41.972
2020-02-01,41.972
2020-02-02,41.972
2020-02-03,43.8989
2020-02-04,47.206
2020-02-05,57.8253
2020-02-06,54.461
2020-02-07,54.497
2020-02-08,54.497
2020-02-09,54.497
2020-02-10,54.0107
2020-02-11,55.1401
2020-02-12,57.1019
2020-02-13,57.0541
2020-02-14,56.2264
2020-02-15,56.2264
2020-02-16,56.2264
2020-02-17,56.2264
2020-02-18,54.4015
2020-02-19,54.6818
2020-02-20,56.3473
2020-02-21,55.5925
2020-02-22,55.5925
2020-02-23,55.5925
2020-02-24,45.5718
2020-02-25,39.425
2020-02-26,38.507
2020-02-27,35.1683
2020-02-28,33.7887
2020-02-29,33.7887
2020-03-01,33.7887
2020-03-02,40.6225
2020-03-03,35.6693
2020-03-04,36.803
2020-03-05,33.7638
2020-03-06,32.2302
2020-03-07,32.2302
2020-03-08,32.2302
2020-03-09,27.1433
2020-03-10,31.2677
2020-03-11,29.975
2020-03-12,25.4883
2020-03-13,30.8044
2020-03-14,30.8044
2020-03-15,30.8044
2020-03-16,27.5922
2020-03-17,30.034
2020-03-18,28.3931
2020-03-19,27.4656
2020-03-20,27.2215
2020-03-21,27.2215
2020-03-22,27.2215
2020-03-23,27.0493
2020-03-24,33.6124
2020-03-25,36.9149
2020-03-26,39.4603
2020-03-27,39.6417
2020-03-28,39.6417
2020-03-29,39.6417
2020-03-30,39.6008
2020-03-31,38.332
2020-04-01,35.8891
2020-04-02,35.7165
2020-04-03,36.8388
2020-04-04,36.8388
2020-04-05,36.8388
2020-04-06,38.5479
2020-04-07,38.5338
2020-04-08,40.7394
2020-04-09,41.5502
2020-04-10,41.5502
2020-04-11,41.5502
2020-04-12,41.5502
2020-04-13,41.9279
2020-04-14,43.2882
2020-04-15,41.0076
2020-04-16,40.3171
2020-04-17,42.5682
2020-04-18,42.5682
2020-04-19,42.5682
2020-04-20,41.9727
2020-04-21,40.7283
2020-04-22,41.2968
2020-04-23,41.7783
2020-04-24,43.7372
2020-04-25,43.7372
2020-04-26,43.7372
2020-04-27,45.7769
2020-04-28,47.6282
2020-04-29,49.7907
2020-04-30,48.5667
2020-05-01,46.6562
2020-05-02,46.6562
2020-05-03,46.6562
2020-05-04,47.7748
2020-05-05,44.2786
2020-05-06,42.5444
2020-05-07,43.8445
2020-05-08,45.5736
2020-05-09,45.5736
2020-05-10,45.5736
2020-05-11,44.2747
2020-05-12,43.7951
2020-05-13,41.9508
2020-05-14,42.6368
2020-05-15,43.0347
2020-05-16,43.0347
2020-05-17,43.0347
2020-05-18,45.7827
2020-05-19,44.5242
2020-05-20,44.9158
2020-05-21,45.976
2020-05-22,45.2428
2020-05-23,45.2428
2020-05-24,45.2428
2020-05-25,45.2428
2020-05-26,48.1047
2020-05-27,49.6857
2020-05-28,48.2543
2020-05-29,46.5841
2020-05-30,46.5841
2020-05-31,46.5841
2020-06-01,48.7528
2020-06-02,47.8473
2020-06-03,50.6457
2020-06-04,51.9677
2020-06-05,54.31
2020-06-06,54.31
2020-06-07,54.31
2020-06-08,57.4972
2020-06-09,55.6005
2020-06-10,52.6738
2020-06-11,48.3228
2020-06-12,50.3628
2020-06-13,50.3628
2020-06-14,50.3628
2020-06-15,50.6024
2020-06-16,51.3317
2020-06-17,50.1821
2020-06-18,50.4373
2020-06-19,49.009
2020-06-20,49.009
2020-06-21,49.009
2020-06-22,48.8572
2020-06-23,48.8806
2020-06-24,46.8622
2020-06-25,48.8779
2020-06-26,47.0534
2020-06-27,47.0534
2020-06-28,47.0534
2020-06-29,48.4212
2020-06-30,49.6027
2020-07-01,48.032
2020-07-02,48.5208
2020-07-03,48.5208
2020-07-04,48.5208
2020-07-05,48.5208
2020-07-06,50.4028
2020-07-07,48.657
2020-07-08,49.4163
2020-07-09,47.1589
2020-07-10,49.5433
2020-07-11,49.5433
2020-07-12,49.5433
2020-07-13,50.2142
2020-07-14,50.6024
2020-07-15,52.2166
2020-07-16,52.2648
2020-07-17,52.0206
2020-07-18,52.0206
2020-07-19,52.0206
2020-07-20,50.927
2020-07-21,52.7262
2020-07-22,52.9302
2020-07-23,53.9832
2020-07-24,53.53
2020-07-25,53.53
2020-07-26,53.53
2020-07-27,53.4372
2020-07-28,52.5882
2020-07-29,53.6049
2020-07-30,51.2163
2020-07-31,51.4267
