,BANR US Equity
,RSI_30D
2020-01-01,52.7781
2020-01-02,53.2743
2020-01-03,53.4009
2020-01-04,53.4009
2020-01-05,53.4009
2020-01-06,51.7682
2020-01-07,50.2494
2020-01-08,49.8524
2020-01-09,51.335
2020-01-10,49.4891
2020-01-11,49.4891
2020-01-12,49.4891
2020-01-13,49.9729
2020-01-14,50.0871
2020-01-15,49.5414
2020-01-16,51.9401
2020-01-17,51.6533
2020-01-18,51.6533
2020-01-19,51.6533
2020-01-20,51.6533
2020-01-21,48.2662
2020-01-22,47.5536
2020-01-23,49.0685
2020-01-24,44.3415
2020-01-25,44.3415
2020-01-26,44.3415
2020-01-27,40.7426
2020-01-28,42.154
2020-01-29,41.4334
2020-01-30,42.242
2020-01-31,40.8895
2020-02-01,40.8895
2020-02-02,40.8895
2020-02-03,45.4098
2020-02-04,48.2742
2020-02-05,53.3989
2020-02-06,54.5922
2020-02-07,51.8455
2020-02-08,51.8455
2020-02-09,51.8455
2020-02-10,50.1488
2020-02-11,50.7896
2020-02-12,52.0333
2020-02-13,52.886
2020-02-14,51.0433
2020-02-15,51.0433
2020-02-16,51.0433
2020-02-17,51.0433
2020-02-18,47.3707
2020-02-19,46.7601
2020-02-20,48.9062
2020-02-21,46.9783
2020-02-22,46.9783
2020-02-23,46.9783
2020-02-24,43.5947
2020-02-25,40.2643
2020-02-26,38.4547
2020-02-27,34.7288
2020-02-28,30.71
2020-02-29,30.71
2020-03-01,30.71
2020-03-02,36.6774
2020-03-03,34.7053
2020-03-04,36.8774
2020-03-05,33.2276
2020-03-06,32.1812
2020-03-07,32.1812
2020-03-08,32.1812
2020-03-09,25.1156
2020-03-10,28.3012
2020-03-11,25.5651
2020-03-12,23.1438
2020-03-13,29.8247
2020-03-14,29.8247
2020-03-15,29.8247
2020-03-16,26.4665
2020-03-17,36.1991
2020-03-18,33.5074
2020-03-19,33.8265
2020-03-20,31.1329
2020-03-21,31.1329
2020-03-22,31.1329
2020-03-23,29.2563
2020-03-24,34.9363
2020-03-25,34.871
2020-03-26,38.618
2020-03-27,37.8797
2020-03-28,37.8797
2020-03-29,37.8797
2020-03-30,37.8636
2020-03-31,37.7391
2020-04-01,36.4739
2020-04-02,36.375
2020-04-03,34.1621
2020-04-04,34.1621
2020-04-05,34.1621
2020-04-06,40.9987
2020-04-07,40.2183
2020-04-08,41.3975
2020-04-09,45.6877
2020-04-10,45.6877
2020-04-11,45.6877
2020-04-12,45.6877
2020-04-13,43.0096
2020-04-14,43.0329
2020-04-15,41.1
2020-04-16,40.3899
2020-04-17,43.2632
2020-04-18,43.2632
2020-04-19,43.2632
2020-04-20,43.0019
2020-04-21,42.4803
2020-04-22,41.709
2020-04-23,42.9214
2020-04-24,43.6616
2020-04-25,43.6616
2020-04-26,43.6616
2020-04-27,46.7293
2020-04-28,48.2853
2020-04-29,52.4449
2020-04-30,49.8793
2020-05-01,48.5677
2020-05-02,48.5677
2020-05-03,48.5677
2020-05-04,47.4349
2020-05-05,46.3467
2020-05-06,44.941
2020-05-07,45.2533
2020-05-08,47.9549
2020-05-09,47.9549
2020-05-10,47.9549
2020-05-11,46.5899
2020-05-12,43.9341
2020-05-13,41.8227
2020-05-14,42.182
2020-05-15,42.4483
2020-05-16,42.4483
2020-05-17,42.4483
2020-05-18,46.6369
2020-05-19,44.7666
2020-05-20,47.8538
2020-05-21,47.5329
2020-05-22,46.8522
2020-05-23,46.8522
2020-05-24,46.8522
2020-05-25,46.8522
2020-05-26,49.8672
2020-05-27,53.3591
2020-05-28,51.7682
2020-05-29,51.0448
2020-05-30,51.0448
2020-05-31,51.0448
2020-06-01,50.8825
2020-06-02,50.4512
2020-06-03,52.6243
2020-06-04,53.2687
2020-06-05,56.7982
2020-06-06,56.7982
2020-06-07,56.7982
2020-06-08,57.4265
2020-06-09,56.6062
2020-06-10,53.5896
2020-06-11,48.8117
2020-06-12,50.201
2020-06-13,50.201
2020-06-14,50.201
2020-06-15,50.748
2020-06-16,52.4798
2020-06-17,50.617
2020-06-18,50.9832
2020-06-19,50.4195
2020-06-20,50.4195
2020-06-21,50.4195
2020-06-22,50.2393
2020-06-23,48.5664
2020-06-24,46.277
2020-06-25,48.2919
2020-06-26,47.0327
2020-06-27,47.0327
2020-06-28,47.0327
2020-06-29,49.9177
2020-06-30,50.657
2020-07-01,49.0474
2020-07-02,48.4174
2020-07-03,48.4174
2020-07-04,48.4174
2020-07-05,48.4174
2020-07-06,48.2599
2020-07-07,47.3049
2020-07-08,46.8595
2020-07-09,44.9294
2020-07-10,47.1423
2020-07-11,47.1423
2020-07-12,47.1423
2020-07-13,47.8858
2020-07-14,47.0478
2020-07-15,49.9811
2020-07-16,50.006
2020-07-17,48.3013
2020-07-18,48.3013
2020-07-19,48.3013
2020-07-20,47.172
2020-07-21,50.1291
2020-07-22,49.1553
2020-07-23,51.1199
2020-07-24,50.1308
2020-07-25,50.1308
2020-07-26,50.1308
2020-07-27,48.8237
2020-07-28,48.7471
2020-07-29,49.8592
2020-07-30,48.8169
2020-07-31,48.4275
2020-08-01,48.4275
2020-08-02,48.4275
2020-08-03,48.9274
2020-08-04,48.5835
2020-08-05,50.2853
2020-08-06,49.5792
2020-08-07,51.813
2020-08-08,51.813
2020-08-09,51.813
2020-08-10,52.5381
2020-08-11,53.4511
2020-08-12,53.1489
2020-08-13,51.2989
2020-08-14,52.1068
2020-08-15,52.1068
2020-08-16,52.1068
2020-08-17,51.0125
2020-08-18,48.8882
2020-08-19,49.3415
2020-08-20,47.8933
2020-08-21,47.2406
2020-08-22,47.2406
2020-08-23,47.2406
2020-08-24,49.6839
2020-08-25,50.5334
2020-08-26,49.1764
2020-08-27,51.1517
2020-08-28,50.8318
2020-08-29,50.8318
2020-08-30,50.8318
2020-08-31,49.7238
2020-09-01,50.0328
2020-09-02,50.3114
2020-09-03,49.5303
2020-09-04,50.1937
2020-09-05,50.1937
2020-09-06,50.1937
2020-09-07,50.1937
2020-09-08,46.9808
2020-09-09,45.6893
2020-09-10,44.9537
2020-09-11,45.0627
2020-09-12,45.0627
2020-09-13,45.0627
2020-09-14,46.0781
2020-09-15,45.0116
2020-09-16,45.6508
2020-09-17,44.5413
2020-09-18,45.9928
2020-09-19,45.9928
2020-09-20,45.9928
2020-09-21,42.0956
2020-09-22,41.9222
2020-09-23,40.2587
2020-09-24,41.714
2020-09-25,42.2322
2020-09-26,42.2322
2020-09-27,42.2322
2020-09-28,45.2074
2020-09-29,44.6511
2020-09-30,44.5143
2020-10-01,44.9381
2020-10-02,47.2196
2020-10-03,47.2196
2020-10-04,47.2196
2020-10-05,50.654
2020-10-06,51.5821
2020-10-07,53.3143
2020-10-08,54.405
2020-10-09,52.444
2020-10-10,52.444
2020-10-11,52.444
2020-10-12,54.7681
2020-10-13,51.4748
2020-10-14,50.422
2020-10-15,51.9881
2020-10-16,52.2831
2020-10-17,52.2831
2020-10-18,52.2831
2020-10-19,52.7125
2020-10-20,54.3691
2020-10-21,55.866
2020-10-22,58.2898
2020-10-23,58.6469
2020-10-24,58.6469
2020-10-25,58.6469
2020-10-26,58.7239
2020-10-27,54.6714
2020-10-28,50.8526
2020-10-29,52.1752
2020-10-30,52.7899
2020-10-31,52.7899
2020-11-01,52.7899
2020-11-02,55.4154
2020-11-03,58.0385
2020-11-04,50.9984
2020-11-05,52.9235
2020-11-06,51.1898
2020-11-07,51.1898
2020-11-08,51.1898
2020-11-09,61.2965
2020-11-10,65.0665
2020-11-11,61.3746
2020-11-12,59.1878
2020-11-13,59.8208
2020-11-14,59.8208
2020-11-15,59.8208
2020-11-16,62.919
2020-11-17,61.829
2020-11-18,59.2859
2020-11-19,59.1308
2020-11-20,57.8096
2020-11-21,57.8096
2020-11-22,57.8096
2020-11-23,58.3667
2020-11-24,60.9376
2020-11-25,59.6612
2020-11-26,59.6612
2020-11-27,57.6724
2020-11-28,57.6724
2020-11-29,57.6724
2020-11-30,53.5083
2020-12-01,55.4275
2020-12-02,55.8253
2020-12-03,57.6782
2020-12-04,59.1144
2020-12-05,59.1144
2020-12-06,59.1144
2020-12-07,58.9405
2020-12-08,58.655
2020-12-09,58.3625
2020-12-10,58.814
2020-12-11,56.9901
2020-12-12,56.9901
2020-12-13,56.9901
2020-12-14,58.0447
2020-12-15,58.9623
2020-12-16,58.4295
2020-12-17,57.6118
2020-12-18,54.9164
2020-12-19,54.9164
2020-12-20,54.9164
2020-12-21,55.8842
2020-12-22,54.8024
2020-12-23,56.6917
2020-12-24,57.0871
2020-12-25,57.0871
2020-12-26,57.0871
2020-12-27,57.0871
2020-12-28,58.0474
2020-12-29,56.01
2020-12-30,57.2182
2020-12-31,58.0691
2021-01-01,58.0691
2021-01-02,58.0691
2021-01-03,58.0691
2021-01-04,57.0657
2021-01-05,57.6774
2021-01-06,64.1438
2021-01-07,64.8605
2021-01-08,61.9568
2021-01-09,61.9568
2021-01-10,61.9568
2021-01-11,62.8919
2021-01-12,64.0769
2021-01-13,61.3332
2021-01-14,63.0577
2021-01-15,61.1028
2021-01-16,61.1028
2021-01-17,61.1028
2021-01-18,61.1028
2021-01-19,61.6976
