,WAL US Equity
,RSI_30D
2020-01-01,71.9109
2020-01-02,73.6015
2020-01-03,70.2204
2020-01-04,70.2204
2020-01-05,70.2204
2020-01-06,68.2628
2020-01-07,66.7772
2020-01-08,69.0002
2020-01-09,69.4429
2020-01-10,66.7581
2020-01-11,66.7581
2020-01-12,66.7581
2020-01-13,67.7837
2020-01-14,67.9671
2020-01-15,65.0122
2020-01-16,66.6245
2020-01-17,67.7637
2020-01-18,67.7637
2020-01-19,67.7637
2020-01-20,67.7637
2020-01-21,63.1001
2020-01-22,63.4471
2020-01-23,64.5673
2020-01-24,63.7895
2020-01-25,63.7895
2020-01-26,63.7895
2020-01-27,58.8512
2020-01-28,60.3902
2020-01-29,57.6152
2020-01-30,58.7092
2020-01-31,52.633
2020-02-01,52.633
2020-02-02,52.633
2020-02-03,55.0554
2020-02-04,58.4423
2020-02-05,61.3005
2020-02-06,58.3411
2020-02-07,55.4633
2020-02-08,55.4633
2020-02-09,55.4633
2020-02-10,54.3879
2020-02-11,56.4452
2020-02-12,58.8144
2020-02-13,60.2377
2020-02-14,59.9744
2020-02-15,59.9744
2020-02-16,59.9744
2020-02-17,59.9744
2020-02-18,56.0971
2020-02-19,57.1157
2020-02-20,58.8068
2020-02-21,51.587
2020-02-22,51.587
2020-02-23,51.587
2020-02-24,44.978
2020-02-25,40.1149
2020-02-26,38.6319
2020-02-27,34.8476
2020-02-28,32.2475
2020-02-29,32.2475
2020-03-01,32.2475
2020-03-02,36.1523
2020-03-03,32.5398
2020-03-04,32.1703
2020-03-05,30.0962
2020-03-06,26.9142
2020-03-07,26.9142
2020-03-08,26.9142
2020-03-09,21.6965
2020-03-10,26.6097
2020-03-11,24.7311
2020-03-12,22.8274
2020-03-13,27.6649
2020-03-14,27.6649
2020-03-15,27.6649
2020-03-16,23.4618
2020-03-17,25.1194
2020-03-18,23.2398
2020-03-19,30.9932
2020-03-20,30.3457
2020-03-21,30.3457
2020-03-22,30.3457
2020-03-23,30.0183
2020-03-24,33.7043
2020-03-25,34.3031
2020-03-26,38.8725
2020-03-27,37.5081
2020-03-28,37.5081
2020-03-29,37.5081
2020-03-30,37.4111
2020-03-31,37.4497
2020-04-01,36.2464
2020-04-02,37.1173
2020-04-03,36.4516
2020-04-04,36.4516
2020-04-05,36.4516
2020-04-06,37.959
2020-04-07,40.6973
2020-04-08,41.7635
2020-04-09,44.5233
2020-04-10,44.5233
2020-04-11,44.5233
2020-04-12,44.5233
2020-04-13,42.0006
2020-04-14,41.2625
2020-04-15,39.6391
2020-04-16,38.1607
2020-04-17,42.0661
2020-04-18,42.0661
2020-04-19,42.0661
2020-04-20,43.2347
2020-04-21,42.2628
2020-04-22,40.6944
2020-04-23,42.134
2020-04-24,42.1841
2020-04-25,42.1841
2020-04-26,42.1841
2020-04-27,46.4387
2020-04-28,47.924
2020-04-29,49.9947
2020-04-30,48.7212
2020-05-01,46.4537
2020-05-02,46.4537
2020-05-03,46.4537
2020-05-04,46.345
2020-05-05,45.3382
2020-05-06,44.9581
2020-05-07,45.7384
2020-05-08,47.7337
2020-05-09,47.7337
2020-05-10,47.7337
2020-05-11,46.0462
2020-05-12,43.4418
2020-05-13,41.9447
2020-05-14,43.0085
2020-05-15,43.0874
2020-05-16,43.0874
2020-05-17,43.0874
2020-05-18,48.3313
2020-05-19,45.9507
2020-05-20,48.0148
2020-05-21,48.2306
2020-05-22,47.7022
2020-05-23,47.7022
2020-05-24,47.7022
2020-05-25,47.7022
2020-05-26,51.9177
2020-05-27,55.9496
2020-05-28,54.2307
2020-05-29,53.131
2020-05-30,53.131
2020-05-31,53.131
2020-06-01,53.1607
2020-06-02,52.6875
2020-06-03,55.3454
2020-06-04,57.6664
2020-06-05,59.5208
2020-06-06,59.5208
2020-06-07,59.5208
2020-06-08,60.8533
2020-06-09,58.1905
2020-06-10,54.6793
2020-06-11,49.9559
2020-06-12,51.8108
2020-06-13,51.8108
2020-06-14,51.8108
2020-06-15,51.8008
2020-06-16,54.0446
2020-06-17,52.089
2020-06-18,52.1546
2020-06-19,51.4875
2020-06-20,51.4875
2020-06-21,51.4875
2020-06-22,51.6673
2020-06-23,51.3174
2020-06-24,48.796
2020-06-25,50.758
2020-06-26,48.5028
2020-06-27,48.5028
2020-06-28,48.5028
2020-06-29,49.2128
2020-06-30,50.5485
2020-07-01,48.2988
2020-07-02,47.8867
2020-07-03,47.8867
2020-07-04,47.8867
2020-07-05,47.8867
2020-07-06,48.7685
2020-07-07,47.4171
2020-07-08,47.7825
2020-07-09,46.032
2020-07-10,47.7115
2020-07-11,47.7115
2020-07-12,47.7115
2020-07-13,48.0125
2020-07-14,46.9828
2020-07-15,50.3362
2020-07-16,49.8124
2020-07-17,49.434
2020-07-18,49.434
2020-07-19,49.434
2020-07-20,49.0485
2020-07-21,51.2366
2020-07-22,50.4558
2020-07-23,51.9938
2020-07-24,51.6254
2020-07-25,51.6254
2020-07-26,51.6254
2020-07-27,49.5999
2020-07-28,49.0637
2020-07-29,50.2686
2020-07-30,49.4704
2020-07-31,48.8552
2020-08-01,48.8552
2020-08-02,48.8552
2020-08-03,48.5429
2020-08-04,47.9911
2020-08-05,49.4476
2020-08-06,48.7132
2020-08-07,51.0154
2020-08-08,51.0154
2020-08-09,51.0154
2020-08-10,53.1225
2020-08-11,54.3206
2020-08-12,53.4786
2020-08-13,52.2069
2020-08-14,52.6726
2020-08-15,52.6726
2020-08-16,52.6726
2020-08-17,51.7115
2020-08-18,49.3587
2020-08-19,49.3747
2020-08-20,47.7222
2020-08-21,47.7393
2020-08-22,47.7393
2020-08-23,47.7393
2020-08-24,50.7973
2020-08-25,50.4323
2020-08-26,48.3259
2020-08-27,50.1943
2020-08-28,49.3699
2020-08-29,49.3699
2020-08-30,49.3699
2020-08-31,47.7161
2020-09-01,48.4862
2020-09-02,49.4145
2020-09-03,49.3451
2020-09-04,51.258
2020-09-05,51.258
2020-09-06,51.258
2020-09-07,51.258
2020-09-08,47.5434
2020-09-09,46.7005
2020-09-10,45.7802
2020-09-11,46.3937
2020-09-12,46.3937
2020-09-13,46.3937
2020-09-14,47.4886
2020-09-15,45.939
2020-09-16,46.8266
2020-09-17,46.7208
2020-09-18,45.7233
2020-09-19,45.7233
2020-09-20,45.7233
2020-09-21,43.1212
2020-09-22,41.8804
2020-09-23,41.0706
2020-09-24,40.6876
2020-09-25,41.9476
2020-09-26,41.9476
2020-09-27,41.9476
2020-09-28,44.6292
2020-09-29,43.2906
2020-09-30,43.0133
2020-10-01,43.7127
2020-10-02,46.2815
2020-10-03,46.2815
2020-10-04,46.2815
2020-10-05,49.29
2020-10-06,50.1444
2020-10-07,53.6452
2020-10-08,54.6232
2020-10-09,55.1668
2020-10-10,55.1668
2020-10-11,55.1668
2020-10-12,55.388
2020-10-13,54.6444
2020-10-14,53.9652
2020-10-15,54.6884
2020-10-16,54.8718
2020-10-17,54.8718
2020-10-18,54.8718
2020-10-19,53.649
2020-10-20,56.2234
2020-10-21,57.2261
2020-10-22,60.306
2020-10-23,63.1036
2020-10-24,63.1036
2020-10-25,63.1036
2020-10-26,61.6494
2020-10-27,56.1712
2020-10-28,54.6529
2020-10-29,57.6809
2020-10-30,58.9678
2020-10-31,58.9678
2020-11-01,58.9678
2020-11-02,61.2513
2020-11-03,62.3924
2020-11-04,55.7707
2020-11-05,59.3256
2020-11-06,57.4504
2020-11-07,57.4504
2020-11-08,57.4504
2020-11-09,68.2643
2020-11-10,68.9729
