,D US Equity
,RSI_30D
2020-01-01,56.2324
2020-01-02,52.4368
2020-01-03,51.5989
2020-01-04,51.5989
2020-01-05,51.5989
2020-01-06,53.9944
2020-01-07,53.216
2020-01-08,51.0178
2020-01-09,51.9264
2020-01-10,52.5206
2020-01-11,52.5206
2020-01-12,52.5206
2020-01-13,52.4312
2020-01-14,51.9737
2020-01-15,56.0955
2020-01-16,57.9617
2020-01-17,59.7974
2020-01-18,59.7974
2020-01-19,59.7974
2020-01-20,59.7974
2020-01-21,59.6976
2020-01-22,57.994
2020-01-23,59.3357
2020-01-24,58.9767
2020-01-25,58.9767
2020-01-26,58.9767
2020-01-27,55.5967
2020-01-28,59.8023
2020-01-29,62.4684
2020-01-30,65.4393
2020-01-31,62.0371
2020-02-01,62.0371
2020-02-02,62.0371
2020-02-03,62.2872
2020-02-04,56.784
2020-02-05,57.8671
2020-02-06,58.903
2020-02-07,56.9977
2020-02-08,56.9977
2020-02-09,56.9977
2020-02-10,56.0999
2020-02-11,58.057
2020-02-12,59.7087
2020-02-13,61.0133
2020-02-14,64.1942
2020-02-15,64.1942
2020-02-16,64.1942
2020-02-17,64.1942
2020-02-18,67.6011
2020-02-19,62.9536
2020-02-20,65.9489
2020-02-21,66.2094
2020-02-22,66.2094
2020-02-23,66.2094
2020-02-24,67.0521
2020-02-25,59.6835
2020-02-26,56.4282
2020-02-27,44.9823
2020-02-28,39.3559
2020-02-29,39.3559
2020-03-01,39.3559
2020-03-02,51.5018
2020-03-03,50.1173
2020-03-04,58.3062
2020-03-05,55.2191
2020-03-06,54.4653
2020-03-07,54.4653
2020-03-08,54.4653
2020-03-09,46.8982
2020-03-10,49.455
2020-03-11,44.4526
2020-03-12,37.4426
2020-03-13,45.5569
2020-03-14,45.5569
2020-03-15,45.5569
2020-03-16,38.4343
2020-03-17,48.6301
2020-03-18,48.4757
2020-03-19,43.0669
2020-03-20,40.4937
2020-03-21,40.4937
2020-03-22,40.4937
2020-03-23,36.6615
2020-03-24,41.2727
2020-03-25,42.4258
2020-03-26,45.7885
2020-03-27,46.1901
2020-03-28,46.1901
2020-03-29,46.1901
2020-03-30,48.5318
2020-03-31,45.9751
2020-04-01,44.7813
2020-04-02,45.5131
2020-04-03,44.6943
2020-04-04,44.6943
2020-04-05,44.6943
2020-04-06,47.6372
2020-04-07,47.255
2020-04-08,50.2036
2020-04-09,52.1544
2020-04-10,52.1544
2020-04-11,52.1544
2020-04-12,52.1544
2020-04-13,50.8936
2020-04-14,52.3344
2020-04-15,50.9495
2020-04-16,49.8959
2020-04-17,51.9516
2020-04-18,51.9516
2020-04-19,51.9516
2020-04-20,50.4575
2020-04-21,48.9408
2020-04-22,50.2586
2020-04-23,49.1316
2020-04-24,49.7746
2020-04-25,49.7746
2020-04-26,49.7746
2020-04-27,50.1618
2020-04-28,50.6537
2020-04-29,50.2433
2020-04-30,49.1852
2020-05-01,48.1499
2020-05-02,48.1499
2020-05-03,48.1499
2020-05-04,48.2906
2020-05-05,49.876
2020-05-06,49.7213
2020-05-07,50.004
2020-05-08,50.2387
2020-05-09,50.2387
2020-05-10,50.2387
2020-05-11,50.9063
2020-05-12,50.6635
2020-05-13,50.7138
2020-05-14,51.2452
2020-05-15,49.9776
2020-05-16,49.9776
2020-05-17,49.9776
2020-05-18,51.4148
2020-05-19,50.476
2020-05-20,50.4013
2020-05-21,50.2571
2020-05-22,52.0638
2020-05-23,52.0638
2020-05-24,52.0638
2020-05-25,52.0638
2020-05-26,52.3543
2020-05-27,53.057
2020-05-28,55.0405
2020-05-29,56.2121
