,PNM US Equity
,RSI_30D
2020-01-01,49.1348
2020-01-02,44.8154
2020-01-03,45.6393
2020-01-04,45.6393
2020-01-05,45.6393
2020-01-06,45.1877
2020-01-07,42.9875
2020-01-08,42.1764
2020-01-09,41.9037
2020-01-10,45.9807
2020-01-11,45.9807
2020-01-12,45.9807
2020-01-13,48.2171
2020-01-14,48.2171
2020-01-15,52.6781
2020-01-16,52.7202
2020-01-17,53.5334
2020-01-18,53.5334
2020-01-19,53.5334
2020-01-20,53.5334
2020-01-21,55.6118
2020-01-22,57.3864
2020-01-23,59.4723
2020-01-24,61.3923
2020-01-25,61.3923
2020-01-26,61.3923
2020-01-27,62.3649
2020-01-28,64.2597
2020-01-29,65.1218
2020-01-30,66.3223
2020-01-31,63.6856
2020-02-01,63.6856
2020-02-02,63.6856
2020-02-03,64.5985
2020-02-04,62.6327
2020-02-05,63.7415
2020-02-06,64.2896
2020-02-07,63.1853
2020-02-08,63.1853
2020-02-09,63.1853
2020-02-10,62.9498
2020-02-11,65.2289
2020-02-12,65.107
2020-02-13,67.1989
2020-02-14,67.2297
2020-02-15,67.2297
2020-02-16,67.2297
2020-02-17,67.2297
2020-02-18,67.2615
2020-02-19,62.6113
2020-02-20,61.3077
2020-02-21,59.4454
2020-02-22,59.4454
2020-02-23,59.4454
2020-02-24,58.021
2020-02-25,52.036
2020-02-26,48.1801
2020-02-27,38.9764
2020-02-28,32.9713
2020-02-29,32.9713
2020-03-01,32.9713
2020-03-02,42.1536
2020-03-03,41.0654
2020-03-04,49.8322
2020-03-05,49.253
2020-03-06,49.1759
2020-03-07,49.1759
2020-03-08,49.1759
2020-03-09,39.4438
2020-03-10,43.1852
2020-03-11,38.085
2020-03-12,30.6161
2020-03-13,34.6678
2020-03-14,34.6678
2020-03-15,34.6678
2020-03-16,27.8706
2020-03-17,32.9919
2020-03-18,28.8955
2020-03-19,32.5076
2020-03-20,30.1005
2020-03-21,30.1005
2020-03-22,30.1005
2020-03-23,32.0198
2020-03-24,35.6472
2020-03-25,36.3472
2020-03-26,42.0963
2020-03-27,43.054
2020-03-28,43.054
2020-03-29,43.054
2020-03-30,42.8909
2020-03-31,41.6048
2020-04-01,40.0308
2020-04-02,42.8159
2020-04-03,42.5059
2020-04-04,42.5059
2020-04-05,42.5059
2020-04-06,47.0113
2020-04-07,47.266
2020-04-08,49.5876
2020-04-09,51.9114
2020-04-10,51.9114
2020-04-11,51.9114
2020-04-12,51.9114
2020-04-13,49.0254
2020-04-14,50.2859
2020-04-15,48.124
2020-04-16,47.9267
2020-04-17,48.5272
2020-04-18,48.5272
2020-04-19,48.5272
2020-04-20,45.9555
2020-04-21,45.0649
2020-04-22,46.6854
2020-04-23,46.1757
2020-04-24,47.0204
2020-04-25,47.0204
2020-04-26,47.0204
2020-04-27,48.2342
2020-04-28,48.5974
2020-04-29,48.7294
2020-04-30,46.4871
2020-05-01,44.9439
2020-05-02,44.9439
2020-05-03,44.9439
2020-05-04,44.6757
2020-05-05,44.7847
2020-05-06,42.9348
2020-05-07,44.397
2020-05-08,45.9267
2020-05-09,45.9267
2020-05-10,45.9267
2020-05-11,44.3792
2020-05-12,43.0763
2020-05-13,41.9534
2020-05-14,42.357
2020-05-15,44.0992
2020-05-16,44.0992
2020-05-17,44.0992
2020-05-18,47.9779
2020-05-19,47.6956
2020-05-20,47.6075
2020-05-21,46.2431
2020-05-22,46.1165
2020-05-23,46.1165
2020-05-24,46.1165
2020-05-25,46.1165
2020-05-26,46.854
2020-05-27,47.2049
2020-05-28,48.8454
2020-05-29,49.5955
2020-05-30,49.5955
2020-05-31,49.5955
2020-06-01,49.0303
2020-06-02,49.5003
2020-06-03,50.5076
2020-06-04,49.3307
2020-06-05,52.2254
2020-06-06,52.2254
2020-06-07,52.2254
2020-06-08,53.1921
2020-06-09,51.1337
2020-06-10,49.3021
2020-06-11,46.2028
2020-06-12,46.3523
2020-06-13,46.3523
2020-06-14,46.3523
2020-06-15,46.7942
2020-06-16,47.3294
2020-06-17,46.258
2020-06-18,46.1172
2020-06-19,44.5276
2020-06-20,44.5276
2020-06-21,44.5276
2020-06-22,45.8341
2020-06-23,46.1195
2020-06-24,45.4751
2020-06-25,45.5155
2020-06-26,44.0472
2020-06-27,44.0472
2020-06-28,44.0472
2020-06-29,46.7631
2020-06-30,46.7832
2020-07-01,48.5702
2020-07-02,48.4756
2020-07-03,48.4756
2020-07-04,48.4756
2020-07-05,48.4756
2020-07-06,48.4756
2020-07-07,46.779
2020-07-08,47.736
2020-07-09,45.8369
2020-07-10,48.0198
2020-07-11,48.0198
2020-07-12,48.0198
2020-07-13,47.9998
2020-07-14,48.62
