,YORW US Equity
,RSI_30D
2020-01-01,59.623
2020-01-02,52.4154
2020-01-03,52.7063
2020-01-04,52.7063
2020-01-05,52.7063
2020-01-06,51.9399
2020-01-07,50.8473
2020-01-08,48.4739
2020-01-09,49.82
2020-01-10,50.5154
2020-01-11,50.5154
2020-01-12,50.5154
2020-01-13,55.1186
2020-01-14,54.1658
2020-01-15,57.7645
2020-01-16,62.4017
2020-01-17,64.219
2020-01-18,64.219
2020-01-19,64.219
2020-01-20,64.219
2020-01-21,67.2281
2020-01-22,67.7284
2020-01-23,69.1367
2020-01-24,63.8694
2020-01-25,63.8694
2020-01-26,63.8694
2020-01-27,64.2549
2020-01-28,64.0916
2020-01-29,63.5902
2020-01-30,63.4191
2020-01-31,56.7345
2020-02-01,56.7345
2020-02-02,56.7345
2020-02-03,59.6449
2020-02-04,57.7318
2020-02-05,59.8627
2020-02-06,58.2489
2020-02-07,58.7563
2020-02-08,58.7563
2020-02-09,58.7563
2020-02-10,60.7312
2020-02-11,57.2346
2020-02-12,58.8253
2020-02-13,59.411
2020-02-14,58.128
2020-02-15,58.128
2020-02-16,58.128
2020-02-17,58.128
2020-02-18,58.7425
2020-02-19,58.3488
2020-02-20,58.7066
2020-02-21,58.7799
2020-02-22,58.7799
2020-02-23,58.7799
2020-02-24,50.9676
2020-02-25,47.7076
2020-02-26,51.4251
2020-02-27,39.749
2020-02-28,37.6866
2020-02-29,37.6866
2020-03-01,37.6866
2020-03-02,48.264
2020-03-03,45.3511
2020-03-04,51.1332
2020-03-05,51.156
2020-03-06,55.4081
2020-03-07,55.4081
2020-03-08,55.4081
2020-03-09,49.0301
2020-03-10,48.2863
2020-03-11,39.935
2020-03-12,34.4039
2020-03-13,42.2817
2020-03-14,42.2817
2020-03-15,42.2817
2020-03-16,37.037
2020-03-17,48.7088
2020-03-18,44.7546
2020-03-19,43.9562
2020-03-20,41.762
2020-03-21,41.762
2020-03-22,41.762
2020-03-23,41.8489
2020-03-24,45.0695
2020-03-25,42.8893
2020-03-26,48.5905
2020-03-27,48.6918
2020-03-28,48.6918
2020-03-29,48.6918
2020-03-30,52.685
2020-03-31,49.4987
2020-04-01,45.5709
2020-04-02,47.8431
2020-04-03,46.8155
2020-04-04,46.8155
2020-04-05,46.8155
2020-04-06,50.1052
2020-04-07,47.1541
2020-04-08,47.5035
2020-04-09,49.7087
2020-04-10,49.7087
2020-04-11,49.7087
2020-04-12,49.7087
2020-04-13,49.1364
2020-04-14,49.9548
2020-04-15,48.4898
2020-04-16,48.769
2020-04-17,50.6684
2020-04-18,50.6684
2020-04-19,50.6684
2020-04-20,48.9549
2020-04-21,48.3076
2020-04-22,48.8998
2020-04-23,48.7482
2020-04-24,48.7287
2020-04-25,48.7287
2020-04-26,48.7287
2020-04-27,49.2647
2020-04-28,49.2863
2020-04-29,49.9448
2020-04-30,47.1574
2020-05-01,47.4447
2020-05-02,47.4447
2020-05-03,47.4447
2020-05-04,47.4127
2020-05-05,48.2434
2020-05-06,48.0499
2020-05-07,48.2268
2020-05-08,50.3501
2020-05-09,50.3501
2020-05-10,50.3501
2020-05-11,49.8895
2020-05-12,48.6815
2020-05-13,48.6438
2020-05-14,47.94
2020-05-15,47.9683
2020-05-16,47.9683
2020-05-17,47.9683
2020-05-18,50.6746
2020-05-19,48.2642
2020-05-20,50.0433
2020-05-21,50.0433
2020-05-22,50.8307
2020-05-23,50.8307
2020-05-24,50.8307
2020-05-25,50.8307
2020-05-26,51.8094
2020-05-27,52.4029
2020-05-28,52.988
2020-05-29,52.7008
2020-05-30,52.7008
2020-05-31,52.7008
2020-06-01,51.3414
2020-06-02,52.7505
2020-06-03,55.0606
2020-06-04,53.3714
2020-06-05,55.7661
2020-06-06,55.7661
2020-06-07,55.7661
2020-06-08,55.7931
2020-06-09,54.2518
2020-06-10,53.6724
2020-06-11,49.5799
2020-06-12,50.5775
2020-06-13,50.5775
2020-06-14,50.5775
2020-06-15,54.9212
2020-06-16,53.0456
2020-06-17,52.377
2020-06-18,52.6498
2020-06-19,54.0959
2020-06-20,54.0959
2020-06-21,54.0959
2020-06-22,53.345
2020-06-23,54.7597
2020-06-24,53.6941
2020-06-25,55.1644
2020-06-26,55.4973
2020-06-27,55.4973
2020-06-28,55.4973
2020-06-29,54.8905
2020-06-30,56.2994
2020-07-01,56.4192
2020-07-02,57.6652
2020-07-03,57.6652
2020-07-04,57.6652
2020-07-05,57.6652
2020-07-06,55.3952
2020-07-07,52.6366
2020-07-08,52.9965
2020-07-09,50.8348
2020-07-10,52.632
2020-07-11,52.632
2020-07-12,52.632
2020-07-13,51.8622
2020-07-14,53.2107
2020-07-15,54.2059
2020-07-16,54.868
2020-07-17,58.3128
2020-07-18,58.3128
2020-07-19,58.3128
2020-07-20,58.1881
2020-07-21,59.3572
2020-07-22,56.4275
2020-07-23,54.8278
2020-07-24,54.8444
2020-07-25,54.8444
2020-07-26,54.8444
2020-07-27,54.7821
2020-07-28,54.1458
2020-07-29,54.7081
2020-07-30,52.0862
2020-07-31,50.2629
2020-08-01,50.2629
2020-08-02,50.2629
2020-08-03,48.9434
2020-08-04,47.7814
2020-08-05,47.7228
2020-08-06,49.7829
2020-08-07,53.8912
2020-08-08,53.8912
2020-08-09,53.8912
2020-08-10,53.1277
2020-08-11,51.758
2020-08-12,53.7687
2020-08-13,52.0332
2020-08-14,51.4466
2020-08-15,51.4466
2020-08-16,51.4466
2020-08-17,51.3824
2020-08-18,49.7967
2020-08-19,48.869
2020-08-20,48.7836
2020-08-21,48.4548
2020-08-22,48.4548
2020-08-23,48.4548
2020-08-24,49.0702
2020-08-25,48.9076
2020-08-26,47.2417
2020-08-27,47.9297
2020-08-28,46.7159
2020-08-29,46.7159
2020-08-30,46.7159
2020-08-31,48.6311
2020-09-01,46.7744
2020-09-02,49.405
2020-09-03,47.8068
2020-09-04,46.5916
2020-09-05,46.5916
2020-09-06,46.5916
2020-09-07,46.5916
2020-09-08,44.5789
2020-09-09,46.9995
2020-09-10,44.4716
2020-09-11,43.8667
2020-09-12,43.8667
2020-09-13,43.8667
2020-09-14,44.6721
2020-09-15,44.5619
2020-09-16,43.8235
2020-09-17,43.2395
2020-09-18,46.6348
2020-09-19,46.6348
2020-09-20,46.6348
2020-09-21,42.7747
2020-09-22,41.8532
2020-09-23,39.5053
2020-09-24,40.8498
2020-09-25,42.8621
