,CUROQ US Equity
,RSI_30D
2020-01-01,47.9522
2020-01-02,45.5886
2020-01-03,44.0307
2020-01-04,44.0307
2020-01-05,44.0307
2020-01-06,40.0726
2020-01-07,40.1896
2020-01-08,39.3934
2020-01-09,40.3109
2020-01-10,38.4253
2020-01-11,38.4253
2020-01-12,38.4253
2020-01-13,38.9906
2020-01-14,39.7536
2020-01-15,40.6493
2020-01-16,42.3591
2020-01-17,44.562
2020-01-18,44.562
2020-01-19,44.562
2020-01-20,44.562
2020-01-21,43.7453
2020-01-22,41.7879
2020-01-23,42.9202
2020-01-24,42.2124
2020-01-25,42.2124
2020-01-26,42.2124
2020-01-27,41.6908
2020-01-28,43.1443
2020-01-29,44.0623
2020-01-30,46.4271
2020-01-31,43.6901
2020-02-01,43.6901
2020-02-02,43.6901
2020-02-03,40.8686
2020-02-04,39.8481
2020-02-05,44.406
2020-02-06,57.0799
2020-02-07,57.0799
2020-02-08,57.0799
2020-02-09,57.0799
2020-02-10,57.3448
2020-02-11,60.0417
2020-02-12,59.7775
2020-02-13,60.532
2020-02-14,61.2686
2020-02-15,61.2686
2020-02-16,61.2686
2020-02-17,61.2686
2020-02-18,58.5133
2020-02-19,59.6399
2020-02-20,57.9575
2020-02-21,57.5781
2020-02-22,57.5781
2020-02-23,57.5781
2020-02-24,50.1122
2020-02-25,44.0838
2020-02-26,41.4241
2020-02-27,41.2968
2020-02-28,39.9938
2020-02-29,39.9938
2020-03-01,39.9938
2020-03-02,41.0728
2020-03-03,40.8088
2020-03-04,41.3934
2020-03-05,39.0651
2020-03-06,37.3869
2020-03-07,37.3869
2020-03-08,37.3869
2020-03-09,34.5703
2020-03-10,36.227
2020-03-11,36.141
2020-03-12,33.4046
2020-03-13,37.0064
2020-03-14,37.0064
2020-03-15,37.0064
2020-03-16,32.9191
2020-03-17,32.104
2020-03-18,29.6562
2020-03-19,31.8346
2020-03-20,30.8464
2020-03-21,30.8464
2020-03-22,30.8464
2020-03-23,30.5129
2020-03-24,31.9404
2020-03-25,36.7357
2020-03-26,37.2063
2020-03-27,36.6424
2020-03-28,36.6424
2020-03-29,36.6424
2020-03-30,37.4007
2020-03-31,37.0499
2020-04-01,35.1853
2020-04-02,34.727
2020-04-03,34.1894
2020-04-04,34.1894
2020-04-05,34.1894
2020-04-06,36.1845
2020-04-07,39.207
2020-04-08,40.5075
2020-04-09,43.5651
2020-04-10,43.5651
2020-04-11,43.5651
2020-04-12,43.5651
2020-04-13,44.3157
2020-04-14,45.0299
2020-04-15,43.8992
2020-04-16,41.5754
