,BRK/B US Equity
,RSI_30D
2020-01-01,66.8884
2020-01-02,68.9149
2020-01-03,64.1648
2020-01-04,64.1648
2020-01-05,64.1648
2020-01-06,65.0775
2020-01-07,62.8887
2020-01-08,62.973
2020-01-09,66.0076
2020-01-10,61.9963
2020-01-11,61.9963
2020-01-12,61.9963
2020-01-13,64.0345
2020-01-14,61.6424
2020-01-15,62.9619
2020-01-16,64.4418
2020-01-17,64.9354
2020-01-18,64.9354
2020-01-19,64.9354
2020-01-20,64.9354
2020-01-21,61.963
2020-01-22,62.9791
2020-01-23,62.6746
2020-01-24,58.0975
2020-01-25,58.0975
2020-01-26,58.0975
2020-01-27,51.3134
2020-01-28,53.3331
2020-01-29,53.9213
2020-01-30,57.8717
2020-01-31,53.0678
2020-02-01,53.0678
2020-02-02,53.0678
2020-02-03,51.8293
2020-02-04,53.7038
2020-02-05,57.4976
2020-02-06,58.4449
2020-02-07,55.4738
2020-02-08,55.4738
2020-02-09,55.4738
2020-02-10,55.1228
2020-02-11,55.3609
2020-02-12,55.483
2020-02-13,54.1318
2020-02-14,54.5216
2020-02-15,54.5216
2020-02-16,54.5216
2020-02-17,54.5216
2020-02-18,54.4781
2020-02-19,57.3771
2020-02-20,55.785
2020-02-21,57.1194
2020-02-22,57.1194
2020-02-23,57.1194
2020-02-24,47.3776
2020-02-25,43.7039
2020-02-26,41.8679
2020-02-27,35.3844
2020-02-28,34.508
2020-02-29,34.508
2020-03-01,34.508
2020-03-02,46.2069
2020-03-03,40.3779
2020-03-04,47.4187
2020-03-05,42.3329
2020-03-06,40.8166
2020-03-07,40.8166
2020-03-08,40.8166
2020-03-09,35.1933
2020-03-10,41.4295
2020-03-11,38.2231
2020-03-12,32.2619
2020-03-13,42.4262
2020-03-14,42.4262
2020-03-15,42.4262
2020-03-16,37.1654
2020-03-17,41.1486
2020-03-18,37.3693
2020-03-19,38.2364
2020-03-20,37.1393
2020-03-21,37.1393
2020-03-22,37.1393
2020-03-23,35.3389
2020-03-24,41.3039
2020-03-25,42.0846
2020-03-26,43.2641
2020-03-27,42.1659
2020-03-28,42.1659
2020-03-29,42.1659
2020-03-30,43.3998
2020-03-31,43.3048
2020-04-01,41.4587
2020-04-02,42.8436
2020-04-03,42.4615
2020-04-04,42.4615
2020-04-05,42.4615
2020-04-06,44.9813
2020-04-07,44.9849
2020-04-08,47.0561
2020-04-09,48.0501
2020-04-10,48.0501
2020-04-11,48.0501
2020-04-12,48.0501
2020-04-13,46.4344
2020-04-14,47.9243
2020-04-15,46.5215
2020-04-16,46.3257
2020-04-17,47.539
2020-04-18,47.539
2020-04-19,47.539
2020-04-20,46.713
2020-04-21,44.9741
2020-04-22,46.1929
2020-04-23,45.8708
2020-04-24,46.2342
2020-04-25,46.2342
2020-04-26,46.2342
2020-04-27,46.6256
2020-04-28,46.4989
2020-04-29,47.5779
2020-04-30,46.6976
2020-05-01,44.9059
2020-05-02,44.9059
2020-05-03,44.9059
2020-05-04,43.181
2020-05-05,42.4941
2020-05-06,41.2052
2020-05-07,41.756
2020-05-08,43.4257
2020-05-09,43.4257
2020-05-10,43.4257
2020-05-11,42.5998
2020-05-12,41.9108
2020-05-13,41.0696
2020-05-14,41.2656
2020-05-15,40.6136
2020-05-16,40.6136
2020-05-17,40.6136
2020-05-18,43.9973
2020-05-19,42.791
2020-05-20,44.6567
2020-05-21,44.2005
2020-05-22,44.1962
2020-05-23,44.1962
2020-05-24,44.1962
2020-05-25,44.1962
2020-05-26,47.0933
2020-05-27,49.7993
2020-05-28,49.4763
2020-05-29,49.718
2020-05-30,49.718
2020-05-31,49.718
2020-06-01,48.8418
2020-06-02,49.9433
2020-06-03,52.4066
2020-06-04,53.0096
2020-06-05,56.9582
2020-06-06,56.9582
2020-06-07,56.9582
2020-06-08,57.3458
2020-06-09,54.2624
2020-06-10,51.8662
2020-06-11,45.6913
2020-06-12,47.2283
2020-06-13,47.2283
2020-06-14,47.2283
