,ASIX US Equity
,RSI_30D
2020-01-01,43.5191
2020-01-02,42.9246
2020-01-03,40.0918
2020-01-04,40.0918
2020-01-05,40.0918
2020-01-06,37.5617
2020-01-07,36.2813
2020-01-08,33.9471
2020-01-09,31.5261
2020-01-10,30.5737
2020-01-11,30.5737
2020-01-12,30.5737
2020-01-13,31.3639
2020-01-14,33.867
2020-01-15,33.2263
2020-01-16,35.1037
2020-01-17,34.9244
2020-01-18,34.9244
2020-01-19,34.9244
2020-01-20,34.9244
2020-01-21,36.49
2020-01-22,40.8046
2020-01-23,43.1436
2020-01-24,45.0617
2020-01-25,45.0617
2020-01-26,45.0617
2020-01-27,43.5421
2020-01-28,43.7813
2020-01-29,46.1867
2020-01-30,47.9049
2020-01-31,46.6875
2020-02-01,46.6875
2020-02-02,46.6875
2020-02-03,48.1417
2020-02-04,49.5648
2020-02-05,52.2745
2020-02-06,49.2788
2020-02-07,47.2002
2020-02-08,47.2002
2020-02-09,47.2002
2020-02-10,47.0817
2020-02-11,49.9834
2020-02-12,49.4393
2020-02-13,47.5843
2020-02-14,50.0405
2020-02-15,50.0405
2020-02-16,50.0405
2020-02-17,50.0405
2020-02-18,49.2036
2020-02-19,50.6135
2020-02-20,50.6135
2020-02-21,43.5229
2020-02-22,43.5229
2020-02-23,43.5229
2020-02-24,39.6498
2020-02-25,33.7644
2020-02-26,34.0712
2020-02-27,34.0246
2020-02-28,35.3055
2020-02-29,35.3055
2020-03-01,35.3055
2020-03-02,34.1778
2020-03-03,36.7231
2020-03-04,36.8584
2020-03-05,34.6604
2020-03-06,30.8339
2020-03-07,30.8339
2020-03-08,30.8339
2020-03-09,26.1841
2020-03-10,29.3002
2020-03-11,27.9971
2020-03-12,26.7512
2020-03-13,34.7711
2020-03-14,34.7711
2020-03-15,34.7711
2020-03-16,39.5542
2020-03-17,43.1082
2020-03-18,40.9534
2020-03-19,42.8774
2020-03-20,42.4143
2020-03-21,42.4143
2020-03-22,42.4143
2020-03-23,40.1514
2020-03-24,37.9999
2020-03-25,37.1858
2020-03-26,37.046
2020-03-27,35.2637
2020-03-28,35.2637
2020-03-29,35.2637
2020-03-30,34.6014
2020-03-31,37.631
2020-04-01,38.9762
2020-04-02,43.2179
2020-04-03,39.9016
2020-04-04,39.9016
2020-04-05,39.9016
2020-04-06,43.6226
2020-04-07,43.9621
2020-04-08,44.8215
2020-04-09,44.6394
2020-04-10,44.6394
2020-04-11,44.6394
2020-04-12,44.6394
2020-04-13,45.3035
2020-04-14,45.0455
2020-04-15,41.2021
2020-04-16,41.1829
2020-04-17,42.9372
2020-04-18,42.9372
2020-04-19,42.9372
2020-04-20,40.0416
2020-04-21,39.6909
2020-04-22,40.6532
2020-04-23,41.139
2020-04-24,41.5755
2020-04-25,41.5755
2020-04-26,41.5755
2020-04-27,44.5263
2020-04-28,45.4848
2020-04-29,49.2436
2020-04-30,48.9068
2020-05-01,49.1381
2020-05-02,49.1381
2020-05-03,49.1381
2020-05-04,47.1269
2020-05-05,49.1234
2020-05-06,46.9285
2020-05-07,46.2472
2020-05-08,48.0756
2020-05-09,48.0756
2020-05-10,48.0756
2020-05-11,47.6564
2020-05-12,47.3299
2020-05-13,45.0226
2020-05-14,46.0927
2020-05-15,45.4252
2020-05-16,45.4252
2020-05-17,45.4252
2020-05-18,47.9381
2020-05-19,46.5121
2020-05-20,47.9703
2020-05-21,48.2848
2020-05-22,47.3955
2020-05-23,47.3955
2020-05-24,47.3955
2020-05-25,47.3955
2020-05-26,50.8571
2020-05-27,51.5599
2020-05-28,50.4126
2020-05-29,49.3059
2020-05-30,49.3059
2020-05-31,49.3059
2020-06-01,50.0906
2020-06-02,51.9155
2020-06-03,52.8901
2020-06-04,55.376
2020-06-05,59.5113
2020-06-06,59.5113
2020-06-07,59.5113
2020-06-08,61.118
2020-06-09,59.7766
2020-06-10,54.5504
2020-06-11,48.469
