,CNNE US Equity
,RSI_30D
2020-01-01,64.8993
2020-01-02,66.2254
2020-01-03,67.7833
2020-01-04,67.7833
2020-01-05,67.7833
2020-01-06,68.1373
2020-01-07,64.636
2020-01-08,65.2741
2020-01-09,67.3219
2020-01-10,66.4168
2020-01-11,66.4168
2020-01-12,66.4168
2020-01-13,66.7907
2020-01-14,63.7252
2020-01-15,64.8988
2020-01-16,65.7919
2020-01-17,64.959
2020-01-18,64.959
2020-01-19,64.959
2020-01-20,64.959
2020-01-21,63.9886
2020-01-22,64.6832
2020-01-23,64.9826
2020-01-24,64.3244
2020-01-25,64.3244
2020-01-26,64.3244
2020-01-27,64.7987
2020-01-28,62.5525
2020-01-29,62.8642
2020-01-30,68.3405
2020-01-31,66.2816
2020-02-01,66.2816
2020-02-02,66.2816
2020-02-03,68.6079
2020-02-04,67.262
2020-02-05,65.3178
2020-02-06,62.4326
2020-02-07,60.918
2020-02-08,60.918
2020-02-09,60.918
2020-02-10,60.9974
2020-02-11,60.4052
2020-02-12,62.6302
2020-02-13,63.9678
2020-02-14,66.4521
2020-02-15,66.4521
2020-02-16,66.4521
2020-02-17,66.4521
2020-02-18,66.7651
2020-02-19,67.787
2020-02-20,65.874
2020-02-21,64.1788
2020-02-22,64.1788
2020-02-23,64.1788
2020-02-24,57.783
2020-02-25,55.0873
2020-02-26,49.7708
2020-02-27,45.4766
2020-02-28,47.8485
2020-02-29,47.8485
2020-03-01,47.8485
2020-03-02,53.7075
2020-03-03,48.3617
2020-03-04,51.7077
2020-03-05,48.061
2020-03-06,46.1999
2020-03-07,46.1999
2020-03-08,46.1999
2020-03-09,40.0654
2020-03-10,41.2616
2020-03-11,38.0145
2020-03-12,34.4761
2020-03-13,41.3923
2020-03-14,41.3923
2020-03-15,41.3923
2020-03-16,35.8871
2020-03-17,36.1365
2020-03-18,32.0051
2020-03-19,39.8975
2020-03-20,43.3224
2020-03-21,43.3224
2020-03-22,43.3224
2020-03-23,43.9324
2020-03-24,47.1867
2020-03-25,44.8232
