,APAM US Equity
,RSI_30D
2020-01-01,74.1938
2020-01-02,74.7852
2020-01-03,74.5063
2020-01-04,74.5063
2020-01-05,74.5063
2020-01-06,75.1144
2020-01-07,76.1667
2020-01-08,76.3794
2020-01-09,76.8974
2020-01-10,76.3877
2020-01-11,76.3877
2020-01-12,76.3877
2020-01-13,79.5074
2020-01-14,79.879
2020-01-15,79.9041
2020-01-16,81.6147
2020-01-17,79.4763
2020-01-18,79.4763
2020-01-19,79.4763
2020-01-20,79.4763
2020-01-21,73.6678
2020-01-22,72.2175
2020-01-23,72.3829
2020-01-24,66.4856
2020-01-25,66.4856
2020-01-26,66.4856
2020-01-27,64.7425
2020-01-28,66.2927
2020-01-29,66.7579
2020-01-30,67.7926
2020-01-31,62.9855
2020-02-01,62.9855
2020-02-02,62.9855
2020-02-03,64.0165
2020-02-04,67.4665
2020-02-05,70.3731
2020-02-06,72.3919
2020-02-07,71.8992
2020-02-08,71.8992
2020-02-09,71.8992
2020-02-10,74.232
2020-02-11,75.3155
2020-02-12,76.6408
2020-02-13,72.5414
2020-02-14,71.0096
2020-02-15,71.0096
2020-02-16,71.0096
2020-02-17,71.0096
2020-02-18,69.0423
2020-02-19,69.4221
2020-02-20,65.7024
2020-02-21,59.2475
2020-02-22,59.2475
2020-02-23,59.2475
2020-02-24,51.3308
2020-02-25,45.3198
2020-02-26,46.453
2020-02-27,41.0242
2020-02-28,39.3498
2020-02-29,39.3498
2020-03-01,39.3498
2020-03-02,44.5182
2020-03-03,40.7691
2020-03-04,42.5301
2020-03-05,37.192
2020-03-06,35.8427
2020-03-07,35.8427
2020-03-08,35.8427
2020-03-09,32.3899
2020-03-10,35.2539
2020-03-11,30.8828
2020-03-12,28.2402
2020-03-13,34.6203
2020-03-14,34.6203
2020-03-15,34.6203
2020-03-16,29.5051
2020-03-17,34.5755
2020-03-18,34.2803
2020-03-19,37.9626
2020-03-20,35.3751
2020-03-21,35.3751
2020-03-22,35.3751
2020-03-23,33.7798
2020-03-24,36.4121
2020-03-25,37.7727
2020-03-26,42.1496
2020-03-27,41.5685
2020-03-28,41.5685
2020-03-29,41.5685
2020-03-30,41.5146
2020-03-31,41.088
2020-04-01,38.6246
2020-04-02,38.6246
2020-04-03,38.5714
2020-04-04,38.5714
2020-04-05,38.5714
2020-04-06,41.191
2020-04-07,40.9597
2020-04-08,42.6867
2020-04-09,45.3372
2020-04-10,45.3372
2020-04-11,45.3372
2020-04-12,45.3372
2020-04-13,45.0295
2020-04-14,44.8306
2020-04-15,44.4081
2020-04-16,43.8775
2020-04-17,45.8424
2020-04-18,45.8424
2020-04-19,45.8424
2020-04-20,44.8954
2020-04-21,45.467
2020-04-22,46.1999
2020-04-23,45.8522
2020-04-24,47.3772
2020-04-25,47.3772
2020-04-26,47.3772
2020-04-27,48.802
2020-04-28,52.6368
2020-04-29,57.4007
2020-04-30,58.7665
2020-05-01,57.7082
2020-05-02,57.7082
2020-05-03,57.7082
2020-05-04,58.1067
2020-05-05,58.1747
2020-05-06,56.1716
2020-05-07,57.0887
2020-05-08,57.7521
2020-05-09,57.7521
2020-05-10,57.7521
2020-05-11,58.9413
2020-05-12,55.4246
2020-05-13,52.2649
2020-05-14,53.6153
2020-05-15,52.831
2020-05-16,52.831
2020-05-17,52.831
2020-05-18,55.139
2020-05-19,53.3464
2020-05-20,54.2042
2020-05-21,54.3817
2020-05-22,54.8642
2020-05-23,54.8642
2020-05-24,54.8642
2020-05-25,54.8642
2020-05-26,57.9867
2020-05-27,59.6519
2020-05-28,57.0871
2020-05-29,55.8098
2020-05-30,55.8098
2020-05-31,55.8098
2020-06-01,56.1165
2020-06-02,57.7467
2020-06-03,60.3513
2020-06-04,59.3219
2020-06-05,61.7037
2020-06-06,61.7037
2020-06-07,61.7037
2020-06-08,61.8185
2020-06-09,61.4916
2020-06-10,58.6059
2020-06-11,52.9205
2020-06-12,54.8177
2020-06-13,54.8177
2020-06-14,54.8177
2020-06-15,56.6432
2020-06-16,57.9146
2020-06-17,59.3177
2020-06-18,59.7525
2020-06-19,59.5499
2020-06-20,59.5499
2020-06-21,59.5499
2020-06-22,60.0924
2020-06-23,60.5339
2020-06-24,58.5245
2020-06-25,59.741
2020-06-26,53.6488
2020-06-27,53.6488
2020-06-28,53.6488
2020-06-29,55.013
2020-06-30,57.0219
2020-07-01,54.882
2020-07-02,55.4646
2020-07-03,55.4646
2020-07-04,55.4646
2020-07-05,55.4646
2020-07-06,57.0023
2020-07-07,55.7312
2020-07-08,56.3205
2020-07-09,53.2453
2020-07-10,55.9624
2020-07-11,55.9624
2020-07-12,55.9624
2020-07-13,56.185
2020-07-14,57.8561
2020-07-15,59.5738
2020-07-16,58.7648
2020-07-17,58.6875
2020-07-18,58.6875
2020-07-19,58.6875
2020-07-20,58.3961
2020-07-21,59.493
2020-07-22,59.2146
2020-07-23,58.6748
2020-07-24,56.1126
2020-07-25,56.1126
2020-07-26,56.1126
2020-07-27,57.8311
2020-07-28,56.3729
2020-07-29,59.6313
2020-07-30,60.1753
2020-07-31,61.0371
2020-08-01,61.0371
2020-08-02,61.0371
2020-08-03,63.6875
2020-08-04,63.3014
2020-08-05,65.4826
2020-08-06,64.7532
2020-08-07,66.057
2020-08-08,66.057
2020-08-09,66.057
2020-08-10,64.1843
2020-08-11,63.9997
2020-08-12,64.3006
2020-08-13,63.1757
2020-08-14,62.845
2020-08-15,62.845
2020-08-16,62.845
2020-08-17,64.7354
2020-08-18,64.2911
2020-08-19,64.1509
2020-08-20,60.8244
2020-08-21,60.5231
2020-08-22,60.5231
2020-08-23,60.5231
2020-08-24,61.8899
2020-08-25,62.5499
2020-08-26,60.9644
2020-08-27,61.8535
2020-08-28,62.9025
2020-08-29,62.9025
2020-08-30,62.9025
2020-08-31,61.9118
2020-09-01,63.7908
2020-09-02,64.5481
2020-09-03,58.5324
2020-09-04,54.9684
2020-09-05,54.9684
2020-09-06,54.9684
2020-09-07,54.9684
2020-09-08,50.8981
2020-09-09,52.9708
2020-09-10,51.2394
2020-09-11,53.7876
2020-09-12,53.7876
2020-09-13,53.7876
2020-09-14,54.8918
2020-09-15,56.7195
2020-09-16,58.7038
2020-09-17,58.8284
2020-09-18,59.0416
2020-09-19,59.0416
2020-09-20,59.0416
2020-09-21,54.7057
2020-09-22,56.6207
2020-09-23,52.9579
2020-09-24,51.3901
2020-09-25,52.5846
2020-09-26,52.5846
2020-09-27,52.5846
2020-09-28,55.7393
2020-09-29,55.9513
2020-09-30,56.5754
2020-10-01,54.6691
2020-10-02,55.4566
2020-10-03,55.4566
2020-10-04,55.4566
2020-10-05,56.7017
2020-10-06,56.5557
2020-10-07,58.3105
2020-10-08,63.5369
2020-10-09,65.9638
2020-10-10,65.9638
2020-10-11,65.9638
2020-10-12,67.5102
2020-10-13,68.1211
2020-10-14,68.5005
2020-10-15,68.3387
2020-10-16,68.6299
2020-10-17,68.6299
2020-10-18,68.6299
2020-10-19,66.7902
2020-10-20,66.907
2020-10-21,60.3795
2020-10-22,60.2626
2020-10-23,59.8131
2020-10-24,59.8131
2020-10-25,59.8131
2020-10-26,58.0803
2020-10-27,55.2267
2020-10-28,50.9775
2020-10-29,50.9281
2020-10-30,51.0508
2020-10-31,51.0508
2020-11-01,51.0508
2020-11-02,54.816
2020-11-03,57.3458
2020-11-04,57.5507
2020-11-05,59.5218
2020-11-06,55.7251
2020-11-07,55.7251
2020-11-08,55.7251
2020-11-09,60.3212
2020-11-10,63.1888
2020-11-11,59.8039
2020-11-12,56.8644
2020-11-13,58.0809
2020-11-14,58.0809
2020-11-15,58.0809
2020-11-16,60.6553
2020-11-17,60.7506
2020-11-18,59.3866
2020-11-19,59.8612
2020-11-20,58.3497
2020-11-21,58.3497
2020-11-22,58.3497
2020-11-23,59.3237
2020-11-24,62.2463
2020-11-25,58.6778
2020-11-26,58.6778
2020-11-27,59.1822
2020-11-28,59.1822
2020-11-29,59.1822
2020-11-30,56.838
2020-12-01,58.5536
2020-12-02,59.2642
2020-12-03,61.8273
2020-12-04,62.6079
2020-12-05,62.6079
2020-12-06,62.6079
2020-12-07,63.0221
2020-12-08,64.1775
2020-12-09,62.1681
2020-12-10,59.5782
2020-12-11,60.4962
2020-12-12,60.4962
2020-12-13,60.4962
2020-12-14,59.6051
2020-12-15,60.5329
2020-12-16,63.9731
2020-12-17,61.7163
2020-12-18,62.1557
2020-12-19,62.1557
2020-12-20,62.1557
2020-12-21,61.7368
2020-12-22,60.9664
2020-12-23,61.0704
2020-12-24,61.4423
2020-12-25,61.4423
2020-12-26,61.4423
2020-12-27,61.4423
2020-12-28,59.7005
2020-12-29,59.9091
2020-12-30,60.5996
2020-12-31,61.7357
2021-01-01,61.7357
2021-01-02,61.7357
2021-01-03,61.7357
2021-01-04,58.1235
2021-01-05,60.1313
2021-01-06,66.4378
2021-01-07,61.6498
2021-01-08,60.233
2021-01-09,60.233
2021-01-10,60.233
2021-01-11,60.8793
2021-01-12,60.6306
2021-01-13,64.3915
2021-01-14,62.6337
2021-01-15,60.3069
2021-01-16,60.3069
2021-01-17,60.3069
2021-01-18,60.3069
2021-01-19,60.9718
2021-01-20,62.686
2021-01-21,60.214
2021-01-22,59.0677
2021-01-23,59.0677
2021-01-24,59.0677
2021-01-25,59.1498
2021-01-26,57.924
2021-01-27,51.766
2021-01-28,56.0216
2021-01-29,49.5069
2021-01-30,49.5069
2021-01-31,49.5069
2021-02-01,51.9847
2021-02-02,53.4278
2021-02-03,51.2903
2021-02-04,55.3122
2021-02-05,56.5186
2021-02-06,56.5186
2021-02-07,56.5186
2021-02-08,57.1505
2021-02-09,57.6652
2021-02-10,56.3389
2021-02-11,56.5596
2021-02-12,57.0682
2021-02-13,57.0682
2021-02-14,57.0682
2021-02-15,57.0682
2021-02-16,55.0861
2021-02-17,53.3037
2021-02-18,49.1229
2021-02-19,49.9387
2021-02-20,49.9387
2021-02-21,49.9387
2021-02-22,48.6935
2021-02-23,47.6472
2021-02-24,51.1303
2021-02-25,48.0215
2021-02-26,48.0559
2021-02-27,48.0559
2021-02-28,48.0559
2021-03-01,51.1331
2021-03-02,49.645
2021-03-03,48.7001
2021-03-04,45.8957
2021-03-05,49.0171
2021-03-06,49.0171
2021-03-07,49.0171
2021-03-08,48.1016
2021-03-09,50.7316
2021-03-10,53.3427
2021-03-11,53.2253
2021-03-12,52.14
2021-03-13,52.14
2021-03-14,52.14
2021-03-15,53.5485
2021-03-16,54.556
2021-03-17,57.2208
2021-03-18,54.1147
2021-03-19,56.0095
2021-03-20,56.0095
2021-03-21,56.0095
2021-03-22,56.1482
2021-03-23,52.66
2021-03-24,52.6749
2021-03-25,52.4175
2021-03-26,55.267
2021-03-27,55.267
2021-03-28,55.267
2021-03-29,51.8509
2021-03-30,52.6936
2021-03-31,53.8574
2021-04-01,54.3783
2021-04-02,54.3783
2021-04-03,54.3783
2021-04-04,54.3783
