,POOL US Equity
,RSI_30D
2020-01-01,49.0625
2020-01-02,50.1566
2020-01-03,51.0913
2020-01-04,51.0913
2020-01-05,51.0913
2020-01-06,51.1221
2020-01-07,49.4607
2020-01-08,50.3361
2020-01-09,50.6716
2020-01-10,52.711
2020-01-11,52.711
2020-01-12,52.711
2020-01-13,52.3306
2020-01-14,51.4464
2020-01-15,52.6258
2020-01-16,53.7951
2020-01-17,54.9059
2020-01-18,54.9059
2020-01-19,54.9059
2020-01-20,54.9059
2020-01-21,54.3827
2020-01-22,55.4597
2020-01-23,55.6182
2020-01-24,54.7383
2020-01-25,54.7383
2020-01-26,54.7383
2020-01-27,56.1477
2020-01-28,56.0148
2020-01-29,59.3786
2020-01-30,57.6378
2020-01-31,52.8121
2020-02-01,52.8121
2020-02-02,52.8121
2020-02-03,54.1885
2020-02-04,55.7782
2020-02-05,56.5619
2020-02-06,58.1288
2020-02-07,58.9868
2020-02-08,58.9868
2020-02-09,58.9868
2020-02-10,59.482
2020-02-11,60.8128
2020-02-12,58.4064
2020-02-13,59.1669
2020-02-14,63.1002
2020-02-15,63.1002
2020-02-16,63.1002
2020-02-17,63.1002
2020-02-18,64.6934
2020-02-19,61.841
2020-02-20,60.6384
2020-02-21,57.3157
2020-02-22,57.3157
2020-02-23,57.3157
2020-02-24,52.9333
2020-02-25,47.2361
2020-02-26,49.2375
2020-02-27,46.5903
2020-02-28,43.0027
2020-02-29,43.0027
2020-03-01,43.0027
2020-03-02,42.9775
2020-03-03,46.5676
2020-03-04,54.6883
2020-03-05,54.0608
2020-03-06,52.8548
2020-03-07,52.8548
2020-03-08,52.8548
2020-03-09,45.6192
2020-03-10,47.8967
2020-03-11,43.3834
2020-03-12,35.3731
2020-03-13,45.217
2020-03-14,45.217
2020-03-15,45.217
2020-03-16,35.2188
2020-03-17,39.1178
2020-03-18,41.4503
2020-03-19,43.7688
2020-03-20,37.5473
2020-03-21,37.5473
2020-03-22,37.5473
2020-03-23,38.0812
2020-03-24,42.0163
2020-03-25,40.6482
2020-03-26,43.7861
2020-03-27,44.3907
2020-03-28,44.3907
2020-03-29,44.3907
2020-03-30,47.7303
2020-03-31,47.3218
2020-04-01,46.8596
2020-04-02,46.3566
2020-04-03,42.6369
2020-04-04,42.6369
2020-04-05,42.6369
2020-04-06,47.8041
2020-04-07,46.7224
2020-04-08,48.7744
2020-04-09,48.8718
2020-04-10,48.8718
2020-04-11,48.8718
2020-04-12,48.8718
2020-04-13,46.5911
2020-04-14,47.9457
2020-04-15,46.961
2020-04-16,48.3457
2020-04-17,49.0325
2020-04-18,49.0325
2020-04-19,49.0325
2020-04-20,47.1175
2020-04-21,45.3712
2020-04-22,47.0511
2020-04-23,50.9083
2020-04-24,53.2039
2020-04-25,53.2039
2020-04-26,53.2039
2020-04-27,55.3676
2020-04-28,54.8128
2020-04-29,53.9492
2020-04-30,52.2214
2020-05-01,53.3356
2020-05-02,53.3356
2020-05-03,53.3356
2020-05-04,52.9809
2020-05-05,54.793
2020-05-06,54.9103
2020-05-07,53.7744
2020-05-08,55.345
2020-05-09,55.345
2020-05-10,55.345
2020-05-11,56.143
2020-05-12,54.1476
2020-05-13,52.5033
2020-05-14,53.0491
2020-05-15,54.5223
2020-05-16,54.5223
2020-05-17,54.5223
2020-05-18,56.2995
2020-05-19,56.1102
2020-05-20,56.5988
2020-05-21,58.6227
2020-05-22,58.5592
2020-05-23,58.5592
2020-05-24,58.5592
2020-05-25,58.5592
2020-05-26,59.7894
2020-05-27,62.668
2020-05-28,63.7421
2020-05-29,65.8963
2020-05-30,65.8963
2020-05-31,65.8963
2020-06-01,65.3843
2020-06-02,64.5891
2020-06-03,65.4143
2020-06-04,62.6497
2020-06-05,61.0755
2020-06-06,61.0755
2020-06-07,61.0755
2020-06-08,59.7081
2020-06-09,61.5334
2020-06-10,61.4768
2020-06-11,57.3038
2020-06-12,57.5927
2020-06-13,57.5927
2020-06-14,57.5927
2020-06-15,58.2834
2020-06-16,60.5145
2020-06-17,61.0449
2020-06-18,60.9364
2020-06-19,61.3327
2020-06-20,61.3327
2020-06-21,61.3327
2020-06-22,62.4629
2020-06-23,60.4081
2020-06-24,58.3749
2020-06-25,59.1528
2020-06-26,57.8842
2020-06-27,57.8842
2020-06-28,57.8842
2020-06-29,59.3567
2020-06-30,61.1195
2020-07-01,61.4157
2020-07-02,60.189
2020-07-03,60.189
2020-07-04,60.189
2020-07-05,60.189
2020-07-06,59.7484
2020-07-07,60.5665
2020-07-08,60.0433
2020-07-09,62.5975
2020-07-10,62.2811
2020-07-11,62.2811
2020-07-12,62.2811
2020-07-13,61.1764
2020-07-14,62.7535
2020-07-15,64.5555
2020-07-16,62.5513
2020-07-17,65.5718
2020-07-18,65.5718
2020-07-19,65.5718
2020-07-20,67.3301
2020-07-21,64.9013
2020-07-22,66.2992
2020-07-23,65.6477
2020-07-24,66.5969
2020-07-25,66.5969
2020-07-26,66.5969
2020-07-27,68.0948
2020-07-28,66.2193
2020-07-29,68.0218
2020-07-30,68.2588
2020-07-31,68.6855
2020-08-01,68.6855
2020-08-02,68.6855
2020-08-03,69.9944
2020-08-04,70.5911
2020-08-05,71.3155
2020-08-06,71.4437
2020-08-07,71.4555
2020-08-08,71.4555
2020-08-09,71.4555
2020-08-10,69.608
2020-08-11,64.4479
2020-08-12,66.8446
2020-08-13,64.6569
2020-08-14,64.2525
2020-08-15,64.2525
2020-08-16,64.2525
2020-08-17,66.1146
2020-08-18,66.6555
2020-08-19,65.3101
2020-08-20,65.2938
2020-08-21,67.4866
2020-08-22,67.4866
2020-08-23,67.4866
2020-08-24,67.8471
2020-08-25,68.0318
2020-08-26,68.1571
2020-08-27,68.3904
2020-08-28,64.9264
2020-08-29,64.9264
2020-08-30,64.9264
2020-08-31,63.1709
2020-09-01,63.8581
2020-09-02,63.8344
2020-09-03,53.4703
2020-09-04,47.6537
2020-09-05,47.6537
2020-09-06,47.6537
2020-09-07,47.6537
2020-09-08,46.9767
2020-09-09,50.5703
2020-09-10,49.7305
2020-09-11,49.7844
2020-09-12,49.7844
2020-09-13,49.7844
2020-09-14,52.7995
2020-09-15,52.8358
2020-09-16,49.5739
2020-09-17,51.1124
2020-09-18,49.939
2020-09-19,49.939
2020-09-20,49.939
2020-09-21,49.6394
2020-09-22,52.4775
2020-09-23,52.2227
2020-09-24,53.2896
2020-09-25,55.1274
2020-09-26,55.1274
2020-09-27,55.1274
2020-09-28,58.5365
2020-09-29,59.5868
2020-09-30,61.4037
2020-10-01,58.5621
2020-10-02,56.2024
2020-10-03,56.2024
2020-10-04,56.2024
2020-10-05,57.7919
2020-10-06,57.8748
2020-10-07,59.0369
2020-10-08,61.8025
2020-10-09,63.3852
2020-10-10,63.3852
2020-10-11,63.3852
2020-10-12,65.0012
2020-10-13,64.6646
2020-10-14,66.7796
2020-10-15,66.7969
2020-10-16,66.3172
2020-10-17,66.3172
2020-10-18,66.3172
2020-10-19,63.3675
2020-10-20,63.9532
2020-10-21,64.0504
2020-10-22,61.1841
2020-10-23,64.4813
2020-10-24,64.4813
2020-10-25,64.4813
2020-10-26,64.7088
2020-10-27,65.9031
2020-10-28,63.8199
2020-10-29,62.7251
2020-10-30,57.7149
2020-10-31,57.7149
2020-11-01,57.7149
2020-11-02,59.996
2020-11-03,61.9569
2020-11-04,65.2764
2020-11-05,66.8322
