,STEL US Equity
,RSI_30D
2020-01-01,62.6679
2020-01-02,63.591
2020-01-03,62.7352
2020-01-04,62.7352
2020-01-05,62.7352
2020-01-06,62.8644
2020-01-07,61.4317
2020-01-08,63.5472
2020-01-09,62.4945
2020-01-10,61.4415
2020-01-11,61.4415
2020-01-12,61.4415
2020-01-13,62.6742
2020-01-14,59.2969
2020-01-15,59.7313
2020-01-16,62.3634
2020-01-17,59.3032
2020-01-18,59.3032
2020-01-19,59.3032
2020-01-20,59.3032
2020-01-21,58.283
2020-01-22,57.3642
2020-01-23,59.4229
2020-01-24,56.2139
2020-01-25,56.2139
2020-01-26,56.2139
2020-01-27,55.8241
2020-01-28,56.5258
2020-01-29,54.0582
2020-01-30,46.7165
2020-01-31,44.0155
2020-02-01,44.0155
2020-02-02,44.0155
2020-02-03,45.8068
2020-02-04,45.5912
2020-02-05,48.2772
2020-02-06,48.1236
2020-02-07,46.2951
2020-02-08,46.2951
2020-02-09,46.2951
2020-02-10,44.7558
2020-02-11,45.026
2020-02-12,44.2794
2020-02-13,46.9198
2020-02-14,44.4408
2020-02-15,44.4408
2020-02-16,44.4408
2020-02-17,44.4408
2020-02-18,41.9401
2020-02-19,40.3106
2020-02-20,40.2459
2020-02-21,36.5995
2020-02-22,36.5995
2020-02-23,36.5995
2020-02-24,35.2769
2020-02-25,32.1246
2020-02-26,29.2882
2020-02-27,28.0091
2020-02-28,23.3965
2020-02-29,23.3965
2020-03-01,23.3965
2020-03-02,29.0225
2020-03-03,27.0016
2020-03-04,27.4766
2020-03-05,23.8166
2020-03-06,21.8195
2020-03-07,21.8195
2020-03-08,21.8195
2020-03-09,17.4725
2020-03-10,16.5697
2020-03-11,16.4045
2020-03-12,14.2066
2020-03-13,24.6972
2020-03-14,24.6972
2020-03-15,24.6972
2020-03-16,29.1766
2020-03-17,37.497
2020-03-18,24.7352
2020-03-19,32.9223
2020-03-20,31.2433
2020-03-21,31.2433
2020-03-22,31.2433
2020-03-23,31.7268
2020-03-24,35.7023
2020-03-25,35.1052
2020-03-26,37.4282
2020-03-27,37.4731
2020-03-28,37.4731
2020-03-29,37.4731
2020-03-30,37.6816
2020-03-31,38.2998
2020-04-01,35.9714
2020-04-02,36.6996
