,CRMT US Equity
,RSI_30D
2020-01-01,64.2685
2020-01-02,65.3135
2020-01-03,63.4896
2020-01-04,63.4896
2020-01-05,63.4896
2020-01-06,64.2929
2020-01-07,62.2794
2020-01-08,60.8906
2020-01-09,58.3513
2020-01-10,59.974
2020-01-11,59.974
2020-01-12,59.974
2020-01-13,61.3905
2020-01-14,58.6969
2020-01-15,58.3694
2020-01-16,60.6896
2020-01-17,59.937
2020-01-18,59.937
2020-01-19,59.937
2020-01-20,59.937
2020-01-21,60.7085
2020-01-22,60.7606
2020-01-23,61.1444
2020-01-24,58.7341
2020-01-25,58.7341
2020-01-26,58.7341
2020-01-27,57.9251
2020-01-28,62.2304
2020-01-29,62.8497
2020-01-30,62.9793
2020-01-31,57.0704
2020-02-01,57.0704
2020-02-02,57.0704
2020-02-03,58.4751
2020-02-04,54.1469
2020-02-05,58.0783
2020-02-06,58.2457
2020-02-07,51.7549
2020-02-08,51.7549
2020-02-09,51.7549
2020-02-10,60.723
2020-02-11,60.8335
2020-02-12,63.2381
2020-02-13,63.4722
2020-02-14,60.1071
2020-02-15,60.1071
2020-02-16,60.1071
2020-02-17,60.1071
2020-02-18,62.6649
2020-02-19,65.7716
2020-02-20,67.5687
2020-02-21,59.6523
2020-02-22,59.6523
2020-02-23,59.6523
2020-02-24,54.4695
2020-02-25,49.9775
2020-02-26,50.7625
2020-02-27,46.6992
2020-02-28,45.4728
2020-02-29,45.4728
2020-03-01,45.4728
2020-03-02,47.8847
2020-03-03,46.5831
2020-03-04,48.8948
2020-03-05,44.8379
2020-03-06,43.3347
2020-03-07,43.3347
2020-03-08,43.3347
2020-03-09,43.0656
2020-03-10,43.9979
2020-03-11,40.5822
2020-03-12,33.1829
2020-03-13,38.144
2020-03-14,38.144
2020-03-15,38.144
2020-03-16,32.4983
2020-03-17,30.7994
2020-03-18,25.9551
2020-03-19,28.9143
2020-03-20,28.1691
2020-03-21,28.1691
2020-03-22,28.1691
2020-03-23,27.8937
2020-03-24,33.2268
2020-03-25,35.9577
2020-03-26,35.9723
2020-03-27,35.7206
2020-03-28,35.7206
2020-03-29,35.7206
2020-03-30,35.498
2020-03-31,37.1704
2020-04-01,35.0838
2020-04-02,34.8711
2020-04-03,34.4192
2020-04-04,34.4192
2020-04-05,34.4192
2020-04-06,38.8473
2020-04-07,40.5181
2020-04-08,41.735
2020-04-09,43.2368
2020-04-10,43.2368
2020-04-11,43.2368
2020-04-12,43.2368
2020-04-13,43.3805
2020-04-14,43.2483
2020-04-15,40.5971
2020-04-16,41.015
2020-04-17,41.4673
2020-04-18,41.4673
2020-04-19,41.4673
2020-04-20,40.6463
2020-04-21,39.8268
2020-04-22,39.7026
2020-04-23,40.2285
2020-04-24,42.2715
2020-04-25,42.2715
2020-04-26,42.2715
2020-04-27,44.1511
2020-04-28,44.5899
2020-04-29,47.2546
2020-04-30,46.4822
2020-05-01,45.3644
2020-05-02,45.3644
2020-05-03,45.3644
2020-05-04,47.7415
2020-05-05,48.1685
2020-05-06,47.1521
2020-05-07,48.0854
2020-05-08,50.3323
2020-05-09,50.3323
2020-05-10,50.3323
2020-05-11,49.3028
2020-05-12,47.9841
2020-05-13,46.4045
2020-05-14,47.0271
2020-05-15,47.9221
2020-05-16,47.9221
2020-05-17,47.9221
2020-05-18,49.8084
2020-05-19,49.1037
2020-05-20,49.9181
2020-05-21,51.2888
2020-05-22,53.5436
2020-05-23,53.5436
2020-05-24,53.5436
2020-05-25,53.5436
2020-05-26,55.4068
2020-05-27,57.2215
2020-05-28,54.8916
2020-05-29,54.0114
2020-05-30,54.0114
2020-05-31,54.0114
2020-06-01,55.0767
2020-06-02,55.4084
2020-06-03,57.4755
2020-06-04,58.0574
2020-06-05,62.3361
2020-06-06,62.3361
2020-06-07,62.3361
2020-06-08,61.3692
2020-06-09,60.5513
2020-06-10,58.3843
2020-06-11,54.4486
2020-06-12,55.9375
2020-06-13,55.9375
2020-06-14,55.9375
2020-06-15,57.6944
2020-06-16,58.1705
2020-06-17,56.7701
2020-06-18,56.0976
2020-06-19,55.1528
2020-06-20,55.1528
2020-06-21,55.1528
2020-06-22,54.7225
2020-06-23,55.3108
2020-06-24,52.7682
2020-06-25,53.4382
2020-06-26,50.5787
2020-06-27,50.5787
2020-06-28,50.5787
2020-06-29,52.8977
2020-06-30,54.4195
2020-07-01,52.3347
2020-07-02,53.5431
2020-07-03,53.5431
2020-07-04,53.5431
2020-07-05,53.5431
2020-07-06,54.953
2020-07-07,53.9291
2020-07-08,54.1774
2020-07-09,51.3865
2020-07-10,53.2591
2020-07-11,53.2591
2020-07-12,53.2591
2020-07-13,52.7651
2020-07-14,54.3284
2020-07-15,57.1042
2020-07-16,55.3739
2020-07-17,54.9778
2020-07-18,54.9778
2020-07-19,54.9778
2020-07-20,54.6867
2020-07-21,57.9555
2020-07-22,59.5728
2020-07-23,61.1438
2020-07-24,58.1709
2020-07-25,58.1709
2020-07-26,58.1709
2020-07-27,58.8993
2020-07-28,56.5602
2020-07-29,57.6802
2020-07-30,55.9602
2020-07-31,55.0204
2020-08-01,55.0204
2020-08-02,55.0204
2020-08-03,55.2871
2020-08-04,54.812
2020-08-05,55.9915
2020-08-06,53.6841
2020-08-07,54.5046
2020-08-08,54.5046
2020-08-09,54.5046
2020-08-10,55.2319
2020-08-11,56.3606
2020-08-12,56.9799
2020-08-13,55.2299
2020-08-14,56.3682
2020-08-15,56.3682
2020-08-16,56.3682
2020-08-17,60.2041
2020-08-18,59.5518
2020-08-19,57.183
2020-08-20,55.8145
2020-08-21,56.6533
2020-08-22,56.6533
2020-08-23,56.6533
2020-08-24,57.8049
2020-08-25,56.092
2020-08-26,56.3912
2020-08-27,56.1638
2020-08-28,56.4732
2020-08-29,56.4732
2020-08-30,56.4732
2020-08-31,55.4436
2020-09-01,57.0298
2020-09-02,56.0473
2020-09-03,55.1368
2020-09-04,55.1741
2020-09-05,55.1741
2020-09-06,55.1741
2020-09-07,55.1741
2020-09-08,55.7224
2020-09-09,57.6714
2020-09-10,55.3621
2020-09-11,52.1151
2020-09-12,52.1151
2020-09-13,52.1151
2020-09-14,44.5075
2020-09-15,44.9894
2020-09-16,44.3812
2020-09-17,43.602
2020-09-18,44.1052
2020-09-19,44.1052
2020-09-20,44.1052
2020-09-21,42.4487
2020-09-22,46.0902
2020-09-23,44.3979
2020-09-24,42.6708
2020-09-25,43.3893
2020-09-26,43.3893
2020-09-27,43.3893
2020-09-28,45.7973
2020-09-29,44.0852
2020-09-30,44.0715
2020-10-01,46.0298
2020-10-02,47.0276
2020-10-03,47.0276
2020-10-04,47.0276
2020-10-05,49.2508
2020-10-06,49.8841
2020-10-07,49.8758
2020-10-08,51.3741
2020-10-09,51.3476
2020-10-10,51.3476
2020-10-11,51.3476
2020-10-12,51.5713
2020-10-13,53.1894
2020-10-14,51.549
2020-10-15,53.1136
2020-10-16,53.4977
2020-10-17,53.4977
2020-10-18,53.4977
2020-10-19,51.584
2020-10-20,51.8463
2020-10-21,51.597
2020-10-22,51.5252
2020-10-23,50.8665
2020-10-24,50.8665
2020-10-25,50.8665
2020-10-26,48.2916
2020-10-27,45.3028
2020-10-28,42.1175
2020-10-29,43.0166
2020-10-30,44.8014
2020-10-31,44.8014
2020-11-01,44.8014
2020-11-02,48.6251
2020-11-03,51.7882
2020-11-04,51.0942
2020-11-05,51.539
2020-11-06,49.2774
2020-11-07,49.2774
2020-11-08,49.2774
2020-11-09,50.7098
2020-11-10,53.6814
2020-11-11,54.0904
2020-11-12,52.3084
2020-11-13,54.7957
2020-11-14,54.7957
2020-11-15,54.7957
2020-11-16,58.191
2020-11-17,60.2905
2020-11-18,57.7953
2020-11-19,57.0017
2020-11-20,56.9814
2020-11-21,56.9814
2020-11-22,56.9814
2020-11-23,58.7028
2020-11-24,61.3395
2020-11-25,60.3694
2020-11-26,60.3694
2020-11-27,59.7357
2020-11-28,59.7357
2020-11-29,59.7357
2020-11-30,57.9751
2020-12-01,60.7052
2020-12-02,58.8538
2020-12-03,60.9404
2020-12-04,60.8547
2020-12-05,60.8547
2020-12-06,60.8547
2020-12-07,61.2004
2020-12-08,61.7777
2020-12-09,62.8918
2020-12-10,64.4326
2020-12-11,62.5967
2020-12-12,62.5967
2020-12-13,62.5967
2020-12-14,60.8156
2020-12-15,63.0008
2020-12-16,60.6675
2020-12-17,63.2127
2020-12-18,64.6503
2020-12-19,64.6503
2020-12-20,64.6503
2020-12-21,58.8595
2020-12-22,56.2805
2020-12-23,55.2584
2020-12-24,55.9003
2020-12-25,55.9003
2020-12-26,55.9003
2020-12-27,55.9003
2020-12-28,54.2342
2020-12-29,54.6505
2020-12-30,55.7428
2020-12-31,55.4447
2021-01-01,55.4447
2021-01-02,55.4447
2021-01-03,55.4447
2021-01-04,52.8981
2021-01-05,56.1472
2021-01-06,59.5905
2021-01-07,61.4278
2021-01-08,61.7372
2021-01-09,61.7372
2021-01-10,61.7372
2021-01-11,63.2735
2021-01-12,65.2488
2021-01-13,60.9545
2021-01-14,62.9914
2021-01-15,60.5909
2021-01-16,60.5909
2021-01-17,60.5909
2021-01-18,60.5909
2021-01-19,60.1336
2021-01-20,61.8596
2021-01-21,62.3172
2021-01-22,62.696
2021-01-23,62.696
2021-01-24,62.696
2021-01-25,58.3969
2021-01-26,58.9583
2021-01-27,53.9575
2021-01-28,54.3155
2021-01-29,55.604
2021-01-30,55.604
2021-01-31,55.604
