,NPO US Equity
,RSI_30D
2020-01-01,50.4399
2020-01-02,52.3374
2020-01-03,52.1408
2020-01-04,52.1408
2020-01-05,52.1408
2020-01-06,51.7385
2020-01-07,50.308
2020-01-08,49.982
2020-01-09,52.318
2020-01-10,48.9568
2020-01-11,48.9568
2020-01-12,48.9568
2020-01-13,52.204
2020-01-14,49.4452
2020-01-15,48.2943
2020-01-16,50.9351
2020-01-17,50.5602
2020-01-18,50.5602
2020-01-19,50.5602
2020-01-20,50.5602
2020-01-21,46.673
2020-01-22,46.0246
2020-01-23,46.2737
2020-01-24,42.4627
2020-01-25,42.4627
2020-01-26,42.4627
2020-01-27,40.6043
2020-01-28,40.7371
2020-01-29,37.734
2020-01-30,37.7006
2020-01-31,34.4198
2020-02-01,34.4198
2020-02-02,34.4198
2020-02-03,32.9236
2020-02-04,37.6003
2020-02-05,43.2807
2020-02-06,40.5613
2020-02-07,39.036
2020-02-08,39.036
2020-02-09,39.036
2020-02-10,39.0214
2020-02-11,40.4945
2020-02-12,40.818
2020-02-13,40.8893
2020-02-14,39.9766
2020-02-15,39.9766
2020-02-16,39.9766
2020-02-17,39.9766
2020-02-18,39.9431
2020-02-19,39.9084
2020-02-20,44.0491
2020-02-21,43.7843
2020-02-22,43.7843
2020-02-23,43.7843
2020-02-24,39.6775
2020-02-25,44.3795
2020-02-26,38.9355
2020-02-27,35.2272
2020-02-28,35.5966
2020-02-29,35.5966
2020-03-01,35.5966
2020-03-02,39.7378
2020-03-03,35.5932
2020-03-04,39.2236
2020-03-05,35.2427
2020-03-06,35.1828
2020-03-07,35.1828
2020-03-08,35.1828
2020-03-09,31.4008
2020-03-10,36.5668
2020-03-11,33.6013
2020-03-12,29.6929
2020-03-13,38.8043
2020-03-14,38.8043
2020-03-15,38.8043
2020-03-16,33.6522
2020-03-17,35.7193
2020-03-18,30.8055
2020-03-19,30.5327
2020-03-20,30.1213
2020-03-21,30.1213
2020-03-22,30.1213
2020-03-23,31.949
2020-03-24,37.257
2020-03-25,36.6759
2020-03-26,42.0718
2020-03-27,39.5212
2020-03-28,39.5212
2020-03-29,39.5212
2020-03-30,41.937
2020-03-31,41.0636
2020-04-01,40.5212
2020-04-02,40.4069
2020-04-03,38.9977
2020-04-04,38.9977
2020-04-05,38.9977
