,TNC US Equity
,RSI_30D
2020-01-01,61.5952
2020-01-02,62.7265
2020-01-03,64.9032
2020-01-04,64.9032
2020-01-05,64.9032
2020-01-06,64.7683
2020-01-07,63.774
2020-01-08,64.0105
2020-01-09,65.5611
2020-01-10,65.7708
2020-01-11,65.7708
2020-01-12,65.7708
2020-01-13,70.5457
2020-01-14,68.3837
2020-01-15,70.4959
2020-01-16,73.5276
2020-01-17,68.2143
2020-01-18,68.2143
2020-01-19,68.2143
2020-01-20,68.2143
2020-01-21,63.4178
2020-01-22,62.8332
2020-01-23,63.451
2020-01-24,61.3151
2020-01-25,61.3151
2020-01-26,61.3151
2020-01-27,58.1131
2020-01-28,57.4428
2020-01-29,54.6876
2020-01-30,54.006
2020-01-31,49.4542
2020-02-01,49.4542
2020-02-02,49.4542
2020-02-03,49.7925
2020-02-04,53.5704
2020-02-05,56.1143
2020-02-06,55.2421
2020-02-07,54.2578
2020-02-08,54.2578
2020-02-09,54.2578
2020-02-10,55.8485
2020-02-11,58.0756
2020-02-12,57.9803
2020-02-13,58.334
2020-02-14,58.182
2020-02-15,58.182
2020-02-16,58.182
2020-02-17,58.182
2020-02-18,62.0666
2020-02-19,58.655
2020-02-20,59.4241
2020-02-21,57.7101
2020-02-22,57.7101
2020-02-23,57.7101
2020-02-24,56.7091
2020-02-25,53.2939
2020-02-26,53.3521
2020-02-27,45.6531
2020-02-28,38.1898
2020-02-29,38.1898
2020-03-01,38.1898
2020-03-02,43.6342
2020-03-03,40.5684
2020-03-04,48.6875
2020-03-05,44.0828
2020-03-06,42.0018
2020-03-07,42.0018
2020-03-08,42.0018
2020-03-09,35.2984
2020-03-10,38.4775
2020-03-11,35.6225
2020-03-12,30.2824
2020-03-13,36.6107
2020-03-14,36.6107
2020-03-15,36.6107
2020-03-16,33.9766
2020-03-17,39.9138
2020-03-18,38.4058
2020-03-19,35.3503
2020-03-20,34.8712
2020-03-21,34.8712
2020-03-22,34.8712
2020-03-23,33.6237
2020-03-24,37.7163
2020-03-25,38.2922
2020-03-26,41.2959
2020-03-27,38.9827
2020-03-28,38.9827
2020-03-29,38.9827
2020-03-30,42.6346
2020-03-31,42.5942
