,AEP US Equity
,RSI_30D
2020-06-30,46.4576
2020-07-01,49.4326
2020-07-02,50.065
2020-07-03,50.065
2020-07-04,50.065
2020-07-05,50.065
2020-07-06,49.5717
2020-07-07,49.9163
2020-07-08,49.9556
2020-07-09,49.4206
2020-07-10,52.2384
2020-07-11,52.2384
2020-07-12,52.2384
2020-07-13,53.0139
2020-07-14,53.7651
2020-07-15,52.774
2020-07-16,53.3187
2020-07-17,56.3902
2020-07-18,56.3902
2020-07-19,56.3902
2020-07-20,55.1644
2020-07-21,56.2114
2020-07-22,58.2753
2020-07-23,57.3486
2020-07-24,56.2767
2020-07-25,56.2767
2020-07-26,56.2767
2020-07-27,49.3515
2020-07-28,51.2682
2020-07-29,51.3455
2020-07-30,52.977
2020-07-31,53.9949
2020-08-01,53.9949
2020-08-02,53.9949
2020-08-03,52.3873
2020-08-04,52.0551
2020-08-05,51.0219
2020-08-06,51.775
2020-08-07,54.3896
2020-08-08,54.3896
2020-08-09,54.3896
2020-08-10,53.3661
2020-08-11,49.4972
2020-08-12,50.6971
2020-08-13,49.997
2020-08-14,48.9829
2020-08-15,48.9829
2020-08-16,48.9829
2020-08-17,46.6136
2020-08-18,47.106
2020-08-19,46.2374
2020-08-20,44.2159
2020-08-21,43.7832
2020-08-22,43.7832
2020-08-23,43.7832
2020-08-24,46.57
2020-08-25,45.1931
2020-08-26,43.6594
2020-08-27,43.3445
2020-08-28,43.3176
2020-08-29,43.3176
2020-08-30,43.3176
2020-08-31,44.1786
2020-09-01,42.7646
2020-09-02,47.084
2020-09-03,46.0023
2020-09-04,45.2706
2020-09-05,45.2706
2020-09-06,45.2706
2020-09-07,45.2706
2020-09-08,45.1686
2020-09-09,46.8156
2020-09-10,44.7379
2020-09-11,45.8644
2020-09-12,45.8644
2020-09-13,45.8644
2020-09-14,47.9381
2020-09-15,47.4014
2020-09-16,48.2129
2020-09-17,47.5204
2020-09-18,45.4927
2020-09-19,45.4927
2020-09-20,45.4927
2020-09-21,46.5782
2020-09-22,47.4921
2020-09-23,46.3701
2020-09-24,48.8159
2020-09-25,49.1092
2020-09-26,49.1092
2020-09-27,49.1092
2020-09-28,49.1092
2020-09-29,49.7257
2020-09-30,51.1788
2020-10-01,53.6063
2020-10-02,57.305
2020-10-03,57.305
2020-10-04,57.305
2020-10-05,59.8894
2020-10-06,61.7768
2020-10-07,62.018
2020-10-08,63.0497
2020-10-09,63.6336
2020-10-10,63.6336
2020-10-11,63.6336
2020-10-12,64.504
2020-10-13,61.6146
2020-10-14,61.7705
2020-10-15,62.0603
2020-10-16,64.7936
2020-10-17,64.7936
2020-10-18,64.7936
2020-10-19,64.2136
2020-10-20,62.7604
2020-10-21,62.0822
2020-10-22,64.6245
2020-10-23,63.8374
2020-10-24,63.8374
2020-10-25,63.8374
2020-10-26,66.1187
2020-10-27,63.5479
2020-10-28,58.6311
2020-10-29,58.9581
2020-10-30,57.651
2020-10-31,57.651
2020-11-01,57.651
2020-11-02,59.6245
2020-11-03,58.8821
2020-11-04,57.2764
2020-11-05,58.1694
2020-11-06,58.5058
2020-11-07,58.5058
2020-11-08,58.5058
2020-11-09,58.638
2020-11-10,59.5218
2020-11-11,60.1205
2020-11-12,56.4834
2020-11-13,56.9018
2020-11-14,56.9018
2020-11-15,56.9018
2020-11-16,55.3555
2020-11-17,50.0671
2020-11-18,45.3665
2020-11-19,42.6876
2020-11-20,42.7708
2020-11-21,42.7708
2020-11-22,42.7708
2020-11-23,44.6824
2020-11-24,47.4645
2020-11-25,48.5094
2020-11-26,48.5094
2020-11-27,47.7063
2020-11-28,47.7063
2020-11-29,47.7063
2020-11-30,47.6519
2020-12-01,48.3025
2020-12-02,49.638
2020-12-03,47.4662
2020-12-04,45.0312
2020-12-05,45.0312
2020-12-06,45.0312
2020-12-07,45.9867
2020-12-08,45.3524
2020-12-09,45.5963
2020-12-10,43.5486
2020-12-11,44.1967
2020-12-12,44.1967
2020-12-13,44.1967
2020-12-14,43.1891
2020-12-15,47.8413
2020-12-16,45.1562
2020-12-17,47.3142
2020-12-18,46.2719
2020-12-19,46.2719
2020-12-20,46.2719
2020-12-21,44.2041
2020-12-22,42.9814
2020-12-23,41.8341
2020-12-24,43.4411
2020-12-25,43.4411
2020-12-26,43.4411
2020-12-27,43.4411
2020-12-28,43.1976
2020-12-29,43.0195
2020-12-30,43.8105
2020-12-31,47.8079
2021-01-01,47.8079
2021-01-02,47.8079
2021-01-03,47.8079
2021-01-04,44.5828
2021-01-05,44.3858
2021-01-06,45.8482
2021-01-07,41.9991
2021-01-08,40.8489
2021-01-09,40.8489
2021-01-10,40.8489
2021-01-11,40.1993
2021-01-12,38.7284
2021-01-13,39.4878
2021-01-14,41.1432
2021-01-15,44.9035
2021-01-16,44.9035
2021-01-17,44.9035
2021-01-18,44.9035
2021-01-19,45.4313
2021-01-20,45.5213
2021-01-21,46.0277
2021-01-22,48.5248
2021-01-23,48.5248
2021-01-24,48.5248
2021-01-25,49.6325
2021-01-26,48.0187
2021-01-27,45.2885
2021-01-28,45.5669
2021-01-29,46.39
2021-01-30,46.39
2021-01-31,46.39
2021-02-01,47.0292
2021-02-02,49.1879
2021-02-03,47.4043
2021-02-04,49.5258
2021-02-05,49.4814
2021-02-06,49.4814
2021-02-07,49.4814
2021-02-08,46.8525
2021-02-09,46.0088
2021-02-10,46.4329
2021-02-11,44.1938
2021-02-12,43.4978
2021-02-13,43.4978
2021-02-14,43.4978
2021-02-15,43.4978
2021-02-16,42.6397
2021-02-17,43.4639
2021-02-18,48.5377
2021-02-19,45.5618
2021-02-20,45.5618
2021-02-21,45.5618
2021-02-22,41.2455
2021-02-23,44.3614
2021-02-24,42.6082
2021-02-25,41.2457
2021-02-26,38.9124
2021-02-27,38.9124
2021-02-28,38.9124
2021-03-01,43.1779
2021-03-02,42.7463
2021-03-03,42.5264
2021-03-04,44.634
2021-03-05,48.1254
2021-03-06,48.1254
2021-03-07,48.1254
2021-03-08,51.1936
2021-03-09,51.3993
2021-03-10,52.5283
2021-03-11,50.1194
2021-03-12,52.0893
2021-03-13,52.0893
2021-03-14,52.0893
2021-03-15,54.3147
2021-03-16,56.377
2021-03-17,53.5484
2021-03-18,54.3721
2021-03-19,56.1647
2021-03-20,56.1647
2021-03-21,56.1647
2021-03-22,56.0795
2021-03-23,57.7534
2021-03-24,58.3229
2021-03-25,57.7022
2021-03-26,58.1628
2021-03-27,58.1628
2021-03-28,58.1628
2021-03-29,59.5957
2021-03-30,56.9603
2021-03-31,56.89
2021-04-01,58.3787
2021-04-02,58.3787
2021-04-03,58.3787
2021-04-04,58.3787
2021-04-05,59.6652
2021-04-06,60.4741
2021-04-07,60.2657
2021-04-08,58.6456
2021-04-09,58.1759
2021-04-10,58.1759
2021-04-11,58.1759
2021-04-12,58.3866
2021-04-13,59.7593
2021-04-14,60.4159
2021-04-15,61.771
2021-04-16,63.0957
2021-04-17,63.0957
2021-04-18,63.0957
2021-04-19,63.2724
2021-04-20,65.797
