,LILA US Equity
,RSI_30D
2020-01-01,56.4324
2020-01-02,58.0229
2020-01-03,57.4158
2020-01-04,57.4158
2020-01-05,57.4158
2020-01-06,58.255
2020-01-07,56.3977
2020-01-08,52.9858
2020-01-09,53.4829
2020-01-10,51.2413
2020-01-11,51.2413
2020-01-12,51.2413
2020-01-13,51.3918
2020-01-14,49.8784
2020-01-15,53.1814
2020-01-16,53.7545
2020-01-17,50.8561
2020-01-18,50.8561
2020-01-19,50.8561
2020-01-20,50.8561
2020-01-21,49.4762
2020-01-22,47.8352
2020-01-23,46.0401
2020-01-24,44.2534
2020-01-25,44.2534
2020-01-26,44.2534
2020-01-27,42.4823
2020-01-28,40.5546
2020-01-29,40.5546
2020-01-30,42.0081
2020-01-31,37.5023
2020-02-01,37.5023
2020-02-02,37.5023
2020-02-03,39.9568
2020-02-04,38.9398
2020-02-05,40.5063
2020-02-06,43.4259
2020-02-07,42.5616
2020-02-08,42.5616
2020-02-09,42.5616
2020-02-10,42.4991
2020-02-11,42.9326
2020-02-12,44.3219
2020-02-13,42.5793
2020-02-14,42.3804
2020-02-15,42.3804
2020-02-16,42.3804
2020-02-17,42.3804
2020-02-18,43.5622
2020-02-19,45.5613
2020-02-20,56.5054
2020-02-21,54.6302
2020-02-22,54.6302
2020-02-23,54.6302
2020-02-24,50.2033
2020-02-25,46.7342
2020-02-26,43.7673
2020-02-27,39.7777
2020-02-28,35.9443
2020-02-29,35.9443
2020-03-01,35.9443
2020-03-02,37.5818
2020-03-03,35.8379
2020-03-04,35.8379
2020-03-05,33.8294
2020-03-06,36.6348
2020-03-07,36.6348
2020-03-08,36.6348
2020-03-09,31.306
2020-03-10,30.6829
2020-03-11,27.8424
2020-03-12,23.5929
2020-03-13,26.9678
2020-03-14,26.9678
2020-03-15,26.9678
2020-03-16,23.7964
2020-03-17,34.925
2020-03-18,30.9354
2020-03-19,33.8037
2020-03-20,33.0838
2020-03-21,33.0838
2020-03-22,33.0838
2020-03-23,36.0117
2020-03-24,39.5262
2020-03-25,39.2474
2020-03-26,42.7494
2020-03-27,40.2605
2020-03-28,40.2605
2020-03-29,40.2605
2020-03-30,39.3175
2020-03-31,39.0651
2020-04-01,37.4286
2020-04-02,38.5743
2020-04-03,37.4883
2020-04-04,37.4883
2020-04-05,37.4883
2020-04-06,40.0726
2020-04-07,40.796
2020-04-08,42.0461
2020-04-09,44.3493
2020-04-10,44.3493
2020-04-11,44.3493
2020-04-12,44.3493
2020-04-13,43.8485
2020-04-14,44.0446
2020-04-15,42.0207
2020-04-16,41.6005
2020-04-17,43.9538
2020-04-18,43.9538
2020-04-19,43.9538
2020-04-20,42.9928
2020-04-21,41.8169
2020-04-22,41.1836
2020-04-23,42.0908
2020-04-24,42.531
2020-04-25,42.531
2020-04-26,42.531
2020-04-27,43.2744
2020-04-28,43.2166
2020-04-29,45.9798
2020-04-30,43.8045
2020-05-01,43.3108
2020-05-02,43.3108
2020-05-03,43.3108
2020-05-04,43.0158
2020-05-05,41.7509
2020-05-06,40.3522
2020-05-07,40.5205
2020-05-08,42.2072
2020-05-09,42.2072
2020-05-10,42.2072
2020-05-11,41.2393
2020-05-12,40.2546
2020-05-13,38.4418
2020-05-14,40.3816
2020-05-15,40.292
2020-05-16,40.292
2020-05-17,40.292
2020-05-18,43.0364
2020-05-19,41.1423
2020-05-20,43.1575
2020-05-21,42.2286
2020-05-22,43.2985
2020-05-23,43.2985
2020-05-24,43.2985
2020-05-25,43.2985
2020-05-26,45.7116
2020-05-27,46.4032
2020-05-28,45.5903
2020-05-29,45.3047
2020-05-30,45.3047
2020-05-31,45.3047
2020-06-01,46.4753
2020-06-02,45.9851
2020-06-03,46.7449
2020-06-04,47.1521
2020-06-05,51.303
2020-06-06,51.303
2020-06-07,51.303
2020-06-08,54.4686
2020-06-09,51.7436
2020-06-10,50.458
