,KOP US Equity
,RSI_30D
2020-01-01,61.9597
2020-01-02,60.8501
2020-01-03,60.0411
2020-01-04,60.0411
2020-01-05,60.0411
2020-01-06,53.8953
2020-01-07,53.8666
2020-01-08,50.0655
2020-01-09,49.3862
2020-01-10,47.6376
2020-01-11,47.6376
2020-01-12,47.6376
2020-01-13,49.2504
2020-01-14,50.2973
2020-01-15,51.4657
2020-01-16,52.1011
2020-01-17,51.3763
2020-01-18,51.3763
2020-01-19,51.3763
2020-01-20,51.3763
2020-01-21,49.3591
2020-01-22,47.2765
2020-01-23,47.1696
2020-01-24,45.9595
2020-01-25,45.9595
2020-01-26,45.9595
2020-01-27,44.4395
2020-01-28,45.5634
2020-01-29,46.2067
2020-01-30,46.1502
2020-01-31,42.5497
2020-02-01,42.5497
2020-02-02,42.5497
2020-02-03,44.164
2020-02-04,46.6823
2020-02-05,49.6917
2020-02-06,48.6131
2020-02-07,47.3812
2020-02-08,47.3812
2020-02-09,47.3812
2020-02-10,47.9395
2020-02-11,51.4064
2020-02-12,53.9806
2020-02-13,52.3207
2020-02-14,52.23
2020-02-15,52.23
2020-02-16,52.23
2020-02-17,52.23
2020-02-18,37.9003
2020-02-19,39.1552
2020-02-20,40.639
2020-02-21,39.6745
2020-02-22,39.6745
2020-02-23,39.6745
2020-02-24,37.0809
2020-02-25,34.5004
2020-02-26,31.8379
2020-02-27,27.7398
2020-02-28,32.4501
2020-02-29,32.4501
2020-03-01,32.4501
2020-03-02,30.4513
2020-03-03,30.033
2020-03-04,31.8253
2020-03-05,31.2765
2020-03-06,29.6877
2020-03-07,29.6877
2020-03-08,29.6877
2020-03-09,27.633
2020-03-10,27.7325
2020-03-11,26.7618
2020-03-12,24.7337
2020-03-13,27.3236
2020-03-14,27.3236
2020-03-15,27.3236
2020-03-16,24.8088
2020-03-17,26.6311
2020-03-18,25.2206
2020-03-19,27.326
2020-03-20,26.0399
2020-03-21,26.0399
2020-03-22,26.0399
2020-03-23,25.9106
2020-03-24,28.8148
2020-03-25,30.4145
2020-03-26,33.1555
2020-03-27,32.1948
2020-03-28,32.1948
2020-03-29,32.1948
2020-03-30,34.1681
2020-03-31,33.9156
2020-04-01,31.5068
2020-04-02,30.9143
2020-04-03,29.859
2020-04-04,29.859
2020-04-05,29.859
2020-04-06,34.4066
2020-04-07,34.5092
2020-04-08,40.7261
2020-04-09,40.762
2020-04-10,40.762
2020-04-11,40.762
2020-04-12,40.762
2020-04-13,39.9729
2020-04-14,40.708
2020-04-15,38.7208
2020-04-16,37.838
2020-04-17,39.366
2020-04-18,39.366
2020-04-19,39.366
2020-04-20,38.1472
2020-04-21,37.4977
2020-04-22,37.8899
2020-04-23,39.1375
2020-04-24,38.9352
2020-04-25,38.9352
2020-04-26,38.9352
2020-04-27,40.0883
2020-04-28,43.3661
2020-04-29,48.5858
2020-04-30,47.8859
2020-05-01,44.7767
2020-05-02,44.7767
2020-05-03,44.7767
2020-05-04,44.831
2020-05-05,44.1287
2020-05-06,42.9153
2020-05-07,44.5689
2020-05-08,48.4989
2020-05-09,48.4989
2020-05-10,48.4989
2020-05-11,48.1282
2020-05-12,45.1625
2020-05-13,43.2017
2020-05-14,43.314
2020-05-15,43.1521
2020-05-16,43.1521
2020-05-17,43.1521
2020-05-18,47.4545
2020-05-19,48.476
2020-05-20,50.125
2020-05-21,50.3115
2020-05-22,50.3639
2020-05-23,50.3639
2020-05-24,50.3639
2020-05-25,50.3639
2020-05-26,52.4221
2020-05-27,54.2683
2020-05-28,51.6049
2020-05-29,51.1004
2020-05-30,51.1004
2020-05-31,51.1004
2020-06-01,52.6398
2020-06-02,53.1987
2020-06-03,55.0127
2020-06-04,57.2608
2020-06-05,58.6076
2020-06-06,58.6076
2020-06-07,58.6076
2020-06-08,60.754
2020-06-09,57.8951
2020-06-10,53.3546
2020-06-11,49.1836
2020-06-12,50.5992
2020-06-13,50.5992
2020-06-14,50.5992
2020-06-15,50.1178
2020-06-16,51.6562
2020-06-17,52.3922
2020-06-18,54.3502
2020-06-19,53.7782
2020-06-20,53.7782
2020-06-21,53.7782
2020-06-22,53.6322
2020-06-23,53.3327
2020-06-24,51.1709
2020-06-25,51.6389
2020-06-26,49.8452
2020-06-27,49.8452
2020-06-28,49.8452
2020-06-29,51.8745
2020-06-30,52.633
2020-07-01,51.2282
2020-07-02,51.7325
2020-07-03,51.7325
2020-07-04,51.7325
2020-07-05,51.7325
2020-07-06,52.1891
2020-07-07,50.4131
2020-07-08,51.3643
2020-07-09,50.0725
2020-07-10,52.2694
2020-07-11,52.2694
2020-07-12,52.2694
2020-07-13,52.7926
2020-07-14,53.7112
2020-07-15,55.023
2020-07-16,54.7742
2020-07-17,55.771
2020-07-18,55.771
2020-07-19,55.771
2020-07-20,53.8707
2020-07-21,56.1514
2020-07-22,55.704
2020-07-23,56.6812
2020-07-24,54.666
2020-07-25,54.666
2020-07-26,54.666
2020-07-27,62.2108
2020-07-28,62.2393
2020-07-29,63.6714
2020-07-30,61.9625
2020-07-31,61.434
2020-08-01,61.434
2020-08-02,61.434
2020-08-03,61.6952
2020-08-04,61.6698
2020-08-05,63.5935
2020-08-06,61.9844
2020-08-07,62.176
2020-08-08,62.176
2020-08-09,62.176
2020-08-10,62.5986
2020-08-11,60.9725
2020-08-12,61.9274
2020-08-13,61.7321
2020-08-14,61.6459
2020-08-15,61.6459
2020-08-16,61.6459
2020-08-17,59.943
2020-08-18,60.0204
2020-08-19,60.2787
2020-08-20,58.6215
2020-08-21,57.521
2020-08-22,57.521
2020-08-23,57.521
2020-08-24,59.3148
2020-08-25,57.4042
2020-08-26,57.2552
2020-08-27,56.4366
2020-08-28,56.7211
2020-08-29,56.7211
2020-08-30,56.7211
2020-08-31,54.3059
2020-09-01,55.2784
2020-09-02,54.1175
2020-09-03,49.8955
2020-09-04,51.9145
2020-09-05,51.9145
2020-09-06,51.9145
2020-09-07,51.9145
2020-09-08,50.176
2020-09-09,49.9597
2020-09-10,49.3815
2020-09-11,48.7973
2020-09-12,48.7973
2020-09-13,48.7973
2020-09-14,48.9757
2020-09-15,48.7414
2020-09-16,47.5073
2020-09-17,49.8529
2020-09-18,49.9762
2020-09-19,49.9762
2020-09-20,49.9762
2020-09-21,44.6642
2020-09-22,47.9396
2020-09-23,43.6892
2020-09-24,43.7802
2020-09-25,44.2154
2020-09-26,44.2154
2020-09-27,44.2154
2020-09-28,46.1854
2020-09-29,46.0277
2020-09-30,46.3121
2020-10-01,46.6673
2020-10-02,49.8505
2020-10-03,49.8505
2020-10-04,49.8505
2020-10-05,50.8618
2020-10-06,51.808
2020-10-07,53.0928
2020-10-08,54.6835
2020-10-09,54.9656
2020-10-10,54.9656
2020-10-11,54.9656
2020-10-12,56.3976
2020-10-13,54.9446
2020-10-14,56.5272
2020-10-15,57.5195
2020-10-16,57.294
2020-10-17,57.294
2020-10-18,57.294
2020-10-19,57.3804
2020-10-20,59.2023
2020-10-21,54.9498
2020-10-22,55.2762
2020-10-23,57.5606
2020-10-24,57.5606
2020-10-25,57.5606
2020-10-26,55.5541
2020-10-27,49.0375
2020-10-28,48.4466
2020-10-29,50.778
2020-10-30,48.3665
2020-10-31,48.3665
2020-11-01,48.3665
2020-11-02,52.0323
2020-11-03,53.1786
2020-11-04,49.9725
2020-11-05,53.5351
2020-11-06,50.2478
2020-11-07,50.2478
2020-11-08,50.2478
2020-11-09,53.5921
2020-11-10,56.8999
2020-11-11,57.0698
2020-11-12,55.957
2020-11-13,56.0706
2020-11-14,56.0706
2020-11-15,56.0706
2020-11-16,58.4016
2020-11-17,58.1584
2020-11-18,56.1038
2020-11-19,53.5977
2020-11-20,56.6378
2020-11-21,56.6378
2020-11-22,56.6378
2020-11-23,58.896
2020-11-24,61.0159
2020-11-25,60.5968
2020-11-26,60.5968
2020-11-27,59.8376
2020-11-28,59.8376
2020-11-29,59.8376
2020-11-30,56.388
2020-12-01,57.7338
2020-12-02,58.2207
2020-12-03,57.1546
2020-12-04,60.2112
2020-12-05,60.2112
2020-12-06,60.2112
2020-12-07,59.4598
2020-12-08,55.1852
2020-12-09,56.7091
2020-12-10,54.8608
2020-12-11,52.7426
2020-12-12,52.7426
2020-12-13,52.7426
2020-12-14,55.0479
2020-12-15,57.3061
2020-12-16,55.79
2020-12-17,56.2936
2020-12-18,53.6085
2020-12-19,53.6085
2020-12-20,53.6085
2020-12-21,56.1137
2020-12-22,56.6676
2020-12-23,58.262
2020-12-24,58.0661
2020-12-25,58.0661
2020-12-26,58.0661
2020-12-27,58.0661
2020-12-28,59.9559
2020-12-29,58.2133
2020-12-30,59.4136
2020-12-31,60.9045
2021-01-01,60.9045
2021-01-02,60.9045
2021-01-03,60.9045
2021-01-04,57.1796
2021-01-05,58.4927
2021-01-06,63.1191
2021-01-07,63.838
2021-01-08,62.7139
2021-01-09,62.7139
2021-01-10,62.7139
2021-01-11,62.7139
2021-01-12,65.8805
2021-01-13,63.9691
2021-01-14,65.0494
2021-01-15,65.9673
2021-01-16,65.9673
2021-01-17,65.9673
2021-01-18,65.9673
2021-01-19,66.2272
2021-01-20,66.3835
2021-01-21,64.0535
2021-01-22,64.7441
2021-01-23,64.7441
2021-01-24,64.7441
2021-01-25,62.0088
2021-01-26,61.7124
2021-01-27,59.2515
2021-01-28,59.51
2021-01-29,57.5631
2021-01-30,57.5631
2021-01-31,57.5631
2021-02-01,60.5706
2021-02-02,60.5897
2021-02-03,61.3845
2021-02-04,60.7661
2021-02-05,61.2108
2021-02-06,61.2108
2021-02-07,61.2108
2021-02-08,63.7603
2021-02-09,62.1906
2021-02-10,61.2045
2021-02-11,61.8901
2021-02-12,60.9721
2021-02-13,60.9721
2021-02-14,60.9721
2021-02-15,60.9721
2021-02-16,59.6962
2021-02-17,59.4323
2021-02-18,56.5551
2021-02-19,60.0404
2021-02-20,60.0404
2021-02-21,60.0404
2021-02-22,62.5471
2021-02-23,62.2884
2021-02-24,57.8918
2021-02-25,54.6861
2021-02-26,51.5761
2021-02-27,51.5761
2021-02-28,51.5761
2021-03-01,54.9959
2021-03-02,54.7636
2021-03-03,56.5566
2021-03-04,52.8594
2021-03-05,55.3183
2021-03-06,55.3183
2021-03-07,55.3183
2021-03-08,55.8034
2021-03-09,53.5723
2021-03-10,55.4561
2021-03-11,57.1745
2021-03-12,58.4885
2021-03-13,58.4885
2021-03-14,58.4885
2021-03-15,57.1478
2021-03-16,55.7482
2021-03-17,56.9598
2021-03-18,57.162
2021-03-19,57.8585
2021-03-20,57.8585
2021-03-21,57.8585
2021-03-22,54.7187
2021-03-23,49.0247
2021-03-24,47.0413
2021-03-25,50.1904
2021-03-26,52.5932
2021-03-27,52.5932
2021-03-28,52.5932
2021-03-29,49.4704
2021-03-30,52.2076
2021-03-31,51.1891
2021-04-01,50.9164
2021-04-02,50.9164
2021-04-03,50.9164
2021-04-04,50.9164
2021-04-05,51.5529
2021-04-06,50.3757
2021-04-07,49.1083
2021-04-08,48.4036
2021-04-09,50.0222
2021-04-10,50.0222
2021-04-11,50.0222
2021-04-12,50.535
2021-04-13,48.1571
2021-04-14,49.3101
2021-04-15,50.3384
2021-04-16,50.8881
2021-04-17,50.8881
2021-04-18,50.8881
2021-04-19,49.61
2021-04-20,46.3329
2021-04-21,49.0563
2021-04-22,47.5373
2021-04-23,50.3113
2021-04-24,50.3113
2021-04-25,50.3113
2021-04-26,50.8185
2021-04-27,50.1281
2021-04-28,49.9876
2021-04-29,49.3202
2021-04-30,47.9945
2021-05-01,47.9945
2021-05-02,47.9945
2021-05-03,50.2428
2021-05-04,52.1704
2021-05-05,52.2171
2021-05-06,53.961
2021-05-07,59.071
2021-05-08,59.071
2021-05-09,59.071
2021-05-10,55.7906
2021-05-11,54.8478
2021-05-12,49.641
2021-05-13,48.987
2021-05-14,51.5032
2021-05-15,51.5032
2021-05-16,51.5032
2021-05-17,51.4587
2021-05-18,49.8544
2021-05-19,47.8811
2021-05-20,47.8385
2021-05-21,48.8503
2021-05-22,48.8503
2021-05-23,48.8503
2021-05-24,48.4658
2021-05-25,47.2882
2021-05-26,48.3859
2021-05-27,50.0017
2021-05-28,50.8459
2021-05-29,50.8459
2021-05-30,50.8459
2021-05-31,50.8459
2021-06-01,52.2285
2021-06-02,49.2627
2021-06-03,49.0466
2021-06-04,49.7559
2021-06-05,49.7559
2021-06-06,49.7559
2021-06-07,48.003
2021-06-08,48.6618
2021-06-09,48.1568
2021-06-10,47.244
2021-06-11,47.4444
2021-06-12,47.4444
2021-06-13,47.4444
2021-06-14,45.3079
2021-06-15,44.7373
2021-06-16,44.0142
2021-06-17,43.3642
2021-06-18,41.6041
2021-06-19,41.6041
2021-06-20,41.6041
2021-06-21,42.4101
2021-06-22,42.4786
2021-06-23,42.69
2021-06-24,44.072
2021-06-25,44.7785
2021-06-26,44.7785
2021-06-27,44.7785
2021-06-28,43.2252
2021-06-29,44.2795
2021-06-30,46.9167
2021-07-01,47.3634
2021-07-02,46.3394
2021-07-03,46.3394
2021-07-04,46.3394
2021-07-05,46.3394
2021-07-06,43.4256
2021-07-07,44.4476
2021-07-08,41.8237
2021-07-09,44.8682
2021-07-10,44.8682
2021-07-11,44.8682
2021-07-12,45.2518
2021-07-13,43.3242
2021-07-14,42.7152
2021-07-15,43.3147
2021-07-16,39.518
2021-07-17,39.518
2021-07-18,39.518
2021-07-19,37.6202
2021-07-20,41.2414
2021-07-21,43.1571
2021-07-22,42.8941
2021-07-23,43.5349
2021-07-24,43.5349
2021-07-25,43.5349
2021-07-26,45.8068
2021-07-27,44.5516
2021-07-28,45.3959
2021-07-29,46.9961
2021-07-30,46.0254
2021-07-31,46.0254
2021-08-01,46.0254
2021-08-02,45.2698
2021-08-03,46.8934
2021-08-04,43.1556
2021-08-05,45.3894
2021-08-06,47.5226
2021-08-07,47.5226
2021-08-08,47.5226
2021-08-09,46.3919
2021-08-10,49.3449
2021-08-11,51.5536
2021-08-12,48.6866
2021-08-13,48.1561
2021-08-14,48.1561
2021-08-15,48.1561
2021-08-16,48.0358
2021-08-17,46.9437
2021-08-18,45.9824
2021-08-19,45.2044
2021-08-20,45.2413
2021-08-21,45.2413
2021-08-22,45.2413
2021-08-23,47.4362
2021-08-24,49.8617
2021-08-25,50.6691
2021-08-26,50.0782
2021-08-27,55.565
2021-08-28,55.565
2021-08-29,55.565
2021-08-30,53.773
2021-08-31,54.5168
2021-09-01,55.5816
2021-09-02,57.7419
2021-09-03,55.1497
2021-09-04,55.1497
2021-09-05,55.1497
2021-09-06,55.1497
2021-09-07,54.9341
2021-09-08,50.4772
2021-09-09,50.6353
2021-09-10,49.8774
2021-09-11,49.8774
2021-09-12,49.8774
2021-09-13,52.1639
2021-09-14,50.1313
2021-09-15,49.9005
2021-09-16,47.5084
2021-09-17,43.0379
2021-09-18,43.0379
2021-09-19,43.0379
2021-09-20,42.8495
2021-09-21,42.7666
2021-09-22,45.0774
2021-09-23,48.2347
2021-09-24,49.2195
2021-09-25,49.2195
2021-09-26,49.2195
2021-09-27,53.7409
2021-09-28,52.036
2021-09-29,51.4624
2021-09-30,49.0689
2021-10-01,51.9795
2021-10-02,51.9795
2021-10-03,51.9795
2021-10-04,51.9162
2021-10-05,51.8509
2021-10-06,50.0282
2021-10-07,53.7522
2021-10-08,54.682
2021-10-09,54.682
2021-10-10,54.682
2021-10-11,52.6576
2021-10-12,54.3763
2021-10-13,53.4726
2021-10-14,55.0745
2021-10-15,54.9696
2021-10-16,54.9696
2021-10-17,54.9696
2021-10-18,55.7255
2021-10-19,57.3493
2021-10-20,58.266
2021-10-21,58.766
2021-10-22,57.4603
2021-10-23,57.4603
2021-10-24,57.4603
2021-10-25,59.1121
2021-10-26,58.1456
2021-10-27,55.1158
2021-10-28,57.99
2021-10-29,58.2137
2021-10-30,58.2137
2021-10-31,58.2137
2021-11-01,60.1088
2021-11-02,59.5821
2021-11-03,63.1766
2021-11-04,47.9079
2021-11-05,51.0614
2021-11-06,51.0614
2021-11-07,51.0614
2021-11-08,50.3301
2021-11-09,50.6578
2021-11-10,52.067
2021-11-11,54.3087
2021-11-12,53.8049
2021-11-13,53.8049
2021-11-14,53.8049
2021-11-15,53.2653
2021-11-16,52.0989
2021-11-17,49.8673
2021-11-18,49.4346
2021-11-19,47.5153
2021-11-20,47.5153
2021-11-21,47.5153
2021-11-22,47.8064
2021-11-23,49.6276
2021-11-24,48.8991
2021-11-25,48.8991
2021-11-26,45.5476
2021-11-27,45.5476
2021-11-28,45.5476
2021-11-29,43.6324
2021-11-30,42.3569
2021-12-01,41.2032
2021-12-02,44.3993
2021-12-03,45.0655
2021-12-04,45.0655
2021-12-05,45.0655
2021-12-06,48.4359
2021-12-07,48.4641
2021-12-08,49.0406
2021-12-09,47.1578
2021-12-10,47.6698
2021-12-11,47.6698
2021-12-12,47.6698
2021-12-13,44.8654
2021-12-14,44.0808
2021-12-15,45.881
2021-12-16,45.0131
2021-12-17,42.5649
2021-12-18,42.5649
2021-12-19,42.5649
2021-12-20,41.7179
2021-12-21,45.53
2021-12-22,46.0211
2021-12-23,47.1908
2021-12-24,47.1908
2021-12-25,47.1908
2021-12-26,47.1908
2021-12-27,48.049
2021-12-28,48.1424
2021-12-29,48.8088
2021-12-30,47.574
2021-12-31,47.9725
2022-01-01,47.9725
2022-01-02,47.9725
2022-01-03,50.595
2022-01-04,50.8481
2022-01-05,54.1303
2022-01-06,52.1297
2022-01-07,49.6916
2022-01-08,49.6916
2022-01-09,49.6916
2022-01-10,49.0748
2022-01-11,48.9805
2022-01-12,46.514
2022-01-13,48.4928
2022-01-14,48.4928
2022-01-15,48.4928
2022-01-16,48.4928
2022-01-17,48.4928
2022-01-18,45.0467
2022-01-19,44.5299
2022-01-20,43.8361
2022-01-21,44.0989
2022-01-22,44.0989
2022-01-23,44.0989
2022-01-24,45.8221
2022-01-25,45.2884
2022-01-26,43.2644
2022-01-27,43.4624
2022-01-28,45.1267
2022-01-29,45.1267
2022-01-30,45.1267
2022-01-31,44.5135
2022-02-01,48.0134
2022-02-02,48.4203
2022-02-03,47.2382
2022-02-04,43.5207
2022-02-05,43.5207
2022-02-06,43.5207
2022-02-07,43.5607
2022-02-08,43.3702
2022-02-09,43.7097
2022-02-10,43.2073
2022-02-11,42.0736
2022-02-12,42.0736
2022-02-13,42.0736
2022-02-14,41.9396
2022-02-15,47.5529
2022-02-16,49.9406
2022-02-17,47.6253
2022-02-18,46.0049
2022-02-19,46.0049
2022-02-20,46.0049
2022-02-21,46.0049
2022-02-22,39.3208
2022-02-23,44.2996
2022-02-24,43.2128
2022-02-25,45.3622
2022-02-26,45.3622
2022-02-27,45.3622
2022-02-28,44.2718
2022-03-01,42.2257
2022-03-02,44.3945
2022-03-03,45.9846
2022-03-04,43.8327
2022-03-05,43.8327
2022-03-06,43.8327
2022-03-07,41.3921
2022-03-08,42.0596
2022-03-09,44.2379
2022-03-10,45.0185
2022-03-11,44.5695
2022-03-12,44.5695
2022-03-13,44.5695
2022-03-14,44.1143
2022-03-15,43.0068
2022-03-16,47.5798
2022-03-17,50.9136
2022-03-18,50.9136
2022-03-19,50.9136
2022-03-20,50.9136
2022-03-21,49.1021
2022-03-22,46.6734
2022-03-23,45.9565
2022-03-24,46.0936
2022-03-25,46.0634
2022-03-26,46.0634
2022-03-27,46.0634
2022-03-28,44.119
2022-03-29,46.2494
2022-03-30,45.3105
2022-03-31,44.1441
2022-04-01,44.0539
2022-04-02,44.0539
2022-04-03,44.0539
2022-04-04,43.1416
2022-04-05,39.7104
2022-04-06,37.1821
2022-04-07,36.1812
2022-04-08,36.4341
2022-04-09,36.4341
2022-04-10,36.4341
2022-04-11,39.9614
2022-04-12,42.458
2022-04-13,44.7961
2022-04-14,45.0488
2022-04-15,45.0488
2022-04-16,45.0488
2022-04-17,45.0488
2022-04-18,44.4475
2022-04-19,46.5151
2022-04-20,46.4513
2022-04-21,44.1913
2022-04-22,41.5211
2022-04-23,41.5211
2022-04-24,41.5211
2022-04-25,40.4493
2022-04-26,37.3309
2022-04-27,38.5363
2022-04-28,40.9639
2022-04-29,39.4308
2022-04-30,39.4308
2022-05-01,39.4308
2022-05-02,43.1607
2022-05-03,43.2692
2022-05-04,46.9342
2022-05-05,44.3646
2022-05-06,41.1385
2022-05-07,41.1385
2022-05-08,41.1385
2022-05-09,42.2081
2022-05-10,39.212
2022-05-11,42.4327
2022-05-12,41.8356
2022-05-13,43.7675
2022-05-14,43.7675
2022-05-15,43.7675
2022-05-16,44.3829
2022-05-17,49.1409
2022-05-18,48.7288
2022-05-19,46.9376
2022-05-20,44.2599
2022-05-21,44.2599
2022-05-22,44.2599
2022-05-23,46.0196
2022-05-24,46.0803
2022-05-25,46.2679
2022-05-26,49.3715
2022-05-27,51.6109
2022-05-28,51.6109
2022-05-29,51.6109
2022-05-30,51.6109
2022-05-31,52.3288
2022-06-01,53.4553
2022-06-02,55.1145
2022-06-03,54.7562
2022-06-04,54.7562
2022-06-05,54.7562
2022-06-06,55.3297
2022-06-07,54.4793
2022-06-08,53.8966
2022-06-09,53.2383
2022-06-10,50.0119
2022-06-11,50.0119
2022-06-12,50.0119
2022-06-13,45.2983
2022-06-14,45.1615
2022-06-15,46.1371
2022-06-16,40.4173
2022-06-17,38.1156
2022-06-18,38.1156
2022-06-19,38.1156
2022-06-20,38.1156
2022-06-21,41.4654
2022-06-22,41.3293
2022-06-23,40.2805
2022-06-24,44.0485
2022-06-25,44.0485
2022-06-26,44.0485
2022-06-27,44.3869
2022-06-28,42.4321
2022-06-29,41.7049
2022-06-30,41.6334
2022-07-01,42.1798
2022-07-02,42.1798
2022-07-03,42.1798
2022-07-04,42.1798
2022-07-05,40.2551
2022-07-06,39.1554
2022-07-07,41.274
2022-07-08,40.736
2022-07-09,40.736
2022-07-10,40.736
2022-07-11,40.0004
2022-07-12,39.9011
2022-07-13,39.4199
2022-07-14,38.4602
2022-07-15,40.4722
2022-07-16,40.4722
2022-07-17,40.4722
2022-07-18,40.4722
2022-07-19,44.5077
2022-07-20,45.1248
2022-07-21,44.4925
2022-07-22,45.0614
2022-07-23,45.0614
2022-07-24,45.0614
2022-07-25,45.9026
2022-07-26,44.431
2022-07-27,46.7351
2022-07-28,47.4859
2022-07-29,48.5732
2022-07-30,48.5732
2022-07-31,48.5732
2022-08-01,49.5056
2022-08-02,49.7694
2022-08-03,50.9065
2022-08-04,47.809
2022-08-05,49.4572
2022-08-06,49.4572
2022-08-07,49.4572
2022-08-08,52.044
2022-08-09,51.5825
2022-08-10,54.1088
2022-08-11,55.9578
2022-08-12,57.7804
2022-08-13,57.7804
2022-08-14,57.7804
2022-08-15,56.0832
2022-08-16,57.4089
2022-08-17,55.7106
2022-08-18,57.76
2022-08-19,52.6074
