,HOG US Equity
,RSI_30D
2020-01-01,51.8057
2020-01-02,51.4275
2020-01-03,48.463
2020-01-04,48.463
2020-01-05,48.463
2020-01-06,49.4675
2020-01-07,47.5842
2020-01-08,49.4981
2020-01-09,48.5277
2020-01-10,43.8504
2020-01-11,43.8504
2020-01-12,43.8504
2020-01-13,45.865
2020-01-14,46.8696
2020-01-15,46.4404
2020-01-16,47.3988
2020-01-17,47.2588
2020-01-18,47.2588
2020-01-19,47.2588
2020-01-20,47.2588
2020-01-21,45.3538
2020-01-22,45.3538
2020-01-23,45.6945
2020-01-24,45.621
2020-01-25,45.621
2020-01-26,45.621
2020-01-27,44.1859
2020-01-28,40.6265
2020-01-29,40.7675
2020-01-30,41.5337
2020-01-31,39.6122
2020-02-01,39.6122
2020-02-02,39.6122
2020-02-03,42.9098
2020-02-04,43.7719
2020-02-05,48.2405
2020-02-06,45.2635
2020-02-07,43.1953
2020-02-08,43.1953
2020-02-09,43.1953
2020-02-10,43.4499
2020-02-11,44.5216
2020-02-12,46.655
2020-02-13,46.1866
2020-02-14,45.4603
2020-02-15,45.4603
2020-02-16,45.4603
2020-02-17,45.4603
2020-02-18,46.3763
2020-02-19,47.6326
2020-02-20,51.7089
2020-02-21,49.0497
2020-02-22,49.0497
2020-02-23,49.0497
2020-02-24,45.2935
2020-02-25,41.0868
2020-02-26,38.3942
2020-02-27,36.9175
2020-02-28,35.2534
2020-02-29,35.2534
2020-03-01,35.2534
2020-03-02,37.7019
2020-03-03,33.662
2020-03-04,38.3303
2020-03-05,33.7222
2020-03-06,31.0107
2020-03-07,31.0107
2020-03-08,31.0107
2020-03-09,27.264
2020-03-10,32.7905
2020-03-11,29.8296
2020-03-12,26.7639
2020-03-13,35.2934
2020-03-14,35.2934
2020-03-15,35.2934
2020-03-16,31.7627
2020-03-17,36.372
2020-03-18,33.5322
2020-03-19,32.0837
2020-03-20,29.843
2020-03-21,29.843
2020-03-22,29.843
2020-03-23,29.0942
2020-03-24,36.8112
2020-03-25,38.6142
2020-03-26,38.9313
2020-03-27,35.9485
2020-03-28,35.9485
2020-03-29,35.9485
2020-03-30,36.1543
2020-03-31,37.8922
2020-04-01,36.2354
2020-04-02,35.084
2020-04-03,34.0859
2020-04-04,34.0859
2020-04-05,34.0859
2020-04-06,37.04
2020-04-07,39.0305
2020-04-08,40.55
2020-04-09,44.0842
2020-04-10,44.0842
2020-04-11,44.0842
2020-04-12,44.0842
2020-04-13,41.9351
2020-04-14,42.1194
2020-04-15,41.0848
2020-04-16,40.9943
2020-04-17,42.6298
2020-04-18,42.6298
2020-04-19,42.6298
2020-04-20,41.6505
2020-04-21,40.7182
2020-04-22,41.6419
2020-04-23,42.0913
2020-04-24,42.321
2020-04-25,42.321
2020-04-26,42.321
2020-04-27,42.8085
2020-04-28,47.6874
2020-04-29,51.4649
2020-04-30,47.9008
2020-05-01,46.0241
2020-05-02,46.0241
2020-05-03,46.0241
2020-05-04,45.9207
2020-05-05,46.2641
2020-05-06,44.9618
2020-05-07,46.3784
2020-05-08,47.9685
2020-05-09,47.9685
2020-05-10,47.9685
2020-05-11,46.0791
2020-05-12,45.7889
2020-05-13,44.734
2020-05-14,45.4524
2020-05-15,45.6439
2020-05-16,45.6439
2020-05-17,45.6439
2020-05-18,50.3322
2020-05-19,49.2866
2020-05-20,50.7043
2020-05-21,52.0019
2020-05-22,53.2014
2020-05-23,53.2014
2020-05-24,53.2014
2020-05-25,53.2014
2020-05-26,53.769
2020-05-27,53.8757
2020-05-28,51.4555
2020-05-29,48.042
2020-05-30,48.042
2020-05-31,48.042
2020-06-01,50.2894
2020-06-02,51.6133
2020-06-03,52.7168
2020-06-04,53.7474
2020-06-05,54.4125
2020-06-06,54.4125
2020-06-07,54.4125
2020-06-08,57.6351
2020-06-09,56.7135
2020-06-10,54.1002
2020-06-11,50.8621
2020-06-12,52.8388
2020-06-13,52.8388
2020-06-14,52.8388
2020-06-15,52.7391
2020-06-16,53.3465
2020-06-17,52.5259
2020-06-18,52.384
2020-06-19,52.2927
2020-06-20,52.2927
2020-06-21,52.2927
2020-06-22,51.7883
2020-06-23,52.0893
2020-06-24,49.5838
2020-06-25,51.437
2020-06-26,48.4053
2020-06-27,48.4053
2020-06-28,48.4053
2020-06-29,50.4033
2020-06-30,50.2763
2020-07-01,49.1417
2020-07-02,49.691
2020-07-03,49.691
2020-07-04,49.691
2020-07-05,49.691
2020-07-06,52.8351
2020-07-07,51.7332
2020-07-08,53.4766
2020-07-09,53.7559
2020-07-10,54.8937
2020-07-11,54.8937
2020-07-12,54.8937
2020-07-13,53.8809
2020-07-14,56.3787
2020-07-15,58.7992
2020-07-16,60.03
2020-07-17,57.7179
2020-07-18,57.7179
2020-07-19,57.7179
2020-07-20,56.3703
2020-07-21,56.6858
2020-07-22,57.4234
2020-07-23,58.1605
2020-07-24,58.1605
2020-07-25,58.1605
2020-07-26,58.1605
2020-07-27,58.5272
2020-07-28,57.9765
2020-07-29,55.9467
2020-07-30,52.211
2020-07-31,50.9297
2020-08-01,50.9297
2020-08-02,50.9297
2020-08-03,51.452
2020-08-04,50.6051
2020-08-05,52.1696
2020-08-06,50.6465
2020-08-07,51.1965
2020-08-08,51.1965
2020-08-09,51.1965
2020-08-10,53.4093
2020-08-11,54.7286
2020-08-12,53.0295
2020-08-13,55.1491
2020-08-14,54.5312
2020-08-15,54.5312
2020-08-16,54.5312
2020-08-17,55.0727
2020-08-18,54.479
2020-08-19,54.9162
2020-08-20,54.004
2020-08-21,53.3567
2020-08-22,53.3567
2020-08-23,53.3567
2020-08-24,56.1647
2020-08-25,54.5483
2020-08-26,54.0303
2020-08-27,54.2197
2020-08-28,54.9397
2020-08-29,54.9397
2020-08-30,54.9397
2020-08-31,52.8198
2020-09-01,53.6695
2020-09-02,56.5057
2020-09-03,53.9505
2020-09-04,52.0359
2020-09-05,52.0359
2020-09-06,52.0359
2020-09-07,52.0359
2020-09-08,53.0456
2020-09-09,54.9606
2020-09-10,53.2748
2020-09-11,51.9559
2020-09-12,51.9559
2020-09-13,51.9559
2020-09-14,52.6133
2020-09-15,50.5759
2020-09-16,48.3761
2020-09-17,46.7
2020-09-18,45.4126
2020-09-19,45.4126
2020-09-20,45.4126
2020-09-21,43.1818
2020-09-22,42.4626
2020-09-23,40.9627
2020-09-24,40.5703
