,HEES US Equity
,RSI_30D
2020-01-01,57.4034
2020-01-02,55.992
2020-01-03,53.704
2020-01-04,53.704
2020-01-05,53.704
2020-01-06,54.2381
2020-01-07,53.5643
2020-01-08,51.0411
2020-01-09,50.4187
2020-01-10,48.8616
2020-01-11,48.8616
2020-01-12,48.8616
2020-01-13,47.4406
2020-01-14,48.4402
2020-01-15,48.2438
2020-01-16,50.6581
2020-01-17,50.2081
2020-01-18,50.2081
2020-01-19,50.2081
2020-01-20,50.2081
2020-01-21,45.2796
2020-01-22,43.3912
2020-01-23,43.278
2020-01-24,42.5604
2020-01-25,42.5604
2020-01-26,42.5604
2020-01-27,40.8237
2020-01-28,43.2946
2020-01-29,42.2398
2020-01-30,41.3939
2020-01-31,38.6452
2020-02-01,38.6452
2020-02-02,38.6452
2020-02-03,40.0447
2020-02-04,44.149
2020-02-05,46.9412
2020-02-06,46.0879
2020-02-07,44.4728
2020-02-08,44.4728
2020-02-09,44.4728
2020-02-10,44.5804
2020-02-11,47.293
2020-02-12,48.8732
2020-02-13,48.7766
2020-02-14,48.2832
2020-02-15,48.2832
2020-02-16,48.2832
2020-02-17,48.2832
2020-02-18,47.0682
2020-02-19,48.8321
2020-02-20,39.6764
2020-02-21,41.1383
2020-02-22,41.1383
2020-02-23,41.1383
2020-02-24,38.5604
2020-02-25,35.5178
2020-02-26,34.1071
2020-02-27,34.9544
2020-02-28,36.005
2020-02-29,36.005
2020-03-01,36.005
2020-03-02,34.7826
2020-03-03,33.2509
2020-03-04,33.4404
2020-03-05,31.7083
2020-03-06,29.8995
2020-03-07,29.8995
2020-03-08,29.8995
2020-03-09,26.0747
2020-03-10,26.8535
2020-03-11,25.5791
2020-03-12,23.0984
2020-03-13,22.7506
2020-03-14,22.7506
2020-03-15,22.7506
2020-03-16,21.2314
2020-03-17,19.8508
2020-03-18,18.0912
2020-03-19,22.3817
2020-03-20,23.0605
2020-03-21,23.0605
2020-03-22,23.0605
2020-03-23,23.0505
2020-03-24,24.0318
2020-03-25,28.8843
2020-03-26,36.6185
2020-03-27,33.9695
2020-03-28,33.9695
2020-03-29,33.9695
2020-03-30,33.9952
2020-03-31,36.5278
2020-04-01,35.4339
2020-04-02,37.3741
2020-04-03,35.6334
2020-04-04,35.6334
2020-04-05,35.6334
2020-04-06,38.0271
2020-04-07,38.4906
2020-04-08,39.5974
2020-04-09,39.581
2020-04-10,39.581
2020-04-11,39.581
2020-04-12,39.581
2020-04-13,37.3446
2020-04-14,38.247
2020-04-15,37.1403
2020-04-16,35.8673
2020-04-17,37.4831
2020-04-18,37.4831
2020-04-19,37.4831
2020-04-20,37.155
2020-04-21,36.1956
2020-04-22,36.8979
2020-04-23,38.9823
2020-04-24,39.5059
2020-04-25,39.5059
2020-04-26,39.5059
2020-04-27,41.2891
2020-04-28,43.6169
2020-04-29,47.8913
2020-04-30,46.8271
2020-05-01,44.6343
2020-05-02,44.6343
2020-05-03,44.6343
2020-05-04,43.7783
2020-05-05,43.8289
2020-05-06,42.0833
2020-05-07,44.1766
2020-05-08,45.263
2020-05-09,45.263
2020-05-10,45.263
2020-05-11,43.8465
2020-05-12,41.6945
2020-05-13,40.3355
2020-05-14,41.8399
2020-05-15,42.7991
2020-05-16,42.7991
2020-05-17,42.7991
2020-05-18,47.6606
2020-05-19,45.6733
2020-05-20,47.5846
2020-05-21,47.3743
2020-05-22,47.1159
2020-05-23,47.1159
2020-05-24,47.1159
2020-05-25,47.1159
2020-05-26,52.2577
2020-05-27,53.3237
2020-05-28,52.5303
2020-05-29,52.1824
2020-05-30,52.1824
2020-05-31,52.1824
2020-06-01,51.5009
2020-06-02,53.9664
2020-06-03,54.7595
2020-06-04,55.9477
2020-06-05,59.8444
2020-06-06,59.8444
2020-06-07,59.8444
2020-06-08,61.5339
2020-06-09,58.5855
2020-06-10,56.6993
2020-06-11,50.7847
2020-06-12,51.5671
2020-06-13,51.5671
2020-06-14,51.5671
2020-06-15,51.7908
2020-06-16,54.9044
2020-06-17,52.7116
2020-06-18,51.9955
2020-06-19,51.7092
2020-06-20,51.7092
2020-06-21,51.7092
2020-06-22,51.5962
2020-06-23,51.2946
2020-06-24,49.0258
2020-06-25,50.003
2020-06-26,50.3964
2020-06-27,50.3964
2020-06-28,50.3964
2020-06-29,52.5766
2020-06-30,52.711
2020-07-01,50.2791
2020-07-02,51.4723
2020-07-03,51.4723
2020-07-04,51.4723
2020-07-05,51.4723
2020-07-06,52.4218
2020-07-07,50.2511
2020-07-08,50.4572
2020-07-09,48.4299
2020-07-10,49.4922
2020-07-11,49.4922
2020-07-12,49.4922
2020-07-13,50.5706
2020-07-14,51.6145
2020-07-15,53.5242
2020-07-16,53.9054
2020-07-17,53.3677
2020-07-18,53.3677
2020-07-19,53.3677
2020-07-20,51.738
2020-07-21,53.0424
2020-07-22,53.1963
2020-07-23,53.5378
2020-07-24,51.5335
2020-07-25,51.5335
2020-07-26,51.5335
2020-07-27,52.2511
2020-07-28,50.125
2020-07-29,52.22
2020-07-30,50.4939
2020-07-31,49.4059
2020-08-01,49.4059
2020-08-02,49.4059
2020-08-03,50.7352
2020-08-04,54.6725
2020-08-05,55.6087
2020-08-06,55.0286
2020-08-07,55.9787
2020-08-08,55.9787
2020-08-09,55.9787
2020-08-10,58.3409
2020-08-11,58.7701
2020-08-12,59.3951
2020-08-13,58.8977
2020-08-14,58.8613
2020-08-15,58.8613
2020-08-16,58.8613
2020-08-17,57.753
2020-08-18,55.1396
2020-08-19,55.6796
2020-08-20,54.606
2020-08-21,53.678
2020-08-22,53.678
2020-08-23,53.678
2020-08-24,54.7489
2020-08-25,54.1568
2020-08-26,54.9134
2020-08-27,57.2122
2020-08-28,58.6042
2020-08-29,58.6042
2020-08-30,58.6042
2020-08-31,54.5641
2020-09-01,56.7203
2020-09-02,57.6599
2020-09-03,55.434
2020-09-04,57.2567
2020-09-05,57.2567
2020-09-06,57.2567
2020-09-07,57.2567
2020-09-08,54.5111
2020-09-09,54.8397
2020-09-10,52.2827
2020-09-11,52.6318
2020-09-12,52.6318
2020-09-13,52.6318
2020-09-14,53.8385
2020-09-15,53.8385
2020-09-16,57.7212
2020-09-17,56.7187
2020-09-18,54.0306
2020-09-19,54.0306
2020-09-20,54.0306
2020-09-21,46.8246
2020-09-22,47.2752
2020-09-23,45.9796
2020-09-24,47.1125
2020-09-25,48.0733
2020-09-26,48.0733
2020-09-27,48.0733
2020-09-28,50.9952
2020-09-29,49.5225
2020-09-30,50.6517
2020-10-01,52.3073
2020-10-02,56.7291
2020-10-03,56.7291
2020-10-04,56.7291
2020-10-05,60.2535
2020-10-06,57.9611
2020-10-07,59.3522
2020-10-08,60.2592
2020-10-09,57.9196
2020-10-10,57.9196
2020-10-11,57.9196
2020-10-12,58.3734
2020-10-13,55.9113
2020-10-14,56.2423
2020-10-15,57.2134
2020-10-16,58.025
2020-10-17,58.025
2020-10-18,58.025
2020-10-19,55.7352
2020-10-20,56.5818
2020-10-21,53.9151
2020-10-22,54.3326
2020-10-23,57.3439
2020-10-24,57.3439
2020-10-25,57.3439
2020-10-26,53.5006
2020-10-27,51.5774
2020-10-28,48.5851
2020-10-29,49.5561
2020-10-30,50.467
2020-10-31,50.467
2020-11-01,50.467
2020-11-02,53.8607
2020-11-03,56.3178
2020-11-04,51.6251
2020-11-05,53.8665
2020-11-06,54.0559
2020-11-07,54.0559
2020-11-08,54.0559
2020-11-09,58.5462
2020-11-10,61.3433
2020-11-11,61.8899
2020-11-12,56.466
2020-11-13,58.1789
2020-11-14,58.1789
2020-11-15,58.1789
2020-11-16,61.5871
2020-11-17,60.9776
2020-11-18,60.9505
2020-11-19,61.4648
2020-11-20,62.0707
2020-11-21,62.0707
2020-11-22,62.0707
2020-11-23,64.0486
2020-11-24,64.0741
2020-11-25,62.4834
2020-11-26,62.4834
2020-11-27,61.6912
2020-11-28,61.6912
2020-11-29,61.6912
2020-11-30,58.8984
2020-12-01,60.5683
2020-12-02,60.9926
2020-12-03,61.7475
2020-12-04,64.9005
2020-12-05,64.9005
2020-12-06,64.9005
2020-12-07,61.5705
2020-12-08,60.9295
2020-12-09,61.0439
2020-12-10,58.8739
2020-12-11,60.4096
2020-12-12,60.4096
2020-12-13,60.4096
2020-12-14,59.4845
2020-12-15,62.1535
2020-12-16,59.9337
2020-12-17,59.9732
2020-12-18,61.0827
2020-12-19,61.0827
2020-12-20,61.0827
2020-12-21,59.1151
2020-12-22,60.077
2020-12-23,61.6079
2020-12-24,61.2921
2020-12-25,61.2921
2020-12-26,61.2921
2020-12-27,61.2921
2020-12-28,59.6784
2020-12-29,58.3083
2020-12-30,59.3184
2020-12-31,59.4289
2021-01-01,59.4289
2021-01-02,59.4289
2021-01-03,59.4289
2021-01-04,55.6736
2021-01-05,57.7013
2021-01-06,62.8373
2021-01-07,63.5324
2021-01-08,61.2824
2021-01-09,61.2824
2021-01-10,61.2824
2021-01-11,61.2824
2021-01-12,62.7513
2021-01-13,59.5924
2021-01-14,60.923
2021-01-15,56.6386
2021-01-16,56.6386
2021-01-17,56.6386
2021-01-18,56.6386
2021-01-19,57.916
2021-01-20,58.793
2021-01-21,57.8575
2021-01-22,57.9623
2021-01-23,57.9623
2021-01-24,57.9623
2021-01-25,54.4585
2021-01-26,52.2122
2021-01-27,46.9791
2021-01-28,50.6805
2021-01-29,48.1349
2021-01-30,48.1349
2021-01-31,48.1349
2021-02-01,50.033
2021-02-02,50.4
2021-02-03,50.4
2021-02-04,52.9657
2021-02-05,53.6177
2021-02-06,53.6177
2021-02-07,53.6177
2021-02-08,55.4914
2021-02-09,55.3389
2021-02-10,54.6912
2021-02-11,54.6647
2021-02-12,56.4321
2021-02-13,56.4321
2021-02-14,56.4321
2021-02-15,56.4321
2021-02-16,57.262
2021-02-17,50.7946
2021-02-18,49.2421
2021-02-19,52.3443
2021-02-20,52.3443
2021-02-21,52.3443
2021-02-22,52.6862
2021-02-23,53.4633
2021-02-24,56.27
2021-02-25,53.9842
2021-02-26,54.4859
2021-02-27,54.4859
2021-02-28,54.4859
2021-03-01,57.22
2021-03-02,57.1938
2021-03-03,58.9026
2021-03-04,56.0864
2021-03-05,58.8804
2021-03-06,58.8804
2021-03-07,58.8804
2021-03-08,60.6089
2021-03-09,59.6299
2021-03-10,61.8685
2021-03-11,63.0743
2021-03-12,63.9507
2021-03-13,63.9507
2021-03-14,63.9507
2021-03-15,64.3171
2021-03-16,60.4485
2021-03-17,61.9209
2021-03-18,59.4978
2021-03-19,59.4717
2021-03-20,59.4717
2021-03-21,59.4717
2021-03-22,56.2471
2021-03-23,51.8821
2021-03-24,53.1168
2021-03-25,54.763
2021-03-26,58.1106
2021-03-27,58.1106
2021-03-28,58.1106
2021-03-29,54.0607
2021-03-30,57.9231
2021-03-31,60.5448
2021-04-01,60.1527
2021-04-02,60.1527
2021-04-03,60.1527
2021-04-04,60.1527
2021-04-05,59.2704
2021-04-06,59.7136
2021-04-07,57.0771
2021-04-08,57.4527
2021-04-09,57.9492
2021-04-10,57.9492
2021-04-11,57.9492
2021-04-12,59.3558
2021-04-13,57.3038
2021-04-14,57.5426
2021-04-15,58.6369
2021-04-16,60.4178
2021-04-17,60.4178
2021-04-18,60.4178
2021-04-19,59.1971
2021-04-20,55.7922
2021-04-21,57.8206
2021-04-22,57.1766
2021-04-23,59.4145
2021-04-24,59.4145
2021-04-25,59.4145
2021-04-26,61.1391
2021-04-27,59.1077
2021-04-28,61.8093
2021-04-29,60.7076
2021-04-30,56.7033
2021-05-01,56.7033
2021-05-02,56.7033
2021-05-03,57.2543
2021-05-04,56.6403
2021-05-05,56.439
2021-05-06,57.8506
2021-05-07,58.3276
2021-05-08,58.3276
2021-05-09,58.3276
2021-05-10,56.9234
2021-05-11,54.3755
2021-05-12,51.3145
2021-05-13,53.2196
2021-05-14,54.6336
2021-05-15,54.6336
2021-05-16,54.6336
2021-05-17,54.9628
2021-05-18,51.9512
2021-05-19,50.4494
2021-05-20,49.1213
2021-05-21,49.6819
2021-05-22,49.6819
2021-05-23,49.6819
2021-05-24,50.3939
2021-05-25,48.8176
2021-05-26,50.4426
2021-05-27,51.3054
2021-05-28,52.0634
2021-05-29,52.0634
2021-05-30,52.0634
2021-05-31,52.0634
