,BMTC US Equity
,RSI_30D
2020-01-01,72.4018
2020-01-02,67.7617
2020-01-03,66.7142
2020-01-04,66.7142
2020-01-05,66.7142
2020-01-06,65.2079
2020-01-07,61.9785
2020-01-08,64.1329
2020-01-09,62.0988
2020-01-10,59.8259
2020-01-11,59.8259
2020-01-12,59.8259
2020-01-13,61.4195
2020-01-14,58.328
2020-01-15,53.3132
2020-01-16,57.3751
2020-01-17,54.2041
2020-01-18,54.2041
2020-01-19,54.2041
2020-01-20,54.2041
2020-01-21,50.71
2020-01-22,54.338
2020-01-23,54.0075
2020-01-24,51.4539
2020-01-25,51.4539
2020-01-26,51.4539
2020-01-27,49.1513
2020-01-28,47.785
2020-01-29,43.4965
2020-01-30,43.8609
2020-01-31,40.862
2020-02-01,40.862
2020-02-02,40.862
2020-02-03,44.0971
2020-02-04,45.8011
2020-02-05,50.3707
2020-02-06,47.6387
2020-02-07,46.286
2020-02-08,46.286
2020-02-09,46.286
2020-02-10,47.6993
2020-02-11,48.129
2020-02-12,49.6572
2020-02-13,50.8554
2020-02-14,49.2781
2020-02-15,49.2781
2020-02-16,49.2781
2020-02-17,49.2781
2020-02-18,47.4624
2020-02-19,48.2263
2020-02-20,50.1026
2020-02-21,49.6681
2020-02-22,49.6681
2020-02-23,49.6681
2020-02-24,43.3852
2020-02-25,37.976
2020-02-26,37.1196
2020-02-27,32.2918
2020-02-28,28.2015
2020-02-29,28.2015
2020-03-01,28.2015
2020-03-02,39.3401
2020-03-03,35.8551
2020-03-04,38.2671
2020-03-05,34.0096
2020-03-06,32.8766
2020-03-07,32.8766
2020-03-08,32.8766
2020-03-09,27.3908
2020-03-10,31.0612
2020-03-11,27.9392
2020-03-12,24.2502
2020-03-13,31.1239
2020-03-14,31.1239
2020-03-15,31.1239
2020-03-16,26.8196
2020-03-17,35.1474
2020-03-18,30.0758
2020-03-19,37.4022
2020-03-20,36.8364
2020-03-21,36.8364
2020-03-22,36.8364
2020-03-23,36.0383
2020-03-24,40.468
2020-03-25,38.751
2020-03-26,42.3185
2020-03-27,40.9759
2020-03-28,40.9759
2020-03-29,40.9759
2020-03-30,43.0967
2020-03-31,43.752
2020-04-01,41.6042
2020-04-02,42.201
2020-04-03,40.6114
2020-04-04,40.6114
2020-04-05,40.6114
2020-04-06,45.0933
2020-04-07,43.9924
2020-04-08,44.9446
2020-04-09,49.0548
2020-04-10,49.0548
2020-04-11,49.0548
2020-04-12,49.0548
2020-04-13,46.8632
2020-04-14,45.8936
2020-04-15,43.4742
2020-04-16,42.1481
2020-04-17,45.5015
2020-04-18,45.5015
2020-04-19,45.5015
2020-04-20,43.5486
2020-04-21,42.9278
2020-04-22,44.3811
2020-04-23,44.3118
2020-04-24,44.8172
2020-04-25,44.8172
2020-04-26,44.8172
2020-04-27,48.1264
2020-04-28,48.8137
2020-04-29,50.8396
2020-04-30,48.9109
2020-05-01,47.4384
2020-05-02,47.4384
2020-05-03,47.4384
2020-05-04,47.0127
2020-05-05,45.8392
2020-05-06,44.8591
2020-05-07,44.6156
2020-05-08,46.8464
2020-05-09,46.8464
2020-05-10,46.8464
2020-05-11,45.9035
2020-05-12,44.081
2020-05-13,42.6446
2020-05-14,42.4688
2020-05-15,42.8518
2020-05-16,42.8518
2020-05-17,42.8518
2020-05-18,46.8608
2020-05-19,44.8099
2020-05-20,46.8978
2020-05-21,46.6488
2020-05-22,46.9563
2020-05-23,46.9563
2020-05-24,46.9563
2020-05-25,46.9563
2020-05-26,49.0506
2020-05-27,51.4138
2020-05-28,50.8817
2020-05-29,49.2833
2020-05-30,49.2833
2020-05-31,49.2833
2020-06-01,48.0256
2020-06-02,47.9493
2020-06-03,49.5888
2020-06-04,50.1791
2020-06-05,52.8599
2020-06-06,52.8599
2020-06-07,52.8599
2020-06-08,53.8182
2020-06-09,53.4082
2020-06-10,50.3052
2020-06-11,46.0252
2020-06-12,47.4291
2020-06-13,47.4291
2020-06-14,47.4291
2020-06-15,47.9594
2020-06-16,49.8403
2020-06-17,47.9238
2020-06-18,48.2085
2020-06-19,47.7793
2020-06-20,47.7793
2020-06-21,47.7793
2020-06-22,47.9568
2020-06-23,47.6885
2020-06-24,46.2738
2020-06-25,48.1657
2020-06-26,46.9407
2020-06-27,46.9407
2020-06-28,46.9407
2020-06-29,48.466
2020-06-30,49.8292
2020-07-01,47.5773
2020-07-02,47.3181
2020-07-03,47.3181
2020-07-04,47.3181
2020-07-05,47.3181
2020-07-06,47.088
2020-07-07,45.6917
2020-07-08,45.1829
2020-07-09,43.4235
2020-07-10,46.0241
2020-07-11,46.0241
2020-07-12,46.0241
2020-07-13,46.9748
2020-07-14,46.5507
2020-07-15,48.9748
2020-07-16,49.5614
2020-07-17,48.3036
2020-07-18,48.3036
2020-07-19,48.3036
2020-07-20,47.5081
2020-07-21,52.8085
2020-07-22,50.6296
2020-07-23,51.8624
2020-07-24,51.3201
2020-07-25,51.3201
2020-07-26,51.3201
2020-07-27,49.3813
2020-07-28,49.4619
2020-07-29,50.6807
2020-07-30,49.2473
2020-07-31,48.269
2020-08-01,48.269
2020-08-02,48.269
2020-08-03,48.7082
2020-08-04,48.4528
2020-08-05,50.099
2020-08-06,50.2116
2020-08-07,53.0411
2020-08-08,53.0411
2020-08-09,53.0411
2020-08-10,53.5492
2020-08-11,54.2111
2020-08-12,53.8781
2020-08-13,52.7182
2020-08-14,52.7649
2020-08-15,52.7649
2020-08-16,52.7649
2020-08-17,51.5263
2020-08-18,49.8396
2020-08-19,50.4164
2020-08-20,49.0927
2020-08-21,48.3714
2020-08-22,48.3714
2020-08-23,48.3714
2020-08-24,50.8779
2020-08-25,51.1649
2020-08-26,49.9303
2020-08-27,51.2552
2020-08-28,51.2552
2020-08-29,51.2552
2020-08-30,51.2552
2020-08-31,49.9842
2020-09-01,50.2741
2020-09-02,51.2246
2020-09-03,51.7094
2020-09-04,52.8839
2020-09-05,52.8839
2020-09-06,52.8839
2020-09-07,52.8839
2020-09-08,50.3503
2020-09-09,49.5824
2020-09-10,48.481
2020-09-11,48.2041
2020-09-12,48.2041
2020-09-13,48.2041
2020-09-14,50.041
2020-09-15,48.4231
2020-09-16,49.2551
2020-09-17,48.1621
2020-09-18,48.3365
2020-09-19,48.3365
2020-09-20,48.3365
2020-09-21,43.684
2020-09-22,42.5217
2020-09-23,41.1465
2020-09-24,41.6062
2020-09-25,42.4967
2020-09-26,42.4967
2020-09-27,42.4967
2020-09-28,45.3814
2020-09-29,44.4233
2020-09-30,44.0923
2020-10-01,44.404
2020-10-02,47.5783
2020-10-03,47.5783
2020-10-04,47.5783
2020-10-05,51.1827
2020-10-06,51.0099
2020-10-07,53.2621
2020-10-08,54.5466
2020-10-09,53.2181
2020-10-10,53.2181
2020-10-11,53.2181
2020-10-12,55.0733
2020-10-13,51.5265
2020-10-14,49.623
2020-10-15,51.9121
2020-10-16,51.7067
2020-10-17,51.7067
2020-10-18,51.7067
2020-10-19,50.1335
2020-10-20,51.5265
2020-10-21,50.9308
2020-10-22,55.1582
2020-10-23,55.425
2020-10-24,55.425
2020-10-25,55.425
2020-10-26,54.021
2020-10-27,50.5361
2020-10-28,49.4471
2020-10-29,49.7863
2020-10-30,50.8545
2020-10-31,50.8545
2020-11-01,50.8545
2020-11-02,52.7336
2020-11-03,53.969
2020-11-04,49.854
2020-11-05,51.7882
2020-11-06,49.0357
2020-11-07,49.0357
2020-11-08,49.0357
2020-11-09,58.9588
2020-11-10,60.4011
2020-11-11,57.0988
2020-11-12,54.9385
2020-11-13,56.546
2020-11-14,56.546
2020-11-15,56.546
2020-11-16,59.3506
2020-11-17,58.9237
2020-11-18,57.2203
2020-11-19,57.3797
2020-11-20,57.8207
2020-11-21,57.8207
2020-11-22,57.8207
2020-11-23,58.5218
2020-11-24,62.0859
2020-11-25,59.5057
2020-11-26,59.5057
2020-11-27,57.979
2020-11-28,57.979
2020-11-29,57.979
2020-11-30,54.1649
2020-12-01,55.2884
2020-12-02,56.6398
2020-12-03,56.4007
2020-12-04,58.3558
2020-12-05,58.3558
2020-12-06,58.3558
2020-12-07,58.3558
2020-12-08,58.9965
2020-12-09,59.043
2020-12-10,59.2584
2020-12-11,56.6561
2020-12-12,56.6561
2020-12-13,56.6561
2020-12-14,56.053
2020-12-15,57.5338
2020-12-16,58.0723
2020-12-17,57.3558
2020-12-18,52.9619
2020-12-19,52.9619
2020-12-20,52.9619
2020-12-21,50.1783
2020-12-22,49.2658
2020-12-23,52.6292
2020-12-24,53.1509
2020-12-25,53.1509
2020-12-26,53.1509
2020-12-27,53.1509
2020-12-28,53.3189
2020-12-29,51.0772
2020-12-30,51.1968
2020-12-31,53.1656
2021-01-01,53.1656
2021-01-02,53.1656
2021-01-03,53.1656
2021-01-04,52.5554
2021-01-05,53.3635
2021-01-06,59.3807
2021-01-07,60.2455
2021-01-08,57.4741
2021-01-09,57.4741
2021-01-10,57.4741
2021-01-11,58.4506
2021-01-12,60.1087
2021-01-13,59.3388
2021-01-14,60.2953
2021-01-15,60.0396
2021-01-16,60.0396
2021-01-17,60.0396
2021-01-18,60.0396
2021-01-19,61.5343
2021-01-20,59.9261
2021-01-21,57.5038
2021-01-22,57.8458
2021-01-23,57.8458
2021-01-24,57.8458
2021-01-25,56.6842
2021-01-26,53.9188
2021-01-27,50.4388
2021-01-28,52.0972
2021-01-29,50.8606
2021-01-30,50.8606
2021-01-31,50.8606
2021-02-01,53.1046
2021-02-02,54.9796
2021-02-03,54.4418
2021-02-04,57.2784
2021-02-05,57.745
2021-02-06,57.745
2021-02-07,57.745
2021-02-08,59.909
2021-02-09,61.5891
2021-02-10,61.9377
2021-02-11,60.7588
2021-02-12,61.0802
2021-02-13,61.0802
2021-02-14,61.0802
2021-02-15,61.0802
2021-02-16,62.7549
2021-02-17,61.6024
2021-02-18,60.845
2021-02-19,63.0699
2021-02-20,63.0699
2021-02-21,63.0699
2021-02-22,66.3851
2021-02-23,66.7733
2021-02-24,70.236
2021-02-25,65.3607
2021-02-26,62.993
2021-02-27,62.993
2021-02-28,62.993
2021-03-01,66.395
2021-03-02,65.6363
2021-03-03,68.3254
2021-03-04,67.701
2021-03-05,69.2051
2021-03-06,69.2051
2021-03-07,69.2051
2021-03-08,71.3978
2021-03-09,68.8947
2021-03-10,76.0833
2021-03-11,73.8933
2021-03-12,73.0809
2021-03-13,73.0809
2021-03-14,73.0809
2021-03-15,71.769
2021-03-16,69.7261
2021-03-17,69.8138
2021-03-18,69.6053
2021-03-19,71.7145
2021-03-20,71.7145
2021-03-21,71.7145
2021-03-22,66.6734
2021-03-23,62.7029
2021-03-24,62.7621
2021-03-25,63.5989
2021-03-26,64.6696
2021-03-27,64.6696
2021-03-28,64.6696
2021-03-29,61.1522
2021-03-30,62.4238
2021-03-31,62.4391
2021-04-01,63.3664
2021-04-02,63.3664
2021-04-03,63.3664
2021-04-04,63.3664
2021-04-05,62.9644
2021-04-06,62.2024
2021-04-07,60.8954
2021-04-08,61.9466
2021-04-09,62.4937
2021-04-10,62.4937
2021-04-11,62.4937
2021-04-12,61.6343
2021-04-13,58.2113
2021-04-14,59.3049
2021-04-15,58.9746
2021-04-16,59.3841
2021-04-17,59.3841
2021-04-18,59.3841
2021-04-19,60.2443
2021-04-20,52.5511
2021-04-21,54.0581
2021-04-22,52.7291
2021-04-23,55.2684
2021-04-24,55.2684
2021-04-25,55.2684
2021-04-26,56.8602
2021-04-27,57.6491
2021-04-28,56.8552
2021-04-29,57.7484
2021-04-30,58.4828
2021-05-01,58.4828
2021-05-02,58.4828
2021-05-03,59.1441
2021-05-04,58.7739
2021-05-05,59.599
2021-05-06,60.7873
2021-05-07,61.0048
2021-05-08,61.0048
2021-05-09,61.0048
2021-05-10,58.0954
2021-05-11,56.6968
2021-05-12,55.6289
2021-05-13,59.1762
2021-05-14,60.5981
2021-05-15,60.5981
2021-05-16,60.5981
2021-05-17,61.7281
2021-05-18,58.1051
2021-05-19,57.0711
2021-05-20,56.8167
2021-05-21,59.2196
2021-05-22,59.2196
2021-05-23,59.2196
2021-05-24,57.9434
2021-05-25,53.6739
2021-05-26,55.9617
2021-05-27,57.5428
2021-05-28,58.2193
2021-05-29,58.2193
2021-05-30,58.2193
2021-05-31,58.2193
2021-06-01,60.1878
2021-06-02,59.1977
2021-06-03,58.9113
2021-06-04,58.2121
2021-06-05,58.2121
2021-06-06,58.2121
2021-06-07,59.637
2021-06-08,60.3664
2021-06-09,56.2478
2021-06-10,52.8113
2021-06-11,52.7344
2021-06-12,52.7344
2021-06-13,52.7344
2021-06-14,51.6196
2021-06-15,53.3285
2021-06-16,53.7045
2021-06-17,48.7074
2021-06-18,43.0679
2021-06-19,43.0679
2021-06-20,43.0679
2021-06-21,47.6318
2021-06-22,46.796
2021-06-23,45.6901
2021-06-24,46.9409
2021-06-25,45.9872
2021-06-26,45.9872
2021-06-27,45.9872
2021-06-28,44.0944
2021-06-29,43.9191
2021-06-30,43.839
2021-07-01,44.442
2021-07-02,42.2583
2021-07-03,42.2583
2021-07-04,42.2583
2021-07-05,42.2583
2021-07-06,39.3428
2021-07-07,39.8109
2021-07-08,38.5789
2021-07-09,42.6555
2021-07-10,42.6555
2021-07-11,42.6555
2021-07-12,43.1723
2021-07-13,41.6577
2021-07-14,41.8471
2021-07-15,42.7535
2021-07-16,41.8537
2021-07-17,41.8537
2021-07-18,41.8537
2021-07-19,39.4894
2021-07-20,40.4952
2021-07-21,42.7185
2021-07-22,39.9252
2021-07-23,41.0408
2021-07-24,41.0408
2021-07-25,41.0408
2021-07-26,41.7403
2021-07-27,40.9561
2021-07-28,42.025
2021-07-29,43.1191
2021-07-30,42.525
2021-07-31,42.525
2021-08-01,42.525
2021-08-02,41.2829
2021-08-03,42.7399
2021-08-04,41.0707
2021-08-05,44.017
2021-08-06,48.3356
2021-08-07,48.3356
2021-08-08,48.3356
2021-08-09,46.8178
2021-08-10,48.3911
2021-08-11,50.4543
2021-08-12,49.7845
2021-08-13,48.4298
2021-08-14,48.4298
2021-08-15,48.4298
2021-08-16,48.1097
2021-08-17,47.1914
