,AUB US Equity
,RSI_30D
2020-01-01,48.9303
2020-01-02,49.8229
2020-01-03,49.0721
2020-01-04,49.0721
2020-01-05,49.0721
2020-01-06,48.4542
2020-01-07,43.3691
2020-01-08,44.1919
2020-01-09,42.9593
2020-01-10,40.9881
2020-01-11,40.9881
2020-01-12,40.9881
2020-01-13,44.7356
2020-01-14,46.3567
2020-01-15,44.3665
2020-01-16,46.2618
2020-01-17,45.7837
2020-01-18,45.7837
2020-01-19,45.7837
2020-01-20,45.7837
2020-01-21,39.4567
2020-01-22,38.9692
2020-01-23,39.2281
2020-01-24,37.7604
2020-01-25,37.7604
2020-01-26,37.7604
2020-01-27,34.926
2020-01-28,34.3717
2020-01-29,32.5694
2020-01-30,37.7632
2020-01-31,33.9386
2020-02-01,33.9386
2020-02-02,33.9386
2020-02-03,39.1544
2020-02-04,42.0748
2020-02-05,46.3379
2020-02-06,45.169
2020-02-07,43.4475
2020-02-08,43.4475
2020-02-09,43.4475
2020-02-10,43.6102
2020-02-11,44.1641
2020-02-12,43.7639
2020-02-13,44.2861
2020-02-14,44.7579
2020-02-15,44.7579
2020-02-16,44.7579
2020-02-17,44.7579
2020-02-18,43.2427
2020-02-19,43.613
2020-02-20,46.444
2020-02-21,45.6867
2020-02-22,45.6867
2020-02-23,45.6867
2020-02-24,38.831
2020-02-25,35.6579
2020-02-26,34.7442
2020-02-27,30.4995
2020-02-28,27.6903
2020-02-29,27.6903
2020-03-01,27.6903
2020-03-02,30.8186
2020-03-03,27.9383
2020-03-04,27.8965
2020-03-05,25.0811
2020-03-06,23.7151
2020-03-07,23.7151
2020-03-08,23.7151
2020-03-09,18.6048
2020-03-10,20.8224
2020-03-11,19.3324
2020-03-12,18.4653
2020-03-13,27.1002
2020-03-14,27.1002
2020-03-15,27.1002
2020-03-16,24.4801
2020-03-17,33.1249
2020-03-18,31.845
2020-03-19,33.8356
2020-03-20,30.2805
2020-03-21,30.2805
2020-03-22,30.2805
2020-03-23,29.1842
2020-03-24,30.213
2020-03-25,29.8253
2020-03-26,35.2258
2020-03-27,33.9743
2020-03-28,33.9743
2020-03-29,33.9743
2020-03-30,34.8497
2020-03-31,35.8588
2020-04-01,34.1874
2020-04-02,35.9773
2020-04-03,33.8516
2020-04-04,33.8516
2020-04-05,33.8516
2020-04-06,38.1477
2020-04-07,37.6704
2020-04-08,42.7039
2020-04-09,47.8749
2020-04-10,47.8749
2020-04-11,47.8749
2020-04-12,47.8749
2020-04-13,42.6905
2020-04-14,41.8637
2020-04-15,40.3017
2020-04-16,38.8407
2020-04-17,43.1251
2020-04-18,43.1251
2020-04-19,43.1251
2020-04-20,42.7496
2020-04-21,42.0595
2020-04-22,41.3687
2020-04-23,42.0254
2020-04-24,43.1681
2020-04-25,43.1681
2020-04-26,43.1681
2020-04-27,46.9109
2020-04-28,48.326
2020-04-29,49.6797
2020-04-30,47.2622
2020-05-01,45.1403
2020-05-02,45.1403
2020-05-03,45.1403
2020-05-04,45.1764
2020-05-05,44.5095
2020-05-06,42.2582
2020-05-07,41.8374
2020-05-08,45.2044
2020-05-09,45.2044
2020-05-10,45.2044
2020-05-11,43.6738
2020-05-12,42.3349
2020-05-13,42.1194
2020-05-14,41.6372
2020-05-15,42.1974
2020-05-16,42.1974
2020-05-17,42.1974
2020-05-18,46.5236
2020-05-19,43.6054
2020-05-20,46.4517
2020-05-21,46.1078
2020-05-22,46.1827
2020-05-23,46.1827
2020-05-24,46.1827
2020-05-25,46.1827
2020-05-26,49.4719
2020-05-27,52.8713
2020-05-28,51.441
2020-05-29,49.5419
2020-05-30,49.5419
2020-05-31,49.5419
2020-06-01,49.1927
2020-06-02,49.751
2020-06-03,51.3075
2020-06-04,51.4975
2020-06-05,56.1472
2020-06-06,56.1472
2020-06-07,56.1472
2020-06-08,56.653
2020-06-09,55.0122
2020-06-10,51.3725
2020-06-11,47.3126
2020-06-12,48.613
2020-06-13,48.613
2020-06-14,48.613
2020-06-15,48.2497
2020-06-16,51.1553
2020-06-17,49.0315
2020-06-18,49.4916
2020-06-19,48.6638
2020-06-20,48.6638
2020-06-21,48.6638
2020-06-22,49.4273
2020-06-23,48.4638
2020-06-24,47.1251
2020-06-25,48.8222
2020-06-26,46.4747
2020-06-27,46.4747
2020-06-28,46.4747
2020-06-29,48.5936
2020-06-30,49.4926
2020-07-01,46.9527
2020-07-02,46.488
2020-07-03,46.488
2020-07-04,46.488
2020-07-05,46.488
2020-07-06,46.9005
2020-07-07,45.8048
2020-07-08,44.6919
2020-07-09,43.5962
2020-07-10,46.7351
2020-07-11,46.7351
