,PDCO US Equity
,RSI_30D
2020-01-01,56.5634
2020-01-02,56.2517
2020-01-03,55.8695
2020-01-04,55.8695
2020-01-05,55.8695
2020-01-06,57.7028
2020-01-07,62.065
2020-01-08,62.1465
2020-01-09,62.8984
2020-01-10,63.482
2020-01-11,63.482
2020-01-12,63.482
2020-01-13,63.4083
2020-01-14,66.469
2020-01-15,68.0686
2020-01-16,70.393
2020-01-17,67.3499
2020-01-18,67.3499
2020-01-19,67.3499
2020-01-20,67.3499
2020-01-21,68.7476
2020-01-22,68.944
2020-01-23,67.3384
2020-01-24,65.9658
2020-01-25,65.9658
2020-01-26,65.9658
2020-01-27,64.9211
2020-01-28,66.2004
2020-01-29,62.3391
2020-01-30,62.7881
2020-01-31,55.9494
2020-02-01,55.9494
2020-02-02,55.9494
2020-02-03,57.4025
2020-02-04,56.1257
2020-02-05,60.3552
2020-02-06,60.8716
2020-02-07,58.6752
2020-02-08,58.6752
2020-02-09,58.6752
2020-02-10,58.2692
2020-02-11,59.6713
2020-02-12,60.9875
2020-02-13,58.6475
2020-02-14,58.0567
2020-02-15,58.0567
2020-02-16,58.0567
2020-02-17,58.0567
2020-02-18,58.1003
2020-02-19,59.8723
2020-02-20,55.0551
2020-02-21,55.5959
2020-02-22,55.5959
2020-02-23,55.5959
2020-02-24,58.401
2020-02-25,58.4845
2020-02-26,54.4177
2020-02-27,59.7641
2020-02-28,58.5882
2020-02-29,58.5882
2020-03-01,58.5882
2020-03-02,62.5393
2020-03-03,58.2055
2020-03-04,61.1823
2020-03-05,56.8564
2020-03-06,56.0367
2020-03-07,56.0367
2020-03-08,56.0367
2020-03-09,47.0908
2020-03-10,50.0239
2020-03-11,45.7526
2020-03-12,42.1126
2020-03-13,46.3657
2020-03-14,46.3657
2020-03-15,46.3657
2020-03-16,41.5776
2020-03-17,43.5962
2020-03-18,36.3609
2020-03-19,37.2277
2020-03-20,37.8985
2020-03-21,37.8985
2020-03-22,37.8985
2020-03-23,37.6812
2020-03-24,40.8677
2020-03-25,40.3392
2020-03-26,41.1269
2020-03-27,38.5526
2020-03-28,38.5526
2020-03-29,38.5526
2020-03-30,39.6771
2020-03-31,37.7048
2020-04-01,36.3862
2020-04-02,36.0513
2020-04-03,34.5121
2020-04-04,34.5121
2020-04-05,34.5121
2020-04-06,33.8899
2020-04-07,36.9112
2020-04-08,40.129
2020-04-09,41.2692
2020-04-10,41.2692
2020-04-11,41.2692
2020-04-12,41.2692
2020-04-13,41.3284
2020-04-14,43.4537
2020-04-15,40.9998
2020-04-16,41.446
2020-04-17,43.1652
2020-04-18,43.1652
2020-04-19,43.1652
2020-04-20,43.075
2020-04-21,41.591
2020-04-22,41.7796
2020-04-23,42.0057
2020-04-24,43.0192
2020-04-25,43.0192
2020-04-26,43.0192
2020-04-27,45.2847
2020-04-28,48.5344
2020-04-29,51.5392
2020-04-30,51.7512
2020-05-01,47.4817
2020-05-02,47.4817
2020-05-03,47.4817
2020-05-04,46.3862
2020-05-05,48.1579
2020-05-06,46.7008
2020-05-07,46.5361
2020-05-08,46.8641
2020-05-09,46.8641
2020-05-10,46.8641
2020-05-11,47.0778
2020-05-12,44.5865
2020-05-13,43.3495
2020-05-14,42.8972
2020-05-15,43.1359
2020-05-16,43.1359
2020-05-17,43.1359
2020-05-18,49.4163
2020-05-19,48.9709
2020-05-20,50.3594
2020-05-21,50.6775
2020-05-22,50.9142
2020-05-23,50.9142
2020-05-24,50.9142
2020-05-25,50.9142
2020-05-26,55.145
2020-05-27,57.864
2020-05-28,57.7652
2020-05-29,56.7627
2020-05-30,56.7627
2020-05-31,56.7627
2020-06-01,57.7981
2020-06-02,59.2746
2020-06-03,58.2901
2020-06-04,58.4304
2020-06-05,59.914
2020-06-06,59.914
2020-06-07,59.914
2020-06-08,60.9971
2020-06-09,54.121
2020-06-10,52.0862
2020-06-11,47.6849
2020-06-12,49.1525
2020-06-13,49.1525
2020-06-14,49.1525
2020-06-15,51.4985
2020-06-16,52.8362
2020-06-17,53.2212
2020-06-18,52.3373
2020-06-19,53.3001
