,ZBRA US Equity
,RSI_30D
2020-01-01,66.4927
2020-01-02,67.9915
2020-01-03,65.4618
2020-01-04,65.4618
2020-01-05,65.4618
2020-01-06,66.2849
2020-01-07,65.0253
2020-01-08,58.4384
2020-01-09,57.6584
2020-01-10,57.4982
2020-01-11,57.4982
2020-01-12,57.4982
2020-01-13,58.6906
2020-01-14,58.3169
2020-01-15,58.1143
2020-01-16,61.2747
2020-01-17,60.3601
2020-01-18,60.3601
2020-01-19,60.3601
2020-01-20,60.3601
2020-01-21,60.1105
2020-01-22,60.8073
2020-01-23,61.1294
2020-01-24,59.7469
2020-01-25,59.7469
2020-01-26,59.7469
2020-01-27,52.7112
2020-01-28,55.4343
2020-01-29,56.6255
2020-01-30,54.0004
2020-01-31,49.4994
2020-02-01,49.4994
2020-02-02,49.4994
2020-02-03,51.5207
2020-02-04,54.3684
2020-02-05,54.3311
2020-02-06,56.528
2020-02-07,53.5223
2020-02-08,53.5223
2020-02-09,53.5223
2020-02-10,54.1952
2020-02-11,53.7335
2020-02-12,55.9274
2020-02-13,45.8761
2020-02-14,48.6623
2020-02-15,48.6623
2020-02-16,48.6623
2020-02-17,48.6623
2020-02-18,47.6793
2020-02-19,49.5962
2020-02-20,50.6769
2020-02-21,48.5754
2020-02-22,48.5754
2020-02-23,48.5754
2020-02-24,43.8057
2020-02-25,41.0014
2020-02-26,40.2133
2020-02-27,38.8448
2020-02-28,37.8288
2020-02-29,37.8288
2020-03-01,37.8288
2020-03-02,43.3866
2020-03-03,39.2011
2020-03-04,42.325
2020-03-05,38.583
2020-03-06,38.2921
2020-03-07,38.2921
2020-03-08,38.2921
2020-03-09,33.7773
2020-03-10,40.7738
2020-03-11,38.0956
2020-03-12,32.1244
2020-03-13,39.533
2020-03-14,39.533
2020-03-15,39.533
2020-03-16,36.2691
2020-03-17,40.4056
2020-03-18,41.6971
2020-03-19,41.6195
2020-03-20,40.5102
2020-03-21,40.5102
2020-03-22,40.5102
2020-03-23,38.8787
2020-03-24,41.6387
2020-03-25,43.1726
2020-03-26,46.0838
2020-03-27,43.4427
2020-03-28,43.4427
2020-03-29,43.4427
2020-03-30,44.4055
2020-03-31,43.4441
2020-04-01,42.0291
2020-04-02,41.5934
2020-04-03,42.6572
2020-04-04,42.6572
2020-04-05,42.6572
2020-04-06,46.2863
2020-04-07,46.4163
2020-04-08,47.5209
2020-04-09,48.6867
2020-04-10,48.6867
2020-04-11,48.6867
2020-04-12,48.6867
2020-04-13,47.8896
2020-04-14,50.1763
2020-04-15,47.7432
2020-04-16,48.9611
2020-04-17,49.3131
2020-04-18,49.3131
2020-04-19,49.3131
2020-04-20,49.153
2020-04-21,46.7834
2020-04-22,48.555
2020-04-23,48.9729
2020-04-24,50.9925
2020-04-25,50.9925
2020-04-26,50.9925
2020-04-27,54.0216
2020-04-28,55.7567
2020-04-29,59.2327
2020-04-30,55.0767
2020-05-01,54.024
2020-05-02,54.024
2020-05-03,54.024
2020-05-04,54.7254
2020-05-05,55.6768
2020-05-06,55.4758
2020-05-07,55.8014
2020-05-08,57.8095
2020-05-09,57.8095
2020-05-10,57.8095
2020-05-11,55.6001
2020-05-12,54.1849
2020-05-13,52.2491
2020-05-14,51.8963
2020-05-15,50.8202
2020-05-16,50.8202
2020-05-17,50.8202
2020-05-18,55.1791
2020-05-19,56.238
2020-05-20,56.4486
2020-05-21,57.0537
2020-05-22,56.8662
2020-05-23,56.8662
2020-05-24,56.8662
2020-05-25,56.8662
2020-05-26,59.6577
2020-05-27,60.2385
2020-05-28,59.8275
2020-05-29,60.6932
2020-05-30,60.6932
2020-05-31,60.6932
2020-06-01,61.4964
2020-06-02,61.1846
2020-06-03,62.2927
2020-06-04,59.4949
2020-06-05,63.0748
2020-06-06,63.0748
2020-06-07,63.0748
2020-06-08,62.9028
2020-06-09,60.5526
2020-06-10,59.448
2020-06-11,54.124
2020-06-12,56.0848
2020-06-13,56.0848
2020-06-14,56.0848
2020-06-15,56.3409
2020-06-16,57.9953
2020-06-17,56.2319
2020-06-18,56.5734
2020-06-19,57.1086
2020-06-20,57.1086
2020-06-21,57.1086
2020-06-22,56.2467
2020-06-23,55.9069
2020-06-24,52.5971
2020-06-25,53.4684
2020-06-26,51.2287
2020-06-27,51.2287
2020-06-28,51.2287
2020-06-29,52.8228
2020-06-30,53.9026
2020-07-01,52.401
2020-07-02,53.4831
2020-07-03,53.4831
2020-07-04,53.4831
2020-07-05,53.4831
2020-07-06,55.3012
2020-07-07,52.9087
2020-07-08,53.7375
2020-07-09,55.0684
2020-07-10,54.6147
2020-07-11,54.6147
2020-07-12,54.6147
2020-07-13,52.8757
2020-07-14,55.9541
2020-07-15,56.408
2020-07-16,56.2306
2020-07-17,57.7264
2020-07-18,57.7264
2020-07-19,57.7264
2020-07-20,58.6034
2020-07-21,57.4387
2020-07-22,58.4699
2020-07-23,57.9661
2020-07-24,55.7584
2020-07-25,55.7584
2020-07-26,55.7584
2020-07-27,56.7575
2020-07-28,55.9178
2020-07-29,56.7363
2020-07-30,57.0759
2020-07-31,58.8386
2020-08-01,58.8386
2020-08-02,58.8386
2020-08-03,58.8257
2020-08-04,60.0249
2020-08-05,61.2514
2020-08-06,60.281
2020-08-07,58.6014
2020-08-08,58.6014
2020-08-09,58.6014
2020-08-10,57.4217
2020-08-11,57.4756
2020-08-12,58.6395
2020-08-13,59.1772
2020-08-14,59.3207
2020-08-15,59.3207
2020-08-16,59.3207
2020-08-17,59.5694
2020-08-18,57.1367
2020-08-19,57.5754
2020-08-20,54.3397
2020-08-21,53.7602
2020-08-22,53.7602
2020-08-23,53.7602
2020-08-24,53.7853
2020-08-25,54.8284
2020-08-26,57.587
2020-08-27,53.8859
2020-08-28,55.0447
2020-08-29,55.0447
2020-08-30,55.0447
2020-08-31,57.473
2020-09-01,57.7067
2020-09-02,60.2871
2020-09-03,49.4109
2020-09-04,46.4099
2020-09-05,46.4099
2020-09-06,46.4099
2020-09-07,46.4099
2020-09-08,42.9112
2020-09-09,45.1285
2020-09-10,43.4369
2020-09-11,43.6374
2020-09-12,43.6374
2020-09-13,43.6374
2020-09-14,44.1492
2020-09-15,46.5442
2020-09-16,45.4674
2020-09-17,46.2563
2020-09-18,46.246
2020-09-19,46.246
2020-09-20,46.246
2020-09-21,43.7699
2020-09-22,45.2215
2020-09-23,44.3213
2020-09-24,44.7804
2020-09-25,47.5664
2020-09-26,47.5664
2020-09-27,47.5664
2020-09-28,48.7867
2020-09-29,48.1731
2020-09-30,45.8246
2020-10-01,48.2564
2020-10-02,48.3878
2020-10-03,48.3878
2020-10-04,48.3878
2020-10-05,51.9092
2020-10-06,52.6217
2020-10-07,54.95
2020-10-08,55.8032
2020-10-09,57.4345
2020-10-10,57.4345
2020-10-11,57.4345
2020-10-12,58.7963
2020-10-13,58.1085
2020-10-14,57.2157
2020-10-15,58.0792
2020-10-16,59.9523
2020-10-17,59.9523
2020-10-18,59.9523
2020-10-19,59.2638
2020-10-20,60.3379
2020-10-21,58.8749
2020-10-22,61.795
2020-10-23,62.647
2020-10-24,62.647
2020-10-25,62.647
2020-10-26,58.5068
2020-10-27,55.9254
2020-10-28,54.1914
2020-10-29,56.5062
2020-10-30,53.0914
2020-10-31,53.0914
2020-11-01,53.0914
2020-11-02,56.1918
2020-11-03,63.1742
2020-11-04,65.3502
2020-11-05,67.5303
2020-11-06,68.7051
2020-11-07,68.7051
2020-11-08,68.7051
2020-11-09,69.829
2020-11-10,66.7904
2020-11-11,68.8423
2020-11-12,63.2739
2020-11-13,64.2548
2020-11-14,64.2548
2020-11-15,64.2548
2020-11-16,64.2781
2020-11-17,62.4555
2020-11-18,61.3426
2020-11-19,65.4691
2020-11-20,64.3089
2020-11-21,64.3089
2020-11-22,64.3089
2020-11-23,65.7316
2020-11-24,67.6021
2020-11-25,67.3411
2020-11-26,67.3411
2020-11-27,68.0768
2020-11-28,68.0768
2020-11-29,68.0768
2020-11-30,68.3224
2020-12-01,66.0108
2020-12-02,64.2269
2020-12-03,65.2379
2020-12-04,66.3993
2020-12-05,66.3993
2020-12-06,66.3993
2020-12-07,64.6985
2020-12-08,65.0991
2020-12-09,65.3078
2020-12-10,64.6362
2020-12-11,65.1547
2020-12-12,65.1547
2020-12-13,65.1547
2020-12-14,66.3974
2020-12-15,66.3932
2020-12-16,63.897
2020-12-17,63.0925
2020-12-18,62.0999
2020-12-19,62.0999
2020-12-20,62.0999
2020-12-21,62.8245
2020-12-22,63.8203
2020-12-23,63.7243
2020-12-24,62.4662
2020-12-25,62.4662
2020-12-26,62.4662
2020-12-27,62.4662
2020-12-28,63.9392
2020-12-29,61.9321
2020-12-30,63.4227
2020-12-31,63.5726
2021-01-01,63.5726
2021-01-02,63.5726
2021-01-03,63.5726
2021-01-04,60.8168
2021-01-05,61.4963
2021-01-06,65.1479
2021-01-07,68.2676
2021-01-08,66.6976
2021-01-09,66.6976
2021-01-10,66.6976
2021-01-11,68.4197
2021-01-12,65.9437
2021-01-13,66.8985
2021-01-14,66.6965
2021-01-15,65.4948
2021-01-16,65.4948
2021-01-17,65.4948
2021-01-18,65.4948
2021-01-19,64.0333
2021-01-20,64.2068
2021-01-21,64.0492
2021-01-22,64.7249
2021-01-23,64.7249
2021-01-24,64.7249
2021-01-25,61.8941
2021-01-26,58.6994
2021-01-27,57.1471
2021-01-28,57.6562
2021-01-29,55.5313
2021-01-30,55.5313
2021-01-31,55.5313
2021-02-01,58.427
2021-02-02,60.6217
2021-02-03,59.9964
2021-02-04,61.0088
2021-02-05,60.9083
2021-02-06,60.9083
2021-02-07,60.9083
2021-02-08,64.3903
2021-02-09,65.5819
2021-02-10,66.1025
2021-02-11,73.9851
2021-02-12,75.0635
2021-02-13,75.0635
2021-02-14,75.0635
2021-02-15,75.0635
2021-02-16,76.1669
2021-02-17,73.5493
2021-02-18,72.7727
2021-02-19,74.6773
2021-02-20,74.6773
2021-02-21,74.6773
2021-02-22,73.623
2021-02-23,74.9725
2021-02-24,76.8256
2021-02-25,71.2216
2021-02-26,71.4801
2021-02-27,71.4801
2021-02-28,71.4801
2021-03-01,73.1415
2021-03-02,69.7043
2021-03-03,65.7892
2021-03-04,62.7935
2021-03-05,62.3519
2021-03-06,62.3519
2021-03-07,62.3519
2021-03-08,57.4411
2021-03-09,58.9151
2021-03-10,59.3233
2021-03-11,61.2136
2021-03-12,59.0245
2021-03-13,59.0245
2021-03-14,59.0245
2021-03-15,60.0096
2021-03-16,58.8384
2021-03-17,58.664
2021-03-18,55.3333
2021-03-19,55.0252
2021-03-20,55.0252
2021-03-21,55.0252
2021-03-22,55.8623
2021-03-23,55.5487
2021-03-24,55.8145
2021-03-25,55.0658
2021-03-26,58.6025
2021-03-27,58.6025
2021-03-28,58.6025
2021-03-29,55.7434
2021-03-30,57.4292
2021-03-31,59.5549
2021-04-01,60.8447
2021-04-02,60.8447
2021-04-03,60.8447
2021-04-04,60.8447
2021-04-05,61.0433
2021-04-06,60.5326
2021-04-07,58.7198
2021-04-08,62.2375
2021-04-09,63.0902
2021-04-10,63.0902
2021-04-11,63.0902
2021-04-12,62.4541
2021-04-13,62.1509
2021-04-14,60.8793
2021-04-15,62.3468
2021-04-16,63.4577
2021-04-17,63.4577
2021-04-18,63.4577
2021-04-19,62.1593
2021-04-20,58.9068
2021-04-21,56.4227
2021-04-22,55.2399
2021-04-23,57.544
2021-04-24,57.544
2021-04-25,57.544
2021-04-26,57.7875
2021-04-27,58.5215
2021-04-28,56.8998
2021-04-29,56.907
2021-04-30,54.1361
2021-05-01,54.1361
2021-05-02,54.1361
2021-05-03,51.5957
2021-05-04,49.2752
2021-05-05,52.3767
2021-05-06,49.4579
2021-05-07,53.6269
2021-05-08,53.6269
2021-05-09,53.6269
2021-05-10,52.4436
2021-05-11,52.8302
2021-05-12,47.6042
2021-05-13,49.4469
2021-05-14,52.7913
2021-05-15,52.7913
2021-05-16,52.7913
2021-05-17,51.6607
2021-05-18,50.6014
2021-05-19,52.2304
2021-05-20,54.2254
2021-05-21,54.3223
2021-05-22,54.3223
2021-05-23,54.3223
2021-05-24,55.888
2021-05-25,55.9523
2021-05-26,55.7869
2021-05-27,54.8685
2021-05-28,54.5664
2021-05-29,54.5664
2021-05-30,54.5664
2021-05-31,54.5664
2021-06-01,55.9684
2021-06-02,56.407
2021-06-03,56.7132
2021-06-04,59.1729
2021-06-05,59.1729
2021-06-06,59.1729
2021-06-07,55.9289
2021-06-08,55.7433
2021-06-09,55.6744
2021-06-10,56.504
2021-06-11,56.454
2021-06-12,56.454
2021-06-13,56.454
2021-06-14,56.8332
2021-06-15,55.5067
2021-06-16,55.6748
2021-06-17,54.0516
2021-06-18,51.1535
2021-06-19,51.1535
2021-06-20,51.1535
2021-06-21,54.2864
2021-06-22,54.9319
2021-06-23,53.7224
2021-06-24,55.8441
2021-06-25,55.9165
2021-06-26,55.9165
2021-06-27,55.9165
2021-06-28,60.1951
2021-06-29,62.2489
2021-06-30,59.8967
2021-07-01,60.4914
2021-07-02,62.3018
2021-07-03,62.3018
2021-07-04,62.3018
2021-07-05,62.3018
2021-07-06,63.2713
2021-07-07,63.7739
2021-07-08,61.2083
2021-07-09,62.9927
2021-07-10,62.9927
2021-07-11,62.9927
2021-07-12,63.0751
2021-07-13,57.8596
2021-07-14,56.6941
2021-07-15,54.2512
2021-07-16,52.9059
2021-07-17,52.9059
2021-07-18,52.9059
2021-07-19,49.5239
2021-07-20,52.9969
2021-07-21,56.4242
2021-07-22,56.9879
2021-07-23,59.7145
2021-07-24,59.7145
2021-07-25,59.7145
2021-07-26,58.6894
2021-07-27,57.1128
2021-07-28,58.3668
2021-07-29,58.8945
2021-07-30,59.8712
2021-07-31,59.8712
2021-08-01,59.8712
2021-08-02,59.3681
2021-08-03,57.9569
2021-08-04,60.9658
2021-08-05,62.8768
2021-08-06,60.5647
2021-08-07,60.5647
2021-08-08,60.5647
