,ATH US Equity
,RSI_30D
2020-01-01,64.7304
2020-01-02,66.2117
2020-01-03,63.6076
2020-01-04,63.6076
2020-01-05,63.6076
2020-01-06,63.1358
2020-01-07,63.2298
2020-01-08,63.8968
2020-01-09,65.8498
2020-01-10,64.3311
2020-01-11,64.3311
2020-01-12,64.3311
2020-01-13,65.1923
2020-01-14,62.892
2020-01-15,59.153
2020-01-16,60.0527
2020-01-17,59.531
2020-01-18,59.531
2020-01-19,59.531
2020-01-20,59.531
2020-01-21,53.5189
2020-01-22,51.8714
2020-01-23,50.3524
2020-01-24,49.1933
2020-01-25,49.1933
2020-01-26,49.1933
2020-01-27,45.6235
2020-01-28,49.7636
2020-01-29,50.1524
2020-01-30,49.479
2020-01-31,45.4332
2020-02-01,45.4332
2020-02-02,45.4332
2020-02-03,46.2261
2020-02-04,48.6242
2020-02-05,54.3051
2020-02-06,53.6871
2020-02-07,54.9468
2020-02-08,54.9468
2020-02-09,54.9468
2020-02-10,54.825
2020-02-11,58.7068
2020-02-12,59.4971
2020-02-13,60.0248
2020-02-14,61.4116
2020-02-15,61.4116
2020-02-16,61.4116
2020-02-17,61.4116
2020-02-18,65.8085
2020-02-19,62.7961
2020-02-20,63.8952
2020-02-21,63.7221
2020-02-22,63.7221
2020-02-23,63.7221
2020-02-24,57.047
2020-02-25,50.6394
2020-02-26,49.403
2020-02-27,42.8568
2020-02-28,38.9092
2020-02-29,38.9092
2020-03-01,38.9092
2020-03-02,41.8562
2020-03-03,38.5475
2020-03-04,42.6892
2020-03-05,39.6012
2020-03-06,35.3529
2020-03-07,35.3529
2020-03-08,35.3529
2020-03-09,29.8244
2020-03-10,32.159
2020-03-11,29.187
2020-03-12,23.9333
2020-03-13,28.8207
2020-03-14,28.8207
2020-03-15,28.8207
2020-03-16,25.244
2020-03-17,24.0745
2020-03-18,22.2518
2020-03-19,25.3748
2020-03-20,24.477
2020-03-21,24.477
2020-03-22,24.477
2020-03-23,24.136
2020-03-24,31.9652
2020-03-25,38.074
2020-03-26,40.8107
2020-03-27,39.1872
2020-03-28,39.1872
2020-03-29,39.1872
2020-03-30,39.9421
2020-03-31,38.7463
2020-04-01,36.4935
2020-04-02,37.0418
2020-04-03,36.4289
2020-04-04,36.4289
2020-04-05,36.4289
2020-04-06,38.8577
2020-04-07,39.5441
2020-04-08,42.8732
2020-04-09,47.0473
2020-04-10,47.0473
2020-04-11,47.0473
2020-04-12,47.0473
2020-04-13,45.1542
2020-04-14,44.2943
2020-04-15,41.7107
2020-04-16,41.2134
2020-04-17,43.3001
2020-04-18,43.3001
2020-04-19,43.3001
2020-04-20,42.152
2020-04-21,40.617
2020-04-22,41.3064
2020-04-23,41.2552
2020-04-24,42.3287
2020-04-25,42.3287
2020-04-26,42.3287
2020-04-27,44.3366
2020-04-28,45.4839
2020-04-29,48.0966
2020-04-30,46.5253
2020-05-01,44.5931
2020-05-02,44.5931
2020-05-03,44.5931
2020-05-04,44.5643
2020-05-05,43.9014
2020-05-06,42.6654
2020-05-07,44.9813
2020-05-08,47.8551
2020-05-09,47.8551
2020-05-10,47.8551
2020-05-11,47.5497
2020-05-12,45.509
2020-05-13,43.8583
2020-05-14,45.2364
2020-05-15,45.459
2020-05-16,45.459
2020-05-17,45.459
2020-05-18,48.964
2020-05-19,47.5658
2020-05-20,48.0146
2020-05-21,48.0389
2020-05-22,47.2308
2020-05-23,47.2308
2020-05-24,47.2308
2020-05-25,47.2308
2020-05-26,50.6762
2020-05-27,52.1063
2020-05-28,51.1923
2020-05-29,50.6167
2020-05-30,50.6167
2020-05-31,50.6167
2020-06-01,51.6576
2020-06-02,51.3615
2020-06-03,54.3614
2020-06-04,56.1182
2020-06-05,58.0895
2020-06-06,58.0895
2020-06-07,58.0895
2020-06-08,59.7522
2020-06-09,57.3967
2020-06-10,54.8789
2020-06-11,50.2795
2020-06-12,51.526
2020-06-13,51.526
2020-06-14,51.526
2020-06-15,52.6772
2020-06-16,53.9058
2020-06-17,52.5677
2020-06-18,55.0561
2020-06-19,53.6317
2020-06-20,53.6317
