,EXEL US Equity
,RSI_30D
2020-01-01,52.4311
2020-01-02,52.6369
2020-01-03,49.0681
2020-01-04,49.0681
2020-01-05,49.0681
2020-01-06,51.897
2020-01-07,56.9771
2020-01-08,58.101
2020-01-09,56.3296
2020-01-10,54.6595
2020-01-11,54.6595
2020-01-12,54.6595
2020-01-13,55.3226
2020-01-14,60.074
2020-01-15,62.6671
2020-01-16,62.818
2020-01-17,59.3962
2020-01-18,59.3962
2020-01-19,59.3962
2020-01-20,59.3962
2020-01-21,59.0741
2020-01-22,58.854
2020-01-23,58.0153
2020-01-24,50.3461
2020-01-25,50.3461
2020-01-26,50.3461
2020-01-27,49.1324
2020-01-28,49.7589
2020-01-29,49.3101
2020-01-30,46.7789
2020-01-31,46.7789
2020-02-01,46.7789
2020-02-02,46.7789
2020-02-03,48.1539
2020-02-04,48.741
2020-02-05,52.583
2020-02-06,53.4527
2020-02-07,55.1134
2020-02-08,55.1134
2020-02-09,55.1134
2020-02-10,55.9062
2020-02-11,56.6565
2020-02-12,59.4707
2020-02-13,60.0377
2020-02-14,61.947
2020-02-15,61.947
2020-02-16,61.947
2020-02-17,61.947
2020-02-18,63.5411
2020-02-19,65.3991
2020-02-20,63.5192
2020-02-21,61.2976
2020-02-22,61.2976
2020-02-23,61.2976
2020-02-24,56.5256
2020-02-25,52.8757
2020-02-26,49.8449
2020-02-27,48.7458
2020-02-28,49.4715
2020-02-29,49.4715
2020-03-01,49.4715
2020-03-02,52.3458
2020-03-03,50.0325
2020-03-04,54.3921
2020-03-05,51.5211
2020-03-06,49.5034
2020-03-07,49.5034
2020-03-08,49.5034
2020-03-09,46.1847
2020-03-10,48.7556
2020-03-11,45.2378
2020-03-12,39.5299
2020-03-13,44.8188
2020-03-14,44.8188
2020-03-15,44.8188
2020-03-16,39.401
2020-03-17,40.3694
2020-03-18,40.1922
2020-03-19,41.8105
2020-03-20,41.7628
2020-03-21,41.7628
2020-03-22,41.7628
2020-03-23,42.4087
2020-03-24,44.1293
2020-03-25,43.9164
2020-03-26,48.7449
2020-03-27,48.6016
2020-03-28,48.6016
2020-03-29,48.6016
2020-03-30,50.2365
2020-03-31,48.6074
2020-04-01,46.4542
2020-04-02,47.0607
2020-04-03,46.6864
2020-04-04,46.6864
2020-04-05,46.6864
2020-04-06,50.3035
2020-04-07,50.12
2020-04-08,53.1275
2020-04-09,51.217
2020-04-10,51.217
2020-04-11,51.217
2020-04-12,51.217
2020-04-13,50.4782
2020-04-14,53.0195
2020-04-15,51.6639
2020-04-16,52.5684
2020-04-17,55.1186
2020-04-18,55.1186
2020-04-19,55.1186
2020-04-20,64.1733
2020-04-21,65.8701
2020-04-22,66.1396
2020-04-23,68.7701
2020-04-24,69.0116
2020-04-25,69.0116
2020-04-26,69.0116
2020-04-27,70.2606
2020-04-28,67.7389
2020-04-29,65.9275
2020-04-30,61.7134
2020-05-01,59.9906
2020-05-02,59.9906
2020-05-03,59.9906
2020-05-04,62.7564
2020-05-05,61.7747
2020-05-06,63.3448
2020-05-07,60.7904
2020-05-08,62.036
2020-05-09,62.036
