,UAL US Equity
,RSI_30D
2020-01-01,46.6237
2020-01-02,51.0762
2020-01-03,46.5925
2020-01-04,46.5925
2020-01-05,46.5925
2020-01-06,46.1371
2020-01-07,44.0653
2020-01-08,45.5079
2020-01-09,47.2345
2020-01-10,45.7578
2020-01-11,45.7578
2020-01-12,45.7578
2020-01-13,44.8068
2020-01-14,47.3921
2020-01-15,48.5351
2020-01-16,51.6239
2020-01-17,52.0054
2020-01-18,52.0054
2020-01-19,52.0054
2020-01-20,52.0054
2020-01-21,43.3621
2020-01-22,39.145
2020-01-23,42.7645
2020-01-24,38.2146
2020-01-25,38.2146
2020-01-26,38.2146
2020-01-27,33.0088
2020-01-28,32.3889
2020-01-29,30.5084
2020-01-30,35.8289
2020-01-31,32.8107
2020-02-01,32.8107
2020-02-02,32.8107
2020-02-03,33.0283
2020-02-04,40.2696
2020-02-05,44.8567
2020-02-06,43.2882
2020-02-07,42.1366
2020-02-08,42.1366
2020-02-09,42.1366
2020-02-10,42.1253
2020-02-11,43.7879
2020-02-12,46.3021
2020-02-13,44.8002
2020-02-14,43.0799
2020-02-15,43.0799
2020-02-16,43.0799
2020-02-17,43.0799
2020-02-18,44.1431
2020-02-19,43.1521
2020-02-20,43.9302
2020-02-21,41.6439
2020-02-22,41.6439
2020-02-23,41.6439
2020-02-24,38.8478
2020-02-25,34.2575
2020-02-26,31.1211
2020-02-27,30.0028
2020-02-28,27.8235
2020-02-29,27.8235
2020-03-01,27.8235
2020-03-02,27.6191
2020-03-03,25.8507
2020-03-04,27.752
2020-03-05,23.5759
2020-03-06,24.3382
2020-03-07,24.3382
2020-03-08,24.3382
2020-03-09,21.9731
2020-03-10,29.656
2020-03-11,28.0635
2020-03-12,23.1642
2020-03-13,28.0006
2020-03-14,28.0006
2020-03-15,28.0006
2020-03-16,25.7333
2020-03-17,24.159
2020-03-18,21.5228
2020-03-19,21.4967
2020-03-20,24.547
2020-03-21,24.547
2020-03-22,24.547
2020-03-23,26.16
2020-03-24,31.9637
2020-03-25,34.7915
2020-03-26,34.3606
2020-03-27,33.2607
2020-03-28,33.2607
2020-03-29,33.2607
2020-03-30,32.2061
2020-03-31,33.3402
2020-04-01,31.0588
2020-04-02,30.2495
2020-04-03,30.0552
2020-04-04,30.0552
2020-04-05,30.0552
2020-04-06,31.0278
