,H US Equity
,RSI_30D
2020-01-01,76.4012
2020-01-02,74.6044
2020-01-03,73.7078
2020-01-04,73.7078
2020-01-05,73.7078
2020-01-06,69.5147
2020-01-07,66.3834
2020-01-08,67.9616
2020-01-09,67.0811
2020-01-10,63.4257
2020-01-11,63.4257
2020-01-12,63.4257
2020-01-13,64.2077
2020-01-14,64.5216
2020-01-15,63.0068
2020-01-16,65.147
2020-01-17,66.0861
2020-01-18,66.0861
2020-01-19,66.0861
2020-01-20,66.0861
2020-01-21,59.6015
2020-01-22,59.9875
2020-01-23,59.4509
2020-01-24,55.5586
2020-01-25,55.5586
2020-01-26,55.5586
2020-01-27,54.1966
2020-01-28,56.3541
2020-01-29,57.401
2020-01-30,58.4325
2020-01-31,55.1459
2020-02-01,55.1459
2020-02-02,55.1459
2020-02-03,57.6629
2020-02-04,61.0023
2020-02-05,63.9835
2020-02-06,61.2956
2020-02-07,59.1852
2020-02-08,59.1852
2020-02-09,59.1852
2020-02-10,60.204
2020-02-11,59.7124
2020-02-12,60.4713
2020-02-13,57.7051
2020-02-14,58.012
2020-02-15,58.012
2020-02-16,58.012
2020-02-17,58.012
2020-02-18,59.2048
2020-02-19,61.1487
2020-02-20,65.1321
2020-02-21,62.6297
2020-02-22,62.6297
2020-02-23,62.6297
2020-02-24,51.5171
2020-02-25,44.1204
2020-02-26,43.293
2020-02-27,40.3518
2020-02-28,40.116
2020-02-29,40.116
2020-03-01,40.116
2020-03-02,40.8314
2020-03-03,38.1622
2020-03-04,39.7176
2020-03-05,34.2407
2020-03-06,33.8766
2020-03-07,33.8766
2020-03-08,33.8766
2020-03-09,29.8012
2020-03-10,34.44
2020-03-11,30.5161
2020-03-12,25.9426
2020-03-13,29.4312
2020-03-14,29.4312
2020-03-15,29.4312
2020-03-16,26.8774
2020-03-17,25.0273
2020-03-18,22.0269
2020-03-19,25.5088
2020-03-20,32.2261
2020-03-21,32.2261
2020-03-22,32.2261
2020-03-23,32.9213
2020-03-24,33.9858
2020-03-25,36.8225
2020-03-26,36.483
2020-03-27,35.4483
2020-03-28,35.4483
2020-03-29,35.4483
2020-03-30,35.1515
2020-03-31,34.8192
2020-04-01,32.7222
2020-04-02,31.1332
2020-04-03,31.0304
2020-04-04,31.0304
2020-04-05,31.0304
2020-04-06,37.1241
2020-04-07,39.1512
2020-04-08,41.2664
2020-04-09,42.678
2020-04-10,42.678
2020-04-11,42.678
2020-04-12,42.678
2020-04-13,41.8503
2020-04-14,44.2088
2020-04-15,43.8286
2020-04-16,43.7329
2020-04-17,46.2499
2020-04-18,46.2499
2020-04-19,46.2499
2020-04-20,44.6937
2020-04-21,45.2072
2020-04-22,44.3088
2020-04-23,43.8144
2020-04-24,43.3619
2020-04-25,43.3619
2020-04-26,43.3619
2020-04-27,46.0684
2020-04-28,46.061
2020-04-29,48.6202
2020-04-30,46.7365
2020-05-01,43.4175
2020-05-02,43.4175
2020-05-03,43.4175
2020-05-04,43.6799
2020-05-05,43.2168
2020-05-06,42.5482
2020-05-07,42.7391
2020-05-08,45.2697
2020-05-09,45.2697
2020-05-10,45.2697
2020-05-11,42.9971
2020-05-12,40.9719
2020-05-13,39.2469
2020-05-14,41.4806
2020-05-15,41.8492
2020-05-16,41.8492
2020-05-17,41.8492
2020-05-18,47.5934
2020-05-19,47.7318
2020-05-20,47.8324
2020-05-21,47.4466
2020-05-22,46.8877
2020-05-23,46.8877
2020-05-24,46.8877
2020-05-25,46.8877
2020-05-26,50.183
2020-05-27,50.4924
2020-05-28,49.2941
2020-05-29,48.9337
2020-05-30,48.9337
2020-05-31,48.9337
2020-06-01,49.9256
2020-06-02,50.9998
2020-06-03,53.1733
2020-06-04,54.2849
2020-06-05,56.116
