,CTXS US Equity
,RSI_30D
2022-11-17,58.8613
2022-11-18,58.8613
2022-11-19,58.8613
2022-11-20,58.8613
2022-11-21,58.8613
2022-11-22,58.8613
2022-11-23,58.8613
2022-11-24,58.8613
2022-11-25,58.8613
2022-11-26,58.8613
2022-11-27,58.8613
2022-11-28,58.8613
2022-11-29,58.8613
2022-11-30,58.8613
2022-12-01,58.8613
2022-12-02,58.8613
2022-12-03,58.8613
2022-12-04,58.8613
2022-12-05,58.8613
2022-12-06,58.8613
2022-12-07,58.8613
2022-12-08,58.8613
2022-12-09,58.8613
2022-12-10,58.8613
2022-12-11,58.8613
2022-12-12,58.8613
2022-12-13,58.8613
2022-12-14,58.8613
2022-12-15,58.8613
2022-12-16,58.8613
2022-12-17,58.8613
2022-12-18,58.8613
2022-12-19,58.8613
2022-12-20,58.8613
2022-12-21,58.8613
2022-12-22,58.8613
2022-12-23,58.8613
2022-12-24,58.8613
2022-12-25,58.8613
2022-12-26,58.8613
2022-12-27,58.8613
2022-12-28,58.8613
2022-12-29,58.8613
2022-12-30,58.8613
2022-12-31,58.8613
2023-01-01,58.8613
2023-01-02,58.8613
2023-01-03,58.8613
2023-01-04,58.8613
2023-01-05,58.8613
2023-01-06,58.8613
2023-01-07,58.8613
2023-01-08,58.8613
2023-01-09,58.8613
2023-01-10,58.8613
2023-01-11,58.8613
2023-01-12,58.8613
2023-01-13,58.8613
2023-01-14,58.8613
2023-01-15,58.8613
2023-01-16,58.8613
2023-01-17,58.8613
2023-01-18,58.8613
2023-01-19,58.8613
2023-01-20,58.8613
2023-01-21,58.8613
2023-01-22,58.8613
2023-01-23,58.8613
2023-01-24,58.8613
2023-01-25,58.8613
2023-01-26,58.8613
2023-01-27,58.8613
2023-01-28,58.8613
2023-01-29,58.8613
2023-01-30,58.8613
2023-01-31,58.8613
2023-02-01,58.8613
2023-02-02,58.8613
2023-02-03,58.8613
2023-02-04,58.8613
2023-02-05,58.8613
2023-02-06,58.8613
2023-02-07,58.8613
2023-02-08,58.8613
2023-02-09,58.8613
2023-02-10,58.8613
2023-02-11,58.8613
2023-02-12,58.8613
2023-02-13,58.8613
2023-02-14,58.8613
2023-02-15,58.8613
2023-02-16,58.8613
2023-02-17,58.8613
2023-02-18,58.8613
2023-02-19,58.8613
2023-02-20,58.8613
2023-02-21,58.8613
2023-02-22,58.8613
2023-02-23,58.8613
2023-02-24,58.8613
2023-02-25,58.8613
2023-02-26,58.8613
2023-02-27,58.8613
2023-02-28,58.8613
2023-03-01,58.8613
2023-03-02,58.8613
2023-03-03,58.8613
2023-03-04,58.8613
2023-03-05,58.8613
2023-03-06,58.8613
2023-03-07,58.8613
2023-03-08,58.8613
2023-03-09,58.8613
2023-03-10,58.8613
2023-03-11,58.8613
2023-03-12,58.8613
2023-03-13,58.8613
2023-03-14,58.8613
2023-03-15,58.8613
2023-03-16,58.8613
