,KMX US Equity
,RSI_30D
2020-01-01,37.6843
2020-01-02,41.7392
2020-01-03,38.5648
2020-01-04,38.5648
2020-01-05,38.5648
2020-01-06,38.2837
2020-01-07,38.68
2020-01-08,38.467
2020-01-09,39.6585
2020-01-10,42.9338
2020-01-11,42.9338
2020-01-12,42.9338
2020-01-13,46.8217
2020-01-14,48.5235
2020-01-15,50.2256
2020-01-16,53.3174
2020-01-17,54.8786
2020-01-18,54.8786
2020-01-19,54.8786
2020-01-20,54.8786
2020-01-21,55.2263
2020-01-22,57.4615
2020-01-23,58.5826
2020-01-24,55.8192
2020-01-25,55.8192
2020-01-26,55.8192
2020-01-27,54.3772
2020-01-28,58.232
2020-01-29,58.0948
2020-01-30,59.3135
2020-01-31,54.861
2020-02-01,54.861
2020-02-02,54.861
2020-02-03,51.4511
2020-02-04,53.9769
2020-02-05,55.6981
2020-02-06,53.9861
2020-02-07,52.8599
2020-02-08,52.8599
2020-02-09,52.8599
2020-02-10,54.8242
2020-02-11,56.4779
2020-02-12,55.4025
2020-02-13,56.3331
2020-02-14,56.1861
2020-02-15,56.1861
2020-02-16,56.1861
2020-02-17,56.1861
2020-02-18,55.1805
2020-02-19,57.8675
2020-02-20,60.2155
2020-02-21,58.8919
2020-02-22,58.8919
2020-02-23,58.8919
2020-02-24,52.3994
2020-02-25,46.5285
2020-02-26,44.0843
2020-02-27,40.6333
2020-02-28,39.7231
2020-02-29,39.7231
2020-03-01,39.7231
2020-03-02,43.3482
2020-03-03,39.7086
2020-03-04,45.6907
2020-03-05,41.243
2020-03-06,40.4489
2020-03-07,40.4489
2020-03-08,40.4489
2020-03-09,33.4374
2020-03-10,38.5891
2020-03-11,36.3163
2020-03-12,31.8023
2020-03-13,33.1625
2020-03-14,33.1625
2020-03-15,33.1625
2020-03-16,27.1248
2020-03-17,26.7045
2020-03-18,24.8501
2020-03-19,24.8211
2020-03-20,23.6005
2020-03-21,23.6005
2020-03-22,23.6005
2020-03-23,26.9047
2020-03-24,34.2927
2020-03-25,39.812
2020-03-26,38.5021
2020-03-27,37.6408
2020-03-28,37.6408
2020-03-29,37.6408
2020-03-30,36.2984
2020-03-31,35.5074
2020-04-01,34.9051
2020-04-02,34.0276
2020-04-03,33.3844
2020-04-04,33.3844
2020-04-05,33.3844
2020-04-06,37.8288
2020-04-07,40.3348
2020-04-08,43.7663
2020-04-09,45.7966
2020-04-10,45.7966
2020-04-11,45.7966
2020-04-12,45.7966
2020-04-13,43.8493
2020-04-14,44.9605
2020-04-15,43.5606
2020-04-16,42.3423
2020-04-17,46.159
2020-04-18,46.159
2020-04-19,46.159
2020-04-20,45.8222
2020-04-21,45.3144
2020-04-22,46.1522
2020-04-23,46.8364
2020-04-24,49.8685
2020-04-25,49.8685
2020-04-26,49.8685
2020-04-27,52.1466
2020-04-28,51.6201
2020-04-29,54.3027
2020-04-30,51.1018
2020-05-01,49.6393
2020-05-02,49.6393
2020-05-03,49.6393
2020-05-04,49.9894
2020-05-05,50.7385
2020-05-06,50.7385
2020-05-07,50.6755
2020-05-08,52.9815
2020-05-09,52.9815
2020-05-10,52.9815
2020-05-11,52.4963
2020-05-12,51.7045
2020-05-13,51.1433
2020-05-14,51.9366
2020-05-15,52.3499
2020-05-16,52.3499
2020-05-17,52.3499
2020-05-18,54.8674
2020-05-19,54.2667
2020-05-20,53.8096
2020-05-21,55.1576
2020-05-22,55.8846
2020-05-23,55.8846
2020-05-24,55.8846
2020-05-25,55.8846
2020-05-26,58.1635
2020-05-27,60.4606
2020-05-28,60.0079
2020-05-29,59.4603
2020-05-30,59.4603
2020-05-31,59.4603
2020-06-01,60.6626
2020-06-02,61.7778
2020-06-03,63.314
2020-06-04,61.7658
2020-06-05,63.3215
2020-06-06,63.3215
2020-06-07,63.3215
2020-06-08,64.6089
2020-06-09,61.4465
2020-06-10,58.8988
2020-06-11,55.1074
2020-06-12,56.7556
2020-06-13,56.7556
2020-06-14,56.7556
2020-06-15,58.4284
2020-06-16,60.3915
2020-06-17,60.7339
2020-06-18,61.24
2020-06-19,56.3108
2020-06-20,56.3108
2020-06-21,56.3108
2020-06-22,57.5343
2020-06-23,56.1717
2020-06-24,54.082
2020-06-25,54.1714
2020-06-26,51.9215
2020-06-27,51.9215
2020-06-28,51.9215
2020-06-29,53.514
2020-06-30,53.8893
2020-07-01,53.4741
2020-07-02,53.6136
2020-07-03,53.6136
2020-07-04,53.6136
2020-07-05,53.6136
2020-07-06,54.4335
2020-07-07,52.9398
2020-07-08,53.0217
2020-07-09,50.9604
2020-07-10,52.477
2020-07-11,52.477
2020-07-12,52.477
2020-07-13,51.7089
2020-07-14,54.7718
2020-07-15,57.3112
2020-07-16,57.4318
2020-07-17,57.2459
2020-07-18,57.2459
2020-07-19,57.2459
2020-07-20,55.6888
2020-07-21,57.0774
2020-07-22,58.8691
2020-07-23,58.8002
2020-07-24,58.4766
2020-07-25,58.4766
2020-07-26,58.4766
2020-07-27,58.7043
2020-07-28,58.0666
2020-07-29,59.22
2020-07-30,58.832
2020-07-31,57.3223
2020-08-01,57.3223
2020-08-02,57.3223
2020-08-03,57.6775
2020-08-04,59.2758
2020-08-05,60.0716
2020-08-06,60.3044
2020-08-07,59.844
2020-08-08,59.844
2020-08-09,59.844
2020-08-10,61.4248
2020-08-11,62.8359
2020-08-12,64.5233
2020-08-13,62.0866
2020-08-14,62.0737
2020-08-15,62.0737
2020-08-16,62.0737
2020-08-17,63.0814
2020-08-18,63.8711
2020-08-19,63.9895
2020-08-20,63.0494
2020-08-21,63.7178
2020-08-22,63.7178
2020-08-23,63.7178
2020-08-24,65.246
2020-08-25,62.6888
2020-08-26,62.8514
2020-08-27,61.839
2020-08-28,62.4823
2020-08-29,62.4823
2020-08-30,62.4823
2020-08-31,61.995
2020-09-01,63.5128
2020-09-02,63.5311
2020-09-03,59.9901
2020-09-04,58.8881
2020-09-05,58.8881
2020-09-06,58.8881
2020-09-07,58.8881
2020-09-08,57.4712
2020-09-09,58.0477
2020-09-10,54.191
