,MTD US Equity
,RSI_30D
2020-01-01,66.5239
2020-01-02,68.403
2020-01-03,63.5419
2020-01-04,63.5419
2020-01-05,63.5419
2020-01-06,64.2514
2020-01-07,64.831
2020-01-08,64.8025
2020-01-09,67.0967
2020-01-10,68.1601
2020-01-11,68.1601
2020-01-12,68.1601
2020-01-13,68.9029
2020-01-14,70.095
2020-01-15,66.1136
2020-01-16,68.0
2020-01-17,68.0958
2020-01-18,68.0958
2020-01-19,68.0958
2020-01-20,68.0958
2020-01-21,68.6745
2020-01-22,68.6038
2020-01-23,67.3053
2020-01-24,63.6423
2020-01-25,63.6423
2020-01-26,63.6423
2020-01-27,57.7959
2020-01-28,57.8098
2020-01-29,58.3543
2020-01-30,51.7278
2020-01-31,47.4184
2020-02-01,47.4184
2020-02-02,47.4184
2020-02-03,47.6188
2020-02-04,49.8525
2020-02-05,52.1926
2020-02-06,52.0763
2020-02-07,53.8746
2020-02-08,53.8746
2020-02-09,53.8746
2020-02-10,52.3717
2020-02-11,52.1899
2020-02-12,50.4924
2020-02-13,49.7243
2020-02-14,48.2827
2020-02-15,48.2827
2020-02-16,48.2827
2020-02-17,48.2827
2020-02-18,45.8813
2020-02-19,49.2523
2020-02-20,46.9028
2020-02-21,48.029
2020-02-22,48.029
2020-02-23,48.029
2020-02-24,41.6625
2020-02-25,38.0091
2020-02-26,37.6298
2020-02-27,36.3785
2020-02-28,38.802
2020-02-29,38.802
2020-03-01,38.802
2020-03-02,43.7511
2020-03-03,45.1638
2020-03-04,52.771
2020-03-05,46.5643
2020-03-06,44.0648
2020-03-07,44.0648
2020-03-08,44.0648
2020-03-09,38.755
2020-03-10,43.6549
2020-03-11,39.2716
2020-03-12,37.561
2020-03-13,42.1031
2020-03-14,42.1031
2020-03-15,42.1031
2020-03-16,37.7778
2020-03-17,44.7995
2020-03-18,46.6354
2020-03-19,48.7639
2020-03-20,42.4837
2020-03-21,42.4837
2020-03-22,42.4837
2020-03-23,38.7179
2020-03-24,43.9
2020-03-25,43.545
2020-03-26,45.2075
2020-03-27,45.172
2020-03-28,45.172
2020-03-29,45.172
2020-03-30,47.4922
2020-03-31,47.9298
2020-04-01,45.3102
2020-04-02,45.2601
2020-04-03,43.4106
2020-04-04,43.4106
2020-04-05,43.4106
2020-04-06,49.5561
2020-04-07,50.0925
2020-04-08,52.4821
2020-04-09,51.3856
2020-04-10,51.3856
2020-04-11,51.3856
2020-04-12,51.3856
2020-04-13,48.5523
2020-04-14,50.1802
2020-04-15,48.7502
2020-04-16,48.9829
2020-04-17,50.9646
2020-04-18,50.9646
2020-04-19,50.9646
2020-04-20,49.9011
2020-04-21,48.0125
2020-04-22,49.7026
2020-04-23,49.6303
2020-04-24,50.4655
2020-04-25,50.4655
2020-04-26,50.4655
2020-04-27,52.2436
2020-04-28,49.2922
2020-04-29,52.3426
2020-04-30,50.8139
2020-05-01,48.4041
2020-05-02,48.4041
2020-05-03,48.4041
2020-05-04,48.546
2020-05-05,50.092
2020-05-06,50.5691
2020-05-07,51.9626
2020-05-08,50.825
2020-05-09,50.825
2020-05-10,50.825
2020-05-11,50.5954
2020-05-12,48.2982
2020-05-13,48.3713
2020-05-14,48.2536
2020-05-15,49.1233
2020-05-16,49.1233
2020-05-17,49.1233
2020-05-18,50.9821
2020-05-19,50.5389
2020-05-20,52.5173
2020-05-21,51.2778
2020-05-22,53.5626
2020-05-23,53.5626
2020-05-24,53.5626
2020-05-25,53.5626
2020-05-26,55.0854
2020-05-27,56.9282
2020-05-28,57.2608
2020-05-29,57.4767
2020-05-30,57.4767
2020-05-31,57.4767
2020-06-01,58.1852
2020-06-02,59.8414
2020-06-03,60.9827
2020-06-04,61.1935
2020-06-05,62.6739
2020-06-06,62.6739
2020-06-07,62.6739
2020-06-08,61.2803
2020-06-09,57.2632
2020-06-10,56.9293
2020-06-11,51.4135
2020-06-12,51.6839
2020-06-13,51.6839
2020-06-14,51.6839
2020-06-15,52.5815
2020-06-16,53.5588
2020-06-17,53.3725
2020-06-18,53.4094
2020-06-19,54.6642
2020-06-20,54.6642
2020-06-21,54.6642
2020-06-22,53.463
2020-06-23,54.7726
2020-06-24,53.0922
2020-06-25,53.2347
2020-06-26,51.6506
2020-06-27,51.6506
2020-06-28,51.6506
2020-06-29,53.0795
2020-06-30,55.2278
2020-07-01,55.1301
2020-07-02,56.176
2020-07-03,56.176
2020-07-04,56.176
2020-07-05,56.176
2020-07-06,57.0896
2020-07-07,56.4785
2020-07-08,56.3549
2020-07-09,57.7135
2020-07-10,56.0561
2020-07-11,56.0561
2020-07-12,56.0561
2020-07-13,56.6012
2020-07-14,59.3609
2020-07-15,61.3374
2020-07-16,60.0552
2020-07-17,60.7865
2020-07-18,60.7865
2020-07-19,60.7865
2020-07-20,60.5606
2020-07-21,60.9873
2020-07-22,62.3275
2020-07-23,62.5369
2020-07-24,58.7484
2020-07-25,58.7484
2020-07-26,58.7484
2020-07-27,62.1787
2020-07-28,60.0558
2020-07-29,61.6689
2020-07-30,61.2053
2020-07-31,64.9375
2020-08-01,64.9375
2020-08-02,64.9375
2020-08-03,63.5761
2020-08-04,63.7741
2020-08-05,65.2793
2020-08-06,64.1222
2020-08-07,64.6709
2020-08-08,64.6709
2020-08-09,64.6709
2020-08-10,64.8381
2020-08-11,64.9634
2020-08-12,67.3711
2020-08-13,67.3472
2020-08-14,65.121
2020-08-15,65.121
2020-08-16,65.121
2020-08-17,64.8899
2020-08-18,65.2362
2020-08-19,65.9982
2020-08-20,63.8078
2020-08-21,63.8776
2020-08-22,63.8776
2020-08-23,63.8776
2020-08-24,61.5666
2020-08-25,63.8034
2020-08-26,64.2666
2020-08-27,63.5939
2020-08-28,63.1799
2020-08-29,63.1799
2020-08-30,63.1799
2020-08-31,63.6728
2020-09-01,64.279
2020-09-02,67.4923
2020-09-03,59.5126
2020-09-04,57.2329
2020-09-05,57.2329
2020-09-06,57.2329
2020-09-07,57.2329
2020-09-08,56.9633
2020-09-09,60.2909
2020-09-10,58.2488
2020-09-11,59.4277
2020-09-12,59.4277
2020-09-13,59.4277
2020-09-14,60.0291
2020-09-15,60.2496
2020-09-16,61.1697
2020-09-17,60.2223
2020-09-18,58.9267
2020-09-19,58.9267
2020-09-20,58.9267
2020-09-21,58.5676
2020-09-22,60.047
2020-09-23,54.9699
2020-09-24,55.3907
2020-09-25,57.3479
2020-09-26,57.3479
2020-09-27,57.3479
2020-09-28,56.211
2020-09-29,56.2273
2020-09-30,55.7188
2020-10-01,56.4603
2020-10-02,55.7136
2020-10-03,55.7136
2020-10-04,55.7136
2020-10-05,59.0098
2020-10-06,59.4638
2020-10-07,61.6992
2020-10-08,61.8005
2020-10-09,63.4527
2020-10-10,63.4527
2020-10-11,63.4527
2020-10-12,63.4881
2020-10-13,63.8517
2020-10-14,62.4654
2020-10-15,61.6134
2020-10-16,63.1283
2020-10-17,63.1283
2020-10-18,63.1283
2020-10-19,60.6882
2020-10-20,62.3096
2020-10-21,62.4884
2020-10-22,66.3696
2020-10-23,64.168
2020-10-24,64.168
2020-10-25,64.168
2020-10-26,62.4772
2020-10-27,63.3967
2020-10-28,55.0966
2020-10-29,54.1702
2020-10-30,53.1759
2020-10-31,53.1759
2020-11-01,53.1759
2020-11-02,59.1559
2020-11-03,61.6428
2020-11-04,63.1782
2020-11-05,65.4609
2020-11-06,71.4802
2020-11-07,71.4802
2020-11-08,71.4802
2020-11-09,71.2263
2020-11-10,63.0325
2020-11-11,63.7452
2020-11-12,65.549
2020-11-13,67.2381
2020-11-14,67.2381
2020-11-15,67.2381
2020-11-16,67.6946
2020-11-17,68.0761
2020-11-18,61.3728
2020-11-19,61.5768
2020-11-20,61.5984
2020-11-21,61.5984
2020-11-22,61.5984
2020-11-23,60.3958
2020-11-24,58.8346
2020-11-25,58.594
2020-11-26,58.594
2020-11-27,58.7414
2020-11-28,58.7414
2020-11-29,58.7414
2020-11-30,60.9516
2020-12-01,61.8609
2020-12-02,58.9852
2020-12-03,57.9238
2020-12-04,57.889
2020-12-05,57.889
2020-12-06,57.889
2020-12-07,56.9556
2020-12-08,60.5618
2020-12-09,59.0552
2020-12-10,59.1677
2020-12-11,58.16
2020-12-12,58.16
2020-12-13,58.16
2020-12-14,57.3445
2020-12-15,58.4092
2020-12-16,53.1551
2020-12-17,55.2504
2020-12-18,55.7337
2020-12-19,55.7337
2020-12-20,55.7337
2020-12-21,55.7886
2020-12-22,54.4205
2020-12-23,54.4876
2020-12-24,56.1401
2020-12-25,56.1401
2020-12-26,56.1401
2020-12-27,56.1401
2020-12-28,55.3391
2020-12-29,55.7242
2020-12-30,55.0975
2020-12-31,55.8281
2021-01-01,55.8281
2021-01-02,55.8281
2021-01-03,55.8281
2021-01-04,58.3869
2021-01-05,60.1322
2021-01-06,62.3224
2021-01-07,64.7787
2021-01-08,66.0776
2021-01-09,66.0776
2021-01-10,66.0776
2021-01-11,66.7818
2021-01-12,62.6687
2021-01-13,62.0485
2021-01-14,60.0647
2021-01-15,61.5228
2021-01-16,61.5228
2021-01-17,61.5228
2021-01-18,61.5228
2021-01-19,62.7794
2021-01-20,66.1624
2021-01-21,62.4173
2021-01-22,60.9232
