,DISCB US Equity
,RSI_30D
2020-01-01,53.6971
2020-01-02,53.6971
2020-01-03,53.6971
2020-01-04,53.6971
2020-01-05,53.6971
2020-01-06,57.1152
2020-01-07,57.8665
2020-01-08,57.8665
2020-01-09,53.5259
2020-01-10,54.5917
2020-01-11,54.5917
2020-01-12,54.5917
2020-01-13,53.0679
2020-01-14,53.0679
2020-01-15,53.0679
2020-01-16,53.0679
2020-01-17,53.0679
2020-01-18,53.0679
2020-01-19,53.0679
2020-01-20,53.0679
2020-01-21,53.9628
2020-01-22,52.5667
2020-01-23,52.5667
2020-01-24,52.5667
2020-01-25,52.5667
2020-01-26,52.5667
2020-01-27,52.5667
2020-01-28,52.5667
2020-01-29,52.4617
2020-01-30,52.4617
2020-01-31,52.4617
2020-02-01,52.4617
2020-02-02,52.4617
2020-02-03,52.4617
2020-02-04,52.4617
2020-02-05,52.4617
2020-02-06,50.754
2020-02-07,55.3715
2020-02-08,55.3715
2020-02-09,55.3715
2020-02-10,55.2643
2020-02-11,55.2643
2020-02-12,55.2643
2020-02-13,51.6088
2020-02-14,51.6088
2020-02-15,51.6088
2020-02-16,51.6088
2020-02-17,51.6088
2020-02-18,51.6088
2020-02-19,54.7898
2020-02-20,50.0038
2020-02-21,50.0038
2020-02-22,50.0038
2020-02-23,50.0038
2020-02-24,50.0038
2020-02-25,50.0038
2020-02-26,50.3068
2020-02-27,48.9841
2020-02-28,48.9841
2020-02-29,48.9841
2020-03-01,48.9841
2020-03-02,49.2677
2020-03-03,47.2787
2020-03-04,48.3313
2020-03-05,48.3313
2020-03-06,48.3313
2020-03-07,48.3313
2020-03-08,48.3313
2020-03-09,48.3313
2020-03-10,48.3313
2020-03-11,46.6996
2020-03-12,46.5714
2020-03-13,46.5714
2020-03-14,46.5714
2020-03-15,46.5714
2020-03-16,44.2171
2020-03-17,42.9881
2020-03-18,46.8114
2020-03-19,46.8474
2020-03-20,43.2885
2020-03-21,43.2885
2020-03-22,43.2885
2020-03-23,45.9974
2020-03-24,44.8163
2020-03-25,47.0828
2020-03-26,47.0828
2020-03-27,46.1108
2020-03-28,46.1108
2020-03-29,46.1108
2020-03-30,46.1108
2020-03-31,46.1108
2020-04-01,46.1108
2020-04-02,46.1108
2020-04-03,46.1108
2020-04-04,46.1108
2020-04-05,46.1108
2020-04-06,46.034
2020-04-07,46.6772
2020-04-08,45.5853
2020-04-09,47.9028
2020-04-10,47.9028
2020-04-11,47.9028
2020-04-12,47.9028
2020-04-13,47.9028
2020-04-14,49.1485
2020-04-15,49.1485
2020-04-16,45.0077
2020-04-17,51.6076
2020-04-18,51.6076
2020-04-19,51.6076
2020-04-20,51.6076
2020-04-21,51.998
2020-04-22,48.2167
2020-04-23,51.7787
2020-04-24,51.7787
2020-04-25,51.7787
2020-04-26,51.7787
2020-04-27,49.689
2020-04-28,50.6864
2020-04-29,48.3831
2020-04-30,51.9109
2020-05-01,63.8263
2020-05-02,63.8263
2020-05-03,63.8263
2020-05-04,59.1665
2020-05-05,56.9907
2020-05-06,57.8557
2020-05-07,55.9964
2020-05-08,54.5781
2020-05-09,54.5781
2020-05-10,54.5781
2020-05-11,53.2451
2020-05-12,52.3981
2020-05-13,52.9316
2020-05-14,51.7603
2020-05-15,52.4202
2020-05-16,52.4202
2020-05-17,52.4202
2020-05-18,51.6828
2020-05-19,51.4173
2020-05-20,50.828
2020-05-21,49.843
2020-05-22,50.9192
2020-05-23,50.9192
2020-05-24,50.9192
2020-05-25,50.9192
2020-05-26,51.1669
2020-05-27,51.0902
2020-05-28,50.3736
2020-05-29,50.726
2020-05-30,50.726
2020-05-31,50.726
2020-06-01,50.7677
2020-06-02,50.7529
2020-06-03,51.1
2020-06-04,50.3579
2020-06-05,50.755
2020-06-06,50.755
2020-06-07,50.755
2020-06-08,51.4872
2020-06-09,52.3152
2020-06-10,52.0962
2020-06-11,48.8787
2020-06-12,50.0132
2020-06-13,50.0132
2020-06-14,50.0132
2020-06-15,52.5551
2020-06-16,50.7319
2020-06-17,52.3851
2020-06-18,51.3284
2020-06-19,52.2996
2020-06-20,52.2996
2020-06-21,52.2996
2020-06-22,51.083
2020-06-23,52.72
2020-06-24,50.9645
2020-06-25,54.125
2020-06-26,52.1758
2020-06-27,52.1758
2020-06-28,52.1758
2020-06-29,51.9674
2020-06-30,50.6339
2020-07-01,49.3663
2020-07-02,49.3663
2020-07-03,49.3663
2020-07-04,49.3663
2020-07-05,49.3663
2020-07-06,53.0472
2020-07-07,53.0472
2020-07-08,50.1631
2020-07-09,50.4115
2020-07-10,50.4115
2020-07-11,50.4115
2020-07-12,50.4115
2020-07-13,49.6809
2020-07-14,49.6809
2020-07-15,49.6809
2020-07-16,51.7512
2020-07-17,50.9328
2020-07-18,50.9328
2020-07-19,50.9328
2020-07-20,50.9328
2020-07-21,51.3141
2020-07-22,50.9862
2020-07-23,50.9862
2020-07-24,50.23
2020-07-25,50.23
2020-07-26,50.23
2020-07-27,50.8734
2020-07-28,50.3158
2020-07-29,48.929
2020-07-30,48.929
2020-07-31,47.6634
2020-08-01,47.6634
2020-08-02,47.6634
2020-08-03,51.2929
2020-08-04,49.5076
2020-08-05,50.6082
2020-08-06,50.6085
2020-08-07,48.0318
2020-08-08,48.0318
2020-08-09,48.0318
2020-08-10,50.8241
2020-08-11,49.9811
2020-08-12,50.4545
2020-08-13,52.1191
2020-08-14,52.1191
2020-08-15,52.1191
2020-08-16,52.1191
2020-08-17,52.7328
2020-08-18,52.7328
2020-08-19,50.7652
2020-08-20,50.7652
2020-08-21,50.7652
2020-08-22,50.7652
2020-08-23,50.7652
2020-08-24,51.6396
2020-08-25,51.6396
2020-08-26,50.7183
2020-08-27,47.7349
2020-08-28,49.7265
2020-08-29,49.7265
2020-08-30,49.7265
2020-08-31,48.7654
2020-09-01,50.794
2020-09-02,50.794
2020-09-03,48.5755
2020-09-04,49.1748
2020-09-05,49.1748
2020-09-06,49.1748
2020-09-07,49.1748
2020-09-08,49.2477
2020-09-09,49.2477
2020-09-10,49.3222
2020-09-11,48.9006
2020-09-12,48.9006
2020-09-13,48.9006
2020-09-14,48.625
2020-09-15,48.625
2020-09-16,48.625
2020-09-17,47.6799
2020-09-18,47.6799
2020-09-19,47.6799
2020-09-20,47.6799
2020-09-21,45.0176
2020-09-22,45.0176
2020-09-23,47.526
2020-09-24,49.1922
2020-09-25,46.2107
2020-09-26,46.2107
2020-09-27,46.2107
2020-09-28,46.2107
2020-09-29,46.2107
2020-09-30,46.052
2020-10-01,46.052
2020-10-02,46.052
2020-10-03,46.052
2020-10-04,46.052
2020-10-05,46.052
2020-10-06,46.052
2020-10-07,46.052
2020-10-08,45.539
2020-10-09,45.539
2020-10-10,45.539
2020-10-11,45.539
2020-10-12,45.539
2020-10-13,45.607
2020-10-14,45.607
2020-10-15,46.6501
2020-10-16,46.0741
2020-10-17,46.0741
2020-10-18,46.0741
2020-10-19,46.0741
2020-10-20,46.0741
2020-10-21,46.0741
2020-10-22,46.0741
2020-10-23,46.7396
2020-10-24,46.7396
2020-10-25,46.7396
2020-10-26,46.6866
2020-10-27,46.6866
2020-10-28,46.6183
2020-10-29,45.2083
2020-10-30,45.2083
2020-10-31,45.2083
2020-11-01,45.2083
2020-11-02,47.2898
2020-11-03,40.5165
2020-11-04,45.9343
2020-11-05,44.9491
2020-11-06,44.6191
2020-11-07,44.6191
2020-11-08,44.6191
2020-11-09,48.5783
2020-11-10,46.1851
2020-11-11,44.5006
2020-11-12,45.3496
2020-11-13,44.6321
2020-11-14,44.6321
2020-11-15,44.6321
