,TVTY US Equity
,RSI_30D
2020-01-01,58.81
2020-01-02,59.8414
2020-01-03,58.2208
2020-01-04,58.2208
2020-01-05,58.2208
2020-01-06,60.9555
2020-01-07,58.7882
2020-01-08,61.5584
2020-01-09,61.7523
2020-01-10,64.6269
2020-01-11,64.6269
2020-01-12,64.6269
2020-01-13,66.7384
2020-01-14,67.9396
2020-01-15,69.5611
2020-01-16,71.1304
2020-01-17,69.7813
2020-01-18,69.7813
2020-01-19,69.7813
2020-01-20,69.7813
2020-01-21,67.5863
2020-01-22,66.0199
2020-01-23,65.3927
2020-01-24,64.0441
2020-01-25,64.0441
2020-01-26,64.0441
2020-01-27,59.3194
2020-01-28,58.2478
2020-01-29,56.037
2020-01-30,55.5396
2020-01-31,53.4447
2020-02-01,53.4447
2020-02-02,53.4447
2020-02-03,53.0901
2020-02-04,54.3435
2020-02-05,57.3817
2020-02-06,57.2611
2020-02-07,55.8833
2020-02-08,55.8833
2020-02-09,55.8833
2020-02-10,56.4571
2020-02-11,58.1164
2020-02-12,60.6069
2020-02-13,56.3268
2020-02-14,54.0335
2020-02-15,54.0335
2020-02-16,54.0335
2020-02-17,54.0335
2020-02-18,55.3289
2020-02-19,55.5449
2020-02-20,31.8248
2020-02-21,31.1648
2020-02-22,31.1648
2020-02-23,31.1648
2020-02-24,34.024
2020-02-25,34.992
2020-02-26,33.2338
2020-02-27,33.0507
2020-02-28,34.933
2020-02-29,34.933
2020-03-01,34.933
2020-03-02,36.6907
2020-03-03,34.4878
2020-03-04,34.8811
2020-03-05,34.3179
2020-03-06,33.2377
2020-03-07,33.2377
2020-03-08,33.2377
2020-03-09,30.4553
2020-03-10,30.7818
2020-03-11,29.3564
2020-03-12,25.9944
2020-03-13,25.4165
2020-03-14,25.4165
2020-03-15,25.4165
2020-03-16,24.2427
2020-03-17,24.2427
2020-03-18,23.7728
2020-03-19,25.0565
2020-03-20,27.3711
2020-03-21,27.3711
2020-03-22,27.3711
2020-03-23,28.8264
2020-03-24,32.8568
