,BURL US Equity
,RSI_30D
2020-01-01,61.6186
2020-01-02,62.3505
2020-01-03,61.8729
2020-01-04,61.8729
2020-01-05,61.8729
2020-01-06,63.8644
2020-01-07,65.1751
2020-01-08,64.17
2020-01-09,64.0241
2020-01-10,62.1463
2020-01-11,62.1463
2020-01-12,62.1463
2020-01-13,62.135
2020-01-14,60.3985
2020-01-15,54.5442
2020-01-16,55.2317
2020-01-17,56.7787
2020-01-18,56.7787
2020-01-19,56.7787
2020-01-20,56.7787
2020-01-21,56.6667
2020-01-22,56.9224
2020-01-23,54.8108
2020-01-24,50.5648
2020-01-25,50.5648
2020-01-26,50.5648
2020-01-27,51.8906
2020-01-28,51.5987
2020-01-29,53.2574
2020-01-30,48.2276
2020-01-31,47.5508
2020-02-01,47.5508
2020-02-02,47.5508
2020-02-03,51.8644
2020-02-04,55.6942
2020-02-05,58.4477
2020-02-06,58.2737
2020-02-07,56.7734
2020-02-08,56.7734
2020-02-09,56.7734
2020-02-10,55.5747
2020-02-11,64.3848
2020-02-12,62.5564
2020-02-13,63.9582
2020-02-14,64.7047
2020-02-15,64.7047
2020-02-16,64.7047
2020-02-17,64.7047
2020-02-18,65.3271
2020-02-19,65.8676
2020-02-20,63.765
2020-02-21,59.8876
2020-02-22,59.8876
2020-02-23,59.8876
2020-02-24,57.3563
2020-02-25,55.1222
2020-02-26,54.1727
2020-02-27,45.9636
2020-02-28,43.3078
2020-02-29,43.3078
2020-03-01,43.3078
2020-03-02,44.734
2020-03-03,43.1866
2020-03-04,45.7571
2020-03-05,45.2653
2020-03-06,43.0407
2020-03-07,43.0407
2020-03-08,43.0407
2020-03-09,37.3527
2020-03-10,40.9285
2020-03-11,36.4273
2020-03-12,32.3183
2020-03-13,35.4692
2020-03-14,35.4692
2020-03-15,35.4692
2020-03-16,23.7821
2020-03-17,27.1805
2020-03-18,24.3933
2020-03-19,28.4141
2020-03-20,31.2345
2020-03-21,31.2345
2020-03-22,31.2345
2020-03-23,30.6662
2020-03-24,37.5403
2020-03-25,39.8484
2020-03-26,42.1489
2020-03-27,39.354
2020-03-28,39.354
2020-03-29,39.354
2020-03-30,41.291
2020-03-31,40.4785
2020-04-01,38.1041
2020-04-02,38.0005
2020-04-03,37.091
2020-04-04,37.091
2020-04-05,37.091
2020-04-06,42.5287
2020-04-07,44.5339
2020-04-08,46.815
2020-04-09,47.1113
2020-04-10,47.1113
2020-04-11,47.1113
2020-04-12,47.1113
2020-04-13,44.7672
2020-04-14,47.5405
2020-04-15,46.7249
2020-04-16,47.2386
2020-04-17,49.0175
2020-04-18,49.0175
2020-04-19,49.0175
2020-04-20,47.7394
2020-04-21,46.6835
2020-04-22,47.1361
2020-04-23,46.3553
2020-04-24,47.3105
2020-04-25,47.3105
2020-04-26,47.3105
