,EBAY US Equity
,RSI_30D
2020-01-01,43.9521
2020-01-02,45.2251
2020-01-03,43.4004
2020-01-04,43.4004
2020-01-05,43.4004
2020-01-06,42.462
2020-01-07,41.6343
2020-01-08,41.5036
2020-01-09,39.3796
2020-01-10,37.9747
2020-01-11,37.9747
2020-01-12,37.9747
2020-01-13,37.2169
2020-01-14,41.8671
2020-01-15,41.7639
2020-01-16,45.8391
2020-01-17,45.2835
2020-01-18,45.2835
2020-01-19,45.2835
2020-01-20,45.2835
2020-01-21,44.7227
2020-01-22,45.9009
2020-01-23,44.2924
2020-01-24,42.9037
2020-01-25,42.9037
2020-01-26,42.9037
2020-01-27,43.779
2020-01-28,48.7254
2020-01-29,40.4956
2020-01-30,43.4075
2020-01-31,37.4785
2020-02-01,37.4785
2020-02-02,37.4785
2020-02-03,42.0123
2020-02-04,54.4462
2020-02-05,53.3298
2020-02-06,56.1832
2020-02-07,49.7148
2020-02-08,49.7148
2020-02-09,49.7148
2020-02-10,49.1297
2020-02-11,50.5187
2020-02-12,52.815
2020-02-13,52.9414
2020-02-14,55.8471
2020-02-15,55.8471
2020-02-16,55.8471
2020-02-17,55.8471
2020-02-18,54.8513
2020-02-19,53.6062
2020-02-20,54.1133
2020-02-21,55.7096
2020-02-22,55.7096
2020-02-23,55.7096
2020-02-24,52.2443
2020-02-25,49.5318
2020-02-26,50.2992
2020-02-27,45.1984
2020-02-28,44.516
2020-02-29,44.516
2020-03-01,44.516
2020-03-02,48.9051
2020-03-03,51.2042
2020-03-04,55.9766
2020-03-05,52.188
2020-03-06,49.9044
2020-03-07,49.9044
2020-03-08,49.9044
2020-03-09,47.6439
2020-03-10,49.0703
2020-03-11,46.0502
2020-03-12,42.0659
2020-03-13,44.7054
2020-03-14,44.7054
2020-03-15,44.7054
2020-03-16,41.1684
2020-03-17,43.8973
2020-03-18,40.2228
2020-03-19,37.4392
2020-03-20,34.5042
2020-03-21,34.5042
2020-03-22,34.5042
2020-03-23,32.8679
2020-03-24,36.2237
2020-03-25,37.9135
2020-03-26,41.9801
2020-03-27,42.024
2020-03-28,42.024
2020-03-29,42.024
2020-03-30,44.2281
2020-03-31,42.364
2020-04-01,40.3702
2020-04-02,41.2859
2020-04-03,41.7821
2020-04-04,41.7821
2020-04-05,41.7821
2020-04-06,45.6081
2020-04-07,46.5121
2020-04-08,49.2675
2020-04-09,50.8138
2020-04-10,50.8138
2020-04-11,50.8138
2020-04-12,50.8138
