,QCOM US Equity
,RSI_30D
2020-01-01,59.922
2020-01-02,60.511
2020-01-03,57.3458
2020-01-04,57.3458
2020-01-05,57.3458
2020-01-06,56.4135
2020-01-07,59.6839
2020-01-08,59.1983
2020-01-09,60.7241
2020-01-10,61.1624
2020-01-11,61.1624
2020-01-12,61.1624
2020-01-13,62.0509
2020-01-14,61.2143
2020-01-15,59.4153
2020-01-16,62.1559
2020-01-17,66.6794
2020-01-18,66.6794
2020-01-19,66.6794
2020-01-20,66.6794
2020-01-21,64.046
2020-01-22,61.1815
2020-01-23,59.4812
2020-01-24,55.6081
2020-01-25,55.6081
2020-01-26,55.6081
2020-01-27,51.7512
2020-01-28,54.3941
2020-01-29,53.0765
2020-01-30,52.4338
2020-01-31,49.0607
2020-02-01,49.0607
2020-02-02,49.0607
2020-02-03,50.6174
2020-02-04,53.6836
2020-02-05,55.9692
2020-02-06,55.5396
2020-02-07,51.2155
2020-02-08,51.2155
2020-02-09,51.2155
2020-02-10,52.6269
2020-02-11,54.2513
2020-02-12,56.1618
2020-02-13,53.875
2020-02-14,53.3037
2020-02-15,53.3037
2020-02-16,53.3037
2020-02-17,53.3037
2020-02-18,51.251
2020-02-19,54.1917
2020-02-20,52.7729
2020-02-21,49.7562
2020-02-22,49.7562
2020-02-23,49.7562
2020-02-24,45.6514
2020-02-25,42.6127
2020-02-26,42.0892
2020-02-27,38.8123
2020-02-28,41.7867
2020-02-29,41.7867
2020-03-01,41.7867
2020-03-02,44.4613
2020-03-03,42.6667
2020-03-04,46.9739
2020-03-05,44.6116
2020-03-06,43.1603
2020-03-07,43.1603
2020-03-08,43.1603
2020-03-09,39.3935
2020-03-10,45.7333
2020-03-11,42.5849
2020-03-12,37.7944
2020-03-13,45.1737
2020-03-14,45.1737
2020-03-15,45.1737
2020-03-16,39.004
2020-03-17,42.163
2020-03-18,38.5466
2020-03-19,41.1409
2020-03-20,39.2986
2020-03-21,39.2986
2020-03-22,39.2986
2020-03-23,40.3923
2020-03-24,42.3363
2020-03-25,41.207
2020-03-26,44.9712
2020-03-27,43.7961
2020-03-28,43.7961
2020-03-29,43.7961
2020-03-30,45.3054
2020-03-31,44.6046
2020-04-01,43.7175
2020-04-02,45.0862
2020-04-03,43.6413
2020-04-04,43.6413
2020-04-05,43.6413
2020-04-06,47.2281
2020-04-07,48.2875
2020-04-08,48.647
2020-04-09,47.6476
2020-04-10,47.6476
2020-04-11,47.6476
2020-04-12,47.6476
2020-04-13,48.7188
2020-04-14,51.2676
2020-04-15,50.318
2020-04-16,50.8373
2020-04-17,50.4063
2020-04-18,50.4063
2020-04-19,50.4063
2020-04-20,49.2254
2020-04-21,47.6906
2020-04-22,49.5612
2020-04-23,49.0058
2020-04-24,50.4773
2020-04-25,50.4773
2020-04-26,50.4773
2020-04-27,50.4368
2020-04-28,49.9598
2020-04-29,52.4412
2020-04-30,52.2228
2020-05-01,50.0453
2020-05-02,50.0453
2020-05-03,50.0453
2020-05-04,50.0737
2020-05-05,51.4666
2020-05-06,52.3413
2020-05-07,52.3099
2020-05-08,53.5588
2020-05-09,53.5588
2020-05-10,53.5588
2020-05-11,53.4918
2020-05-12,51.7664
2020-05-13,51.4166
2020-05-14,52.883
2020-05-15,49.4947
2020-05-16,49.4947
2020-05-17,49.4947
2020-05-18,52.6844
2020-05-19,51.2004
2020-05-20,53.0776
2020-05-21,50.9771
2020-05-22,51.5055
2020-05-23,51.5055
2020-05-24,51.5055
2020-05-25,51.5055
2020-05-26,50.9536
2020-05-27,51.9484
2020-05-28,50.955
2020-05-29,53.1315
2020-05-30,53.1315
2020-05-31,53.1315
2020-06-01,52.1378
2020-06-02,55.783
2020-06-03,55.8759
