,WBT US Equity
,RSI_30D
2020-01-01,38.4877
2020-01-02,37.1381
2020-01-03,38.4572
2020-01-04,38.4572
2020-01-05,38.4572
2020-01-06,37.7636
2020-01-07,35.9349
2020-01-08,35.9349
2020-01-09,36.7003
2020-01-10,38.6501
2020-01-11,38.6501
2020-01-12,38.6501
2020-01-13,38.6501
2020-01-14,38.509
2020-01-15,37.9362
2020-01-16,40.1245
2020-01-17,40.8063
2020-01-18,40.8063
2020-01-19,40.8063
2020-01-20,40.8063
2020-01-21,39.0433
2020-01-22,39.5134
2020-01-23,43.6708
2020-01-24,39.7033
2020-01-25,39.7033
2020-01-26,39.7033
2020-01-27,40.7738
2020-01-28,40.2563
2020-01-29,40.4795
2020-01-30,42.2653
2020-01-31,40.0143
2020-02-01,40.0143
2020-02-02,40.0143
2020-02-03,36.2912
2020-02-04,37.9502
2020-02-05,42.9689
2020-02-06,42.1061
2020-02-07,39.4434
2020-02-08,39.4434
2020-02-09,39.4434
2020-02-10,40.8329
2020-02-11,38.8565
2020-02-12,37.6013
2020-02-13,36.802
2020-02-14,36.01
2020-02-15,36.01
2020-02-16,36.01
2020-02-17,36.01
2020-02-18,34.3625
2020-02-19,33.5128
2020-02-20,37.4591
2020-02-21,37.5627
2020-02-22,37.5627
2020-02-23,37.5627
2020-02-24,34.0074
2020-02-25,33.2078
2020-02-26,33.2078
2020-02-27,31.7181
2020-02-28,34.4348
2020-02-29,34.4348
2020-03-01,34.4348
2020-03-02,33.6049
2020-03-03,31.9583
2020-03-04,31.5457
2020-03-05,26.6134
2020-03-06,25.8597
2020-03-07,25.8597
2020-03-08,25.8597
2020-03-09,21.2015
2020-03-10,20.3181
2020-03-11,18.0112
2020-03-12,14.8844
2020-03-13,16.4969
2020-03-14,16.4969
2020-03-15,16.4969
2020-03-16,13.4951
2020-03-17,13.0409
2020-03-18,12.3937
2020-03-19,17.5034
2020-03-20,18.4742
2020-03-21,18.4742
2020-03-22,18.4742
2020-03-23,18.2374
2020-03-24,21.7401
2020-03-25,21.3718
2020-03-26,22.4718
2020-03-27,23.191
2020-03-28,23.191
2020-03-29,23.191
2020-03-30,22.8521
2020-03-31,25.7574
2020-04-01,24.417
2020-04-02,23.6769
2020-04-03,23.3515
2020-04-04,23.3515
2020-04-05,23.3515
2020-04-06,26.985
2020-04-07,26.8908
2020-04-08,26.9567
2020-04-09,31.0119
2020-04-10,31.0119
2020-04-11,31.0119
2020-04-12,31.0119
2020-04-13,29.2268
2020-04-14,31.9485
2020-04-15,30.3137
2020-04-16,30.1047
2020-04-17,30.2912
2020-04-18,30.2912
2020-04-19,30.2912
2020-04-20,30.8635
2020-04-21,29.7409
2020-04-22,30.0042
2020-04-23,30.9415
2020-04-24,30.8196
2020-04-25,30.8196
2020-04-26,30.8196
2020-04-27,30.8196
2020-04-28,32.8728
2020-04-29,38.5343
2020-04-30,37.2999
2020-05-01,36.4221
2020-05-02,36.4221
2020-05-03,36.4221
2020-05-04,36.8703
2020-05-05,38.285
2020-05-06,36.2962
2020-05-07,39.6633
2020-05-08,41.7285
2020-05-09,41.7285
2020-05-10,41.7285
2020-05-11,40.9415
2020-05-12,39.4431
2020-05-13,38.5746
2020-05-14,38.1013
2020-05-15,39.6961
2020-05-16,39.6961
2020-05-17,39.6961
2020-05-18,42.8637
2020-05-19,43.9185
2020-05-20,44.3905
2020-05-21,44.2941
2020-05-22,44.8517
2020-05-23,44.8517
2020-05-24,44.8517
2020-05-25,44.8517
2020-05-26,49.8173
2020-05-27,49.656
2020-05-28,48.2025
2020-05-29,48.0409
2020-05-30,48.0409
2020-05-31,48.0409
2020-06-01,50.773
2020-06-02,49.758
2020-06-03,53.0485
2020-06-04,53.5642
2020-06-05,59.4205
2020-06-06,59.4205
2020-06-07,59.4205
2020-06-08,57.1881
2020-06-09,53.8816
2020-06-10,51.5191
2020-06-11,48.3265
2020-06-12,48.5725
2020-06-13,48.5725
2020-06-14,48.5725
2020-06-15,49.7119
2020-06-16,49.8618
2020-06-17,48.467
2020-06-18,48.417
2020-06-19,47.3055
2020-06-20,47.3055
2020-06-21,47.3055
2020-06-22,47.5883
2020-06-23,48.6715
2020-06-24,44.4226
2020-06-25,45.6356
2020-06-26,44.628
2020-06-27,44.628
2020-06-28,44.628
2020-06-29,48.0731
2020-06-30,48.2913
2020-07-01,46.7664
2020-07-02,46.5131
2020-07-03,46.5131
2020-07-04,46.5131
2020-07-05,46.5131
2020-07-06,46.6923
2020-07-07,44.8282
2020-07-08,46.3664
2020-07-09,44.4191
2020-07-10,47.1388
2020-07-11,47.1388
2020-07-12,47.1388
2020-07-13,48.6409
2020-07-14,49.2718
2020-07-15,52.1465
2020-07-16,52.3078
2020-07-17,50.6591
2020-07-18,50.6591
2020-07-19,50.6591
