,WHD US Equity
,RSI_30D
2020-01-01,66.3076
2020-01-02,65.8247
2020-01-03,66.9453
2020-01-04,66.9453
2020-01-05,66.9453
2020-01-06,68.0763
2020-01-07,66.328
2020-01-08,61.5184
2020-01-09,59.8194
2020-01-10,57.9925
2020-01-11,57.9925
2020-01-12,57.9925
2020-01-13,56.6198
2020-01-14,56.7161
2020-01-15,54.3037
2020-01-16,58.3195
2020-01-17,59.0811
2020-01-18,59.0811
2020-01-19,59.0811
2020-01-20,59.0811
2020-01-21,57.6151
2020-01-22,54.7254
2020-01-23,54.1788
2020-01-24,48.714
2020-01-25,48.714
2020-01-26,48.714
2020-01-27,45.2072
2020-01-28,47.7551
2020-01-29,47.2939
2020-01-30,46.0668
2020-01-31,42.9
2020-02-01,42.9
2020-02-02,42.9
2020-02-03,41.845
2020-02-04,43.9298
2020-02-05,46.6048
2020-02-06,45.8409
2020-02-07,43.7849
2020-02-08,43.7849
2020-02-09,43.7849
2020-02-10,44.2875
2020-02-11,45.2994
2020-02-12,47.0408
2020-02-13,46.5094
2020-02-14,46.0974
2020-02-15,46.0974
2020-02-16,46.0974
2020-02-17,46.0974
2020-02-18,43.9301
2020-02-19,45.3354
2020-02-20,45.6402
2020-02-21,44.4857
2020-02-22,44.4857
2020-02-23,44.4857
2020-02-24,39.4909
2020-02-25,37.5127
2020-02-26,35.7537
2020-02-27,35.4329
2020-02-28,43.1166
2020-02-29,43.1166
2020-03-01,43.1166
2020-03-02,45.4013
2020-03-03,43.565
2020-03-04,42.6722
2020-03-05,39.8484
2020-03-06,33.6638
2020-03-07,33.6638
2020-03-08,33.6638
2020-03-09,23.7873
2020-03-10,24.2967
2020-03-11,22.8075
2020-03-12,22.5468
2020-03-13,23.0166
2020-03-14,23.0166
2020-03-15,23.0166
2020-03-16,21.8349
2020-03-17,20.9868
2020-03-18,19.4878
2020-03-19,28.2685
2020-03-20,28.7273
2020-03-21,28.7273
2020-03-22,28.7273
2020-03-23,28.4205
2020-03-24,32.2135
2020-03-25,31.6065
2020-03-26,31.329
2020-03-27,30.0304
2020-03-28,30.0304
2020-03-29,30.0304
2020-03-30,29.9656
2020-03-31,31.1437
2020-04-01,30.4525
2020-04-02,34.3704
2020-04-03,33.0138
2020-04-04,33.0138
2020-04-05,33.0138
2020-04-06,38.2195
2020-04-07,38.7832
2020-04-08,41.5825
2020-04-09,42.4487
2020-04-10,42.4487
2020-04-11,42.4487
2020-04-12,42.4487
2020-04-13,41.6426
2020-04-14,41.1244
2020-04-15,39.5662
2020-04-16,37.5295
2020-04-17,39.3027
2020-04-18,39.3027
2020-04-19,39.3027
2020-04-20,38.0853
2020-04-21,38.8824
2020-04-22,40.5341
2020-04-23,42.6004
2020-04-24,42.8191
2020-04-25,42.8191
2020-04-26,42.8191
2020-04-27,44.0753
2020-04-28,44.8883
2020-04-29,50.5198
2020-04-30,49.7868
2020-05-01,46.6619
2020-05-02,46.6619
2020-05-03,46.6619
2020-05-04,47.3496
2020-05-05,46.3603
2020-05-06,45.3795
2020-05-07,46.3029
2020-05-08,48.6889
2020-05-09,48.6889
2020-05-10,48.6889
2020-05-11,47.6041
2020-05-12,49.199
2020-05-13,46.3538
2020-05-14,47.0328
2020-05-15,48.1237
2020-05-16,48.1237
2020-05-17,48.1237
2020-05-18,51.2404
2020-05-19,48.6178
2020-05-20,51.5721
2020-05-21,51.5528
2020-05-22,51.059
2020-05-23,51.059
2020-05-24,51.059
2020-05-25,51.059
2020-05-26,52.1773
2020-05-27,53.7343
2020-05-28,55.0325
2020-05-29,53.0351
2020-05-30,53.0351
2020-05-31,53.0351
2020-06-01,53.3366
2020-06-02,54.4517
2020-06-03,54.1793
2020-06-04,56.946
2020-06-05,58.5783
2020-06-06,58.5783
2020-06-07,58.5783
2020-06-08,61.8714
2020-06-09,60.2905
2020-06-10,56.4472
2020-06-11,52.9937
2020-06-12,52.8344
2020-06-13,52.8344
2020-06-14,52.8344
2020-06-15,53.4672
2020-06-16,53.651
2020-06-17,51.9939
2020-06-18,51.9514
2020-06-19,51.7105
2020-06-20,51.7105
2020-06-21,51.7105
2020-06-22,52.3954
2020-06-23,53.0633
2020-06-24,52.002
2020-06-25,53.0384
2020-06-26,51.6913
2020-06-27,51.6913
2020-06-28,51.6913
2020-06-29,51.7366
2020-06-30,53.6687
2020-07-01,51.8945
2020-07-02,52.2852
2020-07-03,52.2852
2020-07-04,52.2852
2020-07-05,52.2852
2020-07-06,53.6148
2020-07-07,52.2894
2020-07-08,51.8474
2020-07-09,49.6755
2020-07-10,50.7796
2020-07-11,50.7796
2020-07-12,50.7796
2020-07-13,50.3382
2020-07-14,52.3786
2020-07-15,55.2437
2020-07-16,53.7093
2020-07-17,53.8041
2020-07-18,53.8041
2020-07-19,53.8041
2020-07-20,53.352
2020-07-21,56.9107
2020-07-22,54.9699
2020-07-23,56.7644
2020-07-24,55.3664
2020-07-25,55.3664
2020-07-26,55.3664
2020-07-27,57.0416
2020-07-28,55.4904
2020-07-29,57.2498
2020-07-30,56.174
2020-07-31,56.3574
2020-08-01,56.3574
2020-08-02,56.3574
2020-08-03,58.277
2020-08-04,58.7844
2020-08-05,60.2206
2020-08-06,59.0277
2020-08-07,59.2534
2020-08-08,59.2534
2020-08-09,59.2534
2020-08-10,61.2409
2020-08-11,60.8655
2020-08-12,61.0228
2020-08-13,61.0228
2020-08-14,61.0706
2020-08-15,61.0706
2020-08-16,61.0706
2020-08-17,60.4186
2020-08-18,57.0111
2020-08-19,56.9028
2020-08-20,54.9595
2020-08-21,53.0171
2020-08-22,53.0171
2020-08-23,53.0171
2020-08-24,55.7065
2020-08-25,55.9868
2020-08-26,52.3224
2020-08-27,52.8003
2020-08-28,54.2296
2020-08-29,54.2296
2020-08-30,54.2296
2020-08-31,50.3824
2020-09-01,50.0684
2020-09-02,49.2116
2020-09-03,50.1272
2020-09-04,50.6855
2020-09-05,50.6855
2020-09-06,50.6855
2020-09-07,50.6855
2020-09-08,45.1762
2020-09-09,45.89
2020-09-10,42.9172
2020-09-11,45.7771
2020-09-12,45.7771
2020-09-13,45.7771
2020-09-14,45.8102
2020-09-15,45.7813
2020-09-16,46.9905
2020-09-17,46.2587
2020-09-18,47.5954
2020-09-19,47.5954
2020-09-20,47.5954
2020-09-21,44.0462
2020-09-22,44.1186
2020-09-23,39.4902
2020-09-24,39.271
2020-09-25,40.486
2020-09-26,40.486
2020-09-27,40.486
2020-09-28,43.5181
2020-09-29,44.5739
2020-09-30,44.2884
2020-10-01,43.1728
2020-10-02,47.6499
2020-10-03,47.6499
2020-10-04,47.6499
2020-10-05,48.7592
2020-10-06,47.6532
2020-10-07,48.2602
2020-10-08,50.2816
2020-10-09,48.7631
2020-10-10,48.7631
2020-10-11,48.7631
2020-10-12,48.5052
2020-10-13,45.5751
2020-10-14,46.3947
2020-10-15,44.5248
2020-10-16,43.3301
2020-10-17,43.3301
2020-10-18,43.3301
2020-10-19,42.4394
2020-10-20,43.638
2020-10-21,43.2771
2020-10-22,43.9168
2020-10-23,44.363
2020-10-24,44.363
2020-10-25,44.363
2020-10-26,41.3321
2020-10-27,40.9482
2020-10-28,38.5277
2020-10-29,39.911
2020-10-30,39.7088
2020-10-31,39.7088
2020-11-01,39.7088
2020-11-02,43.396
2020-11-03,45.0736
2020-11-04,43.3642
2020-11-05,47.9406
2020-11-06,47.4814
2020-11-07,47.4814
2020-11-08,47.4814
2020-11-09,60.9645
2020-11-10,61.0282
2020-11-11,57.8112
2020-11-12,57.3062
2020-11-13,58.7732
2020-11-14,58.7732
2020-11-15,58.7732
2020-11-16,62.4395
2020-11-17,61.3306
