,CFFN US Equity
,RSI_30D
2020-01-01,46.5424
2020-01-02,44.1227
2020-01-03,44.9305
2020-01-04,44.9305
2020-01-05,44.9305
2020-01-06,45.4741
2020-01-07,44.3421
2020-01-08,44.3421
2020-01-09,45.5035
2020-01-10,44.7785
2020-01-11,44.7785
2020-01-12,44.7785
2020-01-13,46.2548
2020-01-14,48.5323
2020-01-15,48.5323
2020-01-16,53.0559
2020-01-17,50.1079
2020-01-18,50.1079
2020-01-19,50.1079
2020-01-20,50.1079
2020-01-21,46.6921
2020-01-22,44.8834
2020-01-23,45.966
2020-01-24,45.966
2020-01-25,45.966
2020-01-26,45.966
2020-01-27,46.2485
2020-01-28,46.8236
2020-01-29,43.7939
2020-01-30,46.2409
2020-01-31,37.3383
2020-02-01,37.3383
2020-02-02,37.3383
2020-02-03,37.0107
2020-02-04,36.5955
2020-02-05,41.8586
2020-02-06,40.3391
2020-02-07,39.9857
2020-02-08,39.9857
2020-02-09,39.9857
2020-02-10,42.0848
2020-02-11,43.8622
2020-02-12,45.5895
2020-02-13,44.7751
2020-02-14,43.3724
2020-02-15,43.3724
2020-02-16,43.3724
2020-02-17,43.3724
2020-02-18,41.8234
2020-02-19,43.392
2020-02-20,46.851
2020-02-21,46.4317
2020-02-22,46.4317
2020-02-23,46.4317
2020-02-24,43.6058
2020-02-25,36.9576
2020-02-26,37.9365
2020-02-27,32.1304
2020-02-28,30.0676
2020-02-29,30.0676
2020-03-01,30.0676
2020-03-02,43.1398
2020-03-03,40.0426
2020-03-04,44.0445
2020-03-05,41.3024
2020-03-06,40.8811
2020-03-07,40.8811
2020-03-08,40.8811
2020-03-09,36.5432
2020-03-10,40.6002
2020-03-11,36.6211
2020-03-12,30.6156
2020-03-13,37.0909
2020-03-14,37.0909
2020-03-15,37.0909
2020-03-16,33.3898
2020-03-17,49.269
2020-03-18,43.5051
2020-03-19,42.1417
2020-03-20,38.1974
2020-03-21,38.1974
2020-03-22,38.1974
2020-03-23,36.0465
2020-03-24,39.378
2020-03-25,39.2511
2020-03-26,46.3993
2020-03-27,43.7373
2020-03-28,43.7373
2020-03-29,43.7373
2020-03-30,46.2368
2020-03-31,45.7006
2020-04-01,44.1554
2020-04-02,44.708
2020-04-03,43.7672
2020-04-04,43.7672
2020-04-05,43.7672
2020-04-06,45.4083
2020-04-07,44.756
2020-04-08,45.3936
2020-04-09,49.9062
2020-04-10,49.9062
2020-04-11,49.9062
2020-04-12,49.9062
2020-04-13,47.4619
2020-04-14,48.0411
2020-04-15,45.1837
2020-04-16,46.3208
2020-04-17,48.1742
2020-04-18,48.1742
2020-04-19,48.1742
2020-04-20,48.0272
2020-04-21,48.2722
2020-04-22,47.0237
2020-04-23,47.6808
2020-04-24,47.1286
2020-04-25,47.1286
2020-04-26,47.1286
2020-04-27,49.2422
2020-04-28,51.7305
2020-04-29,50.713
2020-04-30,49.8896
2020-05-01,48.2682
2020-05-02,48.2682
2020-05-03,48.2682
2020-05-04,47.8796
2020-05-05,48.1264
2020-05-06,44.5773
2020-05-07,44.1113
2020-05-08,46.7046
2020-05-09,46.7046
2020-05-10,46.7046
2020-05-11,46.0766
2020-05-12,44.2565
2020-05-13,42.5681
2020-05-14,43.0449
2020-05-15,45.4541
2020-05-16,45.4541
2020-05-17,45.4541
2020-05-18,49.2766
2020-05-19,45.9959
2020-05-20,48.3295
2020-05-21,48.0609
2020-05-22,48.7096
2020-05-23,48.7096
2020-05-24,48.7096
2020-05-25,48.7096
2020-05-26,50.286
2020-05-27,53.3873
2020-05-28,51.934
2020-05-29,50.1193
2020-05-30,50.1193
2020-05-31,50.1193
2020-06-01,48.9126
2020-06-02,48.7995
2020-06-03,50.7431
2020-06-04,50.7723
2020-06-05,54.7525
2020-06-06,54.7525
2020-06-07,54.7525
2020-06-08,54.7525
2020-06-09,53.9045
2020-06-10,50.5117
2020-06-11,46.3833
2020-06-12,46.7459
2020-06-13,46.7459
2020-06-14,46.7459
2020-06-15,47.6013
2020-06-16,48.4578
2020-06-17,45.8025
2020-06-18,46.435
2020-06-19,45.1273
2020-06-20,45.1273
2020-06-21,45.1273
2020-06-22,45.9798
2020-06-23,45.6973
2020-06-24,43.8044
2020-06-25,45.5874
2020-06-26,43.8173
2020-06-27,43.8173
2020-06-28,43.8173
2020-06-29,47.0101
2020-06-30,47.0749
2020-07-01,44.9151
2020-07-02,45.0523
2020-07-03,45.0523
2020-07-04,45.0523
2020-07-05,45.0523
2020-07-06,44.7066
2020-07-07,42.728
2020-07-08,42.6721
2020-07-09,41.5491
2020-07-10,43.9158
2020-07-11,43.9158
2020-07-12,43.9158
2020-07-13,44.2922
2020-07-14,45.1302
2020-07-15,46.9683
2020-07-16,46.0563
2020-07-17,43.854
2020-07-18,43.854
2020-07-19,43.854
2020-07-20,42.5024
2020-07-21,44.3172
2020-07-22,42.478
2020-07-23,43.0789
2020-07-24,42.5274
2020-07-25,42.5274
2020-07-26,42.5274
2020-07-27,41.3707
2020-07-28,43.0572
2020-07-29,46.0284
2020-07-30,42.6671
2020-07-31,41.905
2020-08-01,41.905
2020-08-02,41.905
2020-08-03,41.4339
2020-08-04,41.8566
2020-08-05,44.4287
2020-08-06,45.0425
2020-08-07,47.3676
2020-08-08,47.3676
2020-08-09,47.3676
2020-08-10,47.1541
2020-08-11,47.2361
2020-08-12,46.0533
2020-08-13,45.8306
2020-08-14,45.8306
2020-08-15,45.8306
2020-08-16,45.8306
2020-08-17,44.7127
2020-08-18,43.3181
2020-08-19,43.018
2020-08-20,41.3867
2020-08-21,41.1664
2020-08-22,41.1664
2020-08-23,41.1664
2020-08-24,43.1484
2020-08-25,42.2951
2020-08-26,41.1471
2020-08-27,42.2285
2020-08-28,42.2285
2020-08-29,42.2285
2020-08-30,42.2285
2020-08-31,41.6552
2020-09-01,42.2347
2020-09-02,42.7057
2020-09-03,44.1197
2020-09-04,47.4723
2020-09-05,47.4723
2020-09-06,47.4723
2020-09-07,47.4723
2020-09-08,43.6771
2020-09-09,43.5058
2020-09-10,42.556
2020-09-11,41.5327
2020-09-12,41.5327
2020-09-13,41.5327
2020-09-14,44.5226
2020-09-15,43.722
2020-09-16,43.9537
2020-09-17,44.1914
2020-09-18,43.1502
2020-09-19,43.1502
2020-09-20,43.1502
2020-09-21,40.4607
2020-09-22,40.0305
2020-09-23,38.6695
2020-09-24,40.8789
2020-09-25,42.0227
2020-09-26,42.0227
2020-09-27,42.0227
2020-09-28,45.1917
2020-09-29,43.9492
2020-09-30,45.2079
2020-10-01,45.8666
2020-10-02,57.9444
2020-10-03,57.9444
2020-10-04,57.9444
2020-10-05,59.8419
2020-10-06,57.5683
2020-10-07,59.7268
2020-10-08,61.8355
2020-10-09,61.8355
2020-10-10,61.8355
2020-10-11,61.8355
2020-10-12,63.367
2020-10-13,60.4824
2020-10-14,60.3771
2020-10-15,60.9399
2020-10-16,61.7823
2020-10-17,61.7823
2020-10-18,61.7823
2020-10-19,60.215
2020-10-20,60.4375
2020-10-21,61.1123
2020-10-22,62.7904
2020-10-23,63.2891
2020-10-24,63.2891
2020-10-25,63.2891
2020-10-26,63.7203
2020-10-27,61.7205
2020-10-28,58.2904
2020-10-29,57.4926
2020-10-30,59.6164
2020-10-31,59.6164
2020-11-01,59.6164
2020-11-02,60.4035
2020-11-03,59.6815
2020-11-04,55.5592
2020-11-05,57.6351
2020-11-06,55.6591
2020-11-07,55.6591
2020-11-08,55.6591
2020-11-09,61.8268
2020-11-10,64.9626
2020-11-11,62.5649
2020-11-12,62.0499
2020-11-13,64.9179
2020-11-14,64.9179
2020-11-15,64.9179
2020-11-16,67.6085
2020-11-17,66.3695
2020-11-18,63.6543
2020-11-19,63.9398
2020-11-20,63.7843
2020-11-21,63.7843
2020-11-22,63.7843
2020-11-23,64.2934
2020-11-24,65.8139
2020-11-25,63.9713
2020-11-26,63.9713
2020-11-27,62.7945
2020-11-28,62.7945
2020-11-29,62.7945
2020-11-30,58.3527
2020-12-01,59.034
2020-12-02,58.3429
2020-12-03,56.6759
2020-12-04,58.1318
2020-12-05,58.1318
2020-12-06,58.1318
2020-12-07,57.0412
2020-12-08,58.0044
2020-12-09,58.6318
2020-12-10,57.431
2020-12-11,57.1153
2020-12-12,57.1153
2020-12-13,57.1153
2020-12-14,54.9289
2020-12-15,56.4879
2020-12-16,55.6495
2020-12-17,56.81
2020-12-18,55.0021
2020-12-19,55.0021
2020-12-20,55.0021
2020-12-21,53.7529
2020-12-22,53.6479
2020-12-23,56.1308
2020-12-24,56.3038
2020-12-25,56.3038
2020-12-26,56.3038
2020-12-27,56.3038
2020-12-28,57.6007
2020-12-29,55.1186
2020-12-30,55.7463
2020-12-31,56.8173
2021-01-01,56.8173
2021-01-02,56.8173
2021-01-03,56.8173
2021-01-04,56.5812
2021-01-05,56.4598
2021-01-06,62.6714
2021-01-07,62.8178
2021-01-08,63.2647
2021-01-09,63.2647
2021-01-10,63.2647
2021-01-11,62.2964
2021-01-12,63.3411
2021-01-13,61.1344
2021-01-14,61.2985
2021-01-15,61.3829
2021-01-16,61.3829
2021-01-17,61.3829
