,RS US Equity
,RSI_30D
2020-01-01,66.1427
2020-01-02,65.0802
2020-01-03,64.1604
2020-01-04,64.1604
2020-01-05,64.1604
2020-01-06,63.548
2020-01-07,63.953
2020-01-08,63.6868
2020-01-09,64.896
2020-01-10,61.227
2020-01-11,61.227
2020-01-12,61.227
2020-01-13,64.3484
2020-01-14,65.1835
2020-01-15,65.3003
2020-01-16,64.1867
2020-01-17,65.0017
2020-01-18,65.0017
2020-01-19,65.0017
2020-01-20,65.0017
2020-01-21,55.9255
2020-01-22,56.5598
2020-01-23,57.455
2020-01-24,55.071
2020-01-25,55.071
2020-01-26,55.071
2020-01-27,52.0899
2020-01-28,53.2065
2020-01-29,51.6136
2020-01-30,55.7271
2020-01-31,51.2655
2020-02-01,51.2655
2020-02-02,51.2655
2020-02-03,53.0921
2020-02-04,53.8533
2020-02-05,56.7447
2020-02-06,56.1197
2020-02-07,52.2574
2020-02-08,52.2574
2020-02-09,52.2574
2020-02-10,52.8544
2020-02-11,54.5654
2020-02-12,53.2678
2020-02-13,52.3735
2020-02-14,51.8696
2020-02-15,51.8696
2020-02-16,51.8696
2020-02-17,51.8696
2020-02-18,51.8227
2020-02-19,53.5319
2020-02-20,43.0806
2020-02-21,45.2769
2020-02-22,45.2769
2020-02-23,45.2769
2020-02-24,42.8492
2020-02-25,41.4995
2020-02-26,43.1648
2020-02-27,39.0685
2020-02-28,37.127
2020-02-29,37.127
2020-03-01,37.127
2020-03-02,41.8553
2020-03-03,41.4936
2020-03-04,45.6435
2020-03-05,42.4361
2020-03-06,40.2361
2020-03-07,40.2361
2020-03-08,40.2361
2020-03-09,34.2245
2020-03-10,39.4723
2020-03-11,37.1988
2020-03-12,32.3341
2020-03-13,36.1317
2020-03-14,36.1317
2020-03-15,36.1317
2020-03-16,31.6869
2020-03-17,34.2637
2020-03-18,31.1146
2020-03-19,33.1069
2020-03-20,31.5306
2020-03-21,31.5306
2020-03-22,31.5306
2020-03-23,30.3861
2020-03-24,39.0976
2020-03-25,39.4828
2020-03-26,44.7677
2020-03-27,41.0792
2020-03-28,41.0792
2020-03-29,41.0792
2020-03-30,44.1494
2020-03-31,43.6652
2020-04-01,41.711
2020-04-02,41.952
2020-04-03,40.3261
2020-04-04,40.3261
2020-04-05,40.3261
2020-04-06,43.0861
2020-04-07,43.595
2020-04-08,45.0895
2020-04-09,46.3279
2020-04-10,46.3279
2020-04-11,46.3279
2020-04-12,46.3279
2020-04-13,45.0259
2020-04-14,45.931
2020-04-15,43.128
2020-04-16,43.025
2020-04-17,46.2662
2020-04-18,46.2662
2020-04-19,46.2662
