,GABC US Equity
,RSI_30D
2020-01-01,68.6286
2020-01-02,67.2077
2020-01-03,65.4552
2020-01-04,65.4552
2020-01-05,65.4552
2020-01-06,63.6246
2020-01-07,61.9445
2020-01-08,64.5285
2020-01-09,64.5907
2020-01-10,62.5489
2020-01-11,62.5489
2020-01-12,62.5489
2020-01-13,63.7985
2020-01-14,61.0269
2020-01-15,61.4428
2020-01-16,64.2084
2020-01-17,62.2295
2020-01-18,62.2295
2020-01-19,62.2295
2020-01-20,62.2295
2020-01-21,58.4992
2020-01-22,58.2984
2020-01-23,58.7742
2020-01-24,57.3678
2020-01-25,57.3678
2020-01-26,57.3678
2020-01-27,56.3347
2020-01-28,59.1503
2020-01-29,54.7117
2020-01-30,57.5665
2020-01-31,48.7613
2020-02-01,48.7613
2020-02-02,48.7613
2020-02-03,50.9186
2020-02-04,52.6376
2020-02-05,56.6577
2020-02-06,53.4322
2020-02-07,51.3586
2020-02-08,51.3586
2020-02-09,51.3586
2020-02-10,51.3586
2020-02-11,51.6265
2020-02-12,51.9005
2020-02-13,53.0021
2020-02-14,49.9684
2020-02-15,49.9684
2020-02-16,49.9684
2020-02-17,49.9684
2020-02-18,48.9782
2020-02-19,47.8569
2020-02-20,50.003
2020-02-21,49.9297
2020-02-22,49.9297
2020-02-23,49.9297
2020-02-24,43.6999
2020-02-25,39.7186
2020-02-26,38.7189
2020-02-27,32.7495
2020-02-28,28.9852
2020-02-29,28.9852
2020-03-01,28.9852
2020-03-02,37.06
2020-03-03,34.0033
2020-03-04,35.8095
2020-03-05,32.2726
2020-03-06,31.9462
2020-03-07,31.9462
2020-03-08,31.9462
2020-03-09,26.1913
2020-03-10,31.5094
2020-03-11,28.7912
2020-03-12,25.2352
2020-03-13,34.8996
2020-03-14,34.8996
2020-03-15,34.8996
2020-03-16,31.8454
2020-03-17,43.5788
2020-03-18,39.6127
2020-03-19,42.6697
2020-03-20,38.3967
2020-03-21,38.3967
2020-03-22,38.3967
2020-03-23,37.2476
2020-03-24,40.1962
2020-03-25,39.5407
2020-03-26,43.7066
2020-03-27,42.3611
2020-03-28,42.3611
2020-03-29,42.3611
2020-03-30,44.6368
2020-03-31,44.6204
2020-04-01,42.9848
2020-04-02,44.1496
2020-04-03,42.0799
2020-04-04,42.0799
2020-04-05,42.0799
2020-04-06,44.9973
2020-04-07,44.1914
2020-04-08,45.7105
2020-04-09,49.317
2020-04-10,49.317
2020-04-11,49.317
2020-04-12,49.317
2020-04-13,47.0849
2020-04-14,46.1141
2020-04-15,43.9793
2020-04-16,43.4746
2020-04-17,47.1601
2020-04-18,47.1601
2020-04-19,47.1601
2020-04-20,47.1263
2020-04-21,46.7277
2020-04-22,46.445
2020-04-23,47.3511
2020-04-24,47.6013
2020-04-25,47.6013
2020-04-26,47.6013
2020-04-27,51.0308
2020-04-28,51.6813
2020-04-29,54.4432
2020-04-30,51.2511
2020-05-01,49.9846
2020-05-02,49.9846
2020-05-03,49.9846
2020-05-04,49.1845
2020-05-05,47.9003
2020-05-06,46.8399
2020-05-07,47.0754
2020-05-08,49.8941
2020-05-09,49.8941
2020-05-10,49.8941
2020-05-11,47.4355
2020-05-12,44.9972
2020-05-13,44.0771
2020-05-14,44.6296
2020-05-15,45.5861
2020-05-16,45.5861
2020-05-17,45.5861
2020-05-18,49.7813
2020-05-19,47.4647
2020-05-20,51.0653
2020-05-21,51.0653
2020-05-22,50.9857
2020-05-23,50.9857
2020-05-24,50.9857
2020-05-25,50.9857
2020-05-26,53.4789
2020-05-27,57.0946
2020-05-28,54.4239
2020-05-29,54.4239
2020-05-30,54.4239
2020-05-31,54.4239
2020-06-01,52.5033
2020-06-02,52.2623
2020-06-03,54.1143
2020-06-04,54.2404
2020-06-05,57.2105
2020-06-06,57.2105
2020-06-07,57.2105
2020-06-08,57.3445
2020-06-09,56.7243
2020-06-10,53.6351
2020-06-11,48.4863
2020-06-12,49.557
2020-06-13,49.557
2020-06-14,49.557
2020-06-15,50.0556
2020-06-16,51.8178
2020-06-17,50.0499
2020-06-18,50.7072
2020-06-19,51.8822
2020-06-20,51.8822
2020-06-21,51.8822
2020-06-22,51.281
2020-06-23,50.5291
2020-06-24,48.782
2020-06-25,51.1462
2020-06-26,49.6415
2020-06-27,49.6415
2020-06-28,49.6415
2020-06-29,51.7727
2020-06-30,53.334
2020-07-01,50.1805
2020-07-02,50.12
2020-07-03,50.12
2020-07-04,50.12
2020-07-05,50.12
2020-07-06,50.1407
2020-07-07,48.393
2020-07-08,47.5159
2020-07-09,45.8371
2020-07-10,48.2035
2020-07-11,48.2035
2020-07-12,48.2035
2020-07-13,48.7332
2020-07-14,48.4555
2020-07-15,51.2616
2020-07-16,51.2616
2020-07-17,50.0225
2020-07-18,50.0225
2020-07-19,50.0225
2020-07-20,49.5635
2020-07-21,52.8322
2020-07-22,50.9827
2020-07-23,51.7785
2020-07-24,50.5061
2020-07-25,50.5061
2020-07-26,50.5061
2020-07-27,49.3674
2020-07-28,49.3674
2020-07-29,49.7386
2020-07-30,48.3215
2020-07-31,47.6674
2020-08-01,47.6674
2020-08-02,47.6674
2020-08-03,47.6674
2020-08-04,47.2617
2020-08-05,48.9473
2020-08-06,48.7592
2020-08-07,51.6083
2020-08-08,51.6083
2020-08-09,51.6083
2020-08-10,51.9038
2020-08-11,53.6599
2020-08-12,52.6948
2020-08-13,50.9187
2020-08-14,51.4268
2020-08-15,51.4268
2020-08-16,51.4268
2020-08-17,50.822
2020-08-18,48.9464
2020-08-19,49.2234
2020-08-20,49.3497
2020-08-21,48.2933
2020-08-22,48.2933
2020-08-23,48.2933
2020-08-24,50.6402
