,DECK US Equity
,RSI_30D
2022-07-07,51.792
2022-07-08,51.1983
2022-07-09,51.1983
2022-07-10,51.1983
2022-07-11,49.4223
2022-07-12,49.9068
2022-07-13,51.5187
2022-07-14,50.2172
2022-07-15,51.4364
2022-07-16,51.4364
2022-07-17,51.4364
2022-07-18,52.5926
2022-07-19,55.4893
2022-07-20,56.9167
2022-07-21,57.2926
2022-07-22,56.0412
2022-07-23,56.0412
2022-07-24,56.0412
2022-07-25,55.3021
2022-07-26,51.47
2022-07-27,52.6753
2022-07-28,53.9976
2022-07-29,59.0624
2022-07-30,59.0624
2022-07-31,59.0624
2022-08-01,59.2064
2022-08-02,57.5035
2022-08-03,59.1197
2022-08-04,58.3762
2022-08-05,59.1301
2022-08-06,59.1301
2022-08-07,59.1301
2022-08-08,59.6705
2022-08-09,57.4963
2022-08-10,60.3378
2022-08-11,60.6696
2022-08-12,61.463
2022-08-13,61.463
2022-08-14,61.463
2022-08-15,62.4141
2022-08-16,62.9581
2022-08-17,61.45
2022-08-18,61.5328
2022-08-19,58.5613
2022-08-20,58.5613
2022-08-21,58.5613
2022-08-22,58.7814
2022-08-23,58.1935
2022-08-24,57.5212
2022-08-25,59.4528
2022-08-26,58.0421
2022-08-27,58.0421
2022-08-28,58.0421
2022-08-29,57.8681
2022-08-30,56.7985
2022-08-31,55.8426
2022-09-01,55.2952
2022-09-02,54.4668
2022-09-03,54.4668
2022-09-04,54.4668
2022-09-05,54.4668
2022-09-06,56.4012
2022-09-07,59.968
2022-09-08,62.0245
2022-09-09,61.9584
2022-09-10,61.9584
2022-09-11,61.9584
2022-09-12,63.8394
2022-09-13,56.1572
2022-09-14,56.3091
2022-09-15,57.4361
2022-09-16,56.7932
2022-09-17,56.7932
2022-09-18,56.7932
2022-09-19,58.1166
2022-09-20,56.2472
2022-09-21,54.0852
2022-09-22,51.852
2022-09-23,51.3194
2022-09-24,51.3194
2022-09-25,51.3194
2022-09-26,49.6802
2022-09-27,51.0322
2022-09-28,53.9186
2022-09-29,51.9182
2022-09-30,49.1022
2022-10-01,49.1022
2022-10-02,49.1022
2022-10-03,51.7795
2022-10-04,54.4176
2022-10-05,55.9945
2022-10-06,55.8258
2022-10-07,54.2392
2022-10-08,54.2392
2022-10-09,54.2392
2022-10-10,53.1974
2022-10-11,54.7377
2022-10-12,54.9561
2022-10-13,56.117
2022-10-14,55.4506
2022-10-15,55.4506
2022-10-16,55.4506
2022-10-17,58.3713
2022-10-18,60.08
2022-10-19,58.0078
2022-10-20,55.9415
2022-10-21,59.3747
2022-10-22,59.3747
2022-10-23,59.3747
2022-10-24,58.8659
2022-10-25,60.4643
2022-10-26,58.0654
2022-10-27,57.6155
2022-10-28,53.3995
2022-10-29,53.3995
2022-10-30,53.3995
2022-10-31,54.4819
2022-11-01,57.3985
2022-11-02,52.9922
2022-11-03,55.0757
2022-11-04,54.4154
2022-11-05,54.4154
2022-11-06,54.4154
2022-11-07,51.514
2022-11-08,49.426
2022-11-09,48.5856
2022-11-10,53.3381
2022-11-11,51.9992
2022-11-12,51.9992
2022-11-13,51.9992
2022-11-14,47.8602
2022-11-15,52.2489
2022-11-16,52.1906
2022-11-17,53.3769
2022-11-18,57.4938
2022-11-19,57.4938
2022-11-20,57.4938
2022-11-21,55.0265
2022-11-22,56.0447
2022-11-23,57.5406
2022-11-24,57.5406
2022-11-25,57.9513
2022-11-26,57.9513
2022-11-27,57.9513
2022-11-28,58.3508
2022-11-29,59.2611
2022-11-30,60.9768
2022-12-01,58.8417
2022-12-02,58.5687
2022-12-03,58.5687
2022-12-04,58.5687
2022-12-05,55.578
2022-12-06,55.3937
2022-12-07,55.6938
2022-12-08,56.2864
2022-12-09,54.3261
2022-12-10,54.3261
2022-12-11,54.3261
2022-12-12,55.5964
2022-12-13,55.7956
2022-12-14,57.8045
2022-12-15,54.5696
2022-12-16,52.5842
2022-12-17,52.5842
2022-12-18,52.5842
2022-12-19,51.935
2022-12-20,51.0218
2022-12-21,55.1724
2022-12-22,56.4458
2022-12-23,56.8872
2022-12-24,56.8872
2022-12-25,56.8872
2022-12-26,56.8872
2022-12-27,58.0643
2022-12-28,56.55
2022-12-29,58.303
2022-12-30,58.0722
2022-12-31,58.0722
2023-01-01,58.0722
2023-01-02,58.0722
2023-01-03,55.3904
2023-01-04,55.5422
2023-01-05,56.6475
2023-01-06,57.1809
2023-01-07,57.1809
2023-01-08,57.1809
2023-01-09,58.9198
