,MOV US Equity
,RSI_30D
2020-01-01,45.3156
2020-01-02,43.3633
2020-01-03,42.9618
2020-01-04,42.9618
2020-01-05,42.9618
2020-01-06,42.8042
2020-01-07,42.3858
2020-01-08,43.3118
2020-01-09,41.2229
2020-01-10,40.2809
2020-01-11,40.2809
2020-01-12,40.2809
2020-01-13,38.2323
2020-01-14,41.5772
2020-01-15,41.4517
2020-01-16,41.1306
2020-01-17,40.8035
2020-01-18,40.8035
2020-01-19,40.8035
2020-01-20,40.8035
2020-01-21,42.1826
2020-01-22,42.7535
2020-01-23,42.25
2020-01-24,39.4361
2020-01-25,39.4361
2020-01-26,39.4361
2020-01-27,36.2389
2020-01-28,36.8442
2020-01-29,36.4859
2020-01-30,36.273
2020-01-31,33.367
2020-02-01,33.367
2020-02-02,33.367
2020-02-03,32.1788
2020-02-04,31.7628
2020-02-05,36.5865
2020-02-06,34.4545
2020-02-07,33.5612
2020-02-08,33.5612
2020-02-09,33.5612
2020-02-10,31.4755
2020-02-11,32.5086
2020-02-12,36.2378
2020-02-13,38.4427
2020-02-14,38.0948
2020-02-15,38.0948
2020-02-16,38.0948
2020-02-17,38.0948
2020-02-18,37.5094
2020-02-19,36.1035
2020-02-20,36.3553
2020-02-21,35.2626
2020-02-22,35.2626
2020-02-23,35.2626
2020-02-24,33.482
2020-02-25,32.3636
2020-02-26,32.3636
2020-02-27,31.0721
2020-02-28,33.4354
2020-02-29,33.4354
2020-03-01,33.4354
2020-03-02,33.298
2020-03-03,32.0716
2020-03-04,35.6151
2020-03-05,34.0328
2020-03-06,34.8878
2020-03-07,34.8878
2020-03-08,34.8878
2020-03-09,31.108
2020-03-10,30.1299
2020-03-11,29.9443
2020-03-12,28.0462
2020-03-13,33.3429
2020-03-14,33.3429
2020-03-15,33.3429
2020-03-16,28.6601
2020-03-17,31.7557
2020-03-18,30.9307
2020-03-19,28.3137
2020-03-20,28.0353
2020-03-21,28.0353
2020-03-22,28.0353
2020-03-23,27.2723
2020-03-24,30.0043
2020-03-25,33.1148
2020-03-26,37.2632
2020-03-27,37.6442
2020-03-28,37.6442
2020-03-29,37.6442
2020-03-30,37.7224
2020-03-31,39.9445
