,HLIO US Equity
,RSI_30D
2020-01-01,58.3461
2020-01-02,57.6146
2020-01-03,58.3098
2020-01-04,58.3098
2020-01-05,58.3098
2020-01-06,59.4751
2020-01-07,58.5864
2020-01-08,58.3329
2020-01-09,56.8618
2020-01-10,54.2232
2020-01-11,54.2232
2020-01-12,54.2232
2020-01-13,55.8615
2020-01-14,57.699
2020-01-15,58.6304
2020-01-16,61.9984
2020-01-17,58.09
2020-01-18,58.09
2020-01-19,58.09
2020-01-20,58.09
2020-01-21,52.9468
2020-01-22,52.3169
2020-01-23,53.8779
2020-01-24,50.6061
2020-01-25,50.6061
2020-01-26,50.6061
2020-01-27,49.6721
2020-01-28,50.148
2020-01-29,50.4345
2020-01-30,52.4149
2020-01-31,46.9361
2020-02-01,46.9361
2020-02-02,46.9361
2020-02-03,47.7062
2020-02-04,49.7744
2020-02-05,51.4903
2020-02-06,52.1022
2020-02-07,51.2112
2020-02-08,51.2112
2020-02-09,51.2112
2020-02-10,51.6178
2020-02-11,52.7329
2020-02-12,54.7853
2020-02-13,52.0684
2020-02-14,50.7552
2020-02-15,50.7552
2020-02-16,50.7552
2020-02-17,50.7552
2020-02-18,49.4863
2020-02-19,47.8788
2020-02-20,49.1714
2020-02-21,45.12
2020-02-22,45.12
2020-02-23,45.12
2020-02-24,41.1149
2020-02-25,45.9252
2020-02-26,44.3701
2020-02-27,42.5643
2020-02-28,42.5479
2020-02-29,42.5479
2020-03-01,42.5479
2020-03-02,46.8961
2020-03-03,45.9141
2020-03-04,50.7873
2020-03-05,46.3799
2020-03-06,46.2685
2020-03-07,46.2685
2020-03-08,46.2685
2020-03-09,39.6529
2020-03-10,47.4
2020-03-11,42.7316
2020-03-12,37.7293
2020-03-13,45.0481
2020-03-14,45.0481
2020-03-15,45.0481
2020-03-16,43.447
2020-03-17,50.9238
2020-03-18,48.3259
2020-03-19,51.6996
2020-03-20,47.6088
2020-03-21,47.6088
2020-03-22,47.6088
2020-03-23,47.1955
2020-03-24,48.3226
2020-03-25,44.5834
2020-03-26,47.9134
2020-03-27,44.949
2020-03-28,44.949
2020-03-29,44.949
2020-03-30,46.9182
2020-03-31,47.3047
2020-04-01,44.6884
2020-04-02,45.1849
2020-04-03,43.4515
2020-04-04,43.4515
2020-04-05,43.4515
2020-04-06,44.4212
2020-04-07,44.6139
2020-04-08,44.2805
2020-04-09,42.975
2020-04-10,42.975
2020-04-11,42.975
2020-04-12,42.975
2020-04-13,41.4357
2020-04-14,43.4579
2020-04-15,43.0301
2020-04-16,42.8764
2020-04-17,45.0349
2020-04-18,45.0349
2020-04-19,45.0349
2020-04-20,43.7563
2020-04-21,42.6045
2020-04-22,42.8285
2020-04-23,43.445
2020-04-24,43.1952
2020-04-25,43.1952
2020-04-26,43.1952
2020-04-27,45.2204
