,GEF/B US Equity
,RSI_30D
2020-01-01,58.0698
2020-01-02,55.2528
2020-01-03,51.5459
2020-01-04,51.5459
2020-01-05,51.5459
2020-01-06,50.6109
2020-01-07,51.7608
2020-01-08,52.539
2020-01-09,54.1414
2020-01-10,52.9005
2020-01-11,52.9005
2020-01-12,52.9005
2020-01-13,56.7935
2020-01-14,56.5954
2020-01-15,56.5954
2020-01-16,58.6042
2020-01-17,56.753
2020-01-18,56.753
2020-01-19,56.753
2020-01-20,56.753
2020-01-21,54.6503
2020-01-22,54.2515
2020-01-23,54.7154
2020-01-24,52.4287
2020-01-25,52.4287
2020-01-26,52.4287
2020-01-27,51.0051
2020-01-28,51.8797
2020-01-29,51.4764
2020-01-30,50.9207
2020-01-31,44.1704
2020-02-01,44.1704
2020-02-02,44.1704
2020-02-03,48.213
2020-02-04,49.2909
2020-02-05,53.3121
2020-02-06,50.084
2020-02-07,48.6077
2020-02-08,48.6077
2020-02-09,48.6077
2020-02-10,48.7542
2020-02-11,49.1788
2020-02-12,48.7852
2020-02-13,48.4344
2020-02-14,48.1275
2020-02-15,48.1275
2020-02-16,48.1275
2020-02-17,48.1275
2020-02-18,46.0401
2020-02-19,46.0401
2020-02-20,45.6571
2020-02-21,46.1207
2020-02-22,46.1207
2020-02-23,46.1207
2020-02-24,38.4132
2020-02-25,35.4314
2020-02-26,34.175
2020-02-27,28.4374
2020-02-28,33.9786
2020-02-29,33.9786
2020-03-01,33.9786
2020-03-02,33.0609
2020-03-03,32.2751
2020-03-04,34.1594
2020-03-05,31.7165
2020-03-06,31.1823
2020-03-07,31.1823
2020-03-08,31.1823
2020-03-09,28.3222
2020-03-10,33.7686
2020-03-11,31.0212
2020-03-12,29.2142
2020-03-13,37.8506
2020-03-14,37.8506
2020-03-15,37.8506
2020-03-16,35.968
2020-03-17,43.8292
2020-03-18,46.1433
2020-03-19,48.6107
2020-03-20,41.7612
2020-03-21,41.7612
2020-03-22,41.7612
2020-03-23,42.5363
2020-03-24,47.039
2020-03-25,46.0631
2020-03-26,48.3754
2020-03-27,45.7444
2020-03-28,45.7444
2020-03-29,45.7444
2020-03-30,48.864
2020-03-31,47.4731
2020-04-01,44.8139
2020-04-02,48.07
2020-04-03,45.4762
2020-04-04,45.4762
2020-04-05,45.4762
2020-04-06,47.9424
2020-04-07,49.6134
2020-04-08,49.372
2020-04-09,49.8765
2020-04-10,49.8765
2020-04-11,49.8765
2020-04-12,49.8765
2020-04-13,49.5995
2020-04-14,48.972
2020-04-15,45.4822
2020-04-16,44.5548
2020-04-17,47.1335
2020-04-18,47.1335
2020-04-19,47.1335
2020-04-20,45.26
2020-04-21,45.26
2020-04-22,44.5945
2020-04-23,45.7401
2020-04-24,46.515
2020-04-25,46.515
2020-04-26,46.515
2020-04-27,48.8194
2020-04-28,50.139
2020-04-29,51.775
2020-04-30,48.9125
2020-05-01,48.5571
2020-05-02,48.5571
2020-05-03,48.5571
2020-05-04,48.1162
2020-05-05,46.0639
2020-05-06,45.5318
2020-05-07,46.5997
2020-05-08,48.4486
2020-05-09,48.4486
2020-05-10,48.4486
2020-05-11,46.2548
2020-05-12,45.1748
2020-05-13,45.4838
2020-05-14,45.3688
2020-05-15,45.2504
2020-05-16,45.2504
2020-05-17,45.2504
2020-05-18,49.7535
2020-05-19,47.653
2020-05-20,48.5672
2020-05-21,47.4766
2020-05-22,48.8516
2020-05-23,48.8516
2020-05-24,48.8516
2020-05-25,48.8516
2020-05-26,50.6175
2020-05-27,52.6326
2020-05-28,50.5134
2020-05-29,48.5418
2020-05-30,48.5418
2020-05-31,48.5418
2020-06-01,48.7658
2020-06-02,48.1158
2020-06-03,51.0786
2020-06-04,52.4578
2020-06-05,56.7259
2020-06-06,56.7259
2020-06-07,56.7259
2020-06-08,56.2902
2020-06-09,53.9535
2020-06-10,50.12
2020-06-11,46.6353
2020-06-12,48.6625
2020-06-13,48.6625
2020-06-14,48.6625
2020-06-15,49.7095
2020-06-16,51.975
2020-06-17,49.6702
2020-06-18,49.9762
2020-06-19,49.9037
2020-06-20,49.9037
2020-06-21,49.9037
2020-06-22,50.7407
2020-06-23,50.484
2020-06-24,48.3346
2020-06-25,49.8799
2020-06-26,50.0746
2020-06-27,50.0746
2020-06-28,50.0746
2020-06-29,52.4202
2020-06-30,53.3203
2020-07-01,51.9689
2020-07-02,52.7354
2020-07-03,52.7354
2020-07-04,52.7354
2020-07-05,52.7354
2020-07-06,51.5025
2020-07-07,49.7864
2020-07-08,48.8494
2020-07-09,46.7393
2020-07-10,49.4767
2020-07-11,49.4767
2020-07-12,49.4767
2020-07-13,48.7947
2020-07-14,51.0659
2020-07-15,51.12
2020-07-16,52.8181
2020-07-17,51.8857
2020-07-18,51.8857
2020-07-19,51.8857
2020-07-20,52.546
2020-07-21,53.1144
2020-07-22,52.7794
2020-07-23,53.0855
2020-07-24,53.5454
2020-07-25,53.5454
2020-07-26,53.5454
2020-07-27,53.7421
2020-07-28,52.7119
2020-07-29,53.0012
2020-07-30,51.3758
2020-07-31,48.6979
2020-08-01,48.6979
2020-08-02,48.6979
2020-08-03,50.6428
2020-08-04,52.3159
2020-08-05,52.6092
2020-08-06,53.3674
2020-08-07,56.4395
2020-08-08,56.4395
2020-08-09,56.4395
2020-08-10,57.9738
2020-08-11,58.4781
2020-08-12,58.2303
2020-08-13,59.3298
2020-08-14,59.4641
2020-08-15,59.4641
2020-08-16,59.4641
2020-08-17,59.1275
2020-08-18,56.9493
2020-08-19,57.3145
2020-08-20,53.957
2020-08-21,52.6681
2020-08-22,52.6681
2020-08-23,52.6681
2020-08-24,54.2647
2020-08-25,54.3363
2020-08-26,53.0473
2020-08-27,47.4572
2020-08-28,49.8853
2020-08-29,49.8853
2020-08-30,49.8853
2020-08-31,48.5084
2020-09-01,50.0655
2020-09-02,50.5685
2020-09-03,48.8891
2020-09-04,50.88
2020-09-05,50.88
2020-09-06,50.88
2020-09-07,50.88
2020-09-08,45.5642
2020-09-09,46.8492
2020-09-10,45.7164
2020-09-11,47.2649
2020-09-12,47.2649
2020-09-13,47.2649
2020-09-14,51.2601
2020-09-15,50.7474
2020-09-16,51.0137
2020-09-17,51.1412
2020-09-18,49.0466
2020-09-19,49.0466
2020-09-20,49.0466
2020-09-21,47.1047
2020-09-22,47.8367
2020-09-23,45.4121
2020-09-24,45.2745
2020-09-25,48.3699
2020-09-26,48.3699
2020-09-27,48.3699
2020-09-28,49.9212
2020-09-29,49.0368
2020-09-30,47.7702
2020-10-01,47.9338
2020-10-02,50.5014
2020-10-03,50.5014
2020-10-04,50.5014
2020-10-05,54.3577
2020-10-06,52.9291
2020-10-07,55.0135
2020-10-08,56.702
2020-10-09,56.8646
2020-10-10,56.8646
2020-10-11,56.8646
2020-10-12,60.8218
2020-10-13,57.1112
2020-10-14,54.5762
2020-10-15,56.9741
2020-10-16,57.5859
2020-10-17,57.5859
2020-10-18,57.5859
2020-10-19,56.0928
2020-10-20,57.6473
2020-10-21,57.6622
2020-10-22,58.33
2020-10-23,57.9646
2020-10-24,57.9646
2020-10-25,57.9646
2020-10-26,53.7064
2020-10-27,53.942
2020-10-28,50.4334
2020-10-29,52.3568
2020-10-30,50.9922
2020-10-31,50.9922
2020-11-01,50.9922
2020-11-02,53.7715
2020-11-03,57.9435
2020-11-04,54.7727
2020-11-05,56.2612
2020-11-06,54.8079
2020-11-07,54.8079
2020-11-08,54.8079
2020-11-09,57.0063
2020-11-10,60.636
2020-11-11,57.7248
2020-11-12,53.7679
2020-11-13,53.9828
2020-11-14,53.9828
2020-11-15,53.9828
2020-11-16,56.7019
2020-11-17,57.8484
2020-11-18,56.0329
2020-11-19,56.5205
2020-11-20,55.5808
2020-11-21,55.5808
2020-11-22,55.5808
2020-11-23,58.2602
2020-11-24,59.8774
2020-11-25,56.8238
2020-11-26,56.8238
