,VECO US Equity
,RSI_30D
2020-01-01,59.648
2020-01-02,60.8454
2020-01-03,59.3579
2020-01-04,59.3579
2020-01-05,59.3579
2020-01-06,57.8225
2020-01-07,59.2253
2020-01-08,59.6877
2020-01-09,58.6932
2020-01-10,57.1033
2020-01-11,57.1033
2020-01-12,57.1033
2020-01-13,58.7015
2020-01-14,61.8453
2020-01-15,62.0382
2020-01-16,66.1927
2020-01-17,67.2193
2020-01-18,67.2193
2020-01-19,67.2193
2020-01-20,67.2193
2020-01-21,64.8682
2020-01-22,61.2487
2020-01-23,61.2943
2020-01-24,55.486
2020-01-25,55.486
2020-01-26,55.486
2020-01-27,50.4277
2020-01-28,49.5254
2020-01-29,47.4091
2020-01-30,46.9034
2020-01-31,43.3625
2020-02-01,43.3625
2020-02-02,43.3625
2020-02-03,47.1028
2020-02-04,51.5491
2020-02-05,53.2431
2020-02-06,53.1662
2020-02-07,50.6433
2020-02-08,50.6433
2020-02-09,50.6433
2020-02-10,53.0626
2020-02-11,55.8954
2020-02-12,57.7213
2020-02-13,59.7451
2020-02-14,65.2019
2020-02-15,65.2019
2020-02-16,65.2019
2020-02-17,65.2019
2020-02-18,56.3323
2020-02-19,57.9355
2020-02-20,56.7339
2020-02-21,51.4088
2020-02-22,51.4088
2020-02-23,51.4088
2020-02-24,47.7033
2020-02-25,46.7082
2020-02-26,46.3953
2020-02-27,44.7518
2020-02-28,46.4907
2020-02-29,46.4907
2020-03-01,46.4907
2020-03-02,46.7489
2020-03-03,49.9943
2020-03-04,51.7009
2020-03-05,49.5732
2020-03-06,48.2803
2020-03-07,48.2803
2020-03-08,48.2803
2020-03-09,43.4418
2020-03-10,45.3424
2020-03-11,42.2423
2020-03-12,38.0838
2020-03-13,39.071
2020-03-14,39.071
2020-03-15,39.071
2020-03-16,34.338
2020-03-17,38.8872
2020-03-18,36.4795
2020-03-19,39.2168
2020-03-20,37.2956
2020-03-21,37.2956
2020-03-22,37.2956
2020-03-23,39.3068
2020-03-24,42.1035
2020-03-25,42.9008
2020-03-26,44.8775
2020-03-27,42.2259
2020-03-28,42.2259
2020-03-29,42.2259
2020-03-30,44.1205
2020-03-31,43.3744
2020-04-01,40.5564
2020-04-02,41.7608
2020-04-03,41.2111
2020-04-04,41.2111
2020-04-05,41.2111
2020-04-06,44.6814
2020-04-07,44.3872
2020-04-08,45.6562
2020-04-09,45.3662
2020-04-10,45.3662
2020-04-11,45.3662
2020-04-12,45.3662
2020-04-13,46.502
2020-04-14,47.6283
2020-04-15,46.2609
2020-04-16,46.0689
2020-04-17,46.5281
2020-04-18,46.5281
2020-04-19,46.5281
2020-04-20,45.7969
2020-04-21,44.3067
2020-04-22,46.1496
2020-04-23,46.0979
2020-04-24,46.6241
2020-04-25,46.6241
2020-04-26,46.6241
2020-04-27,47.8629
2020-04-28,49.0256
2020-04-29,51.998
2020-04-30,49.398
2020-05-01,48.2209
2020-05-02,48.2209
2020-05-03,48.2209
2020-05-04,49.3505
2020-05-05,48.9724
2020-05-06,49.3736
2020-05-07,51.3816
2020-05-08,57.2776
2020-05-09,57.2776
2020-05-10,57.2776
2020-05-11,57.6367
2020-05-12,53.5399
2020-05-13,48.0526
2020-05-14,47.7808
2020-05-15,48.9487
2020-05-16,48.9487
2020-05-17,48.9487
2020-05-18,49.8393
2020-05-19,50.4624
2020-05-20,51.1985
2020-05-21,50.1982
2020-05-22,50.4841
2020-05-23,50.4841
2020-05-24,50.4841
2020-05-25,50.4841
2020-05-26,51.2657
2020-05-27,52.1626
2020-05-28,50.1307
2020-05-29,51.2324
2020-05-30,51.2324
2020-05-31,51.2324
2020-06-01,51.68
2020-06-02,51.7106
2020-06-03,53.0623
2020-06-04,54.1191
2020-06-05,58.3966
2020-06-06,58.3966
2020-06-07,58.3966
2020-06-08,55.8015
2020-06-09,56.42
2020-06-10,54.3669
2020-06-11,51.8614
2020-06-12,52.624
2020-06-13,52.624
2020-06-14,52.624
2020-06-15,53.0091
2020-06-16,54.1073
2020-06-17,55.6155
2020-06-18,53.719
2020-06-19,54.2569
2020-06-20,54.2569
2020-06-21,54.2569
2020-06-22,53.9685
2020-06-23,53.7101
2020-06-24,52.0884
2020-06-25,52.9567
2020-06-26,51.5806
2020-06-27,51.5806
2020-06-28,51.5806
2020-06-29,52.3082
2020-06-30,54.6898
2020-07-01,52.9559
2020-07-02,54.1587
2020-07-03,54.1587
2020-07-04,54.1587
2020-07-05,54.1587
2020-07-06,56.3703
2020-07-07,54.4408
2020-07-08,54.8648
2020-07-09,54.5818
2020-07-10,54.3334
2020-07-11,54.3334
2020-07-12,54.3334
2020-07-13,53.4936
2020-07-14,53.7524
2020-07-15,54.0922
2020-07-16,54.001
2020-07-17,54.3987
2020-07-18,54.3987
2020-07-19,54.3987
2020-07-20,54.3987
2020-07-21,54.0486
2020-07-22,52.8917
2020-07-23,53.6064
2020-07-24,49.0372
2020-07-25,49.0372
2020-07-26,49.0372
2020-07-27,51.5124
2020-07-28,49.9607
2020-07-29,51.9428
2020-07-30,53.3035
2020-07-31,53.2547
2020-08-01,53.2547
2020-08-02,53.2547
2020-08-03,56.5054
2020-08-04,55.2477
2020-08-05,53.5462
2020-08-06,52.5514
2020-08-07,53.2958
2020-08-08,53.2958
2020-08-09,53.2958
2020-08-10,53.9551
2020-08-11,52.874
2020-08-12,54.7499
2020-08-13,52.6838
2020-08-14,53.0731
2020-08-15,53.0731
2020-08-16,53.0731
2020-08-17,52.6252
2020-08-18,50.1527
2020-08-19,48.4361
2020-08-20,46.462
2020-08-21,46.0002
2020-08-22,46.0002
2020-08-23,46.0002
2020-08-24,46.5497
2020-08-25,46.9962
2020-08-26,46.1979
2020-08-27,46.4332
2020-08-28,47.0915
2020-08-29,47.0915
2020-08-30,47.0915
2020-08-31,44.1809
2020-09-01,46.2316
2020-09-02,48.5052
2020-09-03,44.8083
2020-09-04,43.474
2020-09-05,43.474
2020-09-06,43.474
2020-09-07,43.474
2020-09-08,39.5273
2020-09-09,41.514
2020-09-10,40.5811
2020-09-11,40.2555
2020-09-12,40.2555
2020-09-13,40.2555
2020-09-14,42.3485
2020-09-15,42.2174
2020-09-16,48.4391
2020-09-17,50.1586
2020-09-18,48.4858
2020-09-19,48.4858
2020-09-20,48.4858
2020-09-21,48.2481
2020-09-22,47.101
2020-09-23,45.7418
2020-09-24,45.1836
2020-09-25,45.6977
2020-09-26,45.6977
2020-09-27,45.6977
2020-09-28,48.2633
2020-09-29,48.4277
2020-09-30,46.6884
2020-10-01,49.7626
2020-10-02,46.7264
2020-10-03,46.7264
2020-10-04,46.7264
2020-10-05,47.7004
2020-10-06,48.5652
2020-10-07,49.7996
2020-10-08,50.0959
2020-10-09,52.3441
2020-10-10,52.3441
2020-10-11,52.3441
2020-10-12,52.9885
2020-10-13,53.4831
2020-10-14,53.2391
2020-10-15,51.7734
2020-10-16,50.5732
2020-10-17,50.5732
2020-10-18,50.5732
2020-10-19,52.3997
2020-10-20,51.72
2020-10-21,53.8588
2020-10-22,53.2805
2020-10-23,53.567
2020-10-24,53.567
2020-10-25,53.567
2020-10-26,52.6321
2020-10-27,53.2352
2020-10-28,52.4068
2020-10-29,53.7711
2020-10-30,51.7483
2020-10-31,51.7483
2020-11-01,51.7483
2020-11-02,54.2646
2020-11-03,57.2724
2020-11-04,57.8882
2020-11-05,64.1216
2020-11-06,63.2542
2020-11-07,63.2542
2020-11-08,63.2542
2020-11-09,61.7422
2020-11-10,61.561
2020-11-11,63.1499
2020-11-12,60.7357
2020-11-13,62.2294
2020-11-14,62.2294
2020-11-15,62.2294
2020-11-16,64.7123
2020-11-17,64.9947
2020-11-18,64.6126
2020-11-19,66.0972
2020-11-20,65.6225
2020-11-21,65.6225
2020-11-22,65.6225
2020-11-23,66.1671
2020-11-24,67.7911
2020-11-25,67.5396
2020-11-26,67.5396
2020-11-27,68.9309
2020-11-28,68.9309
2020-11-29,68.9309
2020-11-30,66.6511
2020-12-01,68.5256
2020-12-02,67.1955
2020-12-03,67.9987
2020-12-04,70.0472
2020-12-05,70.0472
2020-12-06,70.0472
2020-12-07,71.3473
2020-12-08,71.6568
2020-12-09,69.4156
2020-12-10,64.518
2020-12-11,65.3067
2020-12-12,65.3067
2020-12-13,65.3067
2020-12-14,66.9849
2020-12-15,68.3427
2020-12-16,68.3427
2020-12-17,69.0429
2020-12-18,69.7719
2020-12-19,69.7719
2020-12-20,69.7719
2020-12-21,70.3643
2020-12-22,72.2292
2020-12-23,70.7519
2020-12-24,69.6254
2020-12-25,69.6254
2020-12-26,69.6254
2020-12-27,69.6254
2020-12-28,56.0588
2020-12-29,53.1957
2020-12-30,58.0228
2020-12-31,56.239
2021-01-01,56.239
2021-01-02,56.239
2021-01-03,56.239
2021-01-04,57.8633
2021-01-05,60.7986
2021-01-06,62.7598
2021-01-07,64.2528
2021-01-08,64.6038
2021-01-09,64.6038
2021-01-10,64.6038
2021-01-11,64.9277
2021-01-12,66.3301
2021-01-13,66.9819
2021-01-14,68.0485
2021-01-15,62.9408
2021-01-16,62.9408
2021-01-17,62.9408
2021-01-18,62.9408
2021-01-19,65.6982
2021-01-20,64.2374
2021-01-21,64.5199
2021-01-22,64.6483
2021-01-23,64.6483
2021-01-24,64.6483
2021-01-25,63.8121
2021-01-26,60.2427
2021-01-27,56.9725
2021-01-28,54.6999
2021-01-29,52.8313
2021-01-30,52.8313
2021-01-31,52.8313
2021-02-01,56.4609
2021-02-02,57.7051
2021-02-03,56.5737
2021-02-04,58.6174
2021-02-05,58.2125
2021-02-06,58.2125
2021-02-07,58.2125
2021-02-08,59.8959
2021-02-09,59.2653
2021-02-10,59.7042
2021-02-11,63.4702
2021-02-12,65.198
2021-02-13,65.198
2021-02-14,65.198
2021-02-15,65.198
2021-02-16,64.0435
2021-02-17,64.5689
2021-02-18,63.1648
2021-02-19,65.5226
2021-02-20,65.5226
2021-02-21,65.5226
2021-02-22,61.9086
2021-02-23,60.1665
2021-02-24,62.5399
2021-02-25,57.7756
2021-02-26,58.3394
2021-02-27,58.3394
2021-02-28,58.3394
2021-03-01,61.6428
2021-03-02,58.4324
2021-03-03,58.4324
2021-03-04,55.9508
2021-03-05,56.0021
2021-03-06,56.0021
2021-03-07,56.0021
2021-03-08,53.2429
2021-03-09,58.6506
2021-03-10,58.6506
2021-03-11,59.8224
2021-03-12,58.3316
2021-03-13,58.3316
2021-03-14,58.3316
2021-03-15,56.2419
2021-03-16,55.0756
2021-03-17,55.4849
2021-03-18,52.9483
2021-03-19,53.2743
2021-03-20,53.2743
2021-03-21,53.2743
2021-03-22,52.8534
2021-03-23,50.619
2021-03-24,51.0157
2021-03-25,50.2638
2021-03-26,52.9726
2021-03-27,52.9726
2021-03-28,52.9726
2021-03-29,49.5641
2021-03-30,49.0917
2021-03-31,51.2546
2021-04-01,54.4088
2021-04-02,54.4088
2021-04-03,54.4088
2021-04-04,54.4088
2021-04-05,53.9836
2021-04-06,54.2057
2021-04-07,52.8426
2021-04-08,54.0758
2021-04-09,52.8254
2021-04-10,52.8254
2021-04-11,52.8254
2021-04-12,52.0253
2021-04-13,51.4432
2021-04-14,52.4176
2021-04-15,52.5461
2021-04-16,51.3507
2021-04-17,51.3507
2021-04-18,51.3507
2021-04-19,49.6675
2021-04-20,49.9503
2021-04-21,55.0464
2021-04-22,53.1793
2021-04-23,57.5349
2021-04-24,57.5349
2021-04-25,57.5349
2021-04-26,59.3862
2021-04-27,60.2494
2021-04-28,62.1689
2021-04-29,62.014
2021-04-30,57.2891
2021-05-01,57.2891
2021-05-02,57.2891
2021-05-03,56.0917
2021-05-04,53.2994
2021-05-05,53.2124
2021-05-06,54.0274
2021-05-07,55.4051
2021-05-08,55.4051
2021-05-09,55.4051
2021-05-10,51.8342
2021-05-11,51.4909
2021-05-12,49.2148
2021-05-13,52.3992
2021-05-14,52.5162
2021-05-15,52.5162
2021-05-16,52.5162
2021-05-17,53.3463
2021-05-18,51.1441
2021-05-19,52.719
2021-05-20,54.4709
2021-05-21,54.4709
2021-05-22,54.4709
2021-05-23,54.4709
2021-05-24,55.9836
2021-05-25,56.4062
2021-05-26,56.9119
2021-05-27,59.2447
2021-05-28,58.9783
2021-05-29,58.9783
2021-05-30,58.9783
2021-05-31,58.9783
2021-06-01,59.6908
2021-06-02,59.9182
2021-06-03,58.1094
2021-06-04,60.4994
2021-06-05,60.4994
2021-06-06,60.4994
2021-06-07,60.7238
2021-06-08,62.1328
2021-06-09,62.2066
2021-06-10,62.8803
2021-06-11,63.9871
2021-06-12,63.9871
2021-06-13,63.9871
2021-06-14,64.2445
2021-06-15,62.8506
2021-06-16,63.0481
2021-06-17,58.244
2021-06-18,51.2901
2021-06-19,51.2901
2021-06-20,51.2901
2021-06-21,50.8037
2021-06-22,52.6167
2021-06-23,52.9387
2021-06-24,55.2744
2021-06-25,54.204
2021-06-26,54.204
2021-06-27,54.204
2021-06-28,55.9682
2021-06-29,56.012
2021-06-30,54.7163
2021-07-01,51.8567
2021-07-02,50.6679
2021-07-03,50.6679
2021-07-04,50.6679
2021-07-05,50.6679
2021-07-06,47.716
2021-07-07,45.6963
2021-07-08,44.2861
2021-07-09,46.4755
2021-07-10,46.4755
2021-07-11,46.4755
2021-07-12,46.9489
2021-07-13,45.5145
2021-07-14,44.6049
2021-07-15,43.6131
2021-07-16,40.9179
2021-07-17,40.9179
2021-07-18,40.9179
2021-07-19,39.7091
2021-07-20,42.9079
2021-07-21,48.2293
2021-07-22,48.0942
2021-07-23,49.5082
2021-07-24,49.5082
2021-07-25,49.5082
2021-07-26,48.9846
2021-07-27,46.2259
2021-07-28,49.0461
2021-07-29,49.7633
2021-07-30,52.4847
2021-07-31,52.4847
2021-08-01,52.4847
2021-08-02,51.5063
2021-08-03,52.4688
2021-08-04,48.5305
2021-08-05,49.1019
2021-08-06,51.7348
2021-08-07,51.7348
2021-08-08,51.7348
2021-08-09,51.0636
2021-08-10,49.0873
2021-08-11,48.2592
2021-08-12,45.6063
2021-08-13,45.3057
2021-08-14,45.3057
2021-08-15,45.3057
2021-08-16,44.9989
2021-08-17,41.9744
2021-08-18,41.2964
2021-08-19,40.9742
2021-08-20,41.3293
2021-08-21,41.3293
2021-08-22,41.3293
2021-08-23,44.7131
2021-08-24,46.1295
2021-08-25,47.6761
2021-08-26,47.3368
2021-08-27,52.6647
2021-08-28,52.6647
2021-08-29,52.6647
2021-08-30,52.9409
2021-08-31,52.4659
2021-09-01,52.3041
2021-09-02,53.7789
2021-09-03,55.1652
2021-09-04,55.1652
2021-09-05,55.1652
2021-09-06,55.1652
2021-09-07,55.9661
2021-09-08,53.0264
2021-09-09,53.6681
2021-09-10,51.7551
2021-09-11,51.7551
2021-09-12,51.7551
2021-09-13,50.8724
2021-09-14,47.4209
2021-09-15,48.2464
2021-09-16,48.6357
2021-09-17,48.2602
2021-09-18,48.2602
2021-09-19,48.2602
2021-09-20,46.5599
2021-09-21,45.2208
2021-09-22,48.5198
2021-09-23,51.7913
2021-09-24,49.9606
2021-09-25,49.9606
2021-09-26,49.9606
2021-09-27,55.038
2021-09-28,51.583
2021-09-29,48.0441
2021-09-30,49.0434
2021-10-01,49.991
2021-10-02,49.991
2021-10-03,49.991
2021-10-04,49.3736
2021-10-05,50.8704
2021-10-06,49.9344
2021-10-07,51.8634
2021-10-08,50.9995
2021-10-09,50.9995
2021-10-10,50.9995
2021-10-11,53.7647
2021-10-12,52.4668
2021-10-13,53.1224
2021-10-14,55.2215
2021-10-15,54.6165
2021-10-16,54.6165
2021-10-17,54.6165
2021-10-18,53.7307
2021-10-19,55.5485
2021-10-20,54.0283
2021-10-21,51.8535
2021-10-22,50.5896
2021-10-23,50.5896
2021-10-24,50.5896
2021-10-25,49.1941
2021-10-26,50.2972
2021-10-27,51.9421
2021-10-28,56.6706
2021-10-29,57.6427
2021-10-30,57.6427
2021-10-31,57.6427
2021-11-01,60.1746
2021-11-02,60.4849
2021-11-03,68.3075
2021-11-04,66.8546
2021-11-05,67.2153
2021-11-06,67.2153
2021-11-07,67.2153
2021-11-08,66.581
2021-11-09,65.8795
2021-11-10,64.3596
2021-11-11,65.3148
2021-11-12,63.4387
2021-11-13,63.4387
2021-11-14,63.4387
2021-11-15,63.8084
