,BOOM US Equity
,RSI_30D
2020-01-01,52.1441
2020-01-02,52.1254
2020-01-03,52.4417
2020-01-04,52.4417
2020-01-05,52.4417
2020-01-06,54.4481
2020-01-07,51.6683
2020-01-08,49.7395
2020-01-09,51.6254
2020-01-10,50.6425
2020-01-11,50.6425
2020-01-12,50.6425
2020-01-13,50.0474
2020-01-14,50.2929
2020-01-15,49.3472
2020-01-16,49.8843
2020-01-17,50.1073
2020-01-18,50.1073
2020-01-19,50.1073
2020-01-20,50.1073
2020-01-21,47.96
2020-01-22,48.8084
2020-01-23,47.6237
2020-01-24,46.6899
2020-01-25,46.6899
2020-01-26,46.6899
2020-01-27,45.8197
2020-01-28,47.4097
2020-01-29,49.0028
2020-01-30,48.2364
2020-01-31,46.0428
2020-02-01,46.0428
2020-02-02,46.0428
2020-02-03,42.2376
2020-02-04,43.4289
2020-02-05,46.4236
2020-02-06,44.7223
2020-02-07,43.2276
2020-02-08,43.2276
2020-02-09,43.2276
2020-02-10,42.4495
2020-02-11,43.5484
2020-02-12,43.5726
2020-02-13,41.5435
2020-02-14,41.4346
2020-02-15,41.4346
2020-02-16,41.4346
2020-02-17,41.4346
2020-02-18,41.4346
2020-02-19,42.746
2020-02-20,42.3457
2020-02-21,43.4148
2020-02-22,43.4148
2020-02-23,43.4148
2020-02-24,40.9191
2020-02-25,40.1111
2020-02-26,38.5009
2020-02-27,35.8682
2020-02-28,37.8354
2020-02-29,37.8354
2020-03-01,37.8354
2020-03-02,41.158
2020-03-03,39.463
2020-03-04,40.3284
2020-03-05,37.3107
2020-03-06,31.7853
2020-03-07,31.7853
2020-03-08,31.7853
2020-03-09,24.1503
2020-03-10,26.2737
2020-03-11,25.2246
2020-03-12,24.8146
2020-03-13,25.8991
2020-03-14,25.8991
2020-03-15,25.8991
2020-03-16,25.5183
2020-03-17,29.6395
2020-03-18,29.1599
2020-03-19,31.9629
2020-03-20,31.3907
2020-03-21,31.3907
2020-03-22,31.3907
2020-03-23,30.7709
2020-03-24,33.9272
2020-03-25,33.2777
2020-03-26,34.0181
2020-03-27,34.1959
2020-03-28,34.1959
2020-03-29,34.1959
2020-03-30,31.0389
2020-03-31,34.2386
2020-04-01,33.2257
2020-04-02,35.6961
2020-04-03,37.5002
2020-04-04,37.5002
2020-04-05,37.5002
2020-04-06,40.0045
2020-04-07,43.7223
2020-04-08,45.0856
2020-04-09,44.5347
2020-04-10,44.5347
2020-04-11,44.5347
2020-04-12,44.5347
2020-04-13,44.696
2020-04-14,46.8634
2020-04-15,43.0574
2020-04-16,43.308
2020-04-17,44.746
2020-04-18,44.746
2020-04-19,44.746
2020-04-20,44.4254
2020-04-21,41.9523
2020-04-22,40.004
2020-04-23,43.6616
2020-04-24,42.1337
2020-04-25,42.1337
2020-04-26,42.1337
