,LSTR US Equity
,RSI_30D
2020-01-01,52.5078
2020-01-02,51.6447
2020-01-03,51.4616
2020-01-04,51.4616
2020-01-05,51.4616
2020-01-06,49.9746
2020-01-07,50.8994
2020-01-08,53.1771
2020-01-09,55.2327
2020-01-10,55.978
2020-01-11,55.978
2020-01-12,55.978
2020-01-13,56.2718
2020-01-14,59.1789
2020-01-15,62.4931
2020-01-16,61.8075
2020-01-17,62.4617
2020-01-18,62.4617
2020-01-19,62.4617
2020-01-20,62.4617
2020-01-21,56.8397
2020-01-22,55.8005
2020-01-23,55.8354
2020-01-24,53.3996
2020-01-25,53.3996
2020-01-26,53.3996
2020-01-27,48.9608
2020-01-28,49.8614
2020-01-29,48.4867
2020-01-30,50.7017
2020-01-31,47.4873
2020-02-01,47.4873
2020-02-02,47.4873
2020-02-03,47.878
2020-02-04,51.8778
2020-02-05,53.402
2020-02-06,53.1281
2020-02-07,53.3051
2020-02-08,53.3051
2020-02-09,53.3051
2020-02-10,51.0142
2020-02-11,49.5768
2020-02-12,49.5768
2020-02-13,46.8862
2020-02-14,43.0371
2020-02-15,43.0371
2020-02-16,43.0371
2020-02-17,43.0371
2020-02-18,45.4259
2020-02-19,49.6111
2020-02-20,50.1058
2020-02-21,48.3856
2020-02-22,48.3856
2020-02-23,48.3856
2020-02-24,44.4399
2020-02-25,39.1787
2020-02-26,35.8467
2020-02-27,39.2418
2020-02-28,36.5887
2020-02-29,36.5887
2020-03-01,36.5887
2020-03-02,43.1801
2020-03-03,40.1973
2020-03-04,44.5491
2020-03-05,39.6393
2020-03-06,41.087
2020-03-07,41.087
2020-03-08,41.087
2020-03-09,34.9805
2020-03-10,40.1743
2020-03-11,38.6951
2020-03-12,35.175
2020-03-13,43.5931
2020-03-14,43.5931
2020-03-15,43.5931
2020-03-16,37.4903
2020-03-17,47.8937
2020-03-18,44.1075
2020-03-19,41.6037
2020-03-20,42.9414
2020-03-21,42.9414
2020-03-22,42.9414
2020-03-23,40.211
2020-03-24,44.0863
2020-03-25,45.3752
2020-03-26,47.2204
2020-03-27,44.3908
2020-03-28,44.3908
2020-03-29,44.3908
2020-03-30,46.844
2020-03-31,46.3013
2020-04-01,44.7266
2020-04-02,45.1451
2020-04-03,44.6881
2020-04-04,44.6881
2020-04-05,44.6881
2020-04-06,48.7586
2020-04-07,47.7891
2020-04-08,49.2398
2020-04-09,51.3074
2020-04-10,51.3074
2020-04-11,51.3074
2020-04-12,51.3074
2020-04-13,49.4122
2020-04-14,50.3999
2020-04-15,49.0608
2020-04-16,51.2117
2020-04-17,51.0394
2020-04-18,51.0394
2020-04-19,51.0394
2020-04-20,49.3061
2020-04-21,48.0601
2020-04-22,48.4394
2020-04-23,50.1485
2020-04-24,50.7214
2020-04-25,50.7214
2020-04-26,50.7214
2020-04-27,53.6316
2020-04-28,52.2708
2020-04-29,52.832
2020-04-30,50.7209
2020-05-01,50.601
2020-05-02,50.601
2020-05-03,50.601
2020-05-04,49.2524
2020-05-05,50.6554
2020-05-06,50.2967
2020-05-07,50.6738
2020-05-08,53.2481
2020-05-09,53.2481
2020-05-10,53.2481
2020-05-11,54.2399
2020-05-12,52.7801
2020-05-13,50.6928
2020-05-14,50.4308
2020-05-15,50.5564
2020-05-16,50.5564
2020-05-17,50.5564
2020-05-18,55.1239
2020-05-19,54.4262
2020-05-20,56.6344
2020-05-21,55.4929
2020-05-22,55.8599
2020-05-23,55.8599
2020-05-24,55.8599
2020-05-25,55.8599
2020-05-26,57.4165
2020-05-27,57.3855
2020-05-28,57.4746
2020-05-29,57.9177
2020-05-30,57.9177
2020-05-31,57.9177
2020-06-01,55.6421
2020-06-02,56.9865
2020-06-03,56.8109
2020-06-04,55.8528
2020-06-05,54.18
2020-06-06,54.18
2020-06-07,54.18
2020-06-08,53.6975
2020-06-09,54.3929
2020-06-10,54.3313
2020-06-11,50.2552
2020-06-12,49.4092
2020-06-13,49.4092
2020-06-14,49.4092
2020-06-15,51.7269
2020-06-16,52.2106
2020-06-17,53.5629
2020-06-18,52.5717
2020-06-19,52.4308
2020-06-20,52.4308
