,TPL US Equity
,RSI_30D
2020-01-01,70.3044
2020-01-02,68.9004
2020-01-03,71.2453
2020-01-04,71.2453
2020-01-05,71.2453
2020-01-06,71.3196
2020-01-07,71.7446
2020-01-08,73.1068
2020-01-09,71.6223
2020-01-10,70.6829
2020-01-11,70.6829
2020-01-12,70.6829
2020-01-13,69.6246
2020-01-14,68.3082
2020-01-15,67.4537
2020-01-16,67.2024
2020-01-17,66.6883
2020-01-18,66.6883
2020-01-19,66.6883
2020-01-20,66.6883
2020-01-21,63.9784
2020-01-22,60.455
2020-01-23,58.7312
2020-01-24,57.0547
2020-01-25,57.0547
2020-01-26,57.0547
2020-01-27,53.7649
2020-01-28,55.4835
2020-01-29,54.766
2020-01-30,51.744
2020-01-31,56.4309
2020-02-01,56.4309
2020-02-02,56.4309
2020-02-03,55.3439
2020-02-04,59.5812
2020-02-05,62.1802
2020-02-06,62.4757
2020-02-07,62.181
2020-02-08,62.181
2020-02-09,62.181
2020-02-10,57.4494
2020-02-11,58.0709
2020-02-12,58.8285
2020-02-13,58.0129
2020-02-14,55.4976
2020-02-15,55.4976
2020-02-16,55.4976
2020-02-17,55.4976
2020-02-18,54.7859
2020-02-19,55.8063
2020-02-20,57.0591
2020-02-21,53.9881
2020-02-22,53.9881
2020-02-23,53.9881
2020-02-24,51.5784
2020-02-25,47.4087
2020-02-26,45.3538
2020-02-27,41.1249
2020-02-28,44.0399
2020-02-29,44.0399
2020-03-01,44.0399
2020-03-02,43.3959
2020-03-03,41.009
2020-03-04,41.3525
2020-03-05,39.3246
2020-03-06,37.3158
2020-03-07,37.3158
2020-03-08,37.3158
2020-03-09,25.6128
2020-03-10,33.8967
2020-03-11,29.8688
2020-03-12,27.5911
2020-03-13,30.718
2020-03-14,30.718
2020-03-15,30.718
2020-03-16,29.4044
2020-03-17,27.5147
2020-03-18,25.2132
2020-03-19,29.7857
2020-03-20,29.7326
2020-03-21,29.7326
2020-03-22,29.7326
2020-03-23,27.8551
2020-03-24,35.4848
2020-03-25,34.8259
2020-03-26,34.588
2020-03-27,35.4373
2020-03-28,35.4373
2020-03-29,35.4373
2020-03-30,36.4226
2020-03-31,35.8934
2020-04-01,35.7063
2020-04-02,39.9336
2020-04-03,42.9816
2020-04-04,42.9816
2020-04-05,42.9816
2020-04-06,44.3811
2020-04-07,43.2304
2020-04-08,44.3903
2020-04-09,47.7242
2020-04-10,47.7242
2020-04-11,47.7242
2020-04-12,47.7242
2020-04-13,47.8667
2020-04-14,49.4326
2020-04-15,47.9372
2020-04-16,47.5412
2020-04-17,47.7912
2020-04-18,47.7912
2020-04-19,47.7912
2020-04-20,47.0243
2020-04-21,44.1735
2020-04-22,47.2114
2020-04-23,46.8063
2020-04-24,47.2375
2020-04-25,47.2375
2020-04-26,47.2375
2020-04-27,48.5167
2020-04-28,48.989
2020-04-29,52.2711
2020-04-30,53.0124
2020-05-01,48.073
2020-05-02,48.073
2020-05-03,48.073
2020-05-04,50.0395
2020-05-05,48.7305
2020-05-06,46.8838
2020-05-07,47.0423
2020-05-08,49.3756
2020-05-09,49.3756
2020-05-10,49.3756
