,OBK US Equity
,RSI_30D
2020-01-01,67.6615
2020-01-02,62.2057
2020-01-03,61.6761
2020-01-04,61.6761
2020-01-05,61.6761
2020-01-06,60.2361
2020-01-07,61.6028
2020-01-08,61.5246
2020-01-09,61.9736
2020-01-10,60.6715
2020-01-11,60.6715
2020-01-12,60.6715
2020-01-13,62.2115
2020-01-14,55.8065
2020-01-15,55.1842
2020-01-16,57.8834
2020-01-17,55.8646
2020-01-18,55.8646
2020-01-19,55.8646
2020-01-20,55.8646
2020-01-21,52.1654
2020-01-22,53.0678
2020-01-23,49.0585
2020-01-24,47.2401
2020-01-25,47.2401
2020-01-26,47.2401
2020-01-27,48.6715
2020-01-28,48.9699
2020-01-29,48.7938
2020-01-30,49.9116
2020-01-31,47.1885
2020-02-01,47.1885
2020-02-02,47.1885
2020-02-03,49.2436
2020-02-04,49.7341
2020-02-05,54.1466
2020-02-06,50.736
2020-02-07,49.8246
2020-02-08,49.8246
2020-02-09,49.8246
2020-02-10,50.9636
2020-02-11,51.1357
2020-02-12,50.2239
2020-02-13,51.9565
2020-02-14,48.8872
2020-02-15,48.8872
2020-02-16,48.8872
2020-02-17,48.8872
2020-02-18,47.9112
2020-02-19,46.6089
2020-02-20,48.437
2020-02-21,49.9055
2020-02-22,49.9055
2020-02-23,49.9055
2020-02-24,47.293
2020-02-25,39.8988
2020-02-26,36.6642
2020-02-27,30.7407
2020-02-28,29.2464
2020-02-29,29.2464
2020-03-01,29.2464
2020-03-02,34.7005
2020-03-03,32.5796
2020-03-04,33.0032
2020-03-05,29.9385
2020-03-06,28.2378
2020-03-07,28.2378
2020-03-08,28.2378
2020-03-09,23.2697
2020-03-10,22.2537
2020-03-11,21.7755
2020-03-12,19.1274
2020-03-13,26.9665
2020-03-14,26.9665
2020-03-15,26.9665
2020-03-16,23.1693
2020-03-17,23.004
2020-03-18,21.1129
2020-03-19,30.4125
2020-03-20,27.0759
2020-03-21,27.0759
2020-03-22,27.0759
2020-03-23,27.1332
2020-03-24,28.0964
2020-03-25,28.3635
2020-03-26,30.5006
2020-03-27,29.199
2020-03-28,29.199
2020-03-29,29.199
2020-03-30,29.528
2020-03-31,32.1096
2020-04-01,30.8983
2020-04-02,31.3448
2020-04-03,31.6798
2020-04-04,31.6798
2020-04-05,31.6798
2020-04-06,33.1218
2020-04-07,32.8774
2020-04-08,34.5327
2020-04-09,38.555
2020-04-10,38.555
2020-04-11,38.555
2020-04-12,38.555
2020-04-13,38.0044
2020-04-14,37.4511
2020-04-15,35.683
2020-04-16,32.997
2020-04-17,38.9531
2020-04-18,38.9531
2020-04-19,38.9531
2020-04-20,37.2792
2020-04-21,37.089
2020-04-22,37.6649
2020-04-23,39.3069
2020-04-24,38.1966
2020-04-25,38.1966
2020-04-26,38.1966
2020-04-27,43.2015
2020-04-28,43.9556
2020-04-29,47.6656
2020-04-30,45.411
2020-05-01,43.6969
2020-05-02,43.6969
2020-05-03,43.6969
2020-05-04,43.496
2020-05-05,41.2996
2020-05-06,39.7141
2020-05-07,40.2443
2020-05-08,43.4764
2020-05-09,43.4764
2020-05-10,43.4764
2020-05-11,41.3219
2020-05-12,39.3693
2020-05-13,38.827
2020-05-14,37.983
2020-05-15,40.3481
2020-05-16,40.3481
2020-05-17,40.3481
2020-05-18,44.1173
2020-05-19,41.4745
2020-05-20,44.2814
2020-05-21,43.561
2020-05-22,42.7557
2020-05-23,42.7557
2020-05-24,42.7557
2020-05-25,42.7557
2020-05-26,46.3978
2020-05-27,50.8884
2020-05-28,48.325
2020-05-29,47.8335
2020-05-30,47.8335
2020-05-31,47.8335
2020-06-01,46.353
2020-06-02,45.9549
2020-06-03,47.1393
2020-06-04,49.6769
2020-06-05,52.2328
2020-06-06,52.2328
2020-06-07,52.2328
2020-06-08,52.9793
2020-06-09,52.097
2020-06-10,49.0616
2020-06-11,47.0342
2020-06-12,47.0942
2020-06-13,47.0942
2020-06-14,47.0942
2020-06-15,50.0615
2020-06-16,50.0996
2020-06-17,48.2711
2020-06-18,49.4831
2020-06-19,48.9194
2020-06-20,48.9194
2020-06-21,48.9194
2020-06-22,49.2084
2020-06-23,50.1051
2020-06-24,48.1617
2020-06-25,48.9593
2020-06-26,46.9982
2020-06-27,46.9982
2020-06-28,46.9982
2020-06-29,49.0444
2020-06-30,50.7194
2020-07-01,47.9861
2020-07-02,47.6098
2020-07-03,47.6098
2020-07-04,47.6098
2020-07-05,47.6098
2020-07-06,47.9211
2020-07-07,46.2556
2020-07-08,45.3801
2020-07-09,43.2075
2020-07-10,45.4088
2020-07-11,45.4088
2020-07-12,45.4088
2020-07-13,46.4589
2020-07-14,46.8117
2020-07-15,50.4378
2020-07-16,49.6547
2020-07-17,48.3813
2020-07-18,48.3813
2020-07-19,48.3813
2020-07-20,47.2966
2020-07-21,50.0669
2020-07-22,49.3412
2020-07-23,52.2281
2020-07-24,52.8757
2020-07-25,52.8757
2020-07-26,52.8757
2020-07-27,54.1814
2020-07-28,54.5741
2020-07-29,56.1496
2020-07-30,56.8731
2020-07-31,55.2237
2020-08-01,55.2237
2020-08-02,55.2237
2020-08-03,53.4422
2020-08-04,52.0042
2020-08-05,54.3693
2020-08-06,54.796
2020-08-07,57.2368
2020-08-08,57.2368
2020-08-09,57.2368
2020-08-10,57.2772
2020-08-11,56.86
2020-08-12,57.2891
2020-08-13,55.6578
2020-08-14,56.4712
2020-08-15,56.4712
2020-08-16,56.4712
2020-08-17,56.0282
2020-08-18,53.4268
2020-08-19,53.9429
2020-08-20,52.5374
2020-08-21,51.6845
2020-08-22,51.6845
2020-08-23,51.6845
2020-08-24,53.9529
2020-08-25,54.306
2020-08-26,52.5782
2020-08-27,54.3401
2020-08-28,53.0508
2020-08-29,53.0508
2020-08-30,53.0508
2020-08-31,52.8396
2020-09-01,53.4691
2020-09-02,53.497
2020-09-03,54.8151
2020-09-04,56.8348
2020-09-05,56.8348
2020-09-06,56.8348
2020-09-07,56.8348
2020-09-08,51.819
2020-09-09,51.2822
2020-09-10,49.6277
2020-09-11,48.2754
2020-09-12,48.2754
2020-09-13,48.2754
2020-09-14,51.0913
2020-09-15,46.5824
2020-09-16,48.2433
2020-09-17,46.9163
2020-09-18,47.2694
2020-09-19,47.2694
2020-09-20,47.2694
2020-09-21,43.3431
2020-09-22,43.619
2020-09-23,41.8613
2020-09-24,42.3102
2020-09-25,44.0654
2020-09-26,44.0654
2020-09-27,44.0654
2020-09-28,46.9207
2020-09-29,46.4769
2020-09-30,47.3259
2020-10-01,48.0565
2020-10-02,50.057
2020-10-03,50.057
2020-10-04,50.057
2020-10-05,52.8337
2020-10-06,52.4377
2020-10-07,54.7585
2020-10-08,56.5439
2020-10-09,56.2813
2020-10-10,56.2813
2020-10-11,56.2813
2020-10-12,53.6399
2020-10-13,51.272
2020-10-14,49.0329
2020-10-15,52.4995
2020-10-16,51.8909
2020-10-17,51.8909
2020-10-18,51.8909
2020-10-19,51.6256
2020-10-20,52.4087
2020-10-21,51.6671
2020-10-22,54.8351
2020-10-23,55.1787
2020-10-24,55.1787
2020-10-25,55.1787
2020-10-26,53.7472
2020-10-27,50.9503
2020-10-28,49.9934
2020-10-29,49.812
2020-10-30,48.5363
2020-10-31,48.5363
2020-11-01,48.5363
2020-11-02,50.5033
2020-11-03,53.4263
2020-11-04,49.3837
2020-11-05,50.0547
2020-11-06,49.7875
2020-11-07,49.7875
2020-11-08,49.7875
2020-11-09,56.5807
2020-11-10,55.5143
2020-11-11,55.7362
2020-11-12,55.2906
2020-11-13,57.1148
2020-11-14,57.1148
2020-11-15,57.1148
2020-11-16,58.4307
2020-11-17,57.4182
2020-11-18,57.111
2020-11-19,58.4646
2020-11-20,56.8877
2020-11-21,56.8877
2020-11-22,56.8877
2020-11-23,56.8524
2020-11-24,57.4255
2020-11-25,61.4603
2020-11-26,61.4603
2020-11-27,59.2459
2020-11-28,59.2459
2020-11-29,59.2459
2020-11-30,54.9483
2020-12-01,56.2562
2020-12-02,58.3646
2020-12-03,59.3544
2020-12-04,62.4339
2020-12-05,62.4339
2020-12-06,62.4339
2020-12-07,60.536
2020-12-08,61.9875
2020-12-09,61.3694
2020-12-10,61.7638
2020-12-11,59.4276
2020-12-12,59.4276
2020-12-13,59.4276
2020-12-14,58.6399
2020-12-15,60.2285
2020-12-16,59.0381
2020-12-17,59.5489
2020-12-18,55.7795
2020-12-19,55.7795
2020-12-20,55.7795
2020-12-21,52.7939
2020-12-22,51.768
2020-12-23,53.7111
2020-12-24,55.3618
2020-12-25,55.3618
2020-12-26,55.3618
2020-12-27,55.3618
2020-12-28,56.95
2020-12-29,55.0524
2020-12-30,55.0524
2020-12-31,55.376
2021-01-01,55.376
2021-01-02,55.376
2021-01-03,55.376
2021-01-04,54.7642
2021-01-05,56.3978
2021-01-06,63.7821
2021-01-07,62.7241
2021-01-08,59.9373
2021-01-09,59.9373
2021-01-10,59.9373
2021-01-11,58.748
2021-01-12,59.0885
2021-01-13,57.741
