,WSBF US Equity
,RSI_30D
2020-01-01,65.4206
2020-01-02,62.6121
2020-01-03,60.3777
2020-01-04,60.3777
2020-01-05,60.3777
2020-01-06,58.228
2020-01-07,54.7022
2020-01-08,56.4931
2020-01-09,54.7299
2020-01-10,55.3703
2020-01-11,55.3703
2020-01-12,55.3703
2020-01-13,54.3756
2020-01-14,52.054
2020-01-15,53.0899
2020-01-16,55.7287
2020-01-17,54.1531
2020-01-18,54.1531
2020-01-19,54.1531
2020-01-20,54.1531
2020-01-21,49.7847
2020-01-22,47.9507
2020-01-23,47.7852
2020-01-24,44.4512
2020-01-25,44.4512
2020-01-26,44.4512
2020-01-27,43.7003
2020-01-28,43.7003
2020-01-29,42.1753
2020-01-30,40.9914
2020-01-31,38.7415
2020-02-01,38.7415
2020-02-02,38.7415
2020-02-03,39.8095
2020-02-04,39.5244
2020-02-05,47.4991
2020-02-06,46.8752
2020-02-07,46.8752
2020-02-08,46.8752
2020-02-09,46.8752
2020-02-10,47.0612
2020-02-11,47.442
2020-02-12,49.5082
2020-02-13,50.244
2020-02-14,47.052
2020-02-15,47.052
2020-02-16,47.052
2020-02-17,47.052
2020-02-18,47.2446
2020-02-19,47.2446
2020-02-20,47.8537
2020-02-21,47.2889
2020-02-22,47.2889
2020-02-23,47.2889
2020-02-24,44.6539
2020-02-25,41.2891
2020-02-26,45.0502
2020-02-27,39.778
2020-02-28,31.8517
2020-02-29,31.8517
2020-03-01,31.8517
2020-03-02,40.1831
2020-03-03,40.4841
2020-03-04,46.0974
2020-03-05,44.8929
2020-03-06,43.607
2020-03-07,43.607
2020-03-08,43.607
2020-03-09,31.0378
2020-03-10,43.0225
2020-03-11,41.8144
2020-03-12,36.6661
2020-03-13,35.5725
2020-03-14,35.5725
2020-03-15,35.5725
2020-03-16,31.0552
2020-03-17,33.2689
2020-03-18,28.8262
2020-03-19,30.8039
2020-03-20,29.3286
2020-03-21,29.3286
2020-03-22,29.3286
2020-03-23,28.6526
2020-03-24,32.5146
2020-03-25,33.8269
2020-03-26,43.0002
2020-03-27,43.536
2020-03-28,43.536
2020-03-29,43.536
2020-03-30,44.0799
2020-03-31,42.166
2020-04-01,39.0832
2020-04-02,38.8385
2020-04-03,37.6198
2020-04-04,37.6198
2020-04-05,37.6198
2020-04-06,38.8115
2020-04-07,38.39
2020-04-08,37.9597
2020-04-09,42.3699
2020-04-10,42.3699
2020-04-11,42.3699
2020-04-12,42.3699
2020-04-13,41.177
2020-04-14,40.3632
2020-04-15,38.5253
2020-04-16,36.0205
2020-04-17,37.9719
2020-04-18,37.9719
2020-04-19,37.9719
2020-04-20,37.3222
2020-04-21,37.3222
2020-04-22,36.2438
2020-04-23,39.0467
2020-04-24,40.6658
2020-04-25,40.6658
2020-04-26,40.6658
2020-04-27,43.6957
2020-04-28,46.5778
2020-04-29,50.8604
2020-04-30,49.6614
2020-05-01,48.8329
2020-05-02,48.8329
2020-05-03,48.8329
2020-05-04,48.3634
2020-05-05,47.3689
2020-05-06,47.8939
2020-05-07,49.7938
2020-05-08,52.3017
2020-05-09,52.3017
2020-05-10,52.3017
2020-05-11,50.4322
2020-05-12,45.1683
2020-05-13,41.9863
2020-05-14,40.5296
2020-05-15,43.621
2020-05-16,43.621
2020-05-17,43.621
2020-05-18,49.9787
2020-05-19,47.9149
2020-05-20,49.8347
2020-05-21,49.5709
2020-05-22,50.207
2020-05-23,50.207
2020-05-24,50.207
2020-05-25,50.207
2020-05-26,54.1393
2020-05-27,56.089
2020-05-28,53.4112
2020-05-29,51.9264
2020-05-30,51.9264
2020-05-31,51.9264
2020-06-01,49.1834
2020-06-02,49.3564
2020-06-03,51.7761
2020-06-04,53.4707
2020-06-05,56.3069
2020-06-06,56.3069
2020-06-07,56.3069
2020-06-08,57.065
2020-06-09,55.6384
2020-06-10,52.1751
2020-06-11,48.3726
2020-06-12,49.8801
2020-06-13,49.8801
2020-06-14,49.8801
2020-06-15,49.7598
2020-06-16,51.5131
2020-06-17,49.7381
2020-06-18,49.8628
2020-06-19,50.1612
2020-06-20,50.1612
2020-06-21,50.1612
2020-06-22,50.1172
2020-06-23,50.3429
2020-06-24,46.8758
2020-06-25,48.7254
2020-06-26,48.1616
2020-06-27,48.1616
2020-06-28,48.1616
