,TNET US Equity
,RSI_30D
2020-01-01,45.3705
2020-01-02,47.3317
2020-01-03,45.2319
2020-01-04,45.2319
2020-01-05,45.2319
2020-01-06,46.6655
2020-01-07,44.4911
2020-01-08,43.115
2020-01-09,44.1005
2020-01-10,44.2486
2020-01-11,44.2486
2020-01-12,44.2486
2020-01-13,45.2608
2020-01-14,46.1597
2020-01-15,49.4178
2020-01-16,51.6464
2020-01-17,54.1125
2020-01-18,54.1125
2020-01-19,54.1125
2020-01-20,54.1125
2020-01-21,49.4253
2020-01-22,50.2107
2020-01-23,48.138
2020-01-24,46.1383
2020-01-25,46.1383
2020-01-26,46.1383
2020-01-27,42.7104
2020-01-28,43.732
2020-01-29,45.8945
2020-01-30,50.2462
2020-01-31,49.1873
2020-02-01,49.1873
2020-02-02,49.1873
2020-02-03,51.0616
2020-02-04,54.1565
2020-02-05,55.6208
2020-02-06,51.458
2020-02-07,49.0
2020-02-08,49.0
2020-02-09,49.0
2020-02-10,44.812
2020-02-11,42.3787
2020-02-12,36.5938
2020-02-13,36.2557
2020-02-14,56.4115
2020-02-15,56.4115
2020-02-16,56.4115
2020-02-17,56.4115
2020-02-18,52.2716
2020-02-19,56.8763
2020-02-20,56.1315
2020-02-21,53.098
2020-02-22,53.098
2020-02-23,53.098
2020-02-24,51.8138
2020-02-25,48.0146
2020-02-26,44.5139
2020-02-27,42.578
2020-02-28,44.5729
2020-02-29,44.5729
2020-03-01,44.5729
2020-03-02,46.9693
2020-03-03,45.4938
2020-03-04,49.2943
2020-03-05,46.2062
2020-03-06,46.6239
2020-03-07,46.6239
2020-03-08,46.6239
2020-03-09,43.85
2020-03-10,48.4111
2020-03-11,43.4942
2020-03-12,40.7841
2020-03-13,40.883
2020-03-14,40.883
2020-03-15,40.883
2020-03-16,36.1622
2020-03-17,34.4067
2020-03-18,29.3261
2020-03-19,35.341
2020-03-20,36.547
2020-03-21,36.547
2020-03-22,36.547
2020-03-23,34.3865
2020-03-24,38.2519
2020-03-25,37.3188
2020-03-26,42.1623
2020-03-27,41.3164
2020-03-28,41.3164
2020-03-29,41.3164
2020-03-30,41.5661
2020-03-31,40.784
2020-04-01,39.0398
2020-04-02,38.8129
2020-04-03,38.3025
2020-04-04,38.3025
2020-04-05,38.3025
2020-04-06,42.4284
2020-04-07,43.8579
2020-04-08,45.3671
2020-04-09,47.4768
2020-04-10,47.4768
2020-04-11,47.4768
2020-04-12,47.4768
2020-04-13,46.5434
2020-04-14,48.0433
2020-04-15,47.1873
2020-04-16,47.3285
2020-04-17,49.8513
2020-04-18,49.8513
2020-04-19,49.8513
2020-04-20,49.1401
2020-04-21,48.4503
2020-04-22,49.5842
2020-04-23,47.6956
2020-04-24,47.3076
2020-04-25,47.3076
2020-04-26,47.3076
2020-04-27,48.8424
2020-04-28,50.6994
2020-04-29,55.9952
2020-04-30,52.0593
2020-05-01,50.8758
2020-05-02,50.8758
2020-05-03,50.8758
2020-05-04,51.4191
2020-05-05,53.1226
2020-05-06,51.147
2020-05-07,52.9947
2020-05-08,53.8929
2020-05-09,53.8929
2020-05-10,53.8929
2020-05-11,52.5782
2020-05-12,49.9548
2020-05-13,48.2565
2020-05-14,47.3136
2020-05-15,48.2368
2020-05-16,48.2368
2020-05-17,48.2368
2020-05-18,51.2498
2020-05-19,50.4856
2020-05-20,51.6054
2020-05-21,51.8058
2020-05-22,51.9003
2020-05-23,51.9003
2020-05-24,51.9003
2020-05-25,51.9003
2020-05-26,54.1646
2020-05-27,57.9681
2020-05-28,55.1088
2020-05-29,55.0155
2020-05-30,55.0155
2020-05-31,55.0155
2020-06-01,55.5908
2020-06-02,56.3939
2020-06-03,58.3022
2020-06-04,57.3441
2020-06-05,59.5407
2020-06-06,59.5407
2020-06-07,59.5407
2020-06-08,59.7213
2020-06-09,57.7995
2020-06-10,56.0578
2020-06-11,50.5011
2020-06-12,52.6151
2020-06-13,52.6151
2020-06-14,52.6151
2020-06-15,53.4051
2020-06-16,54.4524
2020-06-17,54.5085
2020-06-18,55.3137
2020-06-19,56.923
2020-06-20,56.923
2020-06-21,56.923
2020-06-22,56.5268
2020-06-23,57.3906
2020-06-24,54.4413
2020-06-25,55.8157
2020-06-26,56.0898
2020-06-27,56.0898
2020-06-28,56.0898
2020-06-29,56.9683
2020-06-30,57.9384
2020-07-01,57.8462
2020-07-02,58.5711
2020-07-03,58.5711
2020-07-04,58.5711
2020-07-05,58.5711
2020-07-06,58.6058
2020-07-07,55.5645
2020-07-08,55.9848
2020-07-09,54.9337
2020-07-10,55.9924
2020-07-11,55.9924
2020-07-12,55.9924
2020-07-13,56.1098
2020-07-14,57.346
2020-07-15,59.105
2020-07-16,58.1973
2020-07-17,58.0752
2020-07-18,58.0752
2020-07-19,58.0752
2020-07-20,57.6443
2020-07-21,58.7276
2020-07-22,58.7996
2020-07-23,58.5732
2020-07-24,56.8515
2020-07-25,56.8515
2020-07-26,56.8515
2020-07-27,58.1139
2020-07-28,64.9566
2020-07-29,61.7093
2020-07-30,61.3598
2020-07-31,58.9027
2020-08-01,58.9027
2020-08-02,58.9027
2020-08-03,57.9718
2020-08-04,58.1207
2020-08-05,59.6008
2020-08-06,60.4962
2020-08-07,61.2416
2020-08-08,61.2416
2020-08-09,61.2416
2020-08-10,61.6542
2020-08-11,61.9852
2020-08-12,62.3315
2020-08-13,62.8319
2020-08-14,61.9802
2020-08-15,61.9802
2020-08-16,61.9802
2020-08-17,61.9909
2020-08-18,60.4309
2020-08-19,59.2355
2020-08-20,58.8168
2020-08-21,58.8669
2020-08-22,58.8669
2020-08-23,58.8669
2020-08-24,60.2797
2020-08-25,58.1937
2020-08-26,58.1754
2020-08-27,59.2603
2020-08-28,60.1216
2020-08-29,60.1216
2020-08-30,60.1216
2020-08-31,57.0228
2020-09-01,56.5448
2020-09-02,56.9041
2020-09-03,51.7674
2020-09-04,49.0657
2020-09-05,49.0657
2020-09-06,49.0657
2020-09-07,49.0657
2020-09-08,46.3303
2020-09-09,48.2457
2020-09-10,47.1859
2020-09-11,46.7638
2020-09-12,46.7638
2020-09-13,46.7638
2020-09-14,46.734
2020-09-15,47.3935
2020-09-16,48.4874
2020-09-17,47.7537
2020-09-18,46.2416
2020-09-19,46.2416
2020-09-20,46.2416
2020-09-21,43.498
2020-09-22,45.0447
2020-09-23,41.5306
2020-09-24,42.978
2020-09-25,43.5892
2020-09-26,43.5892
2020-09-27,43.5892
2020-09-28,46.2958
2020-09-29,44.3864
2020-09-30,45.0001
2020-10-01,45.6028
2020-10-02,47.3395
2020-10-03,47.3395
2020-10-04,47.3395
2020-10-05,49.7098
2020-10-06,49.6929
2020-10-07,53.1355
2020-10-08,55.1412
2020-10-09,55.7057
2020-10-10,55.7057
2020-10-11,55.7057
2020-10-12,57.6361
2020-10-13,58.4667
2020-10-14,59.5378
2020-10-15,61.114
2020-10-16,61.8112
2020-10-17,61.8112
2020-10-18,61.8112
2020-10-19,61.1056
2020-10-20,61.9365
2020-10-21,60.748
2020-10-22,62.63
2020-10-23,63.9231
2020-10-24,63.9231
2020-10-25,63.9231
2020-10-26,60.1191
2020-10-27,59.0799
2020-10-28,59.7988
2020-10-29,59.9878
2020-10-30,56.38
2020-10-31,56.38
2020-11-01,56.38
2020-11-02,57.9704
2020-11-03,59.5968
2020-11-04,60.7848
2020-11-05,64.914
2020-11-06,63.3223
2020-11-07,63.3223
2020-11-08,63.3223
2020-11-09,65.657
2020-11-10,63.0542
2020-11-11,62.5655
2020-11-12,60.8576
2020-11-13,62.106
2020-11-14,62.106
2020-11-15,62.106
2020-11-16,63.1482
2020-11-17,60.5833
2020-11-18,58.8811
2020-11-19,60.5222
2020-11-20,60.2391
2020-11-21,60.2391
2020-11-22,60.2391
2020-11-23,60.674
2020-11-24,62.755
2020-11-25,62.8323
2020-11-26,62.8323
2020-11-27,62.0993
2020-11-28,62.0993
2020-11-29,62.0993
2020-11-30,58.8498
2020-12-01,62.8096
2020-12-02,59.7077
2020-12-03,59.7739
2020-12-04,60.9826
2020-12-05,60.9826
2020-12-06,60.9826
2020-12-07,60.5483
2020-12-08,61.3749
2020-12-09,60.1146
2020-12-10,59.3455
2020-12-11,60.8982
2020-12-12,60.8982
2020-12-13,60.8982
2020-12-14,61.2806
2020-12-15,63.8163
2020-12-16,64.3076
2020-12-17,66.9016
2020-12-18,67.2385
2020-12-19,67.2385
2020-12-20,67.2385
2020-12-21,65.2253
2020-12-22,65.6509
2020-12-23,66.1426
2020-12-24,64.7174
2020-12-25,64.7174
2020-12-26,64.7174
2020-12-27,64.7174
2020-12-28,65.2778
2020-12-29,61.1844
2020-12-30,61.2285
2020-12-31,60.5638
2021-01-01,60.5638
2021-01-02,60.5638
2021-01-03,60.5638
2021-01-04,57.4309
2021-01-05,56.5191
2021-01-06,61.3772
2021-01-07,63.939
2021-01-08,60.99
2021-01-09,60.99
2021-01-10,60.99
2021-01-11,61.7548
2021-01-12,63.3834
2021-01-13,60.383
2021-01-14,60.7915
2021-01-15,55.1445
2021-01-16,55.1445
2021-01-17,55.1445
2021-01-18,55.1445
2021-01-19,56.5788
2021-01-20,58.9905
2021-01-21,55.0041
2021-01-22,54.6086
2021-01-23,54.6086
2021-01-24,54.6086
2021-01-25,53.265
2021-01-26,54.3233
2021-01-27,45.7369
2021-01-28,49.0186
2021-01-29,45.1824
2021-01-30,45.1824
