,AIN US Equity
,RSI_30D
2020-01-01,35.7564
2020-01-02,38.0481
2020-01-03,39.908
2020-01-04,39.908
2020-01-05,39.908
2020-01-06,38.6761
2020-01-07,37.9787
2020-01-08,37.5674
2020-01-09,39.084
2020-01-10,36.4719
2020-01-11,36.4719
2020-01-12,36.4719
2020-01-13,41.8768
2020-01-14,41.7172
2020-01-15,44.2877
2020-01-16,46.197
2020-01-17,44.6657
2020-01-18,44.6657
2020-01-19,44.6657
2020-01-20,44.6657
2020-01-21,41.6473
2020-01-22,37.7716
2020-01-23,39.124
2020-01-24,37.4533
2020-01-25,37.4533
2020-01-26,37.4533
2020-01-27,36.2615
2020-01-28,38.8585
2020-01-29,38.6684
2020-01-30,37.7404
2020-01-31,34.1725
2020-02-01,34.1725
2020-02-02,34.1725
2020-02-03,35.366
2020-02-04,37.7029
2020-02-05,41.2243
2020-02-06,42.2587
2020-02-07,39.7979
2020-02-08,39.7979
2020-02-09,39.7979
2020-02-10,40.3963
2020-02-11,43.311
2020-02-12,43.9909
2020-02-13,43.6002
2020-02-14,44.4251
2020-02-15,44.4251
2020-02-16,44.4251
2020-02-17,44.4251
2020-02-18,44.3612
2020-02-19,44.1149
2020-02-20,45.4718
2020-02-21,44.8821
2020-02-22,44.8821
2020-02-23,44.8821
2020-02-24,40.9555
2020-02-25,37.7498
2020-02-26,37.6963
2020-02-27,35.2521
2020-02-28,31.278
2020-02-29,31.278
2020-03-01,31.278
2020-03-02,37.7286
2020-03-03,37.8236
2020-03-04,40.7215
2020-03-05,36.6821
2020-03-06,36.7188
2020-03-07,36.7188
2020-03-08,36.7188
2020-03-09,30.9183
2020-03-10,37.3907
2020-03-11,33.0758
2020-03-12,25.9729
2020-03-13,25.3367
2020-03-14,25.3367
2020-03-15,25.3367
2020-03-16,23.7495
2020-03-17,22.458
2020-03-18,20.4526
2020-03-19,29.5574
2020-03-20,28.8166
2020-03-21,28.8166
2020-03-22,28.8166
2020-03-23,32.4531
2020-03-24,34.7771
2020-03-25,33.3459
2020-03-26,39.8905
2020-03-27,39.9321
2020-03-28,39.9321
2020-03-29,39.9321
2020-03-30,40.2398
2020-03-31,39.6502
2020-04-01,37.4897
2020-04-02,37.7456
2020-04-03,36.8321
2020-04-04,36.8321
2020-04-05,36.8321
2020-04-06,38.6763
2020-04-07,40.0009
2020-04-08,41.6401
2020-04-09,42.0563
2020-04-10,42.0563
2020-04-11,42.0563
2020-04-12,42.0563
2020-04-13,39.9911
2020-04-14,41.2969
2020-04-15,40.5587
2020-04-16,40.9704
2020-04-17,43.5208
2020-04-18,43.5208
2020-04-19,43.5208
2020-04-20,43.3421
2020-04-21,42.7896
2020-04-22,43.3402
2020-04-23,44.3202
2020-04-24,42.8188
2020-04-25,42.8188
2020-04-26,42.8188
2020-04-27,45.299
2020-04-28,47.5133
2020-04-29,51.1696
2020-04-30,47.4804
2020-05-01,46.8658
2020-05-02,46.8658
2020-05-03,46.8658
2020-05-04,47.4811
2020-05-05,46.4166
2020-05-06,47.6755
2020-05-07,48.0839
2020-05-08,50.6942
2020-05-09,50.6942
2020-05-10,50.6942
2020-05-11,48.059
2020-05-12,47.0263
2020-05-13,46.1618
2020-05-14,46.8047
2020-05-15,46.8626
2020-05-16,46.8626
2020-05-17,46.8626
2020-05-18,51.4056
2020-05-19,49.8132
2020-05-20,51.8368
2020-05-21,51.9557
2020-05-22,51.9084
2020-05-23,51.9084
2020-05-24,51.9084
2020-05-25,51.9084
2020-05-26,56.0961
2020-05-27,59.3524
2020-05-28,56.8887
2020-05-29,54.9113
2020-05-30,54.9113
2020-05-31,54.9113
2020-06-01,55.916
2020-06-02,56.0959
2020-06-03,57.9453
2020-06-04,59.006
2020-06-05,62.7313
2020-06-06,62.7313
2020-06-07,62.7313
2020-06-08,62.3488
2020-06-09,59.0759
2020-06-10,55.6362
2020-06-11,49.4606
2020-06-12,50.389
2020-06-13,50.389
2020-06-14,50.389
2020-06-15,52.0581
2020-06-16,53.4998
2020-06-17,51.7022
2020-06-18,51.1331
2020-06-19,50.2168
2020-06-20,50.2168
2020-06-21,50.2168
2020-06-22,50.6856
2020-06-23,50.0276
2020-06-24,47.9602
2020-06-25,49.3834
2020-06-26,47.558
2020-06-27,47.558
2020-06-28,47.558
2020-06-29,50.9835
2020-06-30,51.0848
2020-07-01,49.2925
2020-07-02,49.6563
2020-07-03,49.6563
2020-07-04,49.6563
2020-07-05,49.6563
2020-07-06,49.6145
2020-07-07,46.7535
2020-07-08,46.3127
2020-07-09,45.0039
2020-07-10,45.7072
2020-07-11,45.7072
2020-07-12,45.7072
2020-07-13,44.6378
2020-07-14,46.174
2020-07-15,48.3598
2020-07-16,47.1443
2020-07-17,46.7617
2020-07-18,46.7617
2020-07-19,46.7617
2020-07-20,45.2096
2020-07-21,46.4487
2020-07-22,47.0877
2020-07-23,46.7451
2020-07-24,46.4965
2020-07-25,46.4965
2020-07-26,46.4965
2020-07-27,46.5836
2020-07-28,45.5107
2020-07-29,44.222
2020-07-30,42.9457
2020-07-31,42.8628
2020-08-01,42.8628
2020-08-02,42.8628
2020-08-03,43.8344
2020-08-04,44.3241
2020-08-05,47.0198
2020-08-06,47.08
2020-08-07,48.2963
2020-08-08,48.2963
2020-08-09,48.2963
2020-08-10,49.8234
2020-08-11,49.8473
2020-08-12,49.6269
2020-08-13,48.7228
2020-08-14,49.2598
2020-08-15,49.2598
2020-08-16,49.2598
2020-08-17,47.5994
2020-08-18,46.2197
2020-08-19,47.3376
2020-08-20,45.7988
2020-08-21,45.2029
2020-08-22,45.2029
2020-08-23,45.2029
2020-08-24,46.5392
2020-08-25,46.7165
2020-08-26,47.1095
2020-08-27,48.6908
2020-08-28,49.5819
2020-08-29,49.5819
2020-08-30,49.5819
2020-08-31,48.2105
2020-09-01,49.3098
2020-09-02,51.0128
2020-09-03,48.782
2020-09-04,47.4603
2020-09-05,47.4603
2020-09-06,47.4603
2020-09-07,47.4603
2020-09-08,46.8607
2020-09-09,46.5277
2020-09-10,46.579
2020-09-11,48.0713
2020-09-12,48.0713
2020-09-13,48.0713
2020-09-14,50.0458
2020-09-15,49.1044
2020-09-16,51.4656
2020-09-17,52.0057
2020-09-18,53.1169
2020-09-19,53.1169
2020-09-20,53.1169
2020-09-21,46.8352
2020-09-22,46.7622
2020-09-23,45.6296
2020-09-24,45.2468
2020-09-25,45.3198
2020-09-26,45.3198
2020-09-27,45.3198
2020-09-28,47.6486
2020-09-29,46.3814
2020-09-30,45.5665
2020-10-01,47.4757
2020-10-02,48.4823
2020-10-03,48.4823
2020-10-04,48.4823
2020-10-05,49.7281
2020-10-06,50.6452
2020-10-07,52.5896
2020-10-08,52.5706
2020-10-09,54.7478
2020-10-10,54.7478
2020-10-11,54.7478
2020-10-12,55.9478
