,CLR US Equity
,RSI_30D
2020-01-01,61.299
2020-01-02,60.7487
2020-01-03,63.4419
2020-01-04,63.4419
2020-01-05,63.4419
2020-01-06,64.8668
2020-01-07,63.696
2020-01-08,58.3211
2020-01-09,57.7609
2020-01-10,55.584
2020-01-11,55.584
2020-01-12,55.584
2020-01-13,55.7385
2020-01-14,57.9818
2020-01-15,58.0806
2020-01-16,54.9091
2020-01-17,52.6548
2020-01-18,52.6548
2020-01-19,52.6548
2020-01-20,52.6548
2020-01-21,48.8512
2020-01-22,46.3829
2020-01-23,46.797
2020-01-24,44.0797
2020-01-25,44.0797
2020-01-26,44.0797
2020-01-27,42.2244
2020-01-28,43.8943
2020-01-29,42.7118
2020-01-30,41.5539
2020-01-31,39.3677
2020-02-01,39.3677
2020-02-02,39.3677
2020-02-03,38.192
2020-02-04,37.9408
2020-02-05,43.8611
2020-02-06,41.6264
2020-02-07,40.6093
2020-02-08,40.6093
2020-02-09,40.6093
2020-02-10,38.1766
2020-02-11,38.9581
2020-02-12,40.9655
2020-02-13,41.6978
2020-02-14,40.4226
2020-02-15,40.4226
2020-02-16,40.4226
2020-02-17,40.4226
2020-02-18,40.0362
2020-02-19,40.2004
2020-02-20,39.4843
2020-02-21,38.4869
2020-02-22,38.4869
2020-02-23,38.4869
2020-02-24,34.6988
2020-02-25,32.0596
2020-02-26,30.3027
2020-02-27,25.9431
2020-02-28,30.5799
2020-02-29,30.5799
2020-03-01,30.5799
2020-03-02,29.4779
2020-03-03,28.658
2020-03-04,29.7302
2020-03-05,29.3521
2020-03-06,26.2125
2020-03-07,26.2125
2020-03-08,26.2125
2020-03-09,19.7543
2020-03-10,25.4543
2020-03-11,24.9758
2020-03-12,24.3246
2020-03-13,28.6332
2020-03-14,28.6332
2020-03-15,28.6332
2020-03-16,27.8905
2020-03-17,27.3044
2020-03-18,26.9511
2020-03-19,29.7931
2020-03-20,30.5594
2020-03-21,30.5594
2020-03-22,30.5594
2020-03-23,30.1292
2020-03-24,33.0108
2020-03-25,32.9334
2020-03-26,32.6167
2020-03-27,31.04
2020-03-28,31.04
2020-03-29,31.04
2020-03-30,30.185
2020-03-31,30.1108
2020-04-01,29.9261
2020-04-02,32.1301
2020-04-03,33.9578
2020-04-04,33.9578
2020-04-05,33.9578
2020-04-06,34.9616
2020-04-07,37.2712
2020-04-08,41.5644
2020-04-09,41.2903
2020-04-10,41.2903
2020-04-11,41.2903
2020-04-12,41.2903
2020-04-13,41.6661
2020-04-14,40.2095
2020-04-15,38.7916
2020-04-16,37.8371
2020-04-17,41.0241
2020-04-18,41.0241
2020-04-19,41.0241
2020-04-20,40.2507
2020-04-21,40.9418
2020-04-22,44.0441
2020-04-23,45.7822
2020-04-24,44.6621
2020-04-25,44.6621
2020-04-26,44.6621
2020-04-27,45.1824
2020-04-28,46.5048
2020-04-29,51.3058
2020-04-30,52.2981
2020-05-01,48.1963
2020-05-02,48.1963
2020-05-03,48.1963
2020-05-04,48.3692
2020-05-05,47.2098
2020-05-06,47.1185
2020-05-07,47.0997
2020-05-08,50.1709
2020-05-09,50.1709
2020-05-10,50.1709
2020-05-11,48.0594
2020-05-12,48.9565
2020-05-13,45.6046
2020-05-14,46.3188
2020-05-15,46.1345
2020-05-16,46.1345
2020-05-17,46.1345
2020-05-18,49.8694
2020-05-19,47.5336
2020-05-20,48.4204
2020-05-21,48.4204
2020-05-22,48.7575
2020-05-23,48.7575
2020-05-24,48.7575
2020-05-25,48.7575
2020-05-26,49.2081
2020-05-27,49.0806
2020-05-28,47.0007
2020-05-29,45.065
2020-05-30,45.065
2020-05-31,45.065
2020-06-01,47.3763
2020-06-02,49.947
2020-06-03,51.1601
2020-06-04,51.9495
2020-06-05,57.6509
2020-06-06,57.6509
2020-06-07,57.6509
2020-06-08,62.4018
2020-06-09,57.1005
2020-06-10,53.8338
2020-06-11,50.5983
2020-06-12,52.4386
2020-06-13,52.4386
2020-06-14,52.4386
2020-06-15,52.7962
2020-06-16,54.9736
2020-06-17,52.1378
2020-06-18,52.9995
2020-06-19,52.4932
2020-06-20,52.4932
2020-06-21,52.4932
2020-06-22,52.7027
2020-06-23,52.3536
2020-06-24,49.2789
2020-06-25,51.2642
2020-06-26,49.2362
2020-06-27,49.2362
2020-06-28,49.2362
2020-06-29,51.0853
2020-06-30,53.251
2020-07-01,52.4091
2020-07-02,54.3777
2020-07-03,54.3777
2020-07-04,54.3777
2020-07-05,54.3777
2020-07-06,52.3194
2020-07-07,49.5615
2020-07-08,50.5437
2020-07-09,48.7944
2020-07-10,50.4011
2020-07-11,50.4011
2020-07-12,50.4011
2020-07-13,49.9573
2020-07-14,51.8305
2020-07-15,53.6418
2020-07-16,53.3269
2020-07-17,52.1169
2020-07-18,52.1169
2020-07-19,52.1169
2020-07-20,51.5584
2020-07-21,53.4672
2020-07-22,52.8846
2020-07-23,52.1401
2020-07-24,51.9609
2020-07-25,51.9609
2020-07-26,51.9609
2020-07-27,52.3001
2020-07-28,51.3007
2020-07-29,52.4559
2020-07-30,52.0661
2020-07-31,51.9773
2020-08-01,51.9773
2020-08-02,51.9773
2020-08-03,52.7073
2020-08-04,50.3328
2020-08-05,52.6849
2020-08-06,50.8607
2020-08-07,51.4754
2020-08-08,51.4754
2020-08-09,51.4754
