,SPGI US Equity
,RSI_30D
2020-01-01,61.2134
2020-01-02,64.3582
2020-01-03,63.327
2020-01-04,63.327
2020-01-05,63.327
2020-01-06,64.6684
2020-01-07,65.8454
2020-01-08,68.1272
2020-01-09,70.4437
2020-01-10,69.7097
2020-01-11,69.7097
2020-01-12,69.7097
2020-01-13,72.1918
2020-01-14,67.7795
2020-01-15,69.7575
2020-01-16,71.401
2020-01-17,69.9558
2020-01-18,69.9558
2020-01-19,69.9558
2020-01-20,69.9558
2020-01-21,69.344
2020-01-22,69.907
2020-01-23,69.6575
2020-01-24,67.1148
2020-01-25,67.1148
2020-01-26,67.1148
2020-01-27,65.3375
2020-01-28,67.5102
2020-01-29,67.5255
2020-01-30,68.8104
2020-01-31,62.6462
2020-02-01,62.6462
2020-02-02,62.6462
2020-02-03,63.7105
2020-02-04,64.91
2020-02-05,61.9446
2020-02-06,62.368
2020-02-07,62.3298
2020-02-08,62.3298
2020-02-09,62.3298
2020-02-10,62.9644
2020-02-11,60.579
2020-02-12,65.8978
2020-02-13,63.6295
2020-02-14,66.6465
2020-02-15,66.6465
2020-02-16,66.6465
2020-02-17,66.6465
2020-02-18,65.8305
2020-02-19,67.8108
2020-02-20,61.3606
2020-02-21,54.3495
2020-02-22,54.3495
2020-02-23,54.3495
2020-02-24,52.9031
2020-02-25,48.5689
2020-02-26,48.649
2020-02-27,41.231
2020-02-28,40.7211
2020-02-29,40.7211
2020-03-01,40.7211
2020-03-02,52.2495
2020-03-03,48.4312
2020-03-04,54.4141
2020-03-05,48.0272
2020-03-06,45.7113
2020-03-07,45.7113
2020-03-08,45.7113
2020-03-09,38.3004
2020-03-10,43.8005
2020-03-11,39.6701
2020-03-12,36.1288
2020-03-13,43.4851
2020-03-14,43.4851
2020-03-15,43.4851
2020-03-16,38.9646
2020-03-17,40.3253
2020-03-18,35.2187
2020-03-19,38.636
2020-03-20,38.8652
2020-03-21,38.8652
2020-03-22,38.8652
2020-03-23,36.5259
2020-03-24,42.2426
2020-03-25,43.9176
2020-03-26,47.2147
2020-03-27,46.3887
2020-03-28,46.3887
2020-03-29,46.3887
2020-03-30,47.7064
2020-03-31,47.3836
2020-04-01,45.6189
2020-04-02,46.9552
2020-04-03,46.5267
2020-04-04,46.5267
2020-04-05,46.5267
2020-04-06,49.7103
