,ON US Equity
,RSI_30D
2020-01-01,68.5005
2020-01-02,70.7659
2020-01-03,68.0126
2020-01-04,68.0126
2020-01-05,68.0126
2020-01-06,63.7155
2020-01-07,65.8401
2020-01-08,66.3922
2020-01-09,66.5321
2020-01-10,64.5854
2020-01-11,64.5854
2020-01-12,64.5854
2020-01-13,67.2086
2020-01-14,68.1965
2020-01-15,63.328
2020-01-16,63.8689
2020-01-17,63.6746
2020-01-18,63.6746
2020-01-19,63.6746
2020-01-20,63.6746
2020-01-21,62.3021
2020-01-22,62.3021
2020-01-23,64.9222
2020-01-24,61.7864
2020-01-25,61.7864
2020-01-26,61.7864
2020-01-27,54.2724
2020-01-28,56.3768
2020-01-29,54.8909
2020-01-30,55.1439
2020-01-31,51.2296
2020-02-01,51.2296
2020-02-02,51.2296
2020-02-03,39.358
2020-02-04,39.1124
2020-02-05,44.6983
2020-02-06,43.9457
2020-02-07,42.526
2020-02-08,42.526
2020-02-09,42.526
2020-02-10,42.8994
2020-02-11,46.3448
2020-02-12,46.2944
2020-02-13,47.2635
2020-02-14,46.5891
2020-02-15,46.5891
2020-02-16,46.5891
2020-02-17,46.5891
2020-02-18,45.4245
2020-02-19,44.689
2020-02-20,43.6448
2020-02-21,41.6802
2020-02-22,41.6802
2020-02-23,41.6802
2020-02-24,39.5848
2020-02-25,37.4469
2020-02-26,36.7163
2020-02-27,34.5191
2020-02-28,39.6243
2020-02-29,39.6243
2020-03-01,39.6243
2020-03-02,40.7758
2020-03-03,38.5237
2020-03-04,41.0499
2020-03-05,38.5893
2020-03-06,37.1804
2020-03-07,37.1804
2020-03-08,37.1804
2020-03-09,33.1917
2020-03-10,38.4962
2020-03-11,34.6838
2020-03-12,30.955
2020-03-13,36.1329
2020-03-14,36.1329
2020-03-15,36.1329
2020-03-16,31.8835
2020-03-17,31.5116
2020-03-18,27.548
2020-03-19,33.3141
2020-03-20,34.1302
2020-03-21,34.1302
2020-03-22,34.1302
2020-03-23,35.8845
2020-03-24,41.5562
2020-03-25,43.6116
2020-03-26,42.5735
2020-03-27,40.5602
2020-03-28,40.5602
2020-03-29,40.5602
2020-03-30,40.7428
2020-03-31,39.9027
