,CACC US Equity
,RSI_30D
2020-01-01,46.0087
2020-01-02,46.2132
2020-01-03,43.5336
2020-01-04,43.5336
2020-01-05,43.5336
2020-01-06,44.0965
2020-01-07,41.8634
2020-01-08,42.9542
2020-01-09,42.8214
2020-01-10,44.2333
2020-01-11,44.2333
2020-01-12,44.2333
2020-01-13,47.06
2020-01-14,48.9909
2020-01-15,48.5744
2020-01-16,50.0632
2020-01-17,51.3791
2020-01-18,51.3791
2020-01-19,51.3791
2020-01-20,51.3791
2020-01-21,52.2733
2020-01-22,53.4339
2020-01-23,55.2348
2020-01-24,54.2302
2020-01-25,54.2302
2020-01-26,54.2302
2020-01-27,52.3174
2020-01-28,54.0218
2020-01-29,55.6571
2020-01-30,57.8147
2020-01-31,42.5456
2020-02-01,42.5456
2020-02-02,42.5456
2020-02-03,44.8423
2020-02-04,44.0623
2020-02-05,45.1296
2020-02-06,50.199
2020-02-07,49.5218
2020-02-08,49.5218
2020-02-09,49.5218
2020-02-10,46.489
2020-02-11,45.765
2020-02-12,45.114
2020-02-13,45.4375
2020-02-14,46.6141
2020-02-15,46.6141
2020-02-16,46.6141
2020-02-17,46.6141
2020-02-18,46.1067
2020-02-19,45.7481
2020-02-20,45.8623
2020-02-21,45.7995
2020-02-22,45.7995
2020-02-23,45.7995
2020-02-24,42.1681
2020-02-25,37.2485
2020-02-26,38.3171
2020-02-27,37.5395
2020-02-28,36.453
2020-02-29,36.453
2020-03-01,36.453
2020-03-02,35.0257
2020-03-03,44.6813
2020-03-04,49.0588
2020-03-05,47.8373
2020-03-06,45.584
2020-03-07,45.584
2020-03-08,45.584
2020-03-09,42.8783
2020-03-10,49.8428
2020-03-11,43.7749
2020-03-12,36.2541
2020-03-13,42.093
2020-03-14,42.093
2020-03-15,42.093
2020-03-16,33.2594
2020-03-17,30.113
2020-03-18,30.3426
2020-03-19,29.4966
2020-03-20,27.0871
2020-03-21,27.0871
2020-03-22,27.0871
2020-03-23,25.2463
2020-03-24,30.5117
2020-03-25,34.2937
2020-03-26,37.8964
2020-03-27,36.2863
2020-03-28,36.2863
2020-03-29,36.2863
2020-03-30,34.8094
2020-03-31,33.593
2020-04-01,32.0931
2020-04-02,31.9895
2020-04-03,30.2847
2020-04-04,30.2847
2020-04-05,30.2847
2020-04-06,36.3838
2020-04-07,37.7633
2020-04-08,39.4256
2020-04-09,45.6465
2020-04-10,45.6465
2020-04-11,45.6465
2020-04-12,45.6465
2020-04-13,43.0683
2020-04-14,43.2508
2020-04-15,41.7709
2020-04-16,42.7289
2020-04-17,44.6117
2020-04-18,44.6117
2020-04-19,44.6117
2020-04-20,44.1176
2020-04-21,40.0956
2020-04-22,40.1663
2020-04-23,41.7503
2020-04-24,42.5685
2020-04-25,42.5685
2020-04-26,42.5685
2020-04-27,45.2321
2020-04-28,45.8039
2020-04-29,50.6245
2020-04-30,47.9686
2020-05-01,46.9171
2020-05-02,46.9171
2020-05-03,46.9171
2020-05-04,47.4102
2020-05-05,47.4277
2020-05-06,46.8549
2020-05-07,48.6356
2020-05-08,50.8719
2020-05-09,50.8719
2020-05-10,50.8719
2020-05-11,49.9257
2020-05-12,48.3864
2020-05-13,47.325
2020-05-14,48.9274
2020-05-15,48.6512
2020-05-16,48.6512
2020-05-17,48.6512
2020-05-18,52.4346
2020-05-19,52.3537
2020-05-20,52.9433
2020-05-21,51.8419
2020-05-22,51.1005
2020-05-23,51.1005
2020-05-24,51.1005
2020-05-25,51.1005
2020-05-26,53.4297
2020-05-27,56.3608
2020-05-28,54.8738
2020-05-29,55.1643
2020-05-30,55.1643
2020-05-31,55.1643
2020-06-01,57.8997
2020-06-02,57.1918
