,CAC US Equity
,RSI_30D
2020-01-01,59.8056
2020-01-02,59.7385
2020-01-03,58.1848
2020-01-04,58.1848
2020-01-05,58.1848
2020-01-06,57.0503
2020-01-07,55.6634
2020-01-08,58.4499
2020-01-09,55.8559
2020-01-10,55.957
2020-01-11,55.957
2020-01-12,55.957
2020-01-13,60.7465
2020-01-14,60.0203
2020-01-15,59.6848
2020-01-16,62.0133
2020-01-17,61.322
2020-01-18,61.322
2020-01-19,61.322
2020-01-20,61.322
2020-01-21,59.2054
2020-01-22,59.4854
2020-01-23,59.275
2020-01-24,58.5606
2020-01-25,58.5606
2020-01-26,58.5606
2020-01-27,57.5561
2020-01-28,61.4638
2020-01-29,62.7069
2020-01-30,64.6453
2020-01-31,62.1045
2020-02-01,62.1045
2020-02-02,62.1045
2020-02-03,63.5036
2020-02-04,64.4098
2020-02-05,65.807
2020-02-06,62.7489
2020-02-07,61.5513
2020-02-08,61.5513
2020-02-09,61.5513
2020-02-10,59.5456
2020-02-11,59.4765
2020-02-12,59.9574
2020-02-13,61.4711
2020-02-14,57.0122
2020-02-15,57.0122
2020-02-16,57.0122
2020-02-17,57.0122
2020-02-18,55.4518
2020-02-19,57.315
2020-02-20,57.5631
2020-02-21,56.879
2020-02-22,56.879
2020-02-23,56.879
2020-02-24,48.0734
2020-02-25,43.1149
2020-02-26,42.2718
2020-02-27,36.9304
2020-02-28,31.3922
2020-02-29,31.3922
2020-03-01,31.3922
2020-03-02,42.3318
2020-03-03,38.3391
2020-03-04,38.8198
2020-03-05,35.3724
2020-03-06,32.7959
2020-03-07,32.7959
2020-03-08,32.7959
2020-03-09,26.0644
2020-03-10,27.6193
2020-03-11,25.8045
2020-03-12,22.2846
2020-03-13,31.9991
2020-03-14,31.9991
2020-03-15,31.9991
2020-03-16,27.9244
2020-03-17,36.9305
2020-03-18,32.7688
2020-03-19,40.6396
2020-03-20,38.4913
2020-03-21,38.4913
2020-03-22,38.4913
2020-03-23,36.213
2020-03-24,35.8151
2020-03-25,34.7229
2020-03-26,39.621
2020-03-27,37.0285
2020-03-28,37.0285
2020-03-29,37.0285
2020-03-30,38.1807
2020-03-31,40.3355
2020-04-01,38.2613
2020-04-02,38.71
2020-04-03,37.516
2020-04-04,37.516
2020-04-05,37.516
2020-04-06,40.1332
2020-04-07,39.8947
2020-04-08,40.5945
2020-04-09,44.2714
2020-04-10,44.2714
2020-04-11,44.2714
2020-04-12,44.2714
2020-04-13,42.8664
2020-04-14,41.4794
2020-04-15,39.5936
2020-04-16,38.5355
2020-04-17,40.6913
2020-04-18,40.6913
2020-04-19,40.6913
2020-04-20,40.0366
2020-04-21,40.5008
2020-04-22,40.3929
2020-04-23,40.9781
2020-04-24,41.5062
2020-04-25,41.5062
2020-04-26,41.5062
2020-04-27,44.6898
2020-04-28,46.855
2020-04-29,51.3807
2020-04-30,48.0793
2020-05-01,47.9188
2020-05-02,47.9188
2020-05-03,47.9188
2020-05-04,46.9095
2020-05-05,45.3481
2020-05-06,44.3693
2020-05-07,44.9093
2020-05-08,46.8085
2020-05-09,46.8085
2020-05-10,46.8085
2020-05-11,44.7632
2020-05-12,42.8952
2020-05-13,42.1014
2020-05-14,42.3254
2020-05-15,42.9936
2020-05-16,42.9936
2020-05-17,42.9936
2020-05-18,46.8178
2020-05-19,44.5554
2020-05-20,47.9116
2020-05-21,47.8212
2020-05-22,48.0096
2020-05-23,48.0096
2020-05-24,48.0096
2020-05-25,48.0096
2020-05-26,50.7674
2020-05-27,54.3752
2020-05-28,52.9746
2020-05-29,51.2065
2020-05-30,51.2065
2020-05-31,51.2065
2020-06-01,49.7852
2020-06-02,49.5954
2020-06-03,52.3354
2020-06-04,52.8296
2020-06-05,56.2153
2020-06-06,56.2153
2020-06-07,56.2153
2020-06-08,57.2691
2020-06-09,56.0425
2020-06-10,53.0593
2020-06-11,48.9926
2020-06-12,50.3936
2020-06-13,50.3936
2020-06-14,50.3936
2020-06-15,50.5868
2020-06-16,52.2045
2020-06-17,49.9105
2020-06-18,50.0698
2020-06-19,49.4865
2020-06-20,49.4865
2020-06-21,49.4865
2020-06-22,50.1432
2020-06-23,49.3523
2020-06-24,48.0776
2020-06-25,49.8448
2020-06-26,48.6459
2020-06-27,48.6459
2020-06-28,48.6459
2020-06-29,50.4016
2020-06-30,51.7928
2020-07-01,49.495
2020-07-02,50.9244
2020-07-03,50.9244
2020-07-04,50.9244
2020-07-05,50.9244
2020-07-06,51.0691
2020-07-07,48.849
2020-07-08,48.2806
2020-07-09,47.3456
2020-07-10,49.5866
2020-07-11,49.5866
2020-07-12,49.5866
2020-07-13,51.0439
2020-07-14,50.6931
2020-07-15,53.3893
2020-07-16,53.0873
2020-07-17,51.1262
2020-07-18,51.1262
2020-07-19,51.1262
2020-07-20,49.6939
2020-07-21,52.5523
2020-07-22,51.2973
2020-07-23,51.7002
2020-07-24,50.6662
2020-07-25,50.6662
2020-07-26,50.6662
2020-07-27,49.4453
2020-07-28,47.9432
2020-07-29,48.91
2020-07-30,48.1176
2020-07-31,47.5203
2020-08-01,47.5203
2020-08-02,47.5203
2020-08-03,47.6324
2020-08-04,47.2152
2020-08-05,45.8981
2020-08-06,47.8008
2020-08-07,51.1516
2020-08-08,51.1516
2020-08-09,51.1516
2020-08-10,51.8755
2020-08-11,53.3409
2020-08-12,54.0305
2020-08-13,52.4274
2020-08-14,52.6635
2020-08-15,52.6635
2020-08-16,52.6635
2020-08-17,51.9253
2020-08-18,49.6455
2020-08-19,50.0238
2020-08-20,48.9623
2020-08-21,48.5202
2020-08-22,48.5202
2020-08-23,48.5202
2020-08-24,50.5364
2020-08-25,50.8681
2020-08-26,48.6124
2020-08-27,50.3987
2020-08-28,50.4835
2020-08-29,50.4835
2020-08-30,50.4835
2020-08-31,48.9366
2020-09-01,48.7099
2020-09-02,48.8267
2020-09-03,48.971
2020-09-04,49.4865
2020-09-05,49.4865
2020-09-06,49.4865
2020-09-07,49.4865
2020-09-08,46.0487
2020-09-09,45.6984
2020-09-10,44.2827
2020-09-11,43.7222
2020-09-12,43.7222
2020-09-13,43.7222
2020-09-14,46.1364
2020-09-15,44.1549
2020-09-16,44.7819
2020-09-17,44.4898
2020-09-18,45.5633
2020-09-19,45.5633
2020-09-20,45.5633
2020-09-21,41.7599
2020-09-22,41.5525
2020-09-23,40.3501
2020-09-24,42.857
2020-09-25,43.1189
2020-09-26,43.1189
2020-09-27,43.1189
2020-09-28,45.7205
2020-09-29,45.484
2020-09-30,45.8174
2020-10-01,46.0401
2020-10-02,48.2403
2020-10-03,48.2403
2020-10-04,48.2403
2020-10-05,50.918
2020-10-06,50.5554
2020-10-07,52.5454
2020-10-08,53.6154
2020-10-09,52.0749
2020-10-10,52.0749
2020-10-11,52.0749
2020-10-12,52.6166
2020-10-13,50.6332
2020-10-14,48.549
2020-10-15,51.1695
2020-10-16,51.5303
2020-10-17,51.5303
2020-10-18,51.5303
2020-10-19,50.0871
2020-10-20,51.5203
2020-10-21,52.3693
2020-10-22,55.4117
2020-10-23,55.347
2020-10-24,55.347
2020-10-25,55.347
2020-10-26,53.7239
2020-10-27,50.6508
2020-10-28,48.1709
2020-10-29,50.3115
2020-10-30,50.71
2020-10-31,50.71
2020-11-01,50.71
2020-11-02,52.8071
2020-11-03,55.4231
2020-11-04,49.2646
2020-11-05,52.4254
2020-11-06,50.0693
2020-11-07,50.0693
2020-11-08,50.0693
2020-11-09,57.7728
2020-11-10,60.2838
2020-11-11,57.7975
2020-11-12,54.9602
2020-11-13,56.2278
2020-11-14,56.2278
2020-11-15,56.2278
2020-11-16,58.7679
2020-11-17,58.5272
2020-11-18,56.4701
2020-11-19,56.7988
2020-11-20,56.2615
2020-11-21,56.2615
2020-11-22,56.2615
2020-11-23,56.7426
2020-11-24,59.9165
2020-11-25,57.3162
2020-11-26,57.3162
2020-11-27,54.8309
2020-11-28,54.8309
2020-11-29,54.8309
2020-11-30,51.7157
2020-12-01,53.2927
2020-12-02,54.5072
2020-12-03,54.211
2020-12-04,56.0907
2020-12-05,56.0907
2020-12-06,56.0907
2020-12-07,55.6136
2020-12-08,55.7693
2020-12-09,56.2652
2020-12-10,55.7479
2020-12-11,54.9123
2020-12-12,54.9123
2020-12-13,54.9123
2020-12-14,54.2291
2020-12-15,56.2228
2020-12-16,56.0855
2020-12-17,55.8596
2020-12-18,52.2668
2020-12-19,52.2668
2020-12-20,52.2668
2020-12-21,51.5138
2020-12-22,50.4253
2020-12-23,52.1438
2020-12-24,51.7672
2020-12-25,51.7672
2020-12-26,51.7672
2020-12-27,51.7672
2020-12-28,52.3772
2020-12-29,50.7718
2020-12-30,52.158
2020-12-31,52.8575
2021-01-01,52.8575
2021-01-02,52.8575
2021-01-03,52.8575
2021-01-04,53.3282
2021-01-05,54.0142
2021-01-06,61.3778
2021-01-07,59.5325
2021-01-08,58.9019
2021-01-09,58.9019
2021-01-10,58.9019
2021-01-11,58.0835
2021-01-12,59.8572
2021-01-13,58.2595
2021-01-14,59.4749
2021-01-15,58.2222
2021-01-16,58.2222
2021-01-17,58.2222
2021-01-18,58.2222
2021-01-19,57.9067
2021-01-20,56.4822
2021-01-21,56.3865
2021-01-22,57.3578
2021-01-23,57.3578
2021-01-24,57.3578
2021-01-25,54.068
2021-01-26,54.6686
2021-01-27,53.3202
2021-01-28,56.5436
2021-01-29,54.042
2021-01-30,54.042
2021-01-31,54.042
2021-02-01,54.5809
2021-02-02,55.9301
2021-02-03,56.7083
2021-02-04,59.0031
2021-02-05,57.639
2021-02-06,57.639
2021-02-07,57.639
2021-02-08,60.2368
2021-02-09,61.1608
2021-02-10,60.3662
2021-02-11,57.67
2021-02-12,57.4709
2021-02-13,57.4709
2021-02-14,57.4709
2021-02-15,57.4709
2021-02-16,57.6725
2021-02-17,58.1344
2021-02-18,56.3667
2021-02-19,57.9028
2021-02-20,57.9028
2021-02-21,57.9028
2021-02-22,60.4367
2021-02-23,61.6539
2021-02-24,63.6138
2021-02-25,59.8726
2021-02-26,57.2599
2021-02-27,57.2599
2021-02-28,57.2599
2021-03-01,60.9236
2021-03-02,59.4908
2021-03-03,62.4014
2021-03-04,62.3021
2021-03-05,66.0949
2021-03-06,66.0949
2021-03-07,66.0949
2021-03-08,69.7522
2021-03-09,67.2507
2021-03-10,69.3924
2021-03-11,69.3924
2021-03-12,70.7655
