,BKE US Equity
,RSI_30D
2020-01-01,62.3863
2020-01-02,57.7382
2020-01-03,58.1616
2020-01-04,58.1616
2020-01-05,58.1616
2020-01-06,59.6728
2020-01-07,59.8643
2020-01-08,59.1382
2020-01-09,59.8515
2020-01-10,62.493
2020-01-11,62.493
2020-01-12,62.493
2020-01-13,62.4385
2020-01-14,60.6339
2020-01-15,54.9575
2020-01-16,57.6893
2020-01-17,58.07
2020-01-18,58.07
2020-01-19,58.07
2020-01-20,58.07
2020-01-21,57.151
2020-01-22,57.6257
2020-01-23,58.4677
2020-01-24,58.0526
2020-01-25,58.0526
2020-01-26,58.0526
2020-01-27,55.7988
2020-01-28,57.5055
2020-01-29,57.8499
2020-01-30,56.2772
2020-01-31,52.124
2020-02-01,52.124
2020-02-02,52.124
2020-02-03,53.3394
2020-02-04,53.7581
2020-02-05,56.9178
2020-02-06,59.7284
2020-02-07,55.236
2020-02-08,55.236
2020-02-09,55.236
2020-02-10,56.8779
2020-02-11,57.1255
2020-02-12,59.3663
2020-02-13,59.317
2020-02-14,54.7509
2020-02-15,54.7509
2020-02-16,54.7509
2020-02-17,54.7509
2020-02-18,51.3766
2020-02-19,51.7992
2020-02-20,54.1593
2020-02-21,50.8094
2020-02-22,50.8094
2020-02-23,50.8094
2020-02-24,48.4287
2020-02-25,45.1301
2020-02-26,45.4135
2020-02-27,42.2828
2020-02-28,43.771
2020-02-29,43.771
2020-03-01,43.771
2020-03-02,45.6243
2020-03-03,44.4385
2020-03-04,42.9625
2020-03-05,40.1719
2020-03-06,41.4412
2020-03-07,41.4412
2020-03-08,41.4412
2020-03-09,37.2206
2020-03-10,34.5438
2020-03-11,31.241
2020-03-12,26.7777
2020-03-13,29.1556
2020-03-14,29.1556
2020-03-15,29.1556
2020-03-16,27.9878
2020-03-17,31.56
2020-03-18,29.7649
2020-03-19,37.0728
2020-03-20,35.5588
2020-03-21,35.5588
2020-03-22,35.5588
2020-03-23,35.2576
2020-03-24,41.0287
2020-03-25,40.8413
2020-03-26,41.1748
2020-03-27,37.149
2020-03-28,37.149
2020-03-29,37.149
2020-03-30,36.6503
2020-03-31,34.6456
2020-04-01,32.8888
2020-04-02,34.8861
2020-04-03,35.2903
2020-04-04,35.2903
2020-04-05,35.2903
2020-04-06,39.482
2020-04-07,38.112
2020-04-08,39.9482
2020-04-09,41.937
2020-04-10,41.937
2020-04-11,41.937
2020-04-12,41.937
2020-04-13,40.6703
2020-04-14,41.583
2020-04-15,39.9309
2020-04-16,39.958
2020-04-17,42.354
2020-04-18,42.354
2020-04-19,42.354
2020-04-20,40.387
2020-04-21,39.7684
2020-04-22,38.8804
2020-04-23,38.9092
2020-04-24,39.7607
2020-04-25,39.7607
2020-04-26,39.7607
2020-04-27,42.8035
2020-04-28,44.3789
2020-04-29,45.3983
2020-04-30,44.7288
2020-05-01,42.6263
2020-05-02,42.6263
2020-05-03,42.6263
2020-05-04,42.2241
2020-05-05,41.5833
2020-05-06,41.4964
2020-05-07,41.9667
2020-05-08,45.5584
