,IR US Equity
,RSI_30D
2020-01-01,66.6278
2020-01-02,67.2667
2020-01-03,66.2176
2020-01-04,66.2176
2020-01-05,66.2176
2020-01-06,63.4045
2020-01-07,61.7396
2020-01-08,60.1657
2020-01-09,60.3667
2020-01-10,56.4755
2020-01-11,56.4755
2020-01-12,56.4755
2020-01-13,57.7559
2020-01-14,54.9148
2020-01-15,52.6557
2020-01-16,55.3513
2020-01-17,56.8914
2020-01-18,56.8914
2020-01-19,56.8914
2020-01-20,56.8914
2020-01-21,52.255
2020-01-22,51.9693
2020-01-23,53.5882
2020-01-24,52.5483
2020-01-25,52.5483
2020-01-26,52.5483
2020-01-27,51.8543
2020-01-28,56.3678
2020-01-29,58.3493
2020-01-30,58.7591
2020-01-31,54.2415
2020-02-01,54.2415
2020-02-02,54.2415
2020-02-03,56.029
2020-02-04,58.8826
2020-02-05,59.5359
2020-02-06,60.4595
2020-02-07,60.7001
2020-02-08,60.7001
2020-02-09,60.7001
2020-02-10,62.2937
2020-02-11,62.8898
2020-02-12,65.2279
2020-02-13,60.2895
2020-02-14,56.8428
2020-02-15,56.8428
2020-02-16,56.8428
2020-02-17,56.8428
2020-02-18,59.2526
2020-02-19,59.6091
2020-02-20,62.651
2020-02-21,62.4544
2020-02-22,62.4544
2020-02-23,62.4544
2020-02-24,53.5462
2020-02-25,50.5276
2020-02-26,50.5971
2020-02-27,43.7946
2020-02-28,41.5788
2020-02-29,41.5788
2020-03-01,41.5788
2020-03-02,41.616
2020-03-03,38.7996
2020-03-04,37.032
2020-03-05,29.4162
2020-03-06,32.7499
2020-03-07,32.7499
2020-03-08,32.7499
2020-03-09,26.6912
2020-03-10,28.3213
2020-03-11,27.8737
2020-03-12,25.4553
2020-03-13,30.2864
2020-03-14,30.2864
2020-03-15,30.2864
2020-03-16,28.2871
2020-03-17,29.0896
2020-03-18,26.624
2020-03-19,28.7513
2020-03-20,28.3212
2020-03-21,28.3212
2020-03-22,28.3212
2020-03-23,28.2012
2020-03-24,35.6618
2020-03-25,37.6651
2020-03-26,37.9637
2020-03-27,36.8676
2020-03-28,36.8676
2020-03-29,36.8676
2020-03-30,39.4638
2020-03-31,41.7856
2020-04-01,40.2495
2020-04-02,39.1441
2020-04-03,40.1641
2020-04-04,40.1641
2020-04-05,40.1641
2020-04-06,44.3257
2020-04-07,43.3451
2020-04-08,45.1558
2020-04-09,46.7561
2020-04-10,46.7561
2020-04-11,46.7561
2020-04-12,46.7561
2020-04-13,46.2673
2020-04-14,46.5357
2020-04-15,43.1239
2020-04-16,43.6394
2020-04-17,48.119
2020-04-18,48.119
2020-04-19,48.119
2020-04-20,47.4482
2020-04-21,47.3584
2020-04-22,48.2506
2020-04-23,49.3407
2020-04-24,50.264
2020-04-25,50.264
2020-04-26,50.264
2020-04-27,52.1279
2020-04-28,53.0852
2020-04-29,55.0384
2020-04-30,52.3746
2020-05-01,50.4397
2020-05-02,50.4397
2020-05-03,50.4397
2020-05-04,48.9434
2020-05-05,49.3929
2020-05-06,48.767
2020-05-07,49.6192
2020-05-08,52.6541
2020-05-09,52.6541
2020-05-10,52.6541
2020-05-11,52.4785
2020-05-12,49.0322
2020-05-13,46.0749
2020-05-14,47.7474
2020-05-15,47.1916
2020-05-16,47.1916
2020-05-17,47.1916
2020-05-18,51.7587
2020-05-19,51.3157
2020-05-20,52.3513
2020-05-21,53.0967
2020-05-22,51.2467
2020-05-23,51.2467
2020-05-24,51.2467
2020-05-25,51.2467
2020-05-26,54.7521
2020-05-27,53.8736
2020-05-28,51.2784
2020-05-29,50.1782
2020-05-30,50.1782
2020-05-31,50.1782
2020-06-01,51.2792
2020-06-02,51.4576
2020-06-03,55.1211
2020-06-04,54.8782
2020-06-05,59.2066
2020-06-06,59.2066
2020-06-07,59.2066
2020-06-08,61.8535
2020-06-09,57.659
2020-06-10,57.0198
2020-06-11,53.0369
2020-06-12,53.8096
2020-06-13,53.8096
2020-06-14,53.8096
2020-06-15,53.4227
2020-06-16,54.0213
2020-06-17,50.5281
2020-06-18,50.2144
2020-06-19,49.1557
2020-06-20,49.1557
2020-06-21,49.1557
2020-06-22,49.8465
2020-06-23,49.4795
2020-06-24,46.7078
2020-06-25,46.8535
2020-06-26,46.2187
2020-06-27,46.2187
2020-06-28,46.2187
2020-06-29,48.1013
2020-06-30,48.1226
2020-07-01,47.9594
2020-07-02,48.9009
2020-07-03,48.9009
2020-07-04,48.9009
2020-07-05,48.9009
2020-07-06,50.7656
2020-07-07,48.1766
2020-07-08,48.2217
2020-07-09,47.6632
2020-07-10,48.7265
2020-07-11,48.7265
2020-07-12,48.7265
2020-07-13,49.4814
2020-07-14,51.995
2020-07-15,54.6075
2020-07-16,53.9165
2020-07-17,53.841
2020-07-18,53.841
2020-07-19,53.841
2020-07-20,55.2459
2020-07-21,55.992
2020-07-22,56.5275
2020-07-23,55.7693
2020-07-24,55.6835
2020-07-25,55.6835
2020-07-26,55.6835
2020-07-27,56.195
2020-07-28,54.7971
2020-07-29,56.7167
2020-07-30,55.6602
2020-07-31,54.994
2020-08-01,54.994
2020-08-02,54.994
2020-08-03,57.4825
2020-08-04,57.5292
2020-08-05,58.1242
2020-08-06,58.4613
2020-08-07,60.4829
2020-08-08,60.4829
2020-08-09,60.4829
2020-08-10,62.9348
2020-08-11,64.6036
2020-08-12,63.7098
2020-08-13,61.9714
2020-08-14,62.5751
2020-08-15,62.5751
2020-08-16,62.5751
2020-08-17,60.4823
2020-08-18,59.8159
2020-08-19,59.1418
2020-08-20,59.6371
2020-08-21,59.8386
2020-08-22,59.8386
2020-08-23,59.8386
