,AXP US Equity
,RSI_30D
2020-01-01,59.0733
2020-01-02,61.8052
2020-01-03,58.962
2020-01-04,58.962
2020-01-05,58.962
2020-01-06,57.7742
2020-01-07,56.3605
2020-01-08,59.7032
2020-01-09,62.8411
2020-01-10,61.681
2020-01-11,61.681
2020-01-12,61.681
2020-01-13,63.3452
2020-01-14,63.6819
2020-01-15,64.9872
2020-01-16,65.8946
2020-01-17,67.0679
2020-01-18,67.0679
2020-01-19,67.0679
2020-01-20,67.0679
2020-01-21,64.7173
2020-01-22,65.9156
2020-01-23,65.6274
2020-01-24,69.8746
2020-01-25,69.8746
2020-01-26,69.8746
2020-01-27,60.6144
2020-01-28,62.6858
2020-01-29,61.2677
2020-01-30,62.9995
2020-01-31,57.2402
2020-02-01,57.2402
2020-02-02,57.2402
2020-02-03,58.5621
2020-02-04,59.5355
2020-02-05,61.4635
2020-02-06,60.8635
2020-02-07,58.4518
2020-02-08,58.4518
2020-02-09,58.4518
2020-02-10,58.9461
2020-02-11,59.4099
2020-02-12,60.1386
2020-02-13,61.5661
2020-02-14,63.1442
2020-02-15,63.1442
2020-02-16,63.1442
2020-02-17,63.1442
2020-02-18,62.6348
2020-02-19,64.1103
2020-02-20,63.4284
2020-02-21,60.2466
2020-02-22,60.2466
2020-02-23,60.2466
2020-02-24,49.9036
2020-02-25,41.832
2020-02-26,39.6481
2020-02-27,35.1475
2020-02-28,33.1757
2020-02-29,33.1757
2020-03-01,33.1757
2020-03-02,38.091
2020-03-03,34.2184
2020-03-04,42.1963
2020-03-05,39.1556
2020-03-06,37.567
2020-03-07,37.567
2020-03-08,37.567
2020-03-09,32.5351
2020-03-10,36.9351
2020-03-11,33.3754
2020-03-12,29.043
2020-03-13,39.9741
2020-03-14,39.9741
2020-03-15,39.9741
2020-03-16,35.1835
2020-03-17,35.5964
2020-03-18,31.8087
2020-03-19,33.6973
2020-03-20,32.8607
2020-03-21,32.8607
2020-03-22,32.8607
2020-03-23,31.448
2020-03-24,39.3376
2020-03-25,42.1317
2020-03-26,43.5041
2020-03-27,41.9982
2020-03-28,41.9982
2020-03-29,41.9982
2020-03-30,42.6913
2020-03-31,41.152
2020-04-01,38.7426
2020-04-02,38.5161
2020-04-03,37.5889
2020-04-04,37.5889
2020-04-05,37.5889
2020-04-06,42.4031
2020-04-07,44.0169
2020-04-08,45.9182
2020-04-09,47.0509
2020-04-10,47.0509
2020-04-11,47.0509
2020-04-12,47.0509
2020-04-13,45.4376
2020-04-14,44.7518
2020-04-15,43.154
